ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
JPM,2007-01-03,15,2.78055,4.98685,0.1414,0.1333,17.18,18.73,17.71,17.65,2.8
JPM,2007-01-04,14.32,2.15526,4.39185,0.0098,0.1214,16.86,20.11,17.9,17.5,2.8
JPM,2007-01-05,14.16,2.30398,4.59505,0.086,0.1301,16.21,20.21,17.62,17.23,2.8
JPM,2007-01-08,14.15,3.20997,4.7472,0.1254,0.1468,16.13,20.56,17.51,17.18,2.8
JPM,2007-01-09,16.36,3.62251,4.94874,0.1355,0.1278,16.24,19.5,17.34,17.46,2.8
JPM,2007-01-10,15.43,3.81744,4.90033,0.0218,0.1299,16.41,18.88,16.69,16.8,2.8
JPM,2007-01-11,14.83,3.26992,4.48759,0.0193,0.1108,16.36,17.6,16.3,16.54,2.8
JPM,2007-01-12,16.1,2.93454,4.69406,0.016,0.1245,15.29,17.69,16.65,17.15,2.8
JPM,2007-01-16,12.89,3.77216,5.16748,0.0001,0.0863,15.18,17.54,16.28,16.66,2.8
JPM,2007-01-17,12.1,3.49048,4.74433,0.0002,0.1125,15.26,16.34,15.5,15.73,2.8
JPM,2007-01-18,15.38,3.59391,4.9105,0.0871,0.1177,15.2,16.22,15.6,15.71,2.8
JPM,2007-01-19,14.9,4.62933,4.77352,0.0003,0.1314,15.18,15.5,15.49,15.51,2.8
JPM,2007-01-22,14.11,5.48676,4.83472,0.0005,0.1378,15.51,14.44,14.67,15.21,2.7
JPM,2007-01-23,13.72,4.59555,4.53013,0.0005,0.1186,16.6,14.13,14.37,14.9,2.7
JPM,2007-01-24,13.13,2.79991,4.74486,0.0006,0.1349,16.77,14.19,13.93,14.52,2.7
JPM,2007-01-25,14.25,2.96978,4.41244,0.0498,0.1208,17.01,14.82,14.94,15.22,2.7
JPM,2007-01-26,14.02,2.18393,4.601,0.0011,0.1272,16.16,15.28,15.06,15.41,2.7
JPM,2007-01-29,14.8,4.21421,4.57906,0.0003,0.0968,16.41,15.73,15.19,15.88,2.7
JPM,2007-01-30,15.57,4.48158,4.45395,0.1645,0.1432,15.52,15.71,15.82,15.98,2.7
JPM,2007-01-31,15.17,3.57402,4.36344,0.0005,0.1563,16.18,15.22,15.46,15.79,2.7
JPM,2007-02-01,14.62,4.16065,4.26468,0.0005,0.1572,16.94,15.23,14.92,15.22,2.7
JPM,2007-02-02,14.84,3.13756,4.48952,0.0004,0.1183,16.7,15.25,15.36,15.7,2.7
JPM,2007-02-05,14.42,3.05372,4.35044,0.0008,0.1521,16.54,14.81,15.05,15.56,2.7
JPM,2007-02-06,14.82,2.87187,4.3781,0.0006,0.1176,16.41,15.41,15.42,16.11,2.7
JPM,2007-02-07,14.29,3.53249,4.45527,0.0006,0.1035,16.23,14.86,14.93,15.4,2.7
JPM,2007-02-08,14.56,2.42971,4.18671,0.0005,0.0999,15.98,15.48,15.31,15.67,2.7
JPM,2007-02-09,15.2,1.99477,4.22321,0.0004,0.0914,15.82,15.65,15.78,15.99,2.7
JPM,2007-02-12,15.79,2.63989,4.20543,0.0006,0.1204,16.47,16.67,16.49,16.66,2.7
JPM,2007-02-13,15.34,2.66137,4.28435,0.0006,0.119,16.42,15.86,16.02,16.16,2.7
JPM,2007-02-14,13.88,2.55634,4.27691,0.0019,0.1269,16.64,14.64,15.54,16.26,2.6
JPM,2007-02-15,13.74,2.42235,4.30187,0.0015,0.1067,16.57,14.82,15.56,16.12,2.7
JPM,2007-02-16,12.8,2.63267,4.34212,0.002,0.1397,16.46,14.49,15.02,15.43,2.7
JPM,2007-02-20,15.14,3.1148,3.94558,0.0012,0.1332,16.02,14.45,15.53,15.99,2.6
JPM,2007-02-21,15.95,3.05247,4.27631,0.0008,0.1064,15.02,15.23,16.22,16.36,2.6
JPM,2007-02-22,16.56,3.25888,3.94731,0.0006,0.1108,14.99,16.39,16.58,16.65,2.6
JPM,2007-02-23,17.26,2.92476,3.99088,0.0537,0.1016,14.51,17.19,17.25,17.04,2.7
JPM,2007-02-26,17.97,2.94946,4.11975,0.0268,0.0876,15,18.03,17.82,17.68,2.7
JPM,2007-02-27,21.77,2.69824,4.08397,0.0717,0.1305,15.1,23.04,21.26,20.24,2.8
JPM,2007-02-28,21.29,2.58094,3.96106,0.0217,0.0869,20.93,21.58,20.93,20.07,2.8
JPM,2007-03-01,21.55,3.06391,4.05029,0.076,0.1181,20.83,22.45,21.21,20.37,2.8
JPM,2007-03-02,22.54,2.77629,3.73798,0.0043,0.1072,20.46,23.43,21.97,21.09,2.8
JPM,2007-03-05,25.03,3.32002,4.04389,0.0192,0.0891,21.21,25.99,24.3,23.3,2.9
JPM,2007-03-06,21.52,3.57852,4.41178,0.0713,0.0864,21.65,22.63,21.17,19.97,2.8
JPM,2007-03-07,20.64,2.99914,4.19481,0.0668,0.0974,22.63,21.19,20.49,20.1,2.8
JPM,2007-03-08,20.28,2.82569,4.16077,0.1064,0.1372,22.67,20.42,20,19.52,2.8
JPM,2007-03-09,20.36,2.90488,4.52953,0.0012,0.1015,22.87,20.44,19.99,19.16,2.8
JPM,2007-03-12,21.13,2.69135,4.43489,0.0019,0.1148,23.01,22.18,20.69,19.66,2.8
JPM,2007-03-13,24.89,3.78226,4.61468,0.0573,0.0987,22.49,25.37,24.38,23.22,2.9
JPM,2007-03-14,25.35,3.60747,4.73117,0.0048,0.1089,25.88,25.71,24.86,23.91,2.9
JPM,2007-03-15,23.04,4.33456,4.99395,0.0383,0.1231,26.84,23.45,22.57,21.64,2.9
JPM,2007-03-16,24.28,4.25938,4.7698,0.0113,0.1022,27.14,24.06,23.31,22.55,2.9
