tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,KEY,31.72,32.8,32.13
2024-06-04,KEY,31.89,32.65,31.84
2024-06-05,KEY,29.28,31.72,31.42
2024-06-06,KEY,27.46,31.8,32.47
2024-06-07,KEY,29.22,31.04,29.85
2024-06-10,KEY,33.26,32.58,32.54
2024-06-11,KEY,33.48,33.4,33.39
2024-06-12,KEY,32.63,34.05,33.37
2024-06-13,KEY,31.07,37.18,33.6
2024-06-14,KEY,34.29,34,33.16
2024-06-17,KEY,34.23,33.58,31.92
2024-06-18,KEY,33.42,34.38,33.83
2024-06-20,KEY,35.25,34.01,30.83
2024-06-21,KEY,34.08,32.62,31.44
2024-06-24,KEY,30.83,30.9,31.11
2024-06-25,KEY,32.7,31.11,31.19
2024-06-26,KEY,33.63,30.96,31.52
2024-06-27,KEY,32.05,31.6,30.6
2024-06-28,KEY,31.84,31.25,31.21
2024-07-01,KEY,31.05,30.95,30.74
2024-07-02,KEY,30.21,29.21,28.51
2024-07-03,KEY,29.85,31.66,30.48
2024-07-05,KEY,29.34,30.99,31.19
2024-07-08,KEY,32.77,30.18,31.76
2024-07-09,KEY,32.14,31,31.26
2024-07-10,KEY,31.71,29.89,31.06
2024-07-11,KEY,29.55,32.28,30.88
2024-07-12,KEY,30.07,30.21,29.36
2024-07-15,KEY,29.57,29.73,29.47
2024-07-16,KEY,30.96,30.22,30.33
2024-07-17,KEY,32.31,33.36,32.26
2024-07-18,KEY,30.05,30.12,30.72
2024-07-19,KEY,28.98,28.7,29.66
2024-07-22,KEY,28.88,29.31,30.13
2024-07-23,KEY,28.09,27.76,29.19
2024-07-24,KEY,30.33,29.88,31.09
2024-07-25,KEY,30.19,31.55,31.76
2024-07-26,KEY,29.4,30.48,31.25
2024-07-29,KEY,30.38,30.24,30.77
2024-07-30,KEY,30.41,29.58,30.71
2024-07-31,KEY,30.55,28.86,29.93
2024-08-01,KEY,34.73,31.51,32.51
2024-08-02,KEY,38.82,37.66,37.76
2024-08-05,KEY,45.57,42.07,41.51
2024-08-06,KEY,38.34,37.96,38.24
2024-08-07,KEY,36.72,37.58,37.39
2024-08-08,KEY,33.76,36.57,36.64
2024-08-09,KEY,33.75,33.41,33.84
2024-08-12,KEY,32.33,33.65,33.98
2024-08-13,KEY,31.24,33.93,32.33
2024-08-14,KEY,27.55,28.37,29.75
2024-08-15,KEY,26.55,29.44,29.54
2024-08-16,KEY,25.13,26.33,27.27
2024-08-19,KEY,22.78,25.4,26.62
2024-08-20,KEY,24.32,26.43,27.42
2024-08-21,KEY,25.18,27.38,27.98
2024-08-22,KEY,26.52,28.14,28.71
2024-08-23,KEY,24.63,26.65,27.64
2024-08-26,KEY,25.18,26.56,27.51
2024-08-27,KEY,24.38,26.23,27.16
2024-08-28,KEY,24.45,26.8,28.07
2024-08-29,KEY,23.3,27.27,28.04
2024-08-30,KEY,23.66,26.46,27.92
2024-09-03,KEY,29.03,31.37,32.96
2024-09-04,KEY,28.69,31.67,32.93
2024-09-05,KEY,28.07,35.57,33.52
2024-09-06,KEY,31.61,33.63,33.02
2024-09-09,KEY,29.62,33.27,32.55
2024-09-10,KEY,29.91,33.8,32.56
2024-09-11,KEY,29.29,31.6,32.32
2024-09-12,KEY,27.56,33.24,32.19
2024-09-13,KEY,28.56,32.19,32.31
2024-09-16,KEY,31.86,32.23,31.55
2024-09-17,KEY,31.58,32.64,31.71
2024-09-18,KEY,31.9,30.4,31.54
2024-09-19,KEY,30.34,31.66,29.84
2024-09-20,KEY,29.79,31.06,30.42
2024-09-23,KEY,29.54,31.49,29.79
2024-09-24,KEY,29.45,32.24,30.79
2024-09-25,KEY,29.99,32.8,31.23
2024-09-26,KEY,30.29,32.67,31.61
2024-09-27,KEY,30.08,33.32,31.95
2024-09-30,KEY,30.61,32.8,32.1
2024-10-01,KEY,32.12,34.4,33.2
2024-10-02,KEY,31.87,34.49,33.07
2024-10-03,KEY,32.74,34.26,33.14
2024-10-04,KEY,31.26,33.35,32.83
2024-10-07,KEY,35.51,34.17,33.33
2024-10-08,KEY,35.75,33.71,33.08
2024-10-09,KEY,36.55,33.74,32.61
2024-10-10,KEY,37.96,34.68,32.65
2024-10-11,KEY,36.64,33.59,32.4
2024-10-14,KEY,37.52,32.85,32.4
2024-10-15,KEY,38.46,33.38,32.12
2024-10-16,KEY,37.37,32.93,31.97
2024-10-17,KEY,35.55,30.26,30.7
2024-10-18,KEY,33.68,30.61,30.03
2024-10-21,KEY,33.12,30.37,29.58
2024-10-22,KEY,33.5,31.5,29.83
2024-10-23,KEY,33.36,31.33,31.33
2024-10-24,KEY,33.63,31.3,30.08
2024-10-25,KEY,33.79,32.15,31
2024-10-28,KEY,33.88,31.61,31.17
2024-10-29,KEY,33.53,31.93,31.62
2024-10-30,KEY,34.29,32.39,30.73
2024-10-31,KEY,36.51,33.63,32.87
2024-11-01,KEY,38.38,34.35,33.13
2024-11-04,KEY,37.81,34.47,33.2
2024-11-05,KEY,37.6,33.77,32.61
2024-11-06,KEY,31.4,29.43,29.71
2024-11-07,KEY,31.02,29.13,28.51
2024-11-08,KEY,30.62,29.83,28.91
2024-11-11,KEY,31.52,30.55,29.87
2024-11-12,KEY,30.41,29.16,29.45
2024-11-13,KEY,30.48,31.18,30.41
2024-11-14,KEY,31.63,29.19,29.18
2024-11-15,KEY,35.74,30.32,29.23
2024-11-18,KEY,29.37,28.28,29.24
2024-11-19,KEY,29.98,28.77,30.32
2024-11-20,KEY,31.47,28.65,30.26
2024-11-21,KEY,30.13,29.49,29.67
2024-11-22,KEY,29.68,29.35,29.85
2024-11-25,KEY,28.83,27.37,28.86
2024-11-26,KEY,27.56,27.24,28.07
2024-11-27,KEY,27.58,27.62,28.29
2024-11-29,KEY,25.95,26.34,27.71
2024-12-02,KEY,27.9,29.27,29.83
2024-12-03,KEY,26.67,27.89,28.75
2024-12-04,KEY,26.2,27.04,27.76
2024-12-05,KEY,26.78,29.29,28.73
2024-12-06,KEY,26.48,29.09,29.17
2024-12-09,KEY,28.29,29.48,29.48
2024-12-10,KEY,28.44,29.64,29.43
2024-12-11,KEY,27.62,29.41,29.64
2024-12-12,KEY,27.64,29.73,29.67
2024-12-13,KEY,26.95,29.48,29.47
2024-12-16,KEY,27.63,29.55,29.72
2024-12-17,KEY,28.29,30.07,30.56
2024-12-18,KEY,31.87,32.12,32.33
2024-12-19,KEY,31.84,32.77,33.1
2024-12-20,KEY,31.98,30.99,31.03
2024-12-23,KEY,28.93,28.86,30.19
2024-12-24,KEY,28.19,27.79,29.46
2024-12-26,KEY,29.54,28.98,29.96
2024-12-27,KEY,30.71,29.47,30.5
2024-12-30,KEY,30.77,29.64,30.53
2024-12-31,KEY,31.24,30.35,30.54
2025-01-02,KEY,31.76,30.76,31.28
2025-01-03,KEY,30.39,29.44,30.17
2025-01-06,KEY,32.23,30.36,30.61
2025-01-07,KEY,33.27,31.46,31.34
2025-01-08,KEY,32.87,30.54,30.44
2025-01-10,KEY,33.19,32.6,31.8
2025-01-13,KEY,34.31,32.44,31.92
2025-01-14,KEY,33.42,32.21,31.57
2025-01-15,KEY,31.84,29.91,29.45
2025-01-16,KEY,30.8,30.01,29.83
2025-01-17,KEY,30.04,28.52,28.76
2025-01-21,KEY,24.7,25.35,26
2025-01-22,KEY,24.32,25.52,26.2
2025-01-23,KEY,23.39,25.39,26.26
2025-01-24,KEY,23.58,25.56,26.33
2025-01-27,KEY,25.77,26.44,27
2025-01-28,KEY,25.46,26.06,26.87
2025-01-29,KEY,25.8,27.49,27.8
2025-01-30,KEY,24.91,26.64,27.18
2025-01-31,KEY,26.16,27.3,27.68
2025-02-03,KEY,28.83,28.41,28.75
2025-02-04,KEY,28.1,27.79,28.11
2025-02-05,KEY,28.18,27.49,27.93
2025-02-06,KEY,27.56,27.52,28.26
2025-02-07,KEY,27.75,27.64,27.7
2025-02-10,KEY,27.97,27.54,28.05
2025-02-11,KEY,27.8,27.46,27.95
2025-02-12,KEY,27.14,27.03,27.48
2025-02-13,KEY,26.63,26.76,27.46
2025-02-14,KEY,26.66,26.86,27.54
2025-02-18,KEY,26.65,26.85,27.7
2025-02-19,KEY,25.36,26.19,27.15
2025-02-20,KEY,25.83,26.62,27.63
2025-02-21,KEY,29.08,30.07,29.9
2025-02-24,KEY,27.67,29.21,29.16
2025-02-25,KEY,29.61,30.38,30.32
2025-02-26,KEY,30.39,31.38,30.93
2025-02-27,KEY,30.94,32.02,31.38
2025-02-28,KEY,29.68,31.03,30.7
2025-03-03,KEY,33.75,34.08,32.57
2025-03-04,KEY,35.74,34.77,33.56
2025-03-05,KEY,35.24,35.27,33.76
2025-03-06,KEY,37.35,36.81,35.43
2025-03-07,KEY,35.54,36.11,34.66
2025-03-10,KEY,39.92,38.18,36.62
2025-03-11,KEY,38,37.27,35.77
2025-03-12,KEY,35.81,35.69,34.6
2025-03-13,KEY,36.75,36.75,35.41
2025-03-14,KEY,33.78,34.8,33.75
2025-03-17,KEY,33.14,32.79,32.12
2025-03-18,KEY,35.26,33.34,32.51
2025-03-19,KEY,34.1,32.07,31.07
2025-03-20,KEY,33.42,31.52,31.19
2025-03-21,KEY,33.66,31.16,30.85
2025-03-24,KEY,30.76,28.5,28.98
2025-03-25,KEY,30.05,28.38,28.63
2025-03-26,KEY,31.89,29.68,29.35
2025-03-27,KEY,33.93,30.31,30.5
2025-03-28,KEY,35.82,32.61,32.09
2025-03-31,KEY,35.78,32.42,31.81
2025-04-01,KEY,36.26,33.19,32.82
2025-04-02,KEY,35.71,32.62,31.9
2025-04-03,KEY,45.46,40.08,39.25
2025-04-04,KEY,59.25,50.36,47.58
2025-04-07,KEY,62.47,53.1,49.81
2025-04-08,KEY,68.29,58.05,53.96
2025-04-09,KEY,52.28,43.81,40.59
2025-04-10,KEY,59.2,51.67,48.58
2025-04-11,KEY,54.82,48.28,45.29
2025-04-14,KEY,46.67,42.11,39.6
