tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,KHC,16.04,17.71,18.97
2024-06-04,KHC,14.73,17.33,18.62
2024-06-05,KHC,15.47,18.31,19.41
2024-06-06,KHC,15.32,16.28,18.28
2024-06-07,KHC,15.61,18.18,18.52
2024-06-10,KHC,16.42,19.15,19.76
2024-06-11,KHC,16.15,18.42,18.7
2024-06-12,KHC,15.83,18.78,19.36
2024-06-13,KHC,15.59,22.73,19.5
2024-06-14,KHC,15.68,20.29,20.19
2024-06-17,KHC,16.94,20.07,19.08
2024-06-18,KHC,17.27,20.54,19.87
2024-06-20,KHC,17.65,20.43,19.64
2024-06-21,KHC,16.49,20.84,20.34
2024-06-24,KHC,14.26,19.11,19.04
2024-06-25,KHC,15.82,19.25,19.3
2024-06-26,KHC,16.62,20.57,20.01
2024-06-27,KHC,17.69,20.33,20.72
2024-06-28,KHC,16.28,20.59,20.03
2024-07-01,KHC,18.69,21.08,20.36
2024-07-02,KHC,18.57,21,20.64
2024-07-03,KHC,20.65,22.67,20.68
2024-07-05,KHC,21.27,20.77,20.65
2024-07-08,KHC,23.44,21.83,21.39
2024-07-09,KHC,23.19,21.83,21.66
2024-07-10,KHC,22.75,22.79,21.68
2024-07-11,KHC,22.08,22.61,22.04
2024-07-12,KHC,23.16,22.39,21.24
2024-07-15,KHC,24.15,23.04,22.04
2024-07-16,KHC,25,22.71,22.47
2024-07-17,KHC,25.11,22.58,21.53
2024-07-18,KHC,25.46,22.53,21.87
2024-07-19,KHC,25.64,23.11,22.79
2024-07-22,KHC,25.57,23.48,21.93
2024-07-23,KHC,23.89,22.7,22.18
2024-07-24,KHC,25.21,23.65,22.91
2024-07-25,KHC,25.77,23.92,23.17
2024-07-26,KHC,26.92,24.15,22.63
2024-07-29,KHC,26.23,24.42,23.21
2024-07-30,KHC,27.28,23.57,22.72
2024-07-31,KHC,25.25,19.21,19.85
2024-08-01,KHC,21.35,19.19,19.74
2024-08-02,KHC,20.94,20.06,20.41
2024-08-05,KHC,24.55,23.66,23.65
2024-08-06,KHC,21.39,20.32,20.61
2024-08-07,KHC,22.26,21.09,21.7
2024-08-08,KHC,19.42,20.66,20.99
2024-08-09,KHC,18.8,19.27,20.18
2024-08-12,KHC,19.74,19.74,20.97
2024-08-13,KHC,19.7,19.08,19.78
2024-08-14,KHC,18.2,18.12,19.58
2024-08-15,KHC,16.89,17.55,18.93
2024-08-16,KHC,16.5,17.17,18.57
2024-08-19,KHC,17.03,17.23,18.52
2024-08-20,KHC,16.95,17.88,19
2024-08-21,KHC,16.31,17.7,18.68
2024-08-22,KHC,17.04,17.52,18.9
2024-08-23,KHC,15.56,15.52,17.57
2024-08-26,KHC,15.29,16.56,18.31
2024-08-27,KHC,15.17,16.9,18.5
2024-08-28,KHC,15.7,17.43,18.83
2024-08-29,KHC,15.81,18.31,21.42
2024-08-30,KHC,14.69,17.73,19.11
2024-09-03,KHC,16.79,19.28,20.26
2024-09-04,KHC,16.61,19.34,20.09
2024-09-05,KHC,16.77,19.39,20.13
2024-09-06,KHC,17.3,21.56,21.82
2024-09-09,KHC,17.31,20.23,21.31
2024-09-10,KHC,17.39,20.93,20.95
2024-09-11,KHC,17.35,21.19,20.91
2024-09-12,KHC,17.89,20.36,20.57
2024-09-13,KHC,16.97,20.5,20.94
2024-09-16,KHC,17.43,21.9,21.4
2024-09-17,KHC,17.98,23.27,20.87
2024-09-18,KHC,17.89,21.79,21.33
2024-09-19,KHC,17.32,21.81,20.85
2024-09-20,KHC,17.2,20.18,20.64
2024-09-23,KHC,16.14,21.19,20.94
2024-09-24,KHC,16.58,21.04,21.29
2024-09-25,KHC,16.87,21.48,21.16
2024-09-26,KHC,16.39,21.48,20.99
2024-09-27,KHC,16.79,20.72,21.19
2024-09-30,KHC,19.16,23,21.73
2024-10-01,KHC,21.06,22.3,21.82
2024-10-02,KHC,22.5,23.23,22.54
2024-10-03,KHC,23.7,22.34,22.65
2024-10-04,KHC,22.66,22.58,21.82
2024-10-07,KHC,24.41,23.92,22.62
2024-10-08,KHC,24.34,23.26,22.2
2024-10-09,KHC,23.79,22.87,21.85
2024-10-10,KHC,24.27,21.95,21.49
2024-10-11,KHC,23.94,22.6,21.7
2024-10-14,KHC,24.6,22.66,20.95
2024-10-15,KHC,24.24,22.89,20.81
2024-10-16,KHC,24.01,22.33,20.72
2024-10-17,KHC,24.59,22.34,20.78
2024-10-18,KHC,23.86,21.97,19.67
2024-10-21,KHC,24.33,22.05,20.41
2024-10-22,KHC,24.89,22.43,21.02
2024-10-23,KHC,24.49,22.97,21.3
2024-10-24,KHC,25.16,23.86,22.02
2024-10-25,KHC,25.74,23.35,22.44
2024-10-28,KHC,25.29,23.85,23.31
2024-10-29,KHC,25.13,23.6,22.27
2024-10-30,KHC,21.69,20.29,20.4
2024-10-31,KHC,21.87,20.52,20.58
2024-11-01,KHC,21.38,19.42,20.4
2024-11-04,KHC,20.63,19.81,19.85
2024-11-05,KHC,20.54,19.66,19.5
2024-11-06,KHC,18.61,18.18,18.64
2024-11-07,KHC,18.19,18.04,17.91
2024-11-08,KHC,17.15,16.96,17.8
2024-11-11,KHC,17.65,17.99,18.82
2024-11-12,KHC,18.53,18.12,18.64
2024-11-13,KHC,17.48,18.14,18.93
2024-11-14,KHC,18.18,17.99,18.7
2024-11-15,KHC,20.07,20.28,20.79
2024-11-18,KHC,18.69,19.48,20.18
2024-11-19,KHC,19.66,19.76,20.68
2024-11-20,KHC,19.58,20.46,21.01
2024-11-21,KHC,19,19.9,20.5
2024-11-22,KHC,19.04,20.86,21.33
2024-11-25,KHC,19.87,20.2,20.99
2024-11-26,KHC,17.66,19.78,20.21
2024-11-27,KHC,16.96,18.53,19.53
2024-11-29,KHC,17.25,18.74,19.48
2024-12-02,KHC,16.96,18.42,19.11
2024-12-03,KHC,17.22,18.83,19.43
2024-12-04,KHC,18.06,19.83,20.4
2024-12-05,KHC,17.22,20.42,20.21
2024-12-06,KHC,17.85,24.76,22.99
2024-12-09,KHC,19.38,19.8,20.87
2024-12-10,KHC,19.3,20.03,20.59
2024-12-11,KHC,19.26,19.76,20.52
2024-12-12,KHC,18.94,20.7,21.34
2024-12-13,KHC,18.81,19.56,20.91
2024-12-16,KHC,20.19,20.97,21.72
2024-12-17,KHC,20.81,20.96,21.74
2024-12-18,KHC,21.82,22.25,22.66
2024-12-19,KHC,23.12,22.25,23.32
2024-12-20,KHC,19.27,23.01,23.12
2024-12-23,KHC,18.67,22.78,22.38
2024-12-24,KHC,18.18,21.39,21.59
2024-12-26,KHC,17.24,21.56,21.81
2024-12-27,KHC,18.11,22.28,22.61
2024-12-30,KHC,18.41,22.57,22.38
2024-12-31,KHC,19.17,22.78,23.71
2025-01-02,KHC,18.16,22.93,24.35
2025-01-03,KHC,17.38,21.98,22.09
2025-01-06,KHC,19.25,23.38,23.11
2025-01-07,KHC,21.03,23.69,23.78
2025-01-08,KHC,20.08,23.75,23.52
2025-01-10,KHC,23.04,22.91,24.86
2025-01-13,KHC,25.85,26.56,25.73
2025-01-14,KHC,25.94,25.62,25.34
2025-01-15,KHC,25.25,25.13,24.56
2025-01-16,KHC,25.53,25.96,24.07
2025-01-17,KHC,26.31,25.37,24.1
2025-01-21,KHC,25.35,24.93,23.73
2025-01-22,KHC,26.06,21.91,23.97
2025-01-23,KHC,25.77,25.5,23.55
2025-01-24,KHC,26.1,25.99,24.18
2025-01-27,KHC,26.97,26.55,25.05
2025-01-28,KHC,26.95,27.1,25.31
2025-01-29,KHC,27.9,27.29,25.41
2025-01-30,KHC,29.73,27.32,25.97
2025-01-31,KHC,28.89,27.56,25.87
2025-02-03,KHC,29.17,27.12,25.73
