ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
LMT,2007-01-03,18.09,2.04196,2.2377,0.0008,0.058,13.6,18.3,18.66,18.25,1.5
LMT,2007-01-04,18.83,1.96687,2.29081,0.0026,0.0675,13.62,17.91,18.51,18.31,1.5
LMT,2007-01-05,18.43,2.36968,2.51487,0.0016,0.0395,12.37,17.75,18.18,18.16,1.5
LMT,2007-01-08,16.46,2.58263,2.24302,0.0001,0.0766,12.39,18,17.82,17.61,1.5
LMT,2007-01-09,17.32,2.27286,2.33502,0.0001,0.066,14.15,17.48,17.53,17.51,1.5
LMT,2007-01-10,15.83,2.35775,2.68039,0.0284,0.0487,14.1,17.97,17.45,17.34,1.5
LMT,2007-01-11,13.94,1.46042,2.75549,0.0001,0.0146,14.8,17.3,16.46,16.72,1.5
LMT,2007-01-12,16.73,1.59084,2.76587,0.0029,0.0471,15.33,16.88,16.95,17.1,1.5
LMT,2007-01-16,18.14,2.17817,2.88874,0.0233,0.0457,15.57,18.86,17.52,17.51,1.4
LMT,2007-01-17,18.04,2.19097,2.75704,0.0192,0.0282,15.43,18.82,17.49,17.39,1.5
LMT,2007-01-18,16.7,1.81356,1.89524,0.0336,0.0606,15.59,18.9,17.45,17.36,1.4
LMT,2007-01-19,14.1,2.36943,2.1215,0.0001,0.0626,15.8,18.47,16.6,16.98,1.4
LMT,2007-01-22,16.73,1.92984,2.02135,0.0467,0.0765,16.07,19.23,17.72,17.76,1.4
LMT,2007-01-23,12.59,2.31086,2.65342,0.0002,0.0505,15.35,17.86,15.65,16.21,1.4
LMT,2007-01-24,15.67,2.26011,2.24262,0.0001,0.0496,16.6,17.96,16.86,17.04,1.4
LMT,2007-01-25,16.04,2.08052,1.98141,0.0002,0.0618,17.17,16.22,15.84,16.3,1.4
LMT,2007-01-26,16.09,1.80238,2.14837,0.0002,0.0644,17.15,15.93,15.9,16.07,1.4
LMT,2007-01-29,16.25,2.12911,2.23604,0.0002,0.0518,17.95,15.78,16.22,16.44,1.5
LMT,2007-01-30,15.91,2.70622,2.31831,0.0002,0.0504,17.97,15.61,15.93,16.33,1.5
LMT,2007-01-31,15.46,1.72376,1.96804,0.0002,0.0683,17.8,15.38,15.59,16.07,1.4
LMT,2007-02-01,14.74,1.85153,2.3525,0.0001,0.0432,18.01,14.81,14.89,15.49,1.4
LMT,2007-02-02,15.51,2.06362,2.52343,0.0002,0.0439,18.5,15.31,15.52,16.04,1.4
LMT,2007-02-05,15.29,2.44914,2.05275,0.0002,0.0659,18.55,15.55,15.65,16.11,1.4
LMT,2007-02-06,13.3,0.00717914,1.85234,0.0003,0.0832,18.66,13.75,14.09,15.38,1.4
LMT,2007-02-07,15.86,1.54486,1.85396,0.0003,0.07,18.41,15.64,16.27,16.77,1.4
LMT,2007-02-08,15.53,1.68817,2.25399,0.0002,0.0542,18.3,15.3,15.9,16.43,1.4
LMT,2007-02-09,15.83,1.60332,2.48527,0.0001,0.0472,17.8,15.52,16,16.3,1.4
LMT,2007-02-12,16.21,2.33193,2.58122,0.0001,0.0511,17.35,16,16.43,16.78,1.4
