ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
LRCX,2007-01-03,44.63,1.55205,2.74316,0.0575,0.0345,34.71,46.44,43.78,43.37,0
LRCX,2007-01-04,42.03,1.43954,2.79838,0.0507,0.0481,35.6,46.08,42.4,41.84,0
LRCX,2007-01-05,42.29,1.60174,2.77543,0.0257,0.049,35.27,45.15,42.35,41.83,0
LRCX,2007-01-08,41.57,1.19643,2.82564,0.0812,0.0435,35.39,48.04,42.9,41.95,0
LRCX,2007-01-09,41.27,1.40215,2.74123,0.052,0.0398,35.78,47.16,42.67,41.83,0
LRCX,2007-01-10,39.58,1.21683,2.82896,0.0053,0.0357,35.63,44.09,40.84,40.46,0
LRCX,2007-01-11,38.72,0.74579,2.81513,0.0232,0.0394,36.93,45.87,41.14,40.68,0
LRCX,2007-01-12,38.84,1.31259,2.88296,0.0043,0.0433,37.03,46.95,40.71,40.23,0
LRCX,2007-01-16,37.1,1.57837,2.77148,0.0309,0.0435,37.22,44.45,41.45,40.94,0
LRCX,2007-01-17,34.81,2.02155,2.80804,0.0357,0.0408,37.19,41.29,39.62,39.49,0
LRCX,2007-01-18,39.16,1.81574,2.71232,0.0427,0.0404,36.91,37.84,39.18,39.33,0
LRCX,2007-01-19,35.88,2.46393,2.90822,0.0001,0.0539,51.5,35.6,35.87,36.16,0
LRCX,2007-01-22,34.93,1.55222,2.60852,0.0001,0.0353,51.97,34.71,34.97,35.63,0
LRCX,2007-01-23,34.93,1.89728,2.71976,0.0001,0.038,50.79,34.08,35.16,35.89,0
LRCX,2007-01-24,33.9,2.55554,2.73272,0.0477,0.038,50.41,31.75,34.3,35.45,0
LRCX,2007-01-25,35.5,1.60979,2.61759,0.0001,0.04,50.76,33.99,35.77,36.57,0
LRCX,2007-01-26,36.47,2.20443,2.62275,0.0001,0.0266,50.98,34.37,36.64,37.21,0
LRCX,2007-01-29,38.67,1.93061,2.64105,0.0001,0.0358,51.27,37.2,38.67,39.2,0
LRCX,2007-01-30,38.7,1.54149,2.4816,0.0001,0.0323,51.38,38.16,38.79,38.9,0
LRCX,2007-01-31,39.77,1.71691,2.59194,0.0593,0.0181,51.44,38.58,39.61,39.76,0
LRCX,2007-02-01,40.08,1.7156,2.58024,0.0671,0.0488,51.54,39.33,40.43,39.7,0
LRCX,2007-02-02,36.98,1.56779,2.49274,0.0002,0.0435,50.14,36.02,37.04,37.34,0
LRCX,2007-02-05,37.3,2.11701,2.56488,0.0001,0.0367,48.23,36.83,37.28,37.42,0
LRCX,2007-02-06,37.02,1.47353,2.55617,0.0001,0.0273,48.3,36.15,37,37.31,0
LRCX,2007-02-07,36.46,2.40134,2.63265,0.0001,0.0357,48.1,35.75,36.61,37.27,0
LRCX,2007-02-08,36.28,1.50228,2.50188,0.0002,0.0325,48.14,34.98,36.15,36.71,0
LRCX,2007-02-09,36.77,3.68259,2.48438,0.0001,0.024,46.76,35.55,36.76,37.49,0
LRCX,2007-02-12,36.21,2.70508,2.35874,0.0001,0.0338,48.57,35.78,36.42,37.47,0
LRCX,2007-02-13,36.63,3.94258,2.53268,0.0001,0.0266,48.24,35.63,36.72,37.63,0
LRCX,2007-02-14,36.54,0.011284,2.49332,0.0001,0.0239,47.61,35.52,36.59,37.44,0
LRCX,2007-02-15,36.79,-0.335998,2.52793,0.0001,0.026,47.11,35.73,36.71,37.46,0
LRCX,2007-02-16,36.17,-0.186352,2.53443,0.0001,0.0249,30.35,34.64,36.09,37.21,0
LRCX,2007-02-20,38.56,1.38169,2.24688,0.0002,0.0242,29.19,34.64,39.6,37.99,0
LRCX,2007-02-21,37.53,1.04979,2.56433,0.0269,0.0249,29.58,35.25,38.62,37.87,0
LRCX,2007-02-22,38.3,1.2653,2.31365,0.0157,0.0245,29.6,34.52,38.69,37.76,0
LRCX,2007-02-23,37.84,1.56674,2.41848,0.0086,0.0264,28.84,34.1,38.34,37.35,0
LRCX,2007-02-26,38.41,0.95582,2.32169,0.0005,0.0282,28.8,35.92,37.94,37.2,0
LRCX,2007-02-27,40.76,0.983958,2.28668,0.0189,0.0249,28.95,39.03,39.7,38.32,0
LRCX,2007-02-28,40.95,1.06893,2.20093,0.0281,0.021,30.83,38.94,40.14,38.88,0
LRCX,2007-03-01,42.55,1.27915,2.29947,0.0084,0.0208,30.84,39.42,41.67,40.14,0
LRCX,2007-03-02,43.8,1.09663,2.10582,0,0.011,30.86,41.06,42.8,41.1,0
LRCX,2007-03-05,45.41,1.44879,2.18565,0.0178,0.0198,31.08,43.61,44.48,42.68,0
LRCX,2007-03-06,43.97,1.44755,2.21868,0.0365,0.0217,31.45,41.49,43.12,41.36,0
LRCX,2007-03-07,43.84,1.7732,2.26572,0.0347,0.0211,31.06,41.75,43.04,41.55,0
LRCX,2007-03-08,43.41,1.84045,2.26359,0.0266,0.0233,31.44,41.4,42.57,41.25,0
LRCX,2007-03-09,43.25,1.25527,2.2489,0.0004,0.0209,31.43,40.46,42.36,41.21,0
