ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MCD,2007-01-03,19.2,3.63578,4.60628,0.0002,0.0559,14.93,18.67,19.19,19.35,2.3
MCD,2007-01-04,16.63,2.57377,4.19017,0.0075,0.0916,15.41,18.76,19.06,19.23,2.3
MCD,2007-01-05,15.38,2.31851,4.36479,0.0002,0.077,15.75,18.25,18.52,18.77,2.3
MCD,2007-01-08,16.41,3.42733,4.14205,0.0002,0.0795,15.2,18.7,18.67,19.06,2.3
MCD,2007-01-09,19.46,2.5074,4.00779,0.0003,0.1139,15.3,18.41,19.67,19.92,2.3
MCD,2007-01-10,15.94,4.10974,4.49489,0.0003,0.1048,15.29,17.88,18.18,18.71,2.3
MCD,2007-01-11,16.5,3.94989,4.22935,0.0229,0.0952,15.49,17.55,17.73,18.25,2.2
MCD,2007-01-12,15.88,2.73886,4.05122,0.0072,0.0745,15.55,18.23,18.31,18.62,2.3
MCD,2007-01-16,17.86,3.75374,4.11409,0.0923,0.1288,15.18,18.85,18.5,18.66,2.2
MCD,2007-01-17,14.75,4.65118,4.18488,0.0612,0.1336,14.98,17.63,17.12,17.77,2.2
MCD,2007-01-18,14.55,5.19875,4.5096,0.0002,0.0772,15.12,18.15,16.99,17.46,2.2
MCD,2007-01-19,14.9,2.65628,4.48786,0.0748,0.1057,14.73,17.41,16.95,17.65,2.2
MCD,2007-01-22,13.15,4.18129,4.39155,0.0007,0.0813,14.84,17.53,16.98,17.88,2.3
MCD,2007-01-23,16.52,3.02682,4.40276,0.0891,0.0724,14.61,17.07,16.79,17.5,2.2
MCD,2007-01-24,14.47,4.37073,4.63711,0.0002,0.0597,14.87,15.75,16.11,16.8,2.3
MCD,2007-01-25,17.02,1.07895,4.02136,0.0002,0.0492,15.21,17.47,17.15,17.74,2.3
MCD,2007-01-26,16.99,1.21004,4.44642,0.0004,0.0826,17.19,17.94,17.1,17.85,2.3
MCD,2007-01-29,17.25,1.24574,4.04395,0.0002,0.0438,17.25,17.65,17.51,17.99,2.3
MCD,2007-01-30,17.25,2.0047,4.09506,0.0003,0.0975,17.51,17.11,17.52,17.99,2.3
MCD,2007-01-31,15.41,1.7595,4.14994,0.0006,0.0684,17.55,15.87,16.65,17.45,2.3
MCD,2007-02-01,15.4,1.76273,4.09084,0.0007,0.092,17.97,15.6,16.34,17.33,2.2
MCD,2007-02-02,15.29,1.04071,4.36161,0.0007,0.0822,17.39,15.58,16.2,17.14,2.2
MCD,2007-02-05,15.76,2.1602,4.35791,0.0012,0.0797,16.69,16,16.57,17.4,2.2
MCD,2007-02-06,15.55,4.91303,4.27876,0.0003,0.1007,16.64,15.72,16.29,17.24,2.2
MCD,2007-02-07,13.94,0.0617394,4.37637,0.0012,0.08,16.53,14.97,15.16,16.39,2.2
MCD,2007-02-08,14.65,2.55497,4.56924,0.0014,0.104,16.42,15.32,16.17,16.9,2.3
MCD,2007-02-09,14.79,0.0593759,4.52088,0.0014,0.1003,16.21,14.84,15.92,16.76,2.2
MCD,2007-02-12,13.92,0.0593496,4.80646,0.0013,0.0954,16.18,15.56,16.02,16.61,2.2
MCD,2007-02-13,13.83,0.0619986,4.91654,0.0012,0.0878,16.07,15.24,15.88,16.41,2.2
MCD,2007-02-14,13.15,0.0603238,4.89875,0.0008,0.0659,15.88,14.38,15.33,16.09,2.2
MCD,2007-02-15,13.6,0.058147,4.97801,0.0011,0.089,15.59,15.1,15.81,16.35,2.2
MCD,2007-02-16,13.33,0.0702334,5.27893,0.0011,0.083,15.49,14.65,15.47,16.09,2.2
MCD,2007-02-20,14.04,2.55133,4.71458,0.0006,0.0894,15.47,14.25,15.52,15.76,2.2
MCD,2007-02-21,13.96,3.22382,4.73708,0.0019,0.1215,15.72,14.3,15.28,15.65,2.2
MCD,2007-02-22,13.83,2.93954,4.50605,0.0023,0.1334,15.39,14.31,15.25,15.63,2.2
MCD,2007-02-23,13.71,2.84436,4.72336,0.0022,0.1235,14.95,14.69,15.27,15.63,2.2
MCD,2007-02-26,15.08,2.05848,4.819,0.0014,0.0862,12.45,14.97,15.62,15.95,2.2
MCD,2007-02-27,16.96,3.0239,5.14353,0.0068,0.0959,12.31,18.56,18.3,17.79,2.2
MCD,2007-02-28,17.36,3.33945,4.64457,0.0023,0.0945,15.45,17.65,17.53,17.74,2.3
MCD,2007-03-01,17.74,4.31397,4.84216,0.0018,0.0738,16.59,17.9,18.22,18.14,2.3
MCD,2007-03-02,18.91,2.71346,4.72742,0.0012,0.0722,17.61,11.74,19.35,19.29,2.3
MCD,2007-03-05,21.06,3.03429,4.67969,0.0695,0.0667,18.12,18.19,21.07,20.72,2.3
MCD,2007-03-06,20.12,2.80902,4.55036,0.0015,0.0695,18.94,17.4,20.27,20.23,2.3
MCD,2007-03-07,19.76,2.47359,4.39073,0.0007,0.0632,19.43,20.24,19.77,19.72,2.3
MCD,2007-03-08,18.57,2.57813,5.13229,0.0023,0.0762,19.53,19.08,18.83,18.78,2.3
MCD,2007-03-09,18.5,4.00438,5.0221,0.0024,0.0837,19.95,18.13,18.56,18.14,2.3
MCD,2007-03-12,17.96,3.26972,4.9849,0.0824,0.0889,20.04,18.45,18.25,17.96,2.2
MCD,2007-03-13,20.26,2.48973,4.26552,0.0084,0.1289,20.4,20.57,20.21,19.8,2.3
MCD,2007-03-14,20.02,2.01693,4.99661,0.0027,0.0879,21.83,20.21,20.14,20.07,2.3
MCD,2007-03-15,19.46,2.3316,4.88627,0.0026,0.0885,22.16,19.82,19.46,19.07,2.3
MCD,2007-03-16,19.53,3.04286,5.0789,0.0059,0.1175,22.17,19.65,19.61,19.57,2.3
MCD,2007-03-19,18.5,3.41929,5.94064,0.0047,0.0935,22.91,18.68,18.44,18.68,2.3
MCD,2007-03-20,17.91,4.01415,6.49231,0.0265,0.127,22.98,18.16,17.77,18.01,2.3
MCD,2007-03-21,17.01,3.54787,6.50916,0.0502,0.1465,22.82,17.5,17.21,17.15,2.2
MCD,2007-03-22,16.9,3.91055,6.59858,0.0034,0.1266,23.17,17.02,17.15,17.18,2.2
MCD,2007-03-23,17.32,2.52674,6.40624,0.0439,0.1658,23.18,16.21,17.53,17.38,2.2
MCD,2007-03-26,17.77,2.64962,6.61085,0.0346,0.1368,23.58,18,17.93,17.96,2.2
MCD,2007-03-27,18.11,2.8548,6.18647,0.0998,0.1739,23.83,18.37,18,17.49,2.2
MCD,2007-03-28,17.67,2.72298,6.44455,0.0518,0.1397,21.49,18.34,17.94,18.31,2.2
MCD,2007-03-29,17.63,2.77464,6.3128,0.0541,0.1508,20.59,17.85,17.79,18.48,2.2
MCD,2007-03-30,18.18,3.03839,6.37292,0.0901,0.1316,19.38,17.46,18.11,18.06,2.2
MCD,2007-04-02,18.43,3.44173,6.08438,0.0764,0.1343,19.04,18.49,18.23,17.97,2.2
MCD,2007-04-03,17.92,3.00072,6.53087,0.0781,0.1353,18.66,17.62,17.85,17.79,2.2
MCD,2007-04-04,17.42,3.14626,6.23825,0.1176,0.1508,18.26,17.08,17.63,18.12,2.2
MCD,2007-04-05,17.4,3.16367,7.12157,0.0058,0.117,18.13,16.69,17.57,17.71,2.2
MCD,2007-04-09,17.54,3.49749,6.53599,0.0004,0.1669,18.03,17.59,17.84,17.89,2.2
MCD,2007-04-10,16.85,2.82337,6.8087,0.0004,0.1351,18.22,17.18,17.06,17.25,2.2
MCD,2007-04-11,17.03,3.45236,6.64369,0.0004,0.1517,17.74,17.92,17.61,17.65,2.2
MCD,2007-04-12,16.07,3.74464,7.08371,0.0004,0.1562,15.92,16.58,16.77,17.07,2.1
MCD,2007-04-13,14.81,0.873438,6.31011,0.0472,0.2426,15.9,15.69,15.76,16.16,2.1
MCD,2007-04-16,16.92,2.39519,7.29459,0.0179,0.1632,17.1,16.7,17.41,17.24,2.1
MCD,2007-04-17,15.42,4.0792,6.30304,0.0007,0.225,16.39,15.62,16.17,16.31,2
MCD,2007-04-18,16.77,2.84271,5.94149,0.0003,0.1724,17.18,17.54,16.55,16.91,2
MCD,2007-04-19,17.95,2.88731,6.37326,0.0002,0.1641,16.89,18.54,17.89,17.97,2.1
MCD,2007-04-20,17.31,3.14367,6.13628,0.0689,0.1762,16.56,17.24,17.63,17.88,2.1
MCD,2007-04-23,16.65,3.33293,5.9206,0.0006,0.1462,18.83,16.94,16.8,17,2.1
MCD,2007-04-24,17.12,3.38553,6.42755,0.0005,0.1324,18.45,17.16,17.32,17.41,2.1
MCD,2007-04-25,17.12,2.80948,6.25891,0.0003,0.1368,18.18,16.62,17.2,17.25,2.1
MCD,2007-04-26,16.92,3.78404,5.52956,0.0006,0.157,18.32,17.09,16.94,17.19,2
MCD,2007-04-27,17.12,3.73586,5.47556,0.0006,0.1542,18.51,17.42,17.21,17.53,2
MCD,2007-04-30,18.1,2.76206,5.55523,0.0005,0.1408,18.38,18.09,18.18,18.27,2.1
MCD,2007-05-01,17.43,3.24118,5.63332,0.0004,0.0952,18.61,17.54,17.6,17.83,2
MCD,2007-05-02,17.87,2.77219,5.58833,0.0004,0.1008,18.99,17.63,18.05,18.15,2
MCD,2007-05-03,18.28,3.88172,5.55349,0.0002,0.0625,19.47,18.16,18.51,18.55,2
MCD,2007-05-04,18.75,4.50066,5.38367,0.0003,0.096,19.45,17.89,18.81,18.85,2
MCD,2007-05-07,20.84,4.51375,5.28351,0.0003,0.0793,19.11,20.41,20.66,20.38,2
MCD,2007-05-08,21.01,4.09189,4.73326,0.0004,0.1019,18.7,20.64,20.85,20.55,2
MCD,2007-05-09,18.29,5.31718,5.38732,0.0006,0.1158,18.77,18.18,18.64,18.92,2
MCD,2007-05-10,19.48,4.95592,5.48712,0.0003,0.0745,19,19.22,19.45,19.34,2
MCD,2007-05-11,18.5,6.88028,5.20685,0.0004,0.1173,18.7,18.24,18.81,19.2,2
MCD,2007-05-14,21.21,0.0176,5.06358,0.0004,0.1203,18.42,21.94,21.04,20.52,2
MCD,2007-05-15,19.75,0.0182908,5.03228,0.0003,0.0838,18.12,19.94,19.85,19.78,2
MCD,2007-05-16,18.85,4.40917,4.93754,0.0003,0.1117,18,18.94,19.43,19.83,1.9
MCD,2007-05-17,19.28,4.38792,5.18708,0.1595,0.0944,18.99,19.01,19.43,19.75,1.9
MCD,2007-05-18,18.72,3.23426,5.02018,0.1491,0.1115,19.04,18.85,19.38,19.78,1.9
MCD,2007-05-21,19.33,3.05613,5.13321,0.1161,0.1157,16.92,19.73,19.17,19.79,1.9
MCD,2007-05-22,18.33,3.62138,5.16961,0.116,0.1116,16.75,19.15,18.5,19.54,1.9
MCD,2007-05-23,19.19,2.85737,4.89763,0.032,0.0821,16.79,19.58,19.23,19.77,1.9
MCD,2007-05-24,18.38,2.30896,4.7505,0.0463,0.1111,17.62,19.44,18.89,19.42,2
MCD,2007-05-25,18.63,2.60341,4.85929,0.0254,0.1004,18.22,19.43,18.87,18.8,2
MCD,2007-05-29,18.77,2.15972,4.64463,0.0666,0.087,18.25,19.73,19.38,19.14,2
MCD,2007-05-30,18.22,2.39262,4.49628,0.0119,0.0629,18.13,18.99,18.69,19.27,2
MCD,2007-05-31,18.59,2.30148,4.49347,0.084,0.1018,17.55,18.72,18.87,19.31,2
MCD,2007-06-01,17.56,2.29658,4.45525,0.0699,0.0839,16.98,17.8,18.31,18.61,2
MCD,2007-06-04,18.38,2.50548,4.59316,0.0017,0.0892,17.19,17.66,18.86,18.89,2
MCD,2007-06-05,19.15,2.40733,4.51606,0.1036,0.0799,17.39,18.46,19.41,19.55,2
MCD,2007-06-06,19.19,1.5775,4.31868,0.1595,0.0797,17.45,19.9,19.56,19.86,2
MCD,2007-06-07,20.02,2.30936,4.28155,0.1165,0.0791,17.38,20.86,20.38,20.37,2
MCD,2007-06-08,19.27,1.89478,4.34119,0.0349,0.0813,17.88,19.3,19.66,19.44,1.9
MCD,2007-06-11,19.11,2.1911,4.36178,0.0017,0.102,18.84,20.08,19.56,19.83,2
MCD,2007-06-12,19.91,2.85866,4.0922,0.0018,0.0883,18.16,20.02,20.1,20.19,1.9
MCD,2007-06-13,18.86,3.01735,4.34762,0.117,0.1113,18.38,18.8,19.22,19.68,1.9
MCD,2007-06-14,18.63,1.91736,4.03438,0.0205,0.0944,18.11,18.48,19.02,19.59,1.9
