tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,MCHP,29.35,30.13,31.4
2024-06-04,MCHP,29.86,30.44,31.34
2024-06-05,MCHP,29.22,29.67,30.82
2024-06-06,MCHP,28.21,29.51,30.88
2024-06-07,MCHP,27.28,29.95,31.44
2024-06-10,MCHP,28.24,30.41,31.06
2024-06-11,MCHP,28.39,30.5,31.35
2024-06-12,MCHP,27.06,30.04,30.86
2024-06-13,MCHP,27.23,30.56,31.1
2024-06-14,MCHP,26.77,31.55,31.77
2024-06-17,MCHP,27.98,31.68,31.88
2024-06-18,MCHP,28.31,32.36,31.96
2024-06-20,MCHP,30.46,33.42,32.91
2024-06-21,MCHP,29.42,32.77,32.1
2024-06-24,MCHP,30.11,32.97,32.5
2024-06-25,MCHP,30.04,32.8,32.48
2024-06-26,MCHP,29.79,32.42,31.95
2024-06-27,MCHP,29.89,32.59,32.06
2024-06-28,MCHP,30.06,32.57,32.16
2024-07-01,MCHP,31.52,33.31,32.86
2024-07-02,MCHP,30.9,33.18,32.55
2024-07-03,MCHP,31.44,32.91,32.3
2024-07-05,MCHP,31.76,33.09,32.41
2024-07-08,MCHP,32.9,33.42,32.76
2024-07-09,MCHP,33.27,33.38,32.48
2024-07-10,MCHP,34.07,34.11,33.32
2024-07-11,MCHP,33.91,33.63,32.67
2024-07-12,MCHP,33.83,33.47,32.43
2024-07-15,MCHP,35.36,33.02,32.5
2024-07-16,MCHP,34.7,32.79,32.08
2024-07-17,MCHP,37,34.79,34.1
2024-07-18,MCHP,38.15,34.74,34.04
2024-07-19,MCHP,40.73,37.31,35.53
2024-07-22,MCHP,39.97,36.27,34.09
2024-07-23,MCHP,39.52,35.77,35.03
2024-07-24,MCHP,41.16,37.59,35.79
2024-07-25,MCHP,41.39,37.67,36.65
2024-07-26,MCHP,42.16,38.36,36.99
2024-07-29,MCHP,42.33,38.48,37.47
2024-07-30,MCHP,45.45,40.74,39.69
2024-07-31,MCHP,43.47,38.87,37.7
2024-08-01,MCHP,49.06,43.52,42.27
2024-08-02,MCHP,48.1,43.34,42.29
2024-08-05,MCHP,53.81,48.14,47.22
2024-08-06,MCHP,42.94,41.08,41.36
2024-08-07,MCHP,46.34,42.66,42.27
2024-08-08,MCHP,41.48,39.44,40.77
2024-08-09,MCHP,38.83,38.28,39.75
2024-08-12,MCHP,39.86,37.81,39.46
2024-08-13,MCHP,36.95,36.7,37.6
2024-08-14,MCHP,35.73,35.5,38.36
2024-08-15,MCHP,33.35,33.66,36.66
2024-08-16,MCHP,34.07,34.23,37.69
2024-08-19,MCHP,34.13,34,36.76
2024-08-20,MCHP,35.64,35.36,37.92
2024-08-21,MCHP,35.56,35.99,38.4
2024-08-22,MCHP,37.61,37.81,39.44
2024-08-23,MCHP,36.14,36.05,38.26
2024-08-26,MCHP,37.74,38.25,39.51
2024-08-27,MCHP,38.15,37.89,38.94
2024-08-28,MCHP,38.45,38.33,39.93
2024-08-29,MCHP,38.37,37.58,38.4
2024-08-30,MCHP,37.34,37.29,38.49
2024-09-03,MCHP,41.5,40.79,41.11
2024-09-04,MCHP,43.3,41.92,41.64
2024-09-05,MCHP,43.53,42.13,41.97
2024-09-06,MCHP,43.32,42.83,42.65
2024-09-09,MCHP,42.12,42.69,42.02
2024-09-10,MCHP,42.53,43.25,42.34
2024-09-11,MCHP,39.24,40.77,40
2024-09-12,MCHP,37.91,40.98,40.42
2024-09-13,MCHP,37.21,39.6,39.39
2024-09-16,MCHP,38.45,41.16,39.85
2024-09-17,MCHP,38.73,40.86,39.86
2024-09-18,MCHP,36.91,39.57,39.57
2024-09-19,MCHP,36.05,38.73,37.88
2024-09-20,MCHP,36.43,39.37,38.12
2024-09-23,MCHP,35.38,38.72,37.56
2024-09-24,MCHP,35.04,38.36,37.01
2024-09-25,MCHP,36.59,39.55,38.13
2024-09-26,MCHP,38.65,40.71,38.64
2024-09-27,MCHP,39.53,41.37,39.03
2024-09-30,MCHP,40.14,41.52,39.82
2024-10-01,MCHP,40.81,41.44,39.34
2024-10-02,MCHP,41.61,42.36,40.19
2024-10-03,MCHP,42.13,42.6,40.9
2024-10-04,MCHP,39.85,41.3,39.6
2024-10-07,MCHP,43.91,43.01,40.66
2024-10-08,MCHP,43.15,42.19,39.88
2024-10-09,MCHP,42.22,41.62,39.74
2024-10-10,MCHP,41.21,40.45,38.65
2024-10-11,MCHP,41.91,40.7,38.3
2024-10-14,MCHP,42.87,40.2,37.55
2024-10-15,MCHP,46.2,42.44,39.3
