ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
META,2012-06-04,63.58,2.31124,2.53459,0.0226,0.0371,96.97,65.46,64.51,64.14,0
META,2012-06-05,64.68,1.70161,2.43552,0.0259,0.0257,84.55,66.41,65.75,64.44,0
META,2012-06-06,64.43,1.42104,2.40085,0.0223,0.0218,83.61,65.7,65.49,64.71,0
META,2012-06-07,61.57,1.37243,2.17331,0.0524,0.0447,80.86,62.11,63.02,62.64,0
META,2012-06-08,56.93,1.64451,2.38314,0.0261,0.0461,76.2,57.86,59.35,58.78,0
META,2012-06-11,60.22,2.07464,2.06195,0.0365,0.0447,73.48,60.63,60.17,59.3,0
META,2012-06-12,51.91,2.07946,1.96241,0.0471,0.0462,70.41,53.24,57.05,55.57,0
META,2012-06-13,56.17,2.7355,3.09526,0.0475,0.0588,67.21,57.11,60.24,60.1,0
META,2012-06-14,53.12,3.45085,3.53605,0.0624,0.0645,64.71,52.77,58.38,58.22,0
META,2012-06-15,49.43,3.71444,3.8696,0.0995,0.0696,63.34,49.13,57.54,56.77,0
META,2012-06-18,49.8,3.37571,4.33697,0.0951,0.0781,64.91,50.39,58.79,56.27,0
META,2012-06-19,47.24,3.45924,4.3487,0.075,0.0797,67.55,46.33,56.34,54.73,0
META,2012-06-20,45.98,3.48206,4.26438,0.0961,0.08,66.31,45.46,56.29,53.07,0
META,2012-06-21,46.77,2.94763,4.02309,0.0598,0.0673,64.39,46.82,55.99,52.77,0
META,2012-06-22,48.8,2.504,3.78693,0.0821,0.062,62.81,49.69,58.26,54.59,0
META,2012-06-25,49.53,2.15275,3.62881,0.0642,0.0589,62.32,51.37,59.16,55.12,0
META,2012-06-26,50.6,2.28269,3.74347,0.0565,0.0601,61.8,52.36,58.3,55.14,0
META,2012-06-27,47.42,2.90461,3.78796,0.0572,0.0593,60.87,49.43,56.97,53.62,0
META,2012-06-28,47.3,2.68745,3.71012,0.0487,0.0596,59.97,49.02,56.22,52.61,0
META,2012-06-29,45.88,3.15565,3.79684,0.0869,0.0621,56.02,47.75,53.67,50.3,0
META,2012-07-02,43.49,3.03093,3.86142,0.0312,0.0587,53.28,46.81,53.53,50.95,0
META,2012-07-03,41.53,3.04255,3.91234,0.0443,0.0657,52.7,45.27,51.64,48.08,0
META,2012-07-05,40.75,3.02062,3.94094,0.0723,0.064,49.79,45.84,50.48,47.66,0
META,2012-07-06,40.9,3.22507,3.91993,0.0363,0.0669,47.58,47.29,50.22,47.2,0
META,2012-07-09,41.79,3.67871,3.87895,0.0438,0.0613,46.67,49.23,50.5,47.55,0
META,2012-07-10,43.43,3.54089,3.86626,0.0288,0.0603,45.53,50.72,50.99,48.3,0
META,2012-07-11,45.71,3.29884,3.75293,0.0258,0.052,45.6,52.01,51.21,48.26,0
META,2012-07-12,46.3,3.43472,3.77919,0.0209,0.0497,45.71,52,51.07,48.56,0
META,2012-07-13,43.84,3.25494,3.73122,0.0205,0.0621,45.39,50.95,49.71,47.2,0
META,2012-07-16,48.32,2.69024,3.49302,0.0056,0.0487,44.28,60.87,53.58,50.28,0
META,2012-07-17,49.6,2.47949,3.34206,0.016,0.0454,47.28,64.36,55.52,51.7,0
META,2012-07-18,43.94,2.77642,3.46485,0.0433,0.0542,43.82,60.99,52.5,49.09,0
META,2012-07-19,49.46,2.70086,3.53159,0.0481,0.0519,44.02,61.86,53.44,50.31,0
