ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MMM,2007-01-03,15.44,2.43791,2.24806,0.0003,0.0358,15.18,17.54,18.69,18.2,2.5
MMM,2007-01-04,15.48,2.05875,2.35224,0.0003,0.034,13.54,17.49,19.05,18.46,2.5
MMM,2007-01-05,15.51,2.13541,2.24472,0.0011,0.0596,13.17,18.54,19.19,18.56,2.6
MMM,2007-01-08,15.88,2.79293,2.23271,0.0009,0.0559,12.93,18.37,19.12,18.34,2.6
MMM,2007-01-09,15.39,2.5414,2.2273,0.0002,0.0363,12.86,18.78,19.03,18.18,2.6
MMM,2007-01-10,15.83,2.1865,2.38058,0.0013,0.0513,12.85,19.05,18.85,18.26,2.6
MMM,2007-01-11,15.37,2.74849,2.357,0.0009,0.0445,12.27,18.12,18.34,17.79,2.5
MMM,2007-01-12,13.68,3.31416,2.22012,0.0015,0.049,12.46,17.7,17.8,17.19,2.5
MMM,2007-01-16,15.96,0.272438,2.22548,0.0048,0.0594,12.68,18.62,18,17.49,2.5
MMM,2007-01-17,16.04,2.68036,2.1555,0.0012,0.045,12.67,19.27,18.35,17.61,2.5
MMM,2007-01-18,16.4,2.62594,2.11841,0.0014,0.0499,12.63,19.1,18.19,17.49,2.5
MMM,2007-01-19,15.02,0.281071,2.08532,0.0054,0.0504,12.28,17.67,17.1,16.66,2.5
MMM,2007-01-22,12.84,2.3554,2.12574,0.0012,0.064,12.48,17.48,16.31,15.76,2.5
MMM,2007-01-23,15.1,2.06019,2.31324,0.002,0.0461,12.86,17.19,16.66,16,2.5
MMM,2007-01-24,13.26,1.64404,2.20894,0.001,0.0607,12.63,16.43,15.61,14.84,2.5
MMM,2007-01-25,12.61,2.09179,2.21414,0.0024,0.0493,12.84,16.74,15.57,15.65,2.5
MMM,2007-01-26,12.34,1.4899,2.08704,0.0008,0.0614,12.95,17.33,15.91,15.92,2.5
MMM,2007-01-29,13.16,2.06687,2.26987,0.0006,0.0325,13,18.97,16.75,16.24,2.5
MMM,2007-01-30,13.21,0.0840314,1.36561,0.0033,0.0517,13.14,15.35,15.6,16.11,2.7
MMM,2007-01-31,15.09,0.0815619,1.24738,0.0001,0.0296,18.34,15.46,15.54,16.07,2.7
MMM,2007-02-01,15.07,1.64519,1.1459,0.0002,0.0521,18.84,15.24,15.46,15.9,2.7
MMM,2007-02-02,14.77,1.42116,1.11096,0.0001,0.0338,18.69,14.49,15.39,16,2.7
MMM,2007-02-05,14.94,0.100326,1.17359,0.0001,0.0295,18.51,14.93,15.72,16.37,2.7
MMM,2007-02-06,14.81,0.10312,1.17029,0.0021,0.0482,18.37,14.64,15.58,16.15,2.7
MMM,2007-02-07,15.35,0.0993529,1.1091,0.0041,0.04,18.26,14.8,16.05,16.57,2.7
MMM,2007-02-08,15.43,0.105816,1.1134,0.0007,0.0294,18.27,14.82,16.21,16.75,2.7
MMM,2007-02-09,15.6,0.0906459,1.01602,0.0036,0.0356,18.23,14.86,16.24,20.23,2.7
MMM,2007-02-12,16.55,0.0770067,1.07631,0.0012,0.0371,17.95,15.11,16.66,21.37,2.7
MMM,2007-02-13,14.96,0.128794,1.22,0.0005,0.0426,17.57,15.02,15.95,20.59,2.6
MMM,2007-02-14,15.25,0.288354,1.21749,0.0005,0.0531,18.5,15.2,16.06,18.77,2.6
MMM,2007-02-15,15.18,-0.117715,1.30902,0.0005,0.048,18.42,15.5,16.08,15.97,2.6
MMM,2007-02-16,15.94,0.235954,1.29307,0.0005,0.0495,18.31,15.19,16.08,22.98,2.6
MMM,2007-02-20,14.72,0.518461,1.30344,0.0002,0.0418,18.27,15.23,15.74,15.92,2.6
MMM,2007-02-21,14.63,1.03245,1.85851,0.0001,0.0182,18.04,14.54,15.45,15.68,2.6
MMM,2007-02-22,14.3,1.39468,1.78542,0.0002,0.0327,17.98,14.84,15.09,15.48,2.6
MMM,2007-02-23,14.29,0.849258,1.75301,0.0001,0.022,17.85,14.53,15.24,15.45,2.6
MMM,2007-02-26,14.79,0.98834,1.8829,0,0.0092,17.72,15.07,14.07,9.98,2.6
MMM,2007-02-27,16.39,0.335005,1.27442,0.0001,0.022,17.82,17.47,15.96,13.31,2.6
MMM,2007-02-28,16.83,1.72244,1.55442,0.0001,0.0222,19.71,17.51,17.57,17.69,2.6
MMM,2007-03-01,16.87,2.73442,1.786,0.0001,0.0326,15.42,17.15,17.44,17.24,2.7
MMM,2007-03-02,15.9,1.02384,1.52928,0.0002,0.0194,15.01,17.46,17.47,17.59,2.7
MMM,2007-03-05,18.42,3.00237,1.75552,0.0001,0.023,14.93,18.66,18.67,18.23,2.7
MMM,2007-03-06,17.09,3.1907,1.89221,0.0002,0.0428,15.11,17.36,17.37,17.19,2.7
MMM,2007-03-07,16.92,2.39937,1.70305,0.0002,0.0438,15.18,16.96,17.17,17.1,2.7
MMM,2007-03-08,14.69,0.0363314,1.83624,0.0008,0.0425,15.34,16.36,16.66,16.72,2.6
MMM,2007-03-09,14.4,0.0392419,2.03504,0.0005,0.0285,15.66,15.75,16.39,16.51,2.6
MMM,2007-03-12,14.31,0.0344973,1.84859,0.0007,0.039,15.66,16.84,16.68,16.71,2.6
MMM,2007-03-13,15.33,0.0339188,1.85108,0.0009,0.0526,15.69,17.34,17.31,17.27,2.6
MMM,2007-03-14,16.92,0.985123,1.89618,0.0002,0.0395,15.85,16.98,17.26,17.57,2.6
MMM,2007-03-15,16.72,0.893088,1.77913,0.0003,0.0464,15.45,17.02,17.23,17.45,2.6
MMM,2007-03-16,16.14,0.0328502,1.88705,0.0005,0.0285,15.4,17.42,17.63,17.84,2.6
MMM,2007-03-19,16.02,2.16885,1.92949,0.0002,0.0377,15.69,16.35,17.93,17.68,2.6
MMM,2007-03-20,14.72,1.87852,2.08385,0.0002,0.0433,15.96,14.64,17.4,17.3,2.6
MMM,2007-03-21,13.58,2.13535,1.94772,0.0002,0.0483,15.83,14,16.97,16.85,2.5
MMM,2007-03-22,13.01,2.97969,2.22557,0.0002,0.0451,16.03,13.59,16.64,16.52,2.5
MMM,2007-03-23,12.91,2.32938,2.25137,0.0002,0.043,16.39,12.86,16.49,16.25,2.5
MMM,2007-03-26,13.86,2.70403,2.05653,0.0001,0.0309,16.44,14.25,16.72,16.66,2.5
MMM,2007-03-27,13.32,2.53588,2.1969,0.0002,0.0302,16.31,13.88,17.01,16.69,2.5
MMM,2007-03-28,13.53,2.16732,2.08039,0.0004,0.0426,13.83,15.03,17.31,16.82,2.6
MMM,2007-03-29,12.98,2.611,2.19014,0.0006,0.0401,13.58,15.01,16.78,16.53,2.6
MMM,2007-03-30,13.68,2.90505,2.23592,0.0007,0.0471,13.5,15.62,17.42,16.9,2.6
MMM,2007-04-02,13.79,2.42036,2.56632,0.0003,0.0255,13.75,16.59,17.54,16.83,2.6
