tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,MNST,34.08,28.61,26.01
2024-06-04,MNST,30.74,25.47,24.75
2024-06-05,MNST,32.05,27.03,26.87
2024-06-06,MNST,20.66,20.52,21.39
2024-06-07,MNST,20.27,20.33,21.12
2024-06-10,MNST,20.89,21.36,22.15
2024-06-11,MNST,20.09,20.96,22.27
2024-06-12,MNST,20.7,21.27,22.12
2024-06-13,MNST,21.64,22.51,23.51
2024-06-14,MNST,22.29,24.02,24.09
2024-06-17,MNST,22.61,24.58,24.58
2024-06-18,MNST,22.43,25.77,24.38
2024-06-20,MNST,21.86,23.81,24.86
2024-06-21,MNST,20.74,23.63,23.11
2024-06-24,MNST,19.84,23.07,23.05
2024-06-25,MNST,20.57,23.32,22.99
2024-06-26,MNST,20.78,23.52,22.84
2024-06-27,MNST,18.82,23.27,23.03
2024-06-28,MNST,19.45,23.36,22.45
2024-07-01,MNST,22.55,23.94,23.3
2024-07-02,MNST,23.6,24.25,23.95
2024-07-03,MNST,23.12,24.9,23.36
2024-07-05,MNST,26.29,24.62,23.85
2024-07-08,MNST,26.11,24.27,23.68
2024-07-09,MNST,27.23,24.13,23.23
2024-07-10,MNST,25.53,24.02,23.15
2024-07-11,MNST,28.06,24.29,23.44
2024-07-12,MNST,27.11,24.53,23.97
2024-07-15,MNST,27.75,24.82,24.17
2024-07-16,MNST,27.99,23.77,23.6
2024-07-17,MNST,30.11,26.01,24.89
2024-07-18,MNST,29.17,25.54,24.86
2024-07-19,MNST,29.82,26.16,25.04
2024-07-22,MNST,28.8,25.04,24.74
2024-07-23,MNST,29.93,23.83,24.09
2024-07-24,MNST,28.1,25.62,25.47
2024-07-25,MNST,27.66,25.49,25.53
2024-07-26,MNST,27.56,25.84,25.69
2024-07-29,MNST,28.27,26.06,25.94
2024-07-30,MNST,34.25,28.06,27.62
2024-07-31,MNST,35.16,27.86,27.06
2024-08-01,MNST,32.15,28.4,27.65
2024-08-02,MNST,36.4,31.44,30.08
2024-08-05,MNST,37.52,33.6,32.2
2024-08-06,MNST,39.24,31.7,30.84
2024-08-07,MNST,37.67,32.82,31.58
2024-08-08,MNST,26.9,25.94,26.41
2024-08-09,MNST,24.46,23.61,24.74
2024-08-12,MNST,22.27,21.99,23.25
2024-08-13,MNST,20.95,20.23,21.96
2024-08-14,MNST,20.05,20.75,22.22
2024-08-15,MNST,18.72,20.2,21.64
2024-08-16,MNST,19.12,19.87,21.78
2024-08-19,MNST,19.2,19.61,21.6
2024-08-20,MNST,19.56,19.72,22
2024-08-21,MNST,19.9,20.35,21.86
2024-08-22,MNST,20.78,21.1,22.85
2024-08-23,MNST,19.16,20.49,22.32
