ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MPC,2011-07-08,28.32,2.5715,2.3432,0.0175,0.0124,32.2,0,10.26,25.3,0
MPC,2011-07-11,23.14,1.86748,1.89608,0.0974,0.0989,38.41,0,12.63,28.09,0
MPC,2011-07-12,32.46,3.22856,3.21048,0.0173,0.0121,39.66,0,12.93,27.93,0
MPC,2011-07-13,36.15,-0.390537,2.31108,0.0015,0.0399,39.3,36.98,36.07,35.06,0
MPC,2011-07-14,19.34,2.73629,2.02844,0.0007,0.1473,41.06,0,14.79,30.26,0
MPC,2011-07-15,20.32,2.49679,3.32526,0,0,43.23,0,15.1,30.16,0
MPC,2011-07-18,33.8,3.15695,3.19173,0.0178,0.0942,42.4,0,35.21,35.15,0
MPC,2011-07-19,35.17,1.47083,3.98204,0.0243,0.062,42.74,35.59,34.72,34.65,0
MPC,2011-07-20,30.53,2.02883,4.01126,0.0239,0.0304,41.28,0,34.42,34.06,0
MPC,2011-07-21,31.18,4.14395,4.78348,0.0802,0.0451,39.59,0,2.17,31.22,0
MPC,2011-07-22,31.64,3.98978,3.90406,0.037,0.023,38.9,0,3.3,32.54,0
MPC,2011-07-25,33.15,2.62974,3.91406,0.0069,0.0974,37.98,5.54,33.1,33.66,0
MPC,2011-07-26,29.95,4.56378,4.07181,0.0018,0.0969,38.02,0,7.2,32.43,0
MPC,2011-07-27,34.57,1.85857,3.58183,0.0001,0.0752,40.58,8.57,34.29,34.32,0
MPC,2011-07-28,36.37,3.06381,3.22747,0.0022,0.0301,40.37,10.33,35.22,32.53,0
MPC,2011-07-29,37.06,3.29467,3.27721,0.0061,0.0205,39.57,12.58,37.58,36.45,0
MPC,2011-08-01,37.56,1.2452,3.15801,0.0385,0.1375,41.16,39.97,36.93,36.58,0
MPC,2011-08-02,37.22,2.00122,4.37214,0.0109,0.0912,41.05,38.51,36.86,36.77,0
MPC,2011-08-03,37.95,1.9789,2.72597,0.0058,0.104,43.99,38.13,38.01,38.18,0
MPC,2011-08-04,46.55,1.85621,2.44259,0.0036,0.0323,54.36,47.87,44.56,43.18,0
MPC,2011-08-05,49.83,2.02566,2.87241,0.0118,0.0141,59.29,51.4,47.75,46.01,0
MPC,2011-08-08,61.11,1.74448,2.35761,0.0252,0.0352,67.77,69.53,59.11,54.85,0
MPC,2011-08-09,55.45,1.54012,2.1385,0.2,0.0889,85.12,62.42,52.96,49.86,0
MPC,2011-08-10,56.68,4.38328,3.52588,0.0227,0.1658,91.32,63.24,54.36,50.87,0
MPC,2011-08-11,55,3.02,3.26268,0.0084,0.0132,92.31,59.07,54.07,51.71,0
MPC,2011-08-12,50.3,2.62394,3.57924,0.0269,0.1583,94.22,52.44,48.48,46.55,0
MPC,2011-08-15,46.88,4.02274,3.79368,0.0059,0.2043,94.7,48.85,45.91,44.81,0
MPC,2011-08-16,46.55,4.14912,3.57604,0.0162,0.0551,95.23,46.7,45.18,44.03,0
MPC,2011-08-17,44.6,3.86577,4.10935,0.0277,0.2203,95.36,45.61,43.67,43.18,0
MPC,2011-08-18,53.28,2.43961,2.9673,0.0043,0.0386,95.52,57.72,50.39,48.99,0
MPC,2011-08-19,58.37,3.80926,2.59847,0.1003,0.115,97.95,61.16,56.01,54.13,0
MPC,2011-08-22,61.58,3.66059,4.57646,0.0134,0.0371,99.03,65.17,57.24,55.11,0
MPC,2011-08-23,56.12,4.00319,4.01527,0.0779,0.0934,102.39,57.04,52.28,51.06,0
MPC,2011-08-24,51.68,3.10807,3.92767,0.0527,0.0374,103.26,53.01,49.14,48,0
MPC,2011-08-25,54.2,4.44865,4.19952,0.1017,0.0162,104.35,57.87,51.89,50.56,0
MPC,2011-08-26,55.82,3.72382,4.07188,0.051,0.1128,106.12,56.92,54.07,51.8,0
MPC,2011-08-29,53.73,3.05496,4.77073,0.0387,0.0277,106.48,54.92,51.6,49.73,0
MPC,2011-08-30,50.73,2.9313,4.25485,0.0611,0.0174,106.63,51.57,50.02,48.44,0
MPC,2011-08-31,48.51,3.27855,3.37817,0.0003,0.1612,105.51,47.74,47.59,47.03,0
MPC,2011-09-01,48.59,3.36178,3.78475,0,0,100.67,47.78,47.97,47.01,0
MPC,2011-09-02,50.96,3.07838,5.44771,0.0944,0.0335,97.82,51.04,49.67,49.61,0
MPC,2011-09-06,55.49,3.38333,4.30826,0.094,0.1697,92.65,58.01,54.01,51.87,0
MPC,2011-09-07,51.23,3.2517,2.71139,0.0699,0.0871,77.56,53.24,50.38,48.96,0
MPC,2011-09-08,49.93,3.56424,4.07164,0.0001,0.056,70.77,50.92,49.51,48.88,0
MPC,2011-09-09,55.2,3.057,3.4868,0.1552,0.0182,70.7,57.14,53.93,51.64,0
MPC,2011-09-12,54.12,2.4017,3.28621,0.0001,0.085,68.34,57.2,52.98,50.97,0
MPC,2011-09-13,52.44,3.66891,3.91802,0.1117,0.1028,68.27,53.19,52.22,51.09,0
MPC,2011-09-14,50.62,3.72031,2.09924,0.0519,0.2449,68.48,51.25,50.6,49.88,0
MPC,2011-09-15,49.11,4.01148,4.18844,0.0644,0.0806,68.3,49.17,49.45,49.75,0
MPC,2011-09-16,50.84,4.31154,3.60307,0.0961,0.0779,68.81,51.74,50.97,50.21,0
MPC,2011-09-19,43.36,5.07835,3.85839,0.031,0.1096,65.16,49.23,51.98,50.17,0
MPC,2011-09-20,41.39,4.10748,3.87528,0.0514,0.0574,64.67,47.71,48.51,47.96,0
MPC,2011-09-21,43.56,3.84953,3.55657,0.0002,0.0562,58.75,50.71,51.9,50.22,0
MPC,2011-09-22,59.83,4.28445,3.56922,0.0233,0.0544,57.47,60.28,58.91,57.35,0
MPC,2011-09-23,62.43,4.06222,3.74804,0.0442,0.0702,61.2,59.84,59.94,58.26,0
MPC,2011-09-26,52.13,2.48268,4.14216,0.0983,0.1249,58.55,60.33,58.48,56.5,0
MPC,2011-09-27,50.1,2.21718,3.60682,0.0265,0.0869,56.66,57.15,56.77,55.29,0
MPC,2011-09-28,50.02,3.25606,3.56528,0.0277,0.07,57.64,60.17,59.61,57.25,0
MPC,2011-09-29,63.84,2.8283,3.18711,0.021,0.0484,58.45,62.44,61.37,59.19,0
MPC,2011-09-30,66.13,2.94218,3.32577,0.0705,0.0952,64.27,67.37,63.73,60.89,0
MPC,2011-10-03,66.54,2.72379,3.18309,0.0332,0.0737,64.7,67.95,67.21,63.42,0
MPC,2011-10-04,64.28,2.83799,3.00347,0.0028,0.1267,63.75,63.48,62.05,60.83,0
MPC,2011-10-05,61.82,2.71245,3.79896,0.002,0.0812,65.63,60.95,59.63,57.9,0
MPC,2011-10-06,59.88,3.28273,3.80521,0.0372,0.0801,71.06,58.06,57.62,55.86,0
MPC,2011-10-07,63.78,2.72056,3.5174,0.0015,0.0905,71.56,59.82,60.97,60.67,0
MPC,2011-10-10,57.18,3.82142,3.59511,0.0027,0.0655,73.39,58.01,56.12,53.84,0
MPC,2011-10-11,57.9,3.7515,3.5231,0.0022,0.0834,73.53,56.7,56.22,54.82,2.4
MPC,2011-10-12,56.22,3.31355,3.64794,0.0016,0.0574,72.33,54.32,54.37,53.17,2.4
MPC,2011-10-13,54.94,3.16799,3.59187,0.0033,0.0898,72.37,53.18,53.23,52.4,2.4
MPC,2011-10-14,53.56,3.17848,3.59917,0.0022,0.0789,71.94,51.19,51.52,50.58,2.2
MPC,2011-10-17,46.09,3.47202,2.99224,0.0611,0.0919,74.04,58.05,55.53,53.46,2.3
MPC,2011-10-18,56.15,3.15177,3.44251,0.0031,0.0428,73.83,55.42,54.03,52.87,2.2
MPC,2011-10-19,47.81,3.67297,2.80351,0.034,0.1053,75.43,54.4,53.7,53.13,2.2
MPC,2011-10-20,46.05,3.68521,3.07157,0.0048,0.0729,74.42,53.57,52.58,51.82,2.2
MPC,2011-10-21,44.22,3.11249,3.23868,0.0038,0.093,69.97,52.93,51.43,50.28,2.1
MPC,2011-10-24,50.62,3.29924,2.94224,0.0594,0.1096,69.89,52.17,51.11,49.66,2.2
MPC,2011-10-25,58.14,2.98629,3.32442,0.0177,0.0833,72.05,62.21,57.11,54.34,2.4
MPC,2011-10-26,53.72,2.97558,3.74899,0.0651,0.0459,75.68,57.07,53.22,50.91,2.7
MPC,2011-10-27,50.75,3.17686,3.43364,0.0481,0.0553,76.02,51.68,49.54,48.1,2.5
MPC,2011-10-28,48.07,3.43355,4.02494,0.0671,0.0346,73.77,50.12,48.06,47.02,2.5
MPC,2011-10-31,50.81,3.04425,3.36631,0.0266,0.0882,73.44,54.47,51.02,49.3,2.6
MPC,2011-11-01,53.23,3.25895,3.507,0.0511,0.0676,73.9,56,52.51,50.69,2.6
MPC,2011-11-02,50.93,3.89737,3.89145,0.0349,0.0392,74.5,52.02,49.93,48.72,2.4
MPC,2011-11-03,50.3,3.98275,4.22244,0.0384,0.0209,70.14,50.93,49.42,47.95,2.4
MPC,2011-11-04,48.96,3.43681,4.45255,0.0422,0.0461,67.99,49.29,48.27,47.48,2.4
MPC,2011-11-07,49.25,3.51221,4.42471,0.0426,0.0632,65.02,49.67,48.52,47.75,2.4
MPC,2011-11-08,48.4,3.72404,3.55936,0.0438,0.0697,63.98,49.4,47.45,46.86,2.4
MPC,2011-11-09,52.08,3.89399,4.41889,0.0941,0.0494,64.37,53.77,50.98,49.98,2.5
MPC,2011-11-10,50.29,3.40052,4.33808,0.0387,0.0455,65.86,50.65,49.49,48.89,2.4
MPC,2011-11-11,51.22,3.63513,3.99428,0.0373,0.1002,66.51,50.92,49.93,49.16,2.1
MPC,2011-11-14,53.57,3.52478,4.05842,0.0022,0.0416,64.52,56.64,51.88,50.55,2.2
MPC,2011-11-15,52.27,3.19163,4.50867,0.0618,0.0995,64.9,53.65,50.84,49.7,2.2
MPC,2011-11-16,57.15,2.74109,3.45108,0.0832,0.018,63.19,59.29,55.25,53.86,2.5
MPC,2011-11-17,58.46,2.84421,3.45968,0.0442,0.0431,70.2,59.41,57.01,55.69,2.5
MPC,2011-11-18,52.68,2.46624,4.05195,0.0036,0.0541,71.21,53.59,51.67,51.1,2.4
MPC,2011-11-21,54.28,3.23193,4.42243,0.0757,0.1019,71.71,55.49,52.98,52.46,2.4
MPC,2011-11-22,52.09,3.08911,4.1763,0.0216,0.0602,70.39,51.71,51.62,51.23,2.4
MPC,2011-11-23,53.78,2.85796,3.76243,0.0518,0.0594,65.5,54.94,52.4,52.11,2.4
MPC,2011-11-25,53.51,2.40105,4.08019,0.0385,0.0824,64.07,54.55,51.93,52.01,2.5
MPC,2011-11-28,52.42,3.13668,4.11044,0.0197,0.058,60.74,53.06,51.16,51.06,2.4
MPC,2011-11-29,49.93,3.20162,3.97027,0.0451,0.052,61.35,50.47,49.2,49.68,2.4
MPC,2011-11-30,49.06,3.29358,4.47139,0.0232,0.0482,60.31,48.29,48.8,49.07,2.4
MPC,2011-12-01,48.32,3.50242,4.52402,0.0403,0.0468,57.48,48.94,47.81,47.82,2.4
MPC,2011-12-02,47.74,2.4293,4.0261,0.0624,0.0749,55.54,48.69,47.24,47.57,2.4
MPC,2011-12-05,46.41,3.19601,3.85327,0.0608,0.1041,56.04,48.11,46.3,46.54,2.3
MPC,2011-12-06,46.42,3.23066,3.93428,0.0427,0.0554,56.88,47.07,46.21,45.96,2.3
MPC,2011-12-07,45.02,2.97453,4.09009,0.0704,0.083,56.86,46.36,44.9,45.01,2.3
MPC,2011-12-08,45.9,2.98054,3.83078,0.0769,0.0906,56.1,47.05,46.08,46.41,2.4
MPC,2011-12-09,43.78,3.45448,3.9086,0.0845,0.0477,54.52,43.56,43.99,44.22,2.3
MPC,2011-12-12,43.4,2.98941,3.81801,0.0404,0.0457,53.98,45.74,43.87,44.31,2.3
MPC,2011-12-13,45.68,3.55874,3.4663,0.0402,0.0697,53.5,45.78,45.57,45.32,2.4
MPC,2011-12-14,47.26,3.55954,3.6342,0.0788,0.0472,52.56,47.67,47.58,47.48,2.4
MPC,2011-12-15,46.05,3.4328,3.53522,0.0443,0.0481,54.08,46.03,46.09,46.15,2.5
MPC,2011-12-16,43.41,3.00052,3.53069,0.0625,0.0484,43.88,43.27,44.12,44.97,2.5
MPC,2011-12-19,43.31,3.07979,3.5533,0.0754,0.0689,42.37,43.56,47.55,46.24,2.5
MPC,2011-12-20,41.26,3.30174,3.51706,0.0459,0.0466,41.31,40.97,45.86,45.02,2.5
MPC,2011-12-21,38.73,3.41618,3.54908,0.0227,0.0507,39.91,38.09,44.13,43.46,2.4
MPC,2011-12-22,37.09,3.5505,3.84923,0.0775,0.0812,39.26,36.18,42.84,42.48,2.4
MPC,2011-12-23,35.85,3.7767,3.89,0.1229,0.0808,39.04,35,40.65,40.82,2.4
MPC,2011-12-27,36.88,2.82486,3.8985,0.0324,0.078,38.81,37.15,40.48,40.53,2.4
MPC,2011-12-28,37.93,3.16256,3.82802,0.0678,0.0802,37.2,38.07,41.97,41.64,2.4
MPC,2011-12-29,36.92,2.98915,3.7559,0.0005,0.0861,37.62,37.05,41.12,41.06,2.4
MPC,2011-12-30,35.99,3.01795,4.00498,0.0222,0.014,35.34,37.33,40.92,40.23,2.4
MPC,2012-01-03,31.67,3.29114,4.31428,0.013,0.0816,34.77,38.28,40.26,39.23,2.4
MPC,2012-01-04,30.17,3.29155,4.10381,0.0485,0.0568,34.43,36.69,38.62,37.76,2.4
MPC,2012-01-05,35.35,3.55903,3.81124,0.0504,0.042,32.66,40.26,41.89,40.71,2.5
MPC,2012-01-06,32.6,2.90777,3.65127,0.0347,0.0434,37.21,38.79,40.36,39.12,2.5
MPC,2012-01-09,33.32,3.5318,3.54122,0.083,0.0582,37.41,39.85,40.64,39.16,2.6
MPC,2012-01-10,31.29,3.27362,3.54698,0.0023,0.0756,38.32,37.47,38.5,37.46,2.5
MPC,2012-01-11,30.09,3.15523,4.03242,0.0775,0.0733,38.29,36.29,37.23,36.47,2.4
MPC,2012-01-12,33.22,2.45513,3.59637,0.023,0.053,40.89,37.15,38.08,37.66,2.5
MPC,2012-01-13,31.17,3.35004,3.62053,0.0015,0.063,40.08,35.87,36.81,36.47,2.4
MPC,2012-01-17,31.07,3.47493,3.76062,0.0208,0.0768,38.07,38.08,37.15,36.37,2.4
MPC,2012-01-18,29.61,3.29366,3.92823,0.1337,0.0431,38.25,36.19,35.37,34.71,2.3
MPC,2012-01-19,28.95,3.03309,3.94631,0.0541,0.0564,42,35.93,35.19,34.62,2.2
MPC,2012-01-20,31.9,2.86523,3.61093,0.0046,0.0844,41.87,41.61,38.79,36.63,2.2
MPC,2012-01-23,31.06,3.26181,4.27056,0.0239,0.0537,42.27,41.34,36.49,35.89,2.1
MPC,2012-01-24,30.58,3.19579,4.09039,0.0273,0.0455,42.35,36.53,34.06,34.29,2
MPC,2012-01-25,29.73,3.23721,4.42046,0.0083,0.0324,43.72,37.24,34.93,34.21,2.1
MPC,2012-01-26,30.18,2.59831,4.00514,0.0306,0.06,43.95,37.08,35.58,34.65,2.1
MPC,2012-01-27,30.53,2.53453,4.37066,0.0635,0.0604,45.28,37.12,35.45,34.91,2.1
MPC,2012-01-30,32.46,2.74958,3.85391,0.0423,0.0541,44.87,38.75,36.56,35.57,2.1
MPC,2012-01-31,32.7,2.79774,3.99982,0.0451,0.0314,44.95,36.04,34.73,34.86,2.1
MPC,2012-02-01,30.96,2.05167,3.47576,0.0313,0.0499,45.78,37.52,35.81,35.25,1.9
MPC,2012-02-02,35.24,2.00774,3.79113,0.0486,0.0459,50.79,35.85,35.02,35.06,1.9
MPC,2012-02-03,34.62,0.353237,3.77468,0.0808,0.0447,51.66,34.53,34.42,34.21,1.8
MPC,2012-02-06,34.78,1.40362,3.90261,0.0764,0.065,49.12,35.44,34.39,33.98,1.8
MPC,2012-02-07,35.13,1.11675,3.60484,0.027,0.0664,49.15,35.67,34.99,34.83,1.8
MPC,2012-02-08,33.37,1.18179,3.62708,0.0523,0.0389,48.7,33.7,33.82,34.08,1.8
MPC,2012-02-09,33.94,1.42643,3.8647,0.0112,0.0629,48.6,34.86,34.19,34.12,1.8
MPC,2012-02-10,35.64,1.31758,3.89825,0.0258,0.0565,46.7,35.58,35.5,35.39,1.8
MPC,2012-02-13,37.41,1.70195,4.02653,0.0643,0.0489,46.74,36.51,37.41,37.33,1.8
MPC,2012-02-14,37.19,1.61538,4.38028,0.0599,0.053,46.9,37,37.13,36.98,1.8
MPC,2012-02-15,38.18,0.574346,3.36464,0.0322,0.0406,47.15,37.95,38,38.15,1.8
MPC,2012-02-16,37.94,1.29133,3.77939,0.0745,0.0414,43.3,36.78,37.94,38.34,1.8
MPC,2012-02-17,35.89,1.48831,3.7181,0.1049,0.0662,43.09,35.45,36.29,36.54,1.8
MPC,2012-02-21,34.54,1.86459,3.97228,0.0307,0.0694,42.54,33.67,35.1,35.62,1.8
MPC,2012-02-22,34.23,2.1858,3.96723,0.0334,0.0669,42.18,32.38,34.88,35.51,1.8
MPC,2012-02-23,32.85,2.01297,4.05462,0.0474,0.0737,40.55,31.15,33.91,34.44,1.8
MPC,2012-02-24,32.1,1.89901,3.57014,0.0307,0.0566,40.53,30.78,33.43,34.21,1.9
MPC,2012-02-27,33.12,1.94543,3.86948,0.0533,0.0893,39.52,32.07,33.93,34.4,1.9
MPC,2012-02-28,32.77,2.1381,3.58558,0.0154,0.0726,39.54,31.69,33.63,33.93,1.9
MPC,2012-02-29,31.63,2.56437,3.76661,0.0475,0.1048,40.13,29.79,32.52,33.39,1.9
MPC,2012-03-01,31.53,1.52706,3.6887,0.0201,0.0526,39.38,30.6,32.44,32.99,1.9
MPC,2012-03-02,32.34,2.63178,3.96248,0.0219,0.0759,32.3,30.65,33.09,33.77,1.9
