ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MRK,2007-01-03,19.97,2.87982,3.49814,0.0135,0.1121,20.06,19.11,20.37,20.4,3.5
MRK,2007-01-04,20.56,1.60396,3.23095,0.0553,0.0959,20.26,20.04,20.78,20.87,3.4
MRK,2007-01-05,20.33,1.33572,3.54318,0.0816,0.1002,21.31,20.59,21.28,20.69,3.4
MRK,2007-01-08,21.42,1.89118,3.54147,0.0024,0.1003,21.15,22.23,22.24,21.51,3.4
MRK,2007-01-09,21.43,1.59471,3.46174,0.0024,0.1007,21.59,22.14,22.08,21.16,3.5
MRK,2007-01-10,21.48,1.7187,3.2391,0.0176,0.1127,20.94,22.07,21.63,20.9,3.4
MRK,2007-01-11,21.21,3.53514,3.16627,0.0027,0.1138,20.58,21.17,21.32,20.98,3.4
MRK,2007-01-12,20.33,2.21416,3.15181,0.0479,0.0928,20.21,20.43,20.73,20.26,3.4
MRK,2007-01-16,20.18,2.47828,3.03871,0.0617,0.0855,19.97,21.7,21,20.41,3.4
MRK,2007-01-17,20.4,2.51655,3.22347,0.0536,0.0899,19.64,20.76,20.45,20.2,3.4
MRK,2007-01-18,19.27,1.65219,3.17502,0.0042,0.1123,19.52,21.58,20.56,19.77,3.3
MRK,2007-01-19,18.58,1.23084,3.11683,0.0038,0.0979,19.95,20.44,19.86,19.42,3.3
MRK,2007-01-22,17.46,2.64062,3.31142,0.0016,0.1119,20.14,19.98,19.73,18.93,3.4
MRK,2007-01-23,18.69,2.84098,3.47107,0.0026,0.1008,20.26,19.61,19.3,19.53,3.3
MRK,2007-01-24,16.96,2.50363,3.46202,0.0017,0.1174,20.29,18.79,18.81,18.66,3.3
MRK,2007-01-25,16.35,2.89765,3.17047,0.0026,0.1136,20.47,18.86,19.36,19.12,3.3
MRK,2007-01-26,16.6,2.4668,3.28671,0.0659,0.1243,20.5,19.44,19.42,19.19,3.3
MRK,2007-01-29,17.2,2.44901,3.37615,0.0226,0.1008,20.88,19.32,19.45,19.44,3.3
MRK,2007-01-30,18.04,2.8996,3.38172,0.0073,0.103,21.02,17.11,18.54,19.06,3.4
MRK,2007-01-31,18.55,1.93679,3.38825,0.0146,0.0997,21.9,17.98,18.88,19.28,3.4
MRK,2007-02-01,17.74,2.73103,3.23152,0.0061,0.1034,21.99,17.32,18.25,18.74,3.4
MRK,2007-02-02,18.3,1.94469,3.11762,0.0181,0.0918,21.81,18.1,18.82,18.98,3.4
MRK,2007-02-05,18.04,2.67847,3.30294,0.004,0.1203,20.5,17.62,18.32,18.76,3.4
MRK,2007-02-06,17.86,3.21953,3.38971,0.001,0.1494,19.77,17.45,18.09,18.43,3.4
MRK,2007-02-07,18.01,4.22958,3.4158,0.0038,0.1452,18.84,18.06,18.28,18.49,3.4
MRK,2007-02-08,18.78,1.87195,3.61631,0.0071,0.0999,19.06,18.14,19.16,19.63,3.5
MRK,2007-02-09,18.73,2.43948,3.65379,0.0086,0.1271,19.28,18.02,18.96,19.32,3.5
MRK,2007-02-12,19.15,2.56005,3.42217,0.0078,0.1221,19.22,19.45,19.27,19.36,3.5
MRK,2007-02-13,18.52,2.69537,3.26903,0.0096,0.1022,18.88,17.52,18.73,18.98,3.5
MRK,2007-02-14,17.75,2.83129,3.65026,0.0003,0.1056,18.88,17.38,18.09,18.57,3.4
MRK,2007-02-15,17.91,2.39835,3.71596,0.0041,0.1074,18.79,17.25,18.18,18.55,3.5
MRK,2007-02-16,17.33,3.3178,3.58542,0.0003,0.0935,18.04,16.7,17.75,18.17,3.4
MRK,2007-02-20,16.88,1.22937,3.38104,0.0005,0.1292,18.26,17.69,17.12,17.87,3.4
MRK,2007-02-21,19.49,2.78819,3.45597,0.0004,0.1003,17.92,18.54,18.8,18.77,3.5
MRK,2007-02-22,18.31,1.89697,3.2951,0.0093,0.1173,18.01,18.74,18.1,18.33,3.5
MRK,2007-02-23,18.59,2.49594,3.32803,0.0282,0.1034,18.5,18.74,18.62,18.81,3.5
MRK,2007-02-26,18.87,1.89404,3.23001,0.0005,0.1335,18.24,19.51,18.84,18.94,3.4
MRK,2007-02-27,22.67,-1.32062,3.12195,0.0007,0.0797,19.87,23.5,20.96,20.34,3.5
MRK,2007-02-28,21.94,1.04015,2.96134,0.0326,0.0809,22.87,23.33,21.22,20.63,3.4
MRK,2007-03-01,22.64,1.36628,3.26565,0.045,0.0773,22.86,23.42,21.89,21.18,3.5
MRK,2007-03-02,24.75,2.41524,3.45795,0.0003,0.0939,23.17,25.14,23.78,22.5,3.4
