tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,MRO,21.01,21.43,22.44
2024-06-04,MRO,21.37,23.36,24.46
2024-06-05,MRO,19.94,21.12,22.25
2024-06-06,MRO,19.6,23.1,21.67
2024-06-07,MRO,19.69,22.26,21.22
2024-06-10,MRO,20.64,21.79,22.69
2024-06-11,MRO,18.6,22.47,23.67
2024-06-12,MRO,19.71,23.26,22.89
2024-06-13,MRO,20.71,23,22.74
2024-06-14,MRO,19.71,28.23,22.03
2024-06-17,MRO,20.05,22.49,24.46
2024-06-18,MRO,19.51,25.45,22.25
2024-06-20,MRO,19.93,23.07,24.21
2024-06-21,MRO,19.07,24.17,23.83
2024-06-24,MRO,18.71,20.69,23.07
2024-06-25,MRO,16.89,21.66,23.22
2024-06-26,MRO,17.67,22,22.77
2024-06-27,MRO,19.1,23.09,24.75
2024-06-28,MRO,20.81,24.88,24.75
2024-07-01,MRO,27.32,23.25,21.68
2024-07-02,MRO,22.8,22.25,27.56
2024-07-03,MRO,37.3,32.11,21.61
2024-07-05,MRO,34.74,23.85,21.98
2024-07-08,MRO,25.13,45.31,28.76
2024-07-09,MRO,28.55,24.95,24.86
2024-07-10,MRO,30.19,22.46,24.87
2024-07-11,MRO,41.58,36.88,19.84
2024-07-12,MRO,39.31,19.74,22.94
2024-07-15,MRO,24.8,29.09,21.32
2024-07-16,MRO,25.54,29.72,24.67
2024-07-17,MRO,30.09,28.52,23.28
2024-07-18,MRO,23.21,28.6,26.05
2024-07-19,MRO,28.33,29.02,25.99
2024-07-22,MRO,23.53,23.54,28.43
2024-07-23,MRO,22.45,23.52,34.06
2024-07-24,MRO,57.58,28.78,26.73
2024-07-25,MRO,39.73,39.9,27.55
2024-07-26,MRO,30.76,25.44,27.62
2024-07-29,MRO,54.81,26.51,30.49
2024-07-30,MRO,44.28,25.89,29.25
2024-07-31,MRO,44.4,27.27,29.77
2024-08-01,MRO,38.42,27.41,27.94
2024-08-02,MRO,26.46,26.32,29.53
2024-08-05,MRO,46.63,29.55,33.49
2024-08-06,MRO,23.75,32.34,29.45
2024-08-07,MRO,40.62,29.28,27
2024-08-08,MRO,38.7,26.43,25.1
2024-08-09,MRO,30.93,26.77,26.2
2024-08-12,MRO,22.86,24.6,23.69
2024-08-13,MRO,38.95,25.41,26.87
2024-08-14,MRO,22.66,24.97,26.88
2024-08-15,MRO,14.57,22.98,25.82
2024-08-16,MRO,25,23.22,22.87
2024-08-19,MRO,36.72,20.02,23.85
2024-08-20,MRO,21.4,24.76,22.88
2024-08-21,MRO,21.8,20.01,23.03
2024-08-22,MRO,20.69,21.91,25.85
2024-08-23,MRO,20.94,22.5,24.21
2024-08-26,MRO,20.83,22.18,24.36
2024-08-27,MRO,35.3,21.95,23.36
2024-08-28,MRO,18.65,21.77,25.27
2024-08-29,MRO,17.92,21.51,24.02
2024-08-30,MRO,15.78,19.96,20.12
2024-09-03,MRO,19.47,22.47,24.29
2024-09-04,MRO,19.35,25.4,27.48
2024-09-05,MRO,20.19,20.39,25.14
2024-09-06,MRO,20.97,20.59,27.45
2024-09-09,MRO,22.28,26.69,26.41
2024-09-10,MRO,24.51,23.8,27.1
2024-09-11,MRO,21.97,29.52,26.65
2024-09-12,MRO,15.73,22.91,25.54
2024-09-13,MRO,21.6,26.11,26.68
2024-09-16,MRO,21.27,27.17,28.71
2024-09-17,MRO,23.17,26.27,26.24
2024-09-18,MRO,21.7,26.07,26.54
2024-09-19,MRO,24.77,29.7,26.24
2024-09-20,MRO,16.29,28.68,25.91
2024-09-23,MRO,20.95,24.18,24.43
2024-09-24,MRO,13.99,27,23.61
2024-09-25,MRO,22.46,27.04,26.03
2024-09-26,MRO,36.37,27.41,27.85
2024-09-27,MRO,25.71,28.11,27.43
2024-09-30,MRO,28.12,29.39,29.91
2024-10-01,MRO,25.48,28.68,27.5
2024-10-02,MRO,25.08,26.83,25.84
2024-10-03,MRO,25.23,31.43,29.33
2024-10-04,MRO,30.43,31.3,31.94
2024-10-07,MRO,29.96,30.42,28.22
2024-10-08,MRO,33.41,30.66,29.49
2024-10-09,MRO,27.86,29.38,29.06
2024-10-10,MRO,30.88,32.3,28.43
2024-10-11,MRO,55.56,39.61,31.56
2024-10-14,MRO,35.81,31.28,29.97
2024-10-15,MRO,35.5,29.55,30.96
2024-10-16,MRO,32.6,29.22,28.73
2024-10-17,MRO,32.45,31.5,27.76
2024-10-18,MRO,30.42,30.54,28.76
2024-10-21,MRO,35.87,30.23,26.15
2024-10-22,MRO,30.53,29.03,28.27
2024-10-23,MRO,31.16,28.46,25.56
2024-10-24,MRO,29.32,28.83,29.99
2024-10-25,MRO,29.71,28.2,28
2024-10-28,MRO,30.12,29.13,26.48
2024-10-29,MRO,30.29,28.91,28.95
