ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
MU,2007-01-03,32.16,-0.161641,1.0961,0.0513,0.0396,26.65,29.95,32.64,34.53,0
MU,2007-01-04,32.76,0.587043,0.925943,0.1575,0.0231,26.64,29.99,33.27,34.85,0
MU,2007-01-05,33.08,0.603565,0.90071,0.1187,0.0094,27.01,29.63,33.6,34.81,0
MU,2007-01-08,33.41,1.723,1.06235,0.0453,0.0285,25.72,31.41,34,35.59,0
MU,2007-01-09,32.58,1.40153,0.882285,0.0197,0.0523,25.98,31.07,33.41,34.84,0
MU,2007-01-10,32.78,0.738389,1.31649,0.0937,0.0445,25.01,31.72,33.33,34.93,0
MU,2007-01-11,34.06,0.271455,1.32999,0.124,0.0718,26.77,34.07,34.84,35.47,0
MU,2007-01-12,32.08,0.497036,1.20038,0.0039,0.0592,26.12,31.2,32.92,33.95,0
MU,2007-01-16,31.53,0.272275,1.04722,0.1665,0.0619,26.59,30.89,32.8,34.39,0
MU,2007-01-17,32.71,0.157638,0.952145,0.0621,0.0306,27.17,33.46,34.08,34.57,0
MU,2007-01-18,31.71,0.133247,0.87839,0.0023,0.0162,27.45,33.07,33.8,34.36,0
MU,2007-01-19,32.17,-0.912666,1.11862,0.0001,0.0286,28.32,33.01,33.72,34.26,0
MU,2007-01-22,30.43,1.12852,1.58574,0.0681,0.021,28.24,31.26,30.59,33.14,0
MU,2007-01-23,30.28,0.0649098,1.07159,0.1537,0.0942,28.35,33.04,30.78,33.29,0
MU,2007-01-24,31.21,-0.0637929,1.24879,0.0218,0.0079,28.81,32.43,31.31,32.98,0
MU,2007-01-25,30.09,-0.0616146,1.20344,0.0774,0.0718,29.03,31.32,30.53,32.52,0
MU,2007-01-26,29.63,0.161147,0.917096,0.0141,0.0351,27.92,30.78,30.29,32.38,0
MU,2007-01-29,31.13,-0.306585,1.09679,0.019,0.0539,28.27,32.24,32.01,33.4,0
MU,2007-01-30,30.85,0.214578,1.32791,0.057,0.0535,28.48,30.3,31.73,32.86,0
MU,2007-01-31,30.64,-1.93628,0.735967,0.0731,0.0744,28.47,30.56,31.85,32.89,0
MU,2007-02-01,29.55,0.815287,1.20151,0.0859,0.0054,28.48,29.9,31.31,32.97,0
MU,2007-02-02,28.54,-0.509567,1.38208,0.0002,0.0533,28.07,28.05,30.57,32.4,0
MU,2007-02-05,28.54,-0.0562062,1.02045,0.0036,0.0257,28.52,28.02,31.03,32.63,0
MU,2007-02-06,28.54,-0.697694,0.942731,0.0099,0.0695,28.56,28.66,31.5,33.08,0
MU,2007-02-07,27.85,1.66651,1.31452,0.0226,0.0684,28.31,27.85,31.1,32.89,0
MU,2007-02-08,28.39,0.568123,0.667708,0.0051,0.0934,28.57,28.67,31.73,33.16,0
MU,2007-02-09,28.45,0.370135,0.676482,0.0042,0.0674,26.66,30.07,32.47,33.84,0
MU,2007-02-12,29.35,1.17584,0.863334,0.0079,0.0727,28.8,30.45,33.51,34.22,0
MU,2007-02-13,30.87,-0.205219,0.891744,0.0093,0.0611,28.25,30.99,33.43,33.83,0
MU,2007-02-14,30.09,0.811716,0.767208,0.0015,0.0686,27.48,30.07,32.95,33.56,0
MU,2007-02-15,28.84,-0.118924,0.980878,0.0003,0.04,28.7,28.5,32.65,33.22,0
MU,2007-02-16,28.57,-1.32979,1.00205,0.0099,0.0553,27.21,28.56,32.84,33.2,0
MU,2007-02-20,30.06,-0.528772,1.08527,0.0003,0.0735,27.29,28.76,32.26,32.57,0
MU,2007-02-21,25.66,-0.634145,1.07767,0.0277,0.0647,27.18,26.21,31.43,31.73,0
MU,2007-02-22,27.17,-0.0054057,1.22178,0.0238,0.0335,26.72,27.55,30.6,31.04,0
MU,2007-02-23,26.54,-0.914429,0.732859,0.1407,0.0406,26.25,27.27,30.87,31.11,0
MU,2007-02-26,27.91,-1.42571,0.810588,0.0954,0.0577,27.13,28.81,31.69,31.81,0
MU,2007-02-27,31.56,0.221476,0.335914,0.358,0.0773,26.99,33.37,34.96,34.19,0
MU,2007-02-28,30.94,1.75769,0.731374,0.0376,0.0183,28.47,31.74,33.68,33.77,0
MU,2007-03-01,31.03,0.984726,0.879284,0.0531,0.0448,28.53,32.9,34.52,34.1,0
MU,2007-03-02,34.29,-0.963431,0.5137,0.1142,0.0538,30.36,37.14,37.75,36.47,0
