ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
NEE,2010-06-29,25.86,4.23643,4.70679,0.0002,0.0606,13.88,10.45,25.48,24.87,0
NEE,2010-06-30,24.2,4.13741,4.86537,0.0002,0.0624,18.73,11.47,25.63,24.63,0
NEE,2010-07-01,25.7,5.23908,4.41665,0.0002,0.049,19.8,12.34,25.8,25.08,0
NEE,2010-07-02,25.89,4.73654,4.68762,0.0001,0.0395,18.5,13.35,25.73,24.68,0
NEE,2010-07-06,20.06,6.47742,4.54756,0.0002,0.0512,17.4,15.24,24.08,24.05,0
NEE,2010-07-07,17.17,0.241135,4.54977,0.0002,0.0516,17.75,14.01,21.52,22.1,0
NEE,2010-07-08,17.15,0.23878,4.52131,0.0002,0.0583,21.63,14.98,21.62,21.88,0
NEE,2010-07-09,17.47,3.30243,4.64478,0.0002,0.0598,20.54,15.49,21.58,21.77,0
NEE,2010-07-12,16.37,3.87068,4.46329,0.0051,0.0822,20.15,0,15.45,21.04,0
NEE,2010-07-13,19.04,3.59521,4.53331,0.0003,0.0812,19.86,19.42,20.14,20.73,0
NEE,2010-07-14,19.77,3.33223,4.4231,0.0002,0.0664,19.32,20.03,20.42,21.23,0
NEE,2010-07-15,18.32,4.58585,4.69063,0.0534,0.061,18.85,0,0,7.04,0
NEE,2010-07-16,16.19,4.38283,4.46146,0.0803,0.0872,19.63,0,0,7.41,0
NEE,2010-07-19,17.52,4.02905,4.69172,0.0068,0.1027,19.3,0,18.16,19.8,0
NEE,2010-07-20,17.76,4.65376,4.71239,0.0777,0.0904,18.92,0,0,8.12,0
NEE,2010-07-21,21.22,4.1397,4.50603,0.0879,0.0969,18.72,0,0.3,8.44,0
NEE,2010-07-22,17.22,4.49274,4.56448,0.0006,0.0843,18.8,18.93,19.65,19.81,0
NEE,2010-07-23,16.47,1.82155,4.42859,0.0006,0.0786,18.86,16.83,18.41,19.01,0
NEE,2010-07-26,16.32,1.95953,4.91687,0.0006,0.0835,18.94,17.3,18.58,18.9,0
NEE,2010-07-27,16.6,0.0343313,4.67971,0.0004,0.0545,19.15,16.26,17.72,18.31,0
NEE,2010-07-28,17.11,2.043,4.39979,0.0002,0.03,20.41,16.99,18.55,18.81,0
NEE,2010-07-29,17.54,1.99361,4.35258,0.0005,0.0687,20,17.38,18.9,19.28,0
NEE,2010-07-30,15.98,1.72909,4.79262,0.0005,0.0747,20.04,17.24,18.51,19.07,0
NEE,2010-08-02,15.36,0.078444,4.75024,0.0005,0.0327,20.02,16.31,16.9,17.01,0
NEE,2010-08-03,16.08,0.048481,4.78711,0.0003,0.0274,21.78,16.68,17.76,17.77,0
NEE,2010-08-04,15.62,0.0358364,4.85733,0.0002,0.0353,21.47,16.08,16.81,17.53,0
NEE,2010-08-05,16.57,0.0474362,4.71216,0.0003,0.0326,19.97,16.4,16.89,17.56,0
NEE,2010-08-06,15.51,0.0813966,4.78474,0.0005,0.0316,20.09,16.52,17.02,17.52,0
NEE,2010-08-09,15.03,0.127701,4.59682,0.0008,0.0302,20.28,16.55,16.92,17.6,0
NEE,2010-08-10,15.38,0.134098,4.81287,0.0007,0.0265,20.08,16.3,16.94,17.46,0
NEE,2010-08-11,18.46,3.68579,4.53073,0.0007,0.0496,20.31,19.84,19.35,19.85,0
NEE,2010-08-12,18.59,0.0634816,4.82268,0.0011,0.0815,20.88,20.14,20.34,20.65,0
