tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,NET,38.95,44.13,48.63
2024-06-04,NET,38.56,44.08,48.09
2024-06-05,NET,37.36,44.82,48.83
2024-06-06,NET,37.18,43.78,48.18
2024-06-07,NET,36.57,43.9,47.65
2024-06-10,NET,37.33,45.58,48.02
2024-06-11,NET,36.57,45.92,47.91
2024-06-12,NET,34.71,45.99,47.64
2024-06-13,NET,35.84,47.73,47.57
2024-06-14,NET,36.62,50.1,48.07
2024-06-17,NET,36.97,50.64,47.98
2024-06-18,NET,37.71,51.37,48.24
2024-06-20,NET,35.7,51.06,48.27
2024-06-21,NET,36.61,50.72,47.75
2024-06-24,NET,36.43,50.34,47.11
2024-06-25,NET,36.27,49.91,46.21
2024-06-26,NET,35.52,50.27,46.36
2024-06-27,NET,37.1,50.17,47.05
2024-06-28,NET,38.25,49.87,46.72
2024-07-01,NET,36.35,50.31,47.08
2024-07-02,NET,34.19,49.82,47.23
2024-07-03,NET,53.2,49.43,46.97
2024-07-05,NET,54,49.1,47.08
2024-07-08,NET,58.13,50.6,49
2024-07-09,NET,59.25,50.88,48.87
2024-07-10,NET,61.67,51.33,49.88
2024-07-11,NET,61.27,50.78,49.55
2024-07-12,NET,60.95,50.56,49.73
2024-07-15,NET,62.36,51.67,50.95
2024-07-16,NET,62.83,51.37,50.64
2024-07-17,NET,64.91,53.14,52.01
2024-07-18,NET,66.71,55.01,53.68
2024-07-19,NET,69.1,56.08,54.76
2024-07-22,NET,67.09,55.01,54.05
2024-07-23,NET,68.78,55.98,55.04
2024-07-24,NET,70.71,58.57,57.23
2024-07-25,NET,71.25,58.96,57.56
2024-07-26,NET,71.61,58.08,56.84
2024-07-29,NET,73.13,60.01,58.05
2024-07-30,NET,75.41,61.54,59.41
2024-07-31,NET,75.43,61.62,59.28
2024-08-01,NET,73.64,60.57,59.13
2024-08-02,NET,46.04,46.09,49.94
2024-08-05,NET,53.17,52.88,55.35
2024-08-06,NET,46.01,47.94,51.62
2024-08-07,NET,46.16,47.47,51.82
2024-08-08,NET,42.79,44.49,49.45
2024-08-09,NET,40.59,43.28,48.69
2024-08-12,NET,41.32,44.3,49.22
2024-08-13,NET,38.96,42.09,47.74
2024-08-14,NET,38.92,42.66,47.08
2024-08-15,NET,36.21,36.73,45.47
2024-08-16,NET,35.06,35.8,45.24
2024-08-19,NET,34.49,35.44,45.42
2024-08-20,NET,35.24,36.32,45.39
2024-08-21,NET,35.74,37.19,46.09
2024-08-22,NET,37.15,38.03,46.41
2024-08-23,NET,34.76,35.72,44.72
2024-08-26,NET,35.95,38.42,45.38
2024-08-27,NET,35.65,38.62,45.64
2024-08-28,NET,37.35,40.8,46.56
