tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,NIO,87.93,82.15,79.92
2024-06-04,NIO,86.84,83.24,80.59
2024-06-05,NIO,87.95,80.68,78.3
2024-06-06,NIO,71.59,76.71,75.15
2024-06-07,NIO,66.48,73.08,74.19
2024-06-10,NIO,66.85,71.85,73.76
2024-06-11,NIO,69.99,72.1,74.68
2024-06-12,NIO,68.42,74.74,75.29
2024-06-13,NIO,66.9,73.38,75.62
2024-06-14,NIO,68.08,72,75.3
2024-06-17,NIO,65.15,71.32,75.19
2024-06-18,NIO,65.39,69.4,73.53
2024-06-20,NIO,67.53,69.44,73.36
2024-06-21,NIO,64.73,68.68,72.28
2024-06-24,NIO,61.6,65.6,69.43
2024-06-25,NIO,62.35,65.51,70.05
2024-06-26,NIO,56.33,67.77,70.8
2024-06-27,NIO,62.91,68.27,70.42
2024-06-28,NIO,65,72.55,74.15
2024-07-01,NIO,67.59,70.58,71.75
2024-07-02,NIO,65.29,68.51,71.76
2024-07-03,NIO,65.35,71.8,73.42
2024-07-05,NIO,67.58,72.75,73.78
2024-07-08,NIO,70.22,75.25,76.19
2024-07-09,NIO,69.91,73.51,74.85
2024-07-10,NIO,69.14,72.63,74.29
2024-07-11,NIO,69.38,74.33,73.83
2024-07-12,NIO,73.95,74.68,75.07
2024-07-15,NIO,74.98,76.49,77.08
2024-07-16,NIO,76.83,78.27,77.72
2024-07-17,NIO,79.14,80.14,79.33
2024-07-18,NIO,77.7,78.79,78.71
2024-07-19,NIO,75.96,78.89,78.8
2024-07-22,NIO,71.57,75.38,74.39
2024-07-23,NIO,70.84,75.97,74.8
2024-07-24,NIO,72.5,77.29,76.25
2024-07-25,NIO,70.7,74.76,74.87
2024-07-26,NIO,70.58,75.18,74.59
2024-07-29,NIO,72.23,76.86,75.68
2024-07-30,NIO,71.33,75.66,74.81
2024-07-31,NIO,69.1,74.68,73.84
2024-08-01,NIO,76.49,76.14,74.97
2024-08-02,NIO,78.15,77.55,76.62
2024-08-05,NIO,83.93,83.91,81.06
2024-08-06,NIO,79.57,81,79.26
2024-08-07,NIO,77.4,80.9,79.27
2024-08-08,NIO,77.54,76.76,77.49
2024-08-09,NIO,75.45,76.49,78.79
2024-08-12,NIO,73.67,73.58,74.41
2024-08-13,NIO,73.23,71.57,73.17
2024-08-14,NIO,71.04,73.76,76.37
2024-08-15,NIO,69.71,68.88,75.23
2024-08-16,NIO,71.59,68.97,72.4
2024-08-19,NIO,71.86,71.35,72.94
2024-08-20,NIO,71.9,71.43,73.46
2024-08-21,NIO,71.86,69.77,72.5
2024-08-22,NIO,72.85,69.94,73.39
2024-08-23,NIO,70.64,69.82,72.2
2024-08-26,NIO,70.41,70.78,71.57
2024-08-27,NIO,70.8,70.52,73.02
2024-08-28,NIO,75.47,71.63,73.84
2024-08-29,NIO,73.15,72.39,73.11
2024-08-30,NIO,70.39,70.74,71.53
2024-09-03,NIO,73.31,73.39,73.04
2024-09-04,NIO,75.81,75.22,74.32
2024-09-05,NIO,67.75,69.3,69.53
2024-09-06,NIO,64.24,67.16,69.66
2024-09-09,NIO,68.91,68.34,70.92
2024-09-10,NIO,68.47,69.41,70.25
2024-09-11,NIO,68.45,71.07,73.15
2024-09-12,NIO,67.55,71.55,71.71
2024-09-13,NIO,66.68,68.32,71.29
2024-09-16,NIO,69.23,70.53,72.25
2024-09-17,NIO,69.36,70.02,70.77
2024-09-18,NIO,71.58,73.15,74.01
2024-09-19,NIO,71.06,73.27,74.12
2024-09-20,NIO,70.37,74.39,76.45
2024-09-23,NIO,68.87,74.23,75.21
2024-09-24,NIO,75.79,79.27,78.68
2024-09-25,NIO,78,79.78,80.19
2024-09-26,NIO,82.86,83.3,83.33
2024-09-27,NIO,90.31,88.67,87.33
2024-09-30,NIO,108.42,100.95,96.07
2024-10-01,NIO,111.46,104.4,99.22
2024-10-02,NIO,110.16,103.54,100.77
2024-10-03,NIO,103.35,101.17,97.32
2024-10-04,NIO,105.98,100.46,96.95
2024-10-07,NIO,108.52,103.52,98.43
2024-10-08,NIO,92.5,92.94,90.43
2024-10-09,NIO,96.96,92.18,88.88
2024-10-10,NIO,93.23,92.07,86.75
2024-10-11,NIO,92.92,89.83,86.8
2024-10-14,NIO,84.79,85.23,84.22
2024-10-15,NIO,80.4,82.03,80.56
2024-10-16,NIO,83.74,82.52,81.36
2024-10-17,NIO,86.18,84.38,84.01
2024-10-18,NIO,85.4,86.51,79.97
2024-10-21,NIO,78.61,80.89,80.68
2024-10-22,NIO,78.43,81.85,80.19
2024-10-23,NIO,76.22,79.52,78.93
2024-10-24,NIO,75.11,81.47,79.65
2024-10-25,NIO,76.19,80.58,78.67
2024-10-28,NIO,83.61,84.5,81.28
2024-10-29,NIO,85.26,84.22,81.48
2024-10-30,NIO,84.63,86.17,81.53
2024-10-31,NIO,85.43,86.31,82.73
2024-11-01,NIO,83.16,85.55,83.6
2024-11-04,NIO,84.25,84.75,81.62
2024-11-05,NIO,84.43,83.83,81.72
2024-11-06,NIO,81.18,79.5,78.08
2024-11-07,NIO,88.88,84.27,81.15
2024-11-08,NIO,83.16,80.91,77.71
2024-11-11,NIO,82.48,80.61,78.39
2024-11-12,NIO,84.55,79.12,78.64
2024-11-13,NIO,84.32,78.53,78.57
2024-11-14,NIO,84.52,81.83,80.43
2024-11-15,NIO,82.14,78.36,78.62
2024-11-18,NIO,87.53,82.91,80.77
2024-11-19,NIO,88.14,86.21,81.68
2024-11-20,NIO,74.99,76.14,76.28
2024-11-21,NIO,69.74,73.6,72.65
2024-11-22,NIO,71.33,75.64,75.18
2024-11-25,NIO,68.44,73.23,71.96
2024-11-26,NIO,67.64,70.91,71.21
2024-11-27,NIO,67.71,71.48,72.61
2024-11-29,NIO,65.74,71.02,71.98
2024-12-02,NIO,66.28,70.66,71.92
2024-12-03,NIO,71.6,73.35,72.69
2024-12-04,NIO,70.43,74.51,75.56
2024-12-05,NIO,70.97,74.38,75.76
2024-12-06,NIO,72.5,72.86,75.86
2024-12-09,NIO,85.1,83.09,83.18
2024-12-10,NIO,86.05,84.2,85.18
2024-12-11,NIO,84.97,84.46,85.16
2024-12-12,NIO,83.81,81.47,87.34
2024-12-13,NIO,77.13,80.17,83.8
2024-12-16,NIO,80.3,79.77,82.44
2024-12-17,NIO,80.42,79.06,82.79
2024-12-18,NIO,69.19,77.38,80.48
2024-12-19,NIO,79.7,78.85,80.99
2024-12-20,NIO,76.44,76.96,79.01
2024-12-23,NIO,68.34,75.53,79.16
2024-12-24,NIO,64.45,67.95,73.58
2024-12-26,NIO,67.28,70.24,74.71
2024-12-27,NIO,67,71.39,75.69
2024-12-30,NIO,66.49,71.86,76.46
2024-12-31,NIO,63.77,71.16,75.5
2025-01-02,NIO,63.58,70.28,74.66
2025-01-03,NIO,61.05,70.63,75.09
2025-01-06,NIO,65.95,72.36,76.61
2025-01-07,NIO,65.51,71.58,75.33
2025-01-08,NIO,64.87,70.96,75.88
2025-01-10,NIO,64.6,71.98,77
2025-01-13,NIO,66.02,71.77,75.76
2025-01-14,NIO,63.47,69.97,73.1
2025-01-15,NIO,66.61,69.89,73.2
2025-01-16,NIO,62.45,67.19,70.77
2025-01-17,NIO,65.1,73.68,73.45
2025-01-21,NIO,63.24,74.94,73.47
2025-01-22,NIO,67.63,75.69,71.64
2025-01-23,NIO,65.1,76.21,73.31
2025-01-24,NIO,64.94,72.8,74
2025-01-27,NIO,65.96,75.39,74.01
2025-01-28,NIO,66.52,74.78,73.81
2025-01-29,NIO,68.02,73.88,73.6
2025-01-30,NIO,69.76,75.82,73.25
2025-01-31,NIO,66.95,75.16,74.03
2025-02-03,NIO,72.47,76.03,74.04
2025-02-04,NIO,74.55,76,74.88
2025-02-05,NIO,73.48,74.17,73.44
2025-02-06,NIO,71.19,73.19,72.72
2025-02-07,NIO,72.09,72.65,71.84
2025-02-10,NIO,71.98,72.19,71.46
2025-02-11,NIO,72.32,72.27,71.27
2025-02-12,NIO,72.31,72.3,70.95
2025-02-13,NIO,75.43,71.42,71.9
2025-02-14,NIO,76.75,73.73,72.47
2025-02-18,NIO,78.12,76.6,74.62
2025-02-19,NIO,76.26,72.41,73.11
2025-02-20,NIO,78.59,75.37,74.23
2025-02-21,NIO,81.74,77.21,75.59
2025-02-24,NIO,83.75,79.24,78.78
2025-02-25,NIO,85.25,80.49,79.89
2025-02-26,NIO,96.09,88.05,84.73
2025-02-27,NIO,96.95,88.37,84.65
2025-02-28,NIO,94.13,86.76,85.31
2025-03-03,NIO,92.65,85.14,82.89
2025-03-04,NIO,90.74,83.37,81.01
2025-03-05,NIO,89.32,81.35,79.9
2025-03-06,NIO,86.02,82.02,80.42
2025-03-07,NIO,87.59,80.7,80.32
2025-03-10,NIO,89.02,81.97,80.15
2025-03-11,NIO,95.19,85.35,83.95
2025-03-12,NIO,95.04,86.67,85.23
2025-03-13,NIO,93.14,84.09,82.96
2025-03-14,NIO,86,80,78.25
2025-03-17,NIO,84.81,78,77.54
2025-03-18,NIO,86.97,77.79,77.21
2025-03-19,NIO,79.88,74.52,74.68
2025-03-20,NIO,76.32,73.56,74.05
2025-03-21,NIO,68.78,67.32,69.86
2025-03-24,NIO,65.49,65.22,68.56
2025-03-25,NIO,62.54,65.15,67.23
2025-03-26,NIO,62.41,62.4,66.92
2025-03-27,NIO,62.84,64.78,66.23
2025-03-28,NIO,64.32,65.43,67.8
2025-03-31,NIO,66.36,65.33,67.09
2025-04-01,NIO,65.31,66.1,67.6
2025-04-02,NIO,64.48,64.98,66.4
2025-04-03,NIO,70.8,69.64,69.06
2025-04-04,NIO,82.35,78.17,78.74
2025-04-07,NIO,93.76,84.74,82.36
2025-04-08,NIO,100.34,88.8,82.96
2025-04-09,NIO,84.32,76.79,75.6
2025-04-10,NIO,94.84,88.74,85.73
2025-04-11,NIO,86.52,82.12,80.15
2025-04-14,NIO,77.56,76.25,75.14
2025-04-15,NIO,72.49,71.92,70.98
2025-04-16,NIO,74.97,73.47,72.46
2025-04-17,NIO,73.32,72.92,71.8
2025-04-21,NIO,74.02,72.82,70.49
2025-04-22,NIO,70.02,70.85,70.49
2025-04-23,NIO,68.89,70.1,68.6
2025-04-24,NIO,66.46,68.51,66.81
2025-04-25,NIO,65.5,67.51,66.3
2025-04-28,NIO,67.04,69.52,67.45
2025-04-29,NIO,67.36,69.18,68.47
2025-04-30,NIO,68.87,70.9,69.94
2025-05-01,NIO,68.66,69.62,67.42
2025-05-02,NIO,66.7,69.7,67.15
2025-05-05,NIO,69.3,69.11,66.94
2025-05-06,NIO,69.17,69.95,67.74
2025-05-07,NIO,63.17,67.69,67.85
2025-05-08,NIO,69.78,68.23,66.49
2025-05-09,NIO,68.92,66.79,65.5
2025-05-12,NIO,69.52,65.34,63.69
2025-05-13,NIO,69.51,64.45,64.13
2025-05-14,NIO,70.82,66.72,66.26
2025-05-15,NIO,69.35,65.21,63.51
2025-05-16,NIO,65.62,62.92,61.44
2025-05-19,NIO,65.77,62.6,62.52
2025-05-20,NIO,65.48,62.39,62.63
2025-05-21,NIO,65.23,63.42,65.18
2025-05-22,NIO,64.7,64.25,65.82
2025-05-23,NIO,65.34,63.81,65.98
2025-05-27,NIO,68.09,64.85,67.31
2025-05-28,NIO,67.98,63.83,66.02
2025-05-29,NIO,67.17,64.95,65.67
2025-05-30,NIO,68.32,65.06,66.42
2025-06-02,NIO,68.43,65.26,66.02
2025-06-03,NIO,57.93,58.54,60.81
2025-06-04,NIO,58.44,59.99,61.84
2025-06-05,NIO,61.15,60.73,61.88
2025-06-06,NIO,55.2,59.62,61.55
2025-06-09,NIO,56.42,58.7,61.13
2025-06-10,NIO,54.76,59.02,61.13
2025-06-11,NIO,55.92,59.72,61.64
2025-06-12,NIO,57.79,58.96,61.59
2025-06-13,NIO,53.44,57.26,60.91
2025-06-16,NIO,52.33,57.39,61.74
2025-06-17,NIO,54.14,56.96,58.31
2025-06-18,NIO,52.97,56.97,59.83
2025-06-20,NIO,53.94,56.85,59.35
2025-06-23,NIO,52.39,55.63,57.62
2025-06-24,NIO,49.24,56.18,57.02
2025-06-25,NIO,53.08,57.97,59.07
2025-06-26,NIO,53.6,57.2,59.61
2025-06-27,NIO,51.27,55.41,56.84
2025-06-30,NIO,52.84,56.29,57.49
2025-07-01,NIO,51.8,56.54,57.88
2025-07-02,NIO,52.27,56.04,57.53
2025-07-03,NIO,52.77,55.25,57.4
2025-07-07,NIO,55.74,57.74,58.81
2025-07-08,NIO,54.36,56.46,57.61
2025-07-09,NIO,53.9,58.64,59.39
2025-07-10,NIO,58.19,60.63,61.38
2025-07-11,NIO,67.7,71.5,70.67
2025-07-14,NIO,71.51,77.57,75.19
2025-07-15,NIO,69.4,73.4,71.03
2025-07-16,NIO,67.88,72.29,70.95
2025-07-17,NIO,71.64,73.1,71.57
2025-07-18,NIO,72.44,74.23,73.01
2025-07-21,NIO,72.24,74.54,73.09
2025-07-22,NIO,82.41,80.47,77.2
2025-07-23,NIO,77.87,75.9,74.52
2025-07-24,NIO,73.81,74.7,72.78
2025-07-25,NIO,71.72,73.62,72.1
2025-07-28,NIO,70.78,72.27,70.79
2025-07-29,NIO,73.59,72.82,70.63
2025-07-30,NIO,71.37,70.88,69.02
2025-07-31,NIO,73.8,71.33,70.14
2025-08-01,NIO,73.65,72.37,70.67
2025-08-04,NIO,72.49,74.45,73.53
2025-08-05,NIO,70.33,71.91,71.35
2025-08-06,NIO,71.78,70.57,69.71
2025-08-07,NIO,74.16,69.87,69.73
2025-08-08,NIO,73,70.23,68.89
2025-08-11,NIO,73.26,70.6,69.97
2025-08-12,NIO,76.84,71.58,69.58
2025-08-13,NIO,74.16,71.47,69.2
2025-08-14,NIO,70.53,70,68.03
2025-08-15,NIO,70.76,69.68,68.4
2025-08-18,NIO,71.12,68.74,68.19
2025-08-19,NIO,72.66,69.89,68.32
2025-08-20,NIO,72.08,69.27,67.69
2025-08-21,NIO,75.62,72.97,69.65
2025-08-22,NIO,88.72,84.55,79.92
2025-08-25,NIO,90,86.22,84.83
2025-08-26,NIO,96.74,90.07,85.96
2025-08-27,NIO,98.07,92.03,89.02
2025-08-28,NIO,93.51,87.82,85.31
