ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
NKE,2007-01-03,18.54,2.39129,3.0238,0.0008,0.0676,18.76,18.09,18.78,19.55,3
NKE,2007-01-04,18.23,1.77107,2.88036,0.0108,0.0594,18.64,17.49,18.52,19.09,3
NKE,2007-01-05,18.15,2.42399,2.72014,0.0011,0.0768,18.79,17.14,18.52,19.33,3
NKE,2007-01-08,18.68,2.29709,2.88909,0.0502,0.052,18.92,18.14,18.64,19,3
NKE,2007-01-09,18.66,1.99287,2.83978,0.0304,0.0627,19.04,18.09,19.06,19.63,3
NKE,2007-01-10,18.55,1.90345,2.96491,0.0488,0.0559,19.43,17.7,18.38,18.71,3
NKE,2007-01-11,18.18,2.49603,2.7685,0.0484,0.0857,19.16,17.65,18.44,18.8,2.9
NKE,2007-01-12,18.47,2.0176,2.62947,0.0584,0.0845,18.95,17.71,18.45,18.81,3
NKE,2007-01-16,18.07,2.32497,2.80613,0.0565,0.0599,18.79,18.47,18.84,19.16,2.9
NKE,2007-01-17,18.73,1.67811,2.81622,0.0555,0.0702,18.54,18.28,18.59,18.84,2.9
NKE,2007-01-18,17.17,2.0688,2.71036,0.0253,0.0709,18.22,18.03,18.31,18.53,3
NKE,2007-01-19,17.35,2.91424,2.73937,0.0651,0.087,18.09,17.69,17.91,18.09,2.9
NKE,2007-01-22,17.91,2.21927,2.97174,0.001,0.052,17.97,18.08,17.92,18.76,3
NKE,2007-01-23,17.39,2.32499,2.92777,0.0015,0.0614,19.19,17.25,17.59,18.54,3
NKE,2007-01-24,16.86,2.49259,2.93695,0.0025,0.0625,16.69,16.89,17.12,18.23,3
NKE,2007-01-25,16.82,2.28882,3.07826,0.0285,0.0793,15.9,17.18,17.28,18.57,3.1
NKE,2007-01-26,17.53,2.38503,3.06589,0.04,0.0709,16.35,17.12,17.76,18.4,3.1
NKE,2007-01-29,17.66,1.95123,2.94078,0.0024,0.0823,16.73,18.03,18.1,18.79,3.1
NKE,2007-01-30,17.42,2.22843,2.69921,0.0024,0.0835,16.98,17.76,17.95,18.63,3
NKE,2007-01-31,17.26,2.11844,2.87384,0.0189,0.0637,17.43,17.53,17.66,18.19,3
NKE,2007-02-01,17.46,1.49084,2.61051,0.0056,0.1056,17.82,18.32,17.84,18.34,2.9
NKE,2007-02-02,17.5,1.3626,2.58438,0.0031,0.0875,17.78,18.36,17.77,18.12,2.9
NKE,2007-02-05,17.89,2.24485,2.85263,0.0248,0.0902,17.41,18.92,18.58,18.89,3
NKE,2007-02-06,17.76,2.52296,2.7371,0.0839,0.1042,17.55,18.91,18.78,19.06,2.9
NKE,2007-02-07,18.39,2.72745,2.28069,0.0038,0.1143,18.12,19.34,18.64,18.54,2.9
NKE,2007-02-08,18.31,3.02691,2.85601,0.0041,0.0698,18.27,19.03,18.39,18.46,2.8
NKE,2007-02-09,18.13,2.26525,2.841,0.0095,0.0752,18.43,18.46,18.23,18.36,2.8
NKE,2007-02-12,17.56,2.83703,2.64766,0.0095,0.0902,18.46,18.06,17.38,17.59,2.8
NKE,2007-02-13,17.34,2.59201,2.81924,0.0159,0.0611,18.62,17.8,17.05,17.46,2.8
NKE,2007-02-14,16.4,3.39927,2.87276,0.0622,0.0657,19.12,16.98,17.74,18.08,2.8
NKE,2007-02-15,17.01,2.80403,2.86732,0.0807,0.0754,19.11,16.9,17.46,17.79,2.8
NKE,2007-02-16,17.33,1.34465,2.77379,0.005,0.0828,19.01,17.86,18.54,18.6,2.8
NKE,2007-02-20,14.87,1.88046,2.50745,0.0645,0.0754,19.36,17.4,18.28,18.25,2.8
NKE,2007-02-21,17.06,2.0374,2.75953,0.0093,0.0607,18.08,17.59,18.37,18.48,2.7
NKE,2007-02-22,15.6,2.31836,2.65519,0.0262,0.0667,17.46,17.41,18.75,18.63,2.7
NKE,2007-02-23,16.13,2.03579,2.81925,0.0228,0.0584,17.84,17.79,18.33,18.56,2.7
NKE,2007-02-26,17.06,1.87839,2.54983,0.0264,0.0443,17.36,18.77,19.46,19.19,2.7
NKE,2007-02-27,19.63,2.06524,2.55546,0.0003,0.0842,17.19,20.76,20.78,20.35,2.8
NKE,2007-02-28,16.92,1.35104,2.68615,0.0253,0.0685,20.68,19.72,20.17,19.7,2.8
NKE,2007-03-01,17.9,1.27371,2.75043,0.0026,0.0753,20.61,20.75,20.87,20.59,2.8
NKE,2007-03-02,20.54,2.10921,2.64461,0.0305,0.0684,21.65,21.3,21.32,20.84,2.8
NKE,2007-03-05,23.38,2.42712,2.74201,0.0385,0.0735,21.15,22.83,22.61,21.93,2.9
NKE,2007-03-06,21.46,2.3628,2.69865,0.0153,0.0692,21.38,21.88,21.47,21.08,2.8
NKE,2007-03-07,21.86,2.24951,2.62935,0.0364,0.0702,22.31,21.78,21.58,21.3,2.8
NKE,2007-03-08,21.53,2.22842,2.78468,0.0717,0.0547,22.03,21.33,21.14,20.57,2.8
NKE,2007-03-09,21.03,2.62203,2.78792,0.0133,0.0515,21.83,20.65,20.76,20.49,2.8
NKE,2007-03-12,16.18,2.71767,2.85033,0.0493,0.049,21.93,21.55,20.79,20.32,2.8
NKE,2007-03-13,21.96,2.61666,3.08743,0.0407,0.0449,21.89,22.11,21.45,20.68,2.8
NKE,2007-03-14,22.21,2.5119,2.92206,0.0607,0.0503,22.38,22.39,21.73,21,2.8
NKE,2007-03-15,16.19,2.32359,2.96401,0.0538,0.049,22.43,21.5,21.06,20.6,2.8
NKE,2007-03-16,21.24,3.1996,3.15388,0.0732,0.0563,22.64,21.22,20.69,20.16,2.7
NKE,2007-03-19,18.02,2.80404,3.09467,0.0578,0.0606,23.21,21.49,19.83,19.73,2.7
NKE,2007-03-20,17.91,2.81814,3.06135,0.0457,0.0604,23.04,21.47,19.43,19.67,2.7
