ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
NOW,2012-08-10,0,3.79959,3.99344,0,0,82.45,0,0,0,0
NOW,2012-08-13,40.85,2.03242,2.04667,0,0,90.8,0,20.07,44.65,0
NOW,2012-08-14,56.38,2.38193,2.60305,0.0002,0.0042,80.44,0,23.63,51.04,0
NOW,2012-08-15,59.49,1.94075,1.92992,0.1036,0.0363,75.46,60.27,58.08,55.68,0
NOW,2012-08-16,58.21,1.36763,1.33593,0.1724,0.1185,83.24,58.52,57.25,55.91,0
NOW,2012-08-17,58.67,0.650075,1.26832,0.0751,0.0079,77.94,59.92,57.26,54.61,0
NOW,2012-08-20,57.84,2.79232,1.47166,0.007,0.0833,73.24,0,55.11,55.34,0
NOW,2012-08-21,57.02,1.92144,1.66943,0.0242,0.0049,69.26,0,55.51,54.9,0
NOW,2012-08-22,56.56,2.16649,0.369896,0.0004,0.2553,66.13,0,55.55,53.93,0
NOW,2012-08-23,49.22,2.71519,2.87789,0.1006,0.0155,63.52,0,52.54,53.05,0
NOW,2012-08-24,51.66,1.45092,2.43043,0.1507,0.0184,63.67,2.18,51.24,51.33,0
NOW,2012-08-27,50.72,3.00263,2.42306,0.1171,0.0117,62.33,8.46,50.59,51.31,0
NOW,2012-08-28,49.13,2.69962,2.93731,0.0591,0.0059,62.93,10.32,49.52,50.13,0
NOW,2012-08-29,48.86,2.65171,2.95121,0.0101,0.0154,61.04,12.27,49.29,49.89,0
NOW,2012-08-30,48.35,2.93063,2.32777,0,0.021,59.28,14.09,48.71,49.16,0
NOW,2012-08-31,47.38,1.58294,3.21028,0.0001,0.0562,59.52,15.8,47.76,47.93,0
NOW,2012-09-04,47.79,1.57438,2.89207,0,0,59.79,50.96,47.4,47.13,0
NOW,2012-09-05,47.04,1.46753,2.23844,0,0,63.45,49.76,47.21,47.33,0
NOW,2012-09-06,47.01,1.24602,4.31263,0,0,62.5,50.69,45.71,45.27,0
NOW,2012-09-07,43.87,0.512569,2.30191,0,0,64.17,49.56,45.4,46.15,0
NOW,2012-09-10,46.86,2.88187,2.72222,0.0774,0.0136,60.03,52.19,46.59,46.15,0
NOW,2012-09-11,50.35,2.8059,1.30531,0.0032,0.1175,59.07,53.29,50.64,50.61,0
NOW,2012-09-12,47.4,3.7006,2.94295,0.0627,0.0046,61,51.73,46.75,46.53,0
NOW,2012-09-13,39.41,2.79648,2.63724,0.0001,0.0281,62.75,45.02,41.52,42.48,0
NOW,2012-09-14,44.49,2.30868,2.85185,0,0,62.75,46.88,46.03,45.91,0
NOW,2012-09-17,45.14,3.46906,2.15389,0.0001,0.0581,63.59,48.28,44.54,44.98,0
NOW,2012-09-18,45.6,1.79316,2.41025,0,0.0354,64.33,46.93,45.74,46.02,0
NOW,2012-09-19,43.27,2.47527,2.6104,0,0.0063,65.99,44.04,42.99,43.09,0
NOW,2012-09-20,43.65,2.23033,2.22499,0.0001,0.0498,67.45,44.11,43.37,42.75,0
NOW,2012-09-21,39.94,1.67327,1.81396,0,0,67.8,41.75,40.08,41.31,0
NOW,2012-09-24,39.89,1.87788,3.12589,0.0001,0.0207,67.48,41.79,40.12,41.16,0
NOW,2012-09-25,41.98,1.50519,2.58529,0.0482,0.0285,67.86,43.28,42.32,42.61,0
NOW,2012-09-26,45.32,2.12524,2.65442,0.0001,0.0314,67.02,47.07,45,44.56,0
NOW,2012-09-27,45.47,1.70193,3.14298,0.0093,0.0212,69.8,46.33,44.02,44.56,0
NOW,2012-09-28,52.3,6.51964,2.9726,0.0248,0.0035,71.26,53.86,49.88,48.56,0
NOW,2012-10-01,57.01,2.84379,3.07856,0.0003,0.0664,73.44,60.71,54.16,51.57,0
NOW,2012-10-02,54.92,2.48145,2.44467,0.0757,0.0399,75.96,59.21,53.45,51.29,0
NOW,2012-10-03,54.56,2.40176,2.90487,0,0.0217,72.17,57.75,53.13,50.87,0
NOW,2012-10-04,52.85,1.54972,2.43536,0.0001,0.0581,71.98,56.65,51.88,50.44,0
NOW,2012-10-05,53.61,2.53257,3.21584,0,0.0269,70.13,56.16,52.37,50.24,0
NOW,2012-10-08,53.57,1.66112,3.75508,0.0001,0.047,69.59,56.96,52.52,50.58,0
NOW,2012-10-09,56.08,1.8597,2.96794,0.0227,0.0384,66.52,58.4,52.91,50.71,0
NOW,2012-10-10,42.47,1.8364,2.62538,0,0.0053,64.66,60.76,56.44,52.58,0
NOW,2012-10-11,51.3,2.51404,3.26237,0.0783,0.0016,62.96,57.65,54.33,51.99,0
NOW,2012-10-12,53.97,3.35216,3.01224,0,0.0199,57.84,56.17,53.36,51.77,0
NOW,2012-10-15,58.76,2.41076,3.42528,0.044,0.0612,58.27,60.69,56.95,53.43,0
NOW,2012-10-16,56.96,2.97713,3.32311,0.0499,0.0306,59.28,58.78,55.56,52.88,0
NOW,2012-10-17,58.88,2.90026,2.89919,0.1093,0.0543,57.63,60.92,56.89,53.67,0
NOW,2012-10-18,54.75,2.95244,2.81186,0.0908,0.025,56.43,58.98,55.36,52.58,0
NOW,2012-10-19,44.04,3.06239,3.63232,0.031,0.0106,55.77,60.35,56.35,53.28,0
NOW,2012-10-22,59.69,1.95019,3.13032,0.1197,0.0356,55.15,63.49,56.37,53.53,0
NOW,2012-10-23,55.95,1.7628,3.41982,0.0828,0.0394,55.54,59,53.3,51.54,0
NOW,2012-10-24,59.34,1.37149,3.44855,0.0303,0.0792,56.6,64.39,54.61,52.54,0
NOW,2012-10-25,47.74,0.817982,2.02583,0.0004,0.0384,54.37,47.19,47.1,47.7,0
NOW,2012-10-26,49.33,1.76248,2.68314,0.0002,0.0351,72.98,47.59,48.02,48.83,0
NOW,2012-10-31,49.04,1.30235,2.77607,0.0004,0.0118,70.24,49.4,49.1,49.46,0
NOW,2012-11-01,49.13,1.23669,1.8437,0.0001,0.0254,68.84,47.92,48.85,49.32,0
NOW,2012-11-02,45.86,1.61531,3.24051,0,0.0069,70.08,47.23,45.74,47.48,0
NOW,2012-11-05,48.31,2.69997,2.75238,0.0011,0.0117,71.53,49.67,47.95,48.58,0
NOW,2012-11-06,47.7,1.58098,1.96327,0.0001,0.0131,72.1,50.53,47.8,48.58,0
NOW,2012-11-07,47.73,1.9918,1.88564,0.006,0.048,72.56,48.39,48.45,49.64,0
NOW,2012-11-08,46.48,2.08394,2.21416,0.0101,0.0626,74.18,48.38,47.59,49.19,0
NOW,2012-11-09,49.87,0.916463,1.77074,0.0081,0.0346,74.17,49.93,48.74,49.49,0
NOW,2012-11-12,50.85,5.04221,2.28254,0.0016,0.0247,74.63,52,50.55,51.19,0
NOW,2012-11-13,51.75,3.75403,2.3113,0.0022,0.0557,75.16,50.97,51.4,51.9,0
NOW,2012-11-14,56.15,1.63631,2.16585,0.0015,0.0243,75.37,55.85,55.28,54.66,0
NOW,2012-11-15,54.39,3.5143,6.49709,0.0133,0.0905,76.14,55.48,55.99,56.52,0
NOW,2012-11-16,60.93,3.61178,5.0237,0.0045,0.088,83.18,60.69,59.41,58.15,0
NOW,2012-11-19,54.45,3.58676,4.62219,0.0401,0.0904,89.83,54.47,54.54,56.83,0
NOW,2012-11-20,54.16,4.50129,4.13229,0.0027,0.076,91.83,55.87,52.4,57.86,0
NOW,2012-11-21,55.62,3.26904,4.72927,0.1707,0.0852,93.56,54.78,54.85,59.83,0
NOW,2012-11-23,57.98,3.9822,4.50718,0.1087,0.0923,93.93,57.12,56.66,60.67,0
NOW,2012-11-26,59.55,3.4997,4.67166,0.1203,0.1094,92.75,53.8,59.35,60.18,0
NOW,2012-11-27,54.06,3.32159,4.92271,0.1362,0.14,93.33,53.26,55.06,58.99,0
NOW,2012-11-28,52.01,3.65137,4.80275,0.0068,0.0794,79.05,52.28,53.49,57.16,0
NOW,2012-11-29,52.55,3.46521,3.90007,0.0062,0.0534,79.13,51.12,53.44,55.55,0
NOW,2012-11-30,55.59,3.59048,4.28489,0.0141,0.1081,77.83,50.29,52.46,54.75,0
NOW,2012-12-03,51.43,2.92929,4.62262,0.0061,0.0789,77.52,50.51,54.03,56.49,0
NOW,2012-12-04,59.26,2.98769,4.30903,0.1148,0.0761,76.58,60.81,61.1,61.95,0
NOW,2012-12-05,60.94,3.42307,4.70909,0.0784,0.0827,79.14,58.32,61.24,60.84,0
NOW,2012-12-06,56.71,3.94357,4.86246,0.1106,0.0561,80,55.74,60.48,61.98,0
NOW,2012-12-07,55.12,3.64393,4.38294,0.1078,0.1254,78.46,54.36,60.14,62.04,0
NOW,2012-12-10,56.18,4.01236,4.79677,0.1516,0.1146,78.37,56.56,61.34,61.66,0
NOW,2012-12-11,55.6,3.55277,4.65606,0.141,0.0955,77.19,56.39,60.48,60.57,0
NOW,2012-12-12,54.42,2.22037,4.98467,0.0102,0.0534,76.74,54.55,57.9,57.49,0
NOW,2012-12-13,54.83,4.21314,4.64474,0.1402,0.1003,76.53,54.78,58.64,59,0
NOW,2012-12-14,54.73,2.29414,5.0738,0.0117,0.0887,74.68,54.05,62.49,60.96,0
NOW,2012-12-17,59.1,2.52355,5.30312,0.0134,0.1427,66.8,53.83,59.54,58.19,0
NOW,2012-12-18,57.43,3.72601,5.66054,0.0494,0.0829,57.48,51.09,56.79,55.96,0
NOW,2012-12-19,56.5,4.67422,5.24094,0.0932,0.1271,56.71,50.33,56.87,57.11,0
NOW,2012-12-20,57.19,4.36722,4.88065,0.0582,0.0978,53.19,49.88,56.5,55.27,0
NOW,2012-12-21,57.34,4.82806,5.48223,0.086,0.0957,50.92,50.96,56.73,55.62,0
NOW,2012-12-24,56.77,4.21559,4.90212,0.1931,0.1307,50.78,51.73,56.35,55.36,0
NOW,2012-12-26,58.27,2.67689,4.67681,0.0587,0.0545,49.71,55.59,59.59,58.18,0
NOW,2012-12-27,60.17,4.3339,5.17161,0.1238,0.0744,50.99,55.7,59.46,58.23,0
NOW,2012-12-28,61.54,5.09197,4.6485,0.088,0.0337,50.03,57.46,60.82,59.84,0
NOW,2012-12-31,59.49,4.57179,5.16678,0.1454,0.1017,48.47,56.93,59.35,59.59,0
NOW,2013-01-02,58.91,4.47859,5.04833,0.1174,0.098,48.19,57.08,58.21,56.95,0
NOW,2013-01-03,59.32,4.31059,4.88724,0.1171,0.1077,48.32,57.83,58.53,57.26,0
NOW,2013-01-04,60.67,4.42305,4.76731,0.0908,0.0916,43.68,58.44,59.95,59.14,0
NOW,2013-01-07,65.51,5.00689,4.51264,0.2151,0.1095,41.7,64.18,63.95,61.84,0
NOW,2013-01-08,68.34,4.69922,5.10872,0.1741,0.071,46.15,65.49,65.75,62.44,0
NOW,2013-01-09,69.15,5.14202,4.95467,0.2337,0.1022,49.4,66.29,66.16,62.95,0
NOW,2013-01-10,69,5.11141,4.92576,0.2161,0.118,50.13,65.97,65.77,62.61,0
NOW,2013-01-11,47.26,4.24104,4.8741,0.358,0.0869,49.83,64.67,63.77,61.02,0
NOW,2013-01-14,69.35,4.86331,4.59736,0.1434,0.0722,49.08,70.42,67.39,63.73,0
NOW,2013-01-15,68.61,4.64086,5.57665,0.1962,0.0908,50.77,70.87,66.28,62.46,0
NOW,2013-01-16,63.33,4.7249,5.15807,0.1931,0.1136,53.38,64.49,62.15,60.27,0
NOW,2013-01-17,63.49,4.08298,5.19794,0.212,0.0827,52.9,64.67,62.18,60.27,0
NOW,2013-01-18,63.54,3.18485,4.83899,0.3063,0.0935,50.38,64.49,62.23,60.5,0
NOW,2013-01-22,65.06,3.69347,5.41441,0.1992,0.0875,50.26,67.37,62.95,60.83,0
NOW,2013-01-23,63.92,4.09446,5.47833,0.115,0.1013,50.55,67.54,60.24,58.51,0
NOW,2013-01-24,61.63,5.90041,6.15882,0.0327,0.1505,50.62,65.38,57.47,57.17,0
NOW,2013-01-25,60.19,3.94015,5.27805,0.1109,0.108,54.1,63.91,56.23,55.42,0
NOW,2013-01-28,61.19,4.23745,5.4714,0.1003,0.1167,54.85,65.59,57.5,55.85,0
NOW,2013-01-29,62.25,5.21801,5.39688,0.1249,0.0836,54.76,68.9,56.77,55.33,0
NOW,2013-01-30,78.25,4.24654,4.93081,0.1135,0.0854,55.75,86.72,71.28,64.91,0
NOW,2013-01-31,56.8,4.73075,4.66792,0.1323,0.0795,56.89,57.35,56.1,55.12,0
NOW,2013-02-01,56.96,1.16633,1.73458,0,0.0101,60.3,59.23,56.29,55.03,0
