ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
NVDA,2007-01-03,44.96,2.37649,2.895,0.0081,0.0788,30.84,48.13,50.49,48.63,0
NVDA,2007-01-04,44.51,2.01584,2.88844,0.0314,0.0737,33.13,48.72,50.2,48.33,0
NVDA,2007-01-05,46.6,1.5401,2.95082,0.0079,0.0716,31.35,50.3,50.36,48.57,0
NVDA,2007-01-08,46.22,1.89211,2.92031,0.0261,0.0725,35.74,51.91,50.47,48.67,0
NVDA,2007-01-09,46.17,1.64897,2.87401,0.0211,0.0682,36.58,50.16,49.39,48.13,0
NVDA,2007-01-10,44.04,2.03,2.94772,0.0287,0.0785,36.03,47.35,47.32,46.43,0
NVDA,2007-01-11,42.4,2.26691,2.96114,0.0449,0.0618,40.84,46.82,46.32,45.76,0
NVDA,2007-01-12,41.94,2.08031,2.83854,0.0511,0.0873,40.6,45.65,45.61,45.27,0
NVDA,2007-01-16,44.43,2.04419,2.96746,0.0554,0.0833,41.19,50.53,46.65,46.27,0
NVDA,2007-01-17,44.04,2.07242,3.08939,0.0504,0.056,41.22,50.39,46.44,46.14,0
NVDA,2007-01-18,44.8,2.08678,3.0022,0.0285,0.0638,41.17,53.7,48.63,48.36,0
NVDA,2007-01-19,40.7,1.70742,3.02858,0.0636,0.0876,48.85,49.67,45.54,45.53,0
NVDA,2007-01-22,38.66,1.01073,2.88618,0.0738,0.0715,49.27,48.14,44.41,44.82,0
NVDA,2007-01-23,44.26,1.02751,2.77661,0.0694,0.0676,49.04,46.81,45.04,44.79,0
NVDA,2007-01-24,44.09,1.17007,2.75865,0.016,0.0735,49.54,46.07,44.57,44.18,0
NVDA,2007-01-25,45.38,1.16432,2.81991,0.0285,0.0653,50.14,46.58,45.25,44.88,0
NVDA,2007-01-26,44.92,0.812637,2.87403,0.0244,0.0653,51.3,47.21,45.4,44.95,0
NVDA,2007-01-29,45.62,1.1914,2.83024,0.0518,0.0674,52.05,50.65,47.47,46.58,0
NVDA,2007-01-30,46.91,1.85867,3.01329,0.02,0.0571,53.62,47.37,46.28,45.58,0
NVDA,2007-01-31,45.28,1.61853,3.0397,0.022,0.0607,53.99,48.55,46.17,45.28,0
NVDA,2007-02-01,47.02,1.41459,3.02575,0.0278,0.0674,53.88,48.37,46.28,45.17,0
NVDA,2007-02-02,41.18,1.02811,3.09011,0.0518,0.0577,51.58,46.86,43.82,43.11,0
NVDA,2007-02-05,43.54,1.39553,3.15515,0.0023,0.0681,51.97,48.37,44.8,43.66,0
NVDA,2007-02-06,35.2,1.28662,3.07727,0.0108,0.0699,49.2,47.97,43.44,42.83,0
NVDA,2007-02-07,40.27,2.05546,3.07373,0.0347,0.0694,49.73,48.36,44.34,43.17,0
NVDA,2007-02-08,41.38,2.54888,3.10363,0.0469,0.0723,50.51,49.84,45.12,43.61,0
NVDA,2007-02-09,44.15,1.94144,3.10406,0.0408,0.0666,46.59,52.39,47.38,45.44,0
NVDA,2007-02-12,36.5,2.11796,3.20477,0.0539,0.068,49.71,50.24,45.76,44.46,0
NVDA,2007-02-13,36.96,2.01889,3.23813,0.0572,0.0585,50.19,45.81,44.44,43.3,0
NVDA,2007-02-14,39.6,2.18043,3.31719,0.0258,0.0769,50.4,40.01,40.51,40.9,0
NVDA,2007-02-15,40.96,2.32101,3.24473,0.0782,0.0773,50.56,41.66,41.85,41.99,0
NVDA,2007-02-16,39.93,0.629953,3.16131,0.0851,0.0676,43.12,40.36,40.99,41.48,0
NVDA,2007-02-20,39.32,1.41503,3.20623,0.0888,0.0594,43.09,38.63,37.96,40.78,0
NVDA,2007-02-21,39.23,1.39911,3.1853,0.0646,0.0703,42.89,39.76,37.93,40.41,0
NVDA,2007-02-22,38.83,1.65564,3.25296,0.0676,0.0629,42.57,37.67,38.56,40.53,0
NVDA,2007-02-23,39.22,1.10627,3.23885,0.0571,0.0542,41.82,37.88,39.25,40.79,0
NVDA,2007-02-26,39.44,1.20762,3.16376,0.0805,0.0593,39.62,39.57,39.03,40.86,0
NVDA,2007-02-27,41.82,1.137,3.21734,0.0308,0.0637,39,42.09,41.37,42.84,0
NVDA,2007-02-28,41.15,0.938201,3.19591,0.0404,0.0563,38.39,40.85,41.26,42.59,0
NVDA,2007-03-01,43.81,1.1586,3.1011,0.0258,0.0614,38.3,43.89,43.5,43.85,0
NVDA,2007-03-02,44.64,1.54518,3.1683,0.0393,0.0552,39.06,44.73,44.55,45.4,0
NVDA,2007-03-05,45.75,1.61324,3.1326,0.041,0.0505,39.58,48.01,45.94,46.87,0
NVDA,2007-03-06,41.9,1.72489,3.1404,0.0602,0.0536,40.16,42.49,42.52,44.19,0
NVDA,2007-03-07,42.49,1.68613,3.118,0.0245,0.0467,42.97,43.08,43.23,44.72,0
NVDA,2007-03-08,41.1,2.21717,3.1418,0.033,0.0565,42.48,40.37,42.09,43.71,0
NVDA,2007-03-09,40.44,2.20547,3.16507,0.1094,0.0606,42.29,39.89,41.48,42.99,0
NVDA,2007-03-12,39.8,1.87011,3.23744,0.052,0.0648,43.08,41.2,41.85,43.72,0
NVDA,2007-03-13,42.29,1.22735,3.11923,0.0374,0.0463,39.25,43.08,44.09,45.27,0
NVDA,2007-03-14,42.94,1.55134,3.23505,0.0517,0.0517,39.71,43.72,44.61,45.59,0
NVDA,2007-03-15,41.41,2.2923,3.18733,0.0676,0.0546,40.38,41.87,42.8,43.76,0
NVDA,2007-03-16,38.21,2.47015,3.2504,0.0878,0.0551,40.4,39.35,41.5,43.64,0
NVDA,2007-03-19,39.62,1.71686,3.48965,0.0094,0.0682,40.39,37.9,44.13,44.07,0
NVDA,2007-03-20,37.64,2.11636,3.36143,0.0263,0.0609,39.51,36.72,42.84,41.7,0
NVDA,2007-03-21,36.51,1.9492,3.46287,0.0426,0.0673,39.72,36.04,42.25,40.87,0
NVDA,2007-03-22,34.97,1.02077,3.20396,0.0264,0.0667,42.29,34.6,40.95,39.49,0
NVDA,2007-03-23,34.88,1.68942,3.26988,0.0438,0.0797,42.65,34.19,41.29,39.87,0
NVDA,2007-03-26,35.32,1.49673,3.41454,0.0291,0.0709,43.06,36.12,41.78,40.14,0
NVDA,2007-03-27,35.21,1.66969,3.29745,0.0353,0.069,42.91,36.04,42.38,40.77,0
NVDA,2007-03-28,38.51,1.87321,3.21983,0.0299,0.0677,41.74,38.74,42.26,41.44,0
NVDA,2007-03-29,40.72,1.6155,3.23835,0.0271,0.0616,41.65,41.44,44.46,43.24,0
NVDA,2007-03-30,41.91,1.37919,3.30879,0.0133,0.0483,42.19,42.57,44.31,43.27,0
NVDA,2007-04-02,43.32,1.48583,3.39012,0.0332,0.0645,41.45,43.01,44.74,43.99,0
NVDA,2007-04-03,41.01,1.46877,3.45208,0.0425,0.0689,40.2,42.43,43.91,42.72,0
NVDA,2007-04-04,40.16,1.9887,3.31668,0.0276,0.0692,37.11,42.58,44.17,42.45,0
NVDA,2007-04-05,36.04,2.15898,3.50624,0.0467,0.07,36.02,39.42,40.41,39.33,0
NVDA,2007-04-09,38.62,1.89353,3.30471,0.0331,0.0758,41.35,43.58,42.52,41.19,0
NVDA,2007-04-10,38.48,2.09133,3.36478,0.0523,0.05,40.83,43.89,42.6,41.45,0
NVDA,2007-04-11,40.38,1.77184,3.26157,0.0108,0.0501,40.89,44.58,43.61,42.43,0
NVDA,2007-04-12,39.38,1.99009,3.32147,0.022,0.0566,39.78,43.42,42.18,41.23,0
NVDA,2007-04-13,36.61,1.97202,3.29297,0.0367,0.0509,40.17,43.86,41.72,40.74,0
NVDA,2007-04-16,39.08,2.0035,3.39654,0.0122,0.0703,39.94,46.23,42.34,41.45,0
NVDA,2007-04-17,31.14,1.9576,3.18465,0.027,0.0693,40,43.66,38.33,38.26,0
NVDA,2007-04-18,31.56,1.92812,3.04792,0.0493,0.0773,40.86,41.52,37.62,37.72,0
NVDA,2007-04-19,33.2,2.47455,3.16271,0.0533,0.0497,40.92,41.72,37.79,37.79,0
NVDA,2007-04-20,30.95,2.13415,3.28442,0.0184,0.0636,38.33,40.53,37.24,37.25,0
NVDA,2007-04-23,33.52,1.83661,3.16126,0.0559,0.0533,37.71,40.47,36.86,37.16,0
NVDA,2007-04-24,34.8,1.8091,3.30479,0.0311,0.0614,37.47,38.54,37.12,36.73,0
NVDA,2007-04-25,31.88,1.71731,3.33668,0.0279,0.0545,38.62,37.01,34.99,35.11,0
