tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,NXPI,29.28,30.32,31.7
2024-06-04,NXPI,29.89,30.8,32.02
2024-06-05,NXPI,28.59,30.52,31.62
2024-06-06,NXPI,28.49,31.64,31.57
2024-06-07,NXPI,27.99,31.39,31.31
2024-06-10,NXPI,29.32,31.48,31.39
2024-06-11,NXPI,28.5,31.71,31.24
2024-06-12,NXPI,28.29,31.2,31.43
2024-06-13,NXPI,27.52,31.02,30.46
2024-06-14,NXPI,28.78,32.06,32.04
2024-06-17,NXPI,29.43,33.39,31.71
2024-06-18,NXPI,28.29,33.15,31.26
2024-06-20,NXPI,29.29,33.73,32.31
2024-06-21,NXPI,29.32,32.2,31.54
2024-06-24,NXPI,32.82,32.91,32.04
2024-06-25,NXPI,32.93,32.84,31.93
2024-06-26,NXPI,34.34,33.03,32.13
2024-06-27,NXPI,35.55,32.69,31.58
2024-06-28,NXPI,35.41,32.79,32.31
2024-07-01,NXPI,36.21,33.62,32.58
2024-07-02,NXPI,35.4,32.96,32.28
2024-07-03,NXPI,35.61,32.99,32.36
2024-07-05,NXPI,35.63,32.63,31.93
2024-07-08,NXPI,35.9,32.74,32.16
2024-07-09,NXPI,35.52,32.67,31.93
2024-07-10,NXPI,35.89,33.42,32.34
2024-07-11,NXPI,36.52,33.43,32.56
2024-07-12,NXPI,36.25,33.15,31.68
2024-07-15,NXPI,36.23,33.79,32.49
2024-07-16,NXPI,37.53,34.2,32.87
2024-07-17,NXPI,41.49,36.4,34.49
2024-07-18,NXPI,40.77,36.38,35.23
2024-07-19,NXPI,41.36,37.31,35.78
2024-07-22,NXPI,40.23,35.36,34.56
2024-07-23,NXPI,31.96,31.64,31.69
2024-07-24,NXPI,33.56,32.74,32.31
2024-07-25,NXPI,33.58,33.21,33.57
2024-07-26,NXPI,33.43,33.07,32.4
2024-07-29,NXPI,33.82,32.77,32.93
2024-07-30,NXPI,34.5,33.74,33.12
2024-07-31,NXPI,33.97,32.39,33.06
2024-08-01,NXPI,39.09,36.99,36.14
2024-08-02,NXPI,41.48,39.76,38.87
2024-08-05,NXPI,48.5,45.69,44.12
2024-08-06,NXPI,41.04,39.55,39.38
2024-08-07,NXPI,42.41,40.3,40.28
2024-08-08,NXPI,38.84,37.35,38.19
2024-08-09,NXPI,36.24,36.53,36.39
2024-08-12,NXPI,37.79,36.27,36.46
2024-08-13,NXPI,35.16,34.43,35.72
2024-08-14,NXPI,34.91,33.94,34.88
2024-08-15,NXPI,32.69,32.25,33.65
2024-08-16,NXPI,32.41,31.84,32.96
2024-08-19,NXPI,31.24,31.2,32.39
2024-08-20,NXPI,33.65,32.39,34.25
2024-08-21,NXPI,34.13,33.21,34.8
2024-08-22,NXPI,36.9,35.38,36.48
2024-08-23,NXPI,33.94,33.6,34.47
2024-08-26,NXPI,35.25,34.97,35.92
2024-08-27,NXPI,33.61,33.58,35.32
2024-08-28,NXPI,36.19,35.54,36.64
2024-08-29,NXPI,34.61,34.56,35.31
2024-08-30,NXPI,32.4,32.08,34.13
2024-09-03,NXPI,38.34,37.35,38.56
2024-09-04,NXPI,37.55,38.06,39.29
2024-09-05,NXPI,37.67,38.27,39.51
2024-09-06,NXPI,39.81,39.59,40.34
2024-09-09,NXPI,38.64,39.07,39.93
2024-09-10,NXPI,39.8,39.22,40.21
2024-09-11,NXPI,37.63,38.91,40.29
2024-09-12,NXPI,37.45,38.94,39.94
2024-09-13,NXPI,36.29,37.58,39.28
2024-09-16,NXPI,36.43,37.62,39.33
2024-09-17,NXPI,36.78,37.76,39.16
2024-09-18,NXPI,35.84,37.18,38.4
2024-09-19,NXPI,33.8,37.78,37.44
2024-09-20,NXPI,34.09,39.97,38.23
2024-09-23,NXPI,34.27,38.25,37.12
2024-09-24,NXPI,34.17,38.32,37.32
2024-09-25,NXPI,33.86,39.16,36.88
2024-09-26,NXPI,33.54,38.95,37.42
2024-09-27,NXPI,34.93,39.49,37.46
2024-09-30,NXPI,35.84,40.23,38.59
2024-10-01,NXPI,37.56,42.06,39.3
2024-10-02,NXPI,37.11,41.21,38.74
2024-10-03,NXPI,37.55,41.96,39.97
2024-10-04,NXPI,37.03,40.57,38.27
2024-10-07,NXPI,43.04,42.15,40.21
2024-10-08,NXPI,42.92,41.52,39.15
2024-10-09,NXPI,43.37,40.5,38.46
2024-10-10,NXPI,44.12,40.86,38.71
2024-10-11,NXPI,44.05,39.65,37.82
2024-10-14,NXPI,44.8,40.28,37.84
2024-10-15,NXPI,47.34,41.96,39.2
2024-10-16,NXPI,45.89,40.85,39.15
2024-10-17,NXPI,44.38,40.87,38.9
2024-10-18,NXPI,43.79,39.64,38.04
2024-10-21,NXPI,44.89,40.85,37.11
2024-10-22,NXPI,47.27,41.37,38.77
2024-10-23,NXPI,46.65,41.75,39.93
2024-10-24,NXPI,44.82,41.06,38.38
2024-10-25,NXPI,44.84,41.55,38.87
2024-10-28,NXPI,44.7,40.74,38.68
2024-10-29,NXPI,43.73,40.18,38.28
2024-10-30,NXPI,45.35,41.67,39.88
2024-10-31,NXPI,45.38,43.68,41.45
2024-11-01,NXPI,44.38,40.81,40.09
2024-11-04,NXPI,47.27,42.59,40.23
2024-11-05,NXPI,36.01,36.18,35.8
2024-11-06,NXPI,34.1,33.79,33.69
2024-11-07,NXPI,31.76,31.38,32.27
2024-11-08,NXPI,30.3,31.28,32.44
2024-11-11,NXPI,32.44,32.66,33.78
2024-11-12,NXPI,32.04,32.1,33.13
2024-11-13,NXPI,32.05,32.16,33.17
2024-11-14,NXPI,32.76,32.34,33.35
2024-11-15,NXPI,33.73,33.77,34.35
2024-11-18,NXPI,32.48,32.93,33.84
