tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,PANW,29.55,30.94,34.18
2024-06-04,PANW,30.5,30.94,33.78
2024-06-05,PANW,28.69,30.74,33.58
2024-06-06,PANW,28.22,30.05,33.37
2024-06-07,PANW,27.98,30.13,33.65
2024-06-10,PANW,29.16,31,33.95
2024-06-11,PANW,28.54,30.82,33.92
2024-06-12,PANW,27.72,30.78,33.8
2024-06-13,PANW,28.02,30.85,34
2024-06-14,PANW,28.38,30.41,34.46
2024-06-17,PANW,28.55,31.73,34.91
2024-06-18,PANW,28.19,32.27,34.98
2024-06-20,PANW,28.85,32.4,35.13
2024-06-21,PANW,29.12,32.6,36.37
2024-06-24,PANW,29.39,32.79,37.09
2024-06-25,PANW,28.98,33.56,36.51
2024-06-26,PANW,29.56,33.64,36.59
2024-06-27,PANW,29.8,33.71,36.42
2024-06-28,PANW,29.03,33.48,36.28
2024-07-01,PANW,29.81,34.99,37.31
2024-07-02,PANW,28.92,34.45,36.7
2024-07-03,PANW,28.91,35.93,36.68
2024-07-05,PANW,29.97,36.29,36.37
2024-07-08,PANW,31.31,38.15,36.53
2024-07-09,PANW,31.58,38.25,36.15
2024-07-10,PANW,30.85,38.56,36.39
2024-07-11,PANW,32.92,39.59,36.12
2024-07-12,PANW,31.67,39.18,36.27
2024-07-15,PANW,33.38,39.23,36.65
2024-07-16,PANW,33.77,39.07,36.59
2024-07-17,PANW,35.26,40.33,37.63
2024-07-18,PANW,35.91,40.37,37.81
2024-07-19,PANW,37.41,41.87,38.54
2024-07-22,PANW,40.05,41.1,38.18
2024-07-23,PANW,41.01,40.44,37.76
2024-07-24,PANW,43.97,41.67,39.46
2024-07-25,PANW,44,42.16,39.81
2024-07-26,PANW,44.64,41.38,39.45
2024-07-29,PANW,47.15,42.09,39.58
2024-07-30,PANW,47.88,42.69,40.87
2024-07-31,PANW,47.8,42.2,40.24
2024-08-01,PANW,50.09,44.88,42.3
2024-08-02,PANW,53.71,46.8,45.14
2024-08-05,PANW,60.11,52.08,49.93
2024-08-06,PANW,55.84,46.41,45.01
2024-08-07,PANW,56.29,47.43,46.52
2024-08-08,PANW,55.58,46.69,45.34
2024-08-09,PANW,54.72,45.74,44.16
2024-08-12,PANW,53.99,44.86,43.65
2024-08-13,PANW,53.61,44.19,43.37
2024-08-14,PANW,51.62,42.74,41.05
2024-08-15,PANW,50.45,41.72,41.23
2024-08-16,PANW,50.18,41.55,42.37
2024-08-19,PANW,49.64,41.12,41.05
2024-08-20,PANW,31.22,29.91,33.45
2024-08-21,PANW,29.79,29.79,33.14
2024-08-22,PANW,29.89,29.9,33.04
2024-08-23,PANW,27.83,27.85,31.79
2024-08-26,PANW,29.32,28.67,31.95
2024-08-27,PANW,28.52,28.73,32.17
2024-08-28,PANW,29.46,29.53,32.81
2024-08-29,PANW,27.56,30.04,33.71
2024-08-30,PANW,27.25,29.51,33.56
2024-09-03,PANW,31.9,33.61,36.39
2024-09-04,PANW,32.66,34.17,36.55
2024-09-05,PANW,32.58,33.33,36.48
2024-09-06,PANW,33.09,34.95,37.85
2024-09-09,PANW,32.16,34.97,37.13
2024-09-10,PANW,31.27,34.55,36.97
2024-09-11,PANW,32.39,35.4,37.13
2024-09-12,PANW,30.84,33.66,36.08
2024-09-13,PANW,29.36,33.88,36.14
2024-09-16,PANW,31.07,35.45,36.73
2024-09-17,PANW,32.09,36.61,38.01
2024-09-18,PANW,31.18,35.75,37.14
2024-09-19,PANW,28.85,35.55,36.62
2024-09-20,PANW,28.33,34.09,35.36
2024-09-23,PANW,29.43,34.75,36.01
2024-09-24,PANW,28.91,35.73,36.36
2024-09-25,PANW,28.84,35.7,36.13
2024-09-26,PANW,29.9,36.54,36.87
2024-09-27,PANW,29.64,36.94,37.29
2024-09-30,PANW,30.92,37.3,36.51
2024-10-01,PANW,32.14,37.66,37.75
2024-10-02,PANW,31,37.4,37.66
2024-10-03,PANW,32.27,42.37,38.65
2024-10-04,PANW,31.6,41.03,38.06
2024-10-07,PANW,34.68,42.12,38.75
2024-10-08,PANW,33.39,42.36,39.29
2024-10-09,PANW,33.03,41.45,38.48
2024-10-10,PANW,33.77,40.93,38.3
2024-10-11,PANW,33.6,41.23,38.14
2024-10-14,PANW,35.4,40.65,37.24
2024-10-15,PANW,36.22,41,37.46
2024-10-16,PANW,37.27,40.1,36.67
2024-10-17,PANW,37.93,40.68,36.95
2024-10-18,PANW,38.02,40.06,37.68
2024-10-21,PANW,42.89,40.64,37.67
2024-10-22,PANW,44.68,40.96,38.35
2024-10-23,PANW,48.34,42.29,39.31
2024-10-24,PANW,49.54,41.91,39.56
2024-10-25,PANW,49.74,41.9,38.27
2024-10-28,PANW,49.31,42.09,38.42
2024-10-29,PANW,49.93,42.87,38.81
2024-10-30,PANW,51.51,44.31,41.49
2024-10-31,PANW,53.11,45.1,41.7
2024-11-01,PANW,53.86,45.77,43.2
2024-11-04,PANW,54.74,45.79,43.14
2024-11-05,PANW,55.62,45.59,43.15
2024-11-06,PANW,49.63,41.5,40.4
2024-11-07,PANW,47.13,39.92,39.48
2024-11-08,PANW,43.64,37.35,37.64
2024-11-11,PANW,45.55,38.46,39.31
2024-11-12,PANW,46.47,39.43,39.66
2024-11-13,PANW,46.78,39,39.89
2024-11-14,PANW,45.5,38.68,39.56
2024-11-15,PANW,48.48,41,42.01
2024-11-18,PANW,46.68,38.47,39.89
2024-11-19,PANW,46.67,38.88,40.87
2024-11-20,PANW,46.36,38.3,40.59
2024-11-21,PANW,31,30.06,35.34
2024-11-22,PANW,29.1,29.61,35.44
2024-11-25,PANW,27.1,28.76,34.25
2024-11-26,PANW,25.82,27.58,33.37
2024-11-27,PANW,26.33,29.54,34.55
2024-11-29,PANW,25.57,30.37,34.88
2024-12-02,PANW,25.7,29.5,34.19
2024-12-03,PANW,25.26,29.95,33.97
2024-12-04,PANW,25.46,30.19,33.97
2024-12-05,PANW,24.7,29.22,34.43
2024-12-06,PANW,24.47,29.17,34.39
2024-12-09,PANW,27.24,31.82,35.71
2024-12-10,PANW,27.88,32.29,35.99
2024-12-11,PANW,27.93,32.45,35.88
2024-12-12,PANW,27.43,31.25,35.78
2024-12-13,PANW,27.5,32.77,36.31
2024-12-16,PANW,29.77,34.18,36.83
2024-12-17,PANW,30.53,35.87,37.61
2024-12-18,PANW,36.76,39.78,39.82
2024-12-19,PANW,34.21,38.26,39.71
2024-12-20,PANW,29.91,36.93,38.11
2024-12-23,PANW,29.8,37.3,36.79
2024-12-24,PANW,26.83,36.4,36.27
2024-12-26,PANW,26.98,36.69,36.18
2024-12-27,PANW,28.42,37.53,36.28
2024-12-30,PANW,28.87,37.63,36.27
2024-12-31,PANW,28.56,37.95,36.81
2025-01-02,PANW,28.65,38.29,36.63
2025-01-03,PANW,27.46,37.52,36.23
2025-01-06,PANW,30.13,38.64,36.62
2025-01-07,PANW,31.47,39.5,37.41
2025-01-08,PANW,32.03,40.04,37.36
2025-01-10,PANW,31.64,40.23,37.31
2025-01-13,PANW,32.59,39.9,37.24
2025-01-14,PANW,31.47,38.9,36.79
2025-01-15,PANW,28.29,36.99,34.64
2025-01-16,PANW,29.06,37,34.53
2025-01-17,PANW,29.4,36.97,34.36
2025-01-21,PANW,35.4,36.14,33.97
2025-01-22,PANW,37.63,36.7,34.49
2025-01-23,PANW,39.43,36.6,34.59
2025-01-24,PANW,40.16,37.08,34.78
2025-01-27,PANW,43.38,38.67,36.16
2025-01-28,PANW,45.29,39.61,37.03
2025-01-29,PANW,46.03,40.5,37.77
2025-01-30,PANW,49.39,41.3,38.41
2025-01-31,PANW,49.08,41.75,38.85
2025-02-03,PANW,49.13,42.12,38.99
2025-02-04,PANW,47.63,41.36,38.88
2025-02-05,PANW,49.68,42.76,39.99
2025-02-06,PANW,50.07,42.1,39.28
2025-02-07,PANW,47.5,40.69,38.54
2025-02-10,PANW,46.86,40.31,37.94
2025-02-11,PANW,47.01,40.41,38.02
2025-02-12,PANW,48.07,40.49,38.14
2025-02-13,PANW,46.17,39.3,37
2025-02-14,PANW,29.77,30.07,30.59
2025-02-18,PANW,32.42,31.59,32.31
2025-02-19,PANW,31.32,30.83,31.8
2025-02-20,PANW,32.12,31.39,32.17
2025-02-21,PANW,33.05,32.27,33.01
2025-02-24,PANW,34.03,32.53,33.28
2025-02-25,PANW,34.24,33.3,33.84
2025-02-26,PANW,34.21,32.9,33.64
2025-02-27,PANW,35.95,34.46,35.04
2025-02-28,PANW,34.01,33.73,34.84
2025-03-03,PANW,37.83,36.15,36.9
2025-03-04,PANW,36.7,35.84,36.57
2025-03-05,PANW,35.39,34.7,35.68
2025-03-06,PANW,38.53,36.56,37.88
2025-03-07,PANW,38.59,36.38,37.8
2025-03-10,PANW,43.65,40.97,41.05
2025-03-11,PANW,41.94,39.43,40.24
2025-03-12,PANW,39.37,38.11,39.34
2025-03-13,PANW,41.04,38.56,39.92
2025-03-14,PANW,36.57,36.91,37.96
2025-03-17,PANW,34.83,35.17,37.23
2025-03-18,PANW,36.2,35.91,37.92
2025-03-19,PANW,33.77,34.56,36.99
2025-03-20,PANW,33.32,34.7,37.35
2025-03-21,PANW,33.13,34.7,37.28
2025-03-24,PANW,31.47,33.87,36.54
2025-03-25,PANW,31.76,34,36.4
2025-03-26,PANW,31.73,34.98,37.32
2025-03-27,PANW,33.65,35.89,37.75
2025-03-28,PANW,35.35,38.26,39.48
2025-03-31,PANW,36.59,38.76,39.45
2025-04-01,PANW,36,38.94,39.49
2025-04-02,PANW,35.2,38.51,39.03
2025-04-03,PANW,42.48,43.7,42.93
2025-04-04,PANW,52.56,52.26,48.12
2025-04-07,PANW,57.57,55.2,49.75
2025-04-08,PANW,62.13,59.35,53.21
2025-04-09,PANW,41.49,45.45,41.77
2025-04-10,PANW,49.21,52.2,47.42
2025-04-11,PANW,45.32,49.37,44.85
2025-04-14,PANW,41.23,44.63,41.54
2025-04-15,PANW,41.78,43.05,39.99
2025-04-16,PANW,48.26,45.6,42.44
2025-04-17,PANW,45.65,43.52,40.42
2025-04-21,PANW,52.21,47.22,43.8
2025-04-22,PANW,50.34,44.65,42.05
2025-04-23,PANW,49.27,43.6,41.03
2025-04-24,PANW,47.37,41.09,39.06
2025-04-25,PANW,45.49,40.46,38.03
2025-04-28,PANW,47.06,40.56,38.25
2025-04-29,PANW,46.1,40.46,38.27
2025-04-30,PANW,46.74,40.94,38.93
2025-05-01,PANW,45.88,39.88,37.82
2025-05-02,PANW,44.33,39.37,37.26
2025-05-05,PANW,45.54,39.76,37.74
2025-05-06,PANW,46.48,40.4,38.15
2025-05-07,PANW,45.49,39.78,37.88
2025-05-08,PANW,43.37,37.93,36.53
2025-05-09,PANW,44.5,38.43,36.89
2025-05-12,PANW,41,34.91,33.57
2025-05-13,PANW,43.32,35.92,34.45
2025-05-14,PANW,44.11,37.07,35.31
2025-05-15,PANW,44.05,36.99,34.93
2025-05-16,PANW,43.14,36.05,34.44
2025-05-19,PANW,43.16,36.26,34.99
2025-05-20,PANW,42.49,35.88,35.32
2025-05-21,PANW,31.6,30.88,31.98
2025-05-22,PANW,28.74,28.94,30.73
2025-05-23,PANW,29.75,30.03,31.71
2025-05-27,PANW,27.32,28.52,30.59
2025-05-28,PANW,28.37,28.72,30.91
2025-05-29,PANW,27.72,28.13,30.93
2025-05-30,PANW,26.61,28.06,30.74
2025-06-02,PANW,27.21,28.43,31.38
2025-06-03,PANW,26.43,28.04,31.13
2025-06-04,PANW,25.67,28.07,31.14
2025-06-05,PANW,26.65,27.49,31.76
2025-06-06,PANW,25.8,28.18,31.51
2025-06-09,PANW,25.64,28.88,32.55
2025-06-10,PANW,25.51,28.09,31.79
2025-06-11,PANW,25.84,28.57,32.21
2025-06-12,PANW,25.91,28.46,32.12
2025-06-13,PANW,27.7,29.58,33.25
2025-06-16,PANW,26.56,29.02,32.78
2025-06-17,PANW,27.78,30.2,33.99
2025-06-18,PANW,27.11,30,33.98
2025-06-20,PANW,27.58,30.28,34.33
2025-06-23,PANW,26.77,29.47,33.94
2025-06-24,PANW,24.9,28.72,33.12
2025-06-25,PANW,25.12,29.36,33.51
2025-06-26,PANW,25.63,29.25,33.38
2025-06-27,PANW,25.08,30.01,33.78
2025-06-30,PANW,25.78,30.42,33.47
2025-07-01,PANW,26.78,31.18,33.99
2025-07-02,PANW,26.02,31.29,34
2025-07-03,PANW,25.65,33.47,33.46
2025-07-07,PANW,27.21,36.48,34.67
2025-07-08,PANW,27.01,36.44,34.04
2025-07-09,PANW,27.05,35.96,33.51
2025-07-10,PANW,28.74,36.89,34.85
2025-07-11,PANW,29.71,38.25,35.01
2025-07-14,PANW,30.05,37.02,34.2
2025-07-15,PANW,29.98,36.84,34
2025-07-16,PANW,30.29,36.81,33.88
2025-07-17,PANW,29.91,36.02,33
2025-07-18,PANW,30.59,35.72,33.07
2025-07-21,PANW,35.25,35.49,33.19
2025-07-22,PANW,37.03,35.81,33.4
2025-07-23,PANW,38.55,35.68,33.42
2025-07-24,PANW,39.17,34.8,32.74
2025-07-25,PANW,39.55,34.77,32.87
2025-07-28,PANW,40.9,34.81,32.93
2025-07-29,PANW,45.6,37.79,35.41
2025-07-30,PANW,42.91,36.52,35.05
2025-07-31,PANW,43.77,36.71,35.15
2025-08-01,PANW,44.95,37.71,36.16
2025-08-04,PANW,42.97,36.81,35.85
2025-08-05,PANW,41.19,36.41,35.79
2025-08-06,PANW,41.86,35.99,35.39
2025-08-07,PANW,44.8,38.64,38
2025-08-08,PANW,43.36,37.44,37.04
2025-08-11,PANW,42.72,37.17,37.22
2025-08-12,PANW,42.7,36.99,37.16
2025-08-13,PANW,42.77,37.18,37.32
2025-08-14,PANW,43.06,37.4,37.75
2025-08-15,PANW,43.98,37.57,37.8
2025-08-18,PANW,44.94,37.84,38.31
2025-08-19,PANW,30.33,30.01,32.84
2025-08-20,PANW,29.74,29.71,32.28
2025-08-21,PANW,29.68,29.99,32.64
2025-08-22,PANW,27.19,28.39,31.73
2025-08-25,PANW,27.1,28.8,32.26
2025-08-26,PANW,27.72,29.18,32.53
2025-08-27,PANW,27.64,29.47,32.45
2025-08-28,PANW,26.52,28.58,31.93
2025-08-29,PANW,26.16,28.32,31.65
2025-09-02,PANW,28.19,30.01,32.59
2025-09-03,PANW,27.84,30.49,32.96
2025-09-04,PANW,26.55,29.12,32.19
2025-09-05,PANW,26.33,29,31.98
2025-09-08,PANW,26.56,29.88,32.06
2025-09-09,PANW,26.28,29.99,32.28
2025-09-10,PANW,27.52,30.78,32.67
2025-09-11,PANW,27.18,29.69,32.32
2025-09-12,PANW,27.15,29.9,32.37
2025-09-15,PANW,28.71,31.88,33.2
2025-09-16,PANW,29.1,32.31,33.25
2025-09-17,PANW,28.21,31.85,33.02
2025-09-18,PANW,27.63,32.53,33.26
2025-09-19,PANW,27.82,32.79,33.65
2025-09-22,PANW,29.52,35.25,34.47
2025-09-23,PANW,29.94,35.93,34.9
2025-09-24,PANW,29.57,36.04,35.12
2025-09-25,PANW,30.69,36.64,35.4
2025-09-26,PANW,28.94,35.97,35.06
2025-09-29,PANW,28.84,35.83,34.69
2025-09-30,PANW,29.33,36.16,34.72
2025-10-01,PANW,29.42,36.73,35.06
2025-10-02,PANW,29.61,36.95,35.16
2025-10-03,PANW,29.21,36.39,34.47
