ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
PFE,2007-01-03,18.29,1.91269,2.29107,0.0003,0.0983,45.61,20.28,20.78,20.52,4.1
PFE,2007-01-04,18.2,1.44546,2.20515,0.0005,0.075,45.69,21.09,20.94,20.43,4.1
PFE,2007-01-05,17.16,1.6988,2.39838,0.0008,0.0726,15.36,21.08,21.18,20.71,4.1
PFE,2007-01-08,18.05,2.28914,2.28283,0.0006,0.0602,15.08,22.19,20.83,20.44,4.1
PFE,2007-01-09,20.88,2.1237,2.22362,0.0006,0.061,15.45,22.54,21.61,20.99,4.1
PFE,2007-01-10,21.81,2.17005,2.02625,0.0005,0.0516,15.47,23.17,22.04,21.35,4.1
PFE,2007-01-11,19.97,2.00502,1.97243,0.0006,0.0593,15.03,21.46,20.98,20.55,4
PFE,2007-01-12,20.99,2.33151,1.73446,0.0007,0.0702,15.39,19.3,19.81,19.59,4
PFE,2007-01-16,16.19,1.41738,2.25789,0.0002,0.0844,15.67,22.52,20.18,20.03,4
PFE,2007-01-17,15.17,0.774172,2.02249,0.0004,0.0672,15.64,21.26,19.19,19.19,3.9
PFE,2007-01-18,14.8,0.00773245,2.32763,0.0003,0.0863,15.69,20.44,19.09,18.91,3.9
PFE,2007-01-19,15.15,0.00739609,2.22847,0.0002,0.0625,16.04,21.31,19.31,19.05,3.9
PFE,2007-01-22,21.08,2.1581,2.24091,0.0003,0.052,15.82,18.6,19.89,19.47,3.9
PFE,2007-01-23,17.39,0.816466,2.41595,0.0005,0.0657,15.96,18.57,17.88,18.11,4
PFE,2007-01-24,15.74,0.0228137,2.07132,0.0011,0.1021,17.1,17.85,16.65,17.11,3.9
PFE,2007-01-25,17.17,0.752537,2.00347,0.0008,0.068,17.81,19.22,18.01,18.04,4
PFE,2007-01-26,18.28,0.673619,2.30777,0.0006,0.0803,18.72,20.79,18.38,18.3,4
PFE,2007-01-29,19.84,0.639469,1.90035,0.0005,0.071,18.88,22.16,19.39,19.01,4
PFE,2007-01-30,18.7,0.684089,1.94461,0.0008,0.0843,18.87,20.92,19.13,18.79,4
PFE,2007-01-31,17.96,0.872518,2.51736,0.0009,0.0837,18.69,19.17,18.48,18.36,4
PFE,2007-02-01,16.93,0.0384037,2.2197,0.0012,0.0683,18.62,19.87,18.19,17.98,4
PFE,2007-02-02,16.25,0.0210357,1.976,0.0006,0.0617,18.51,17.59,17.6,17.84,3.9
PFE,2007-02-05,17.28,0.0719044,2.52221,0.002,0.0667,18.53,18.65,17.25,17.54,3.9
PFE,2007-02-06,15.18,0.0641928,2.2661,0.0019,0.0721,18.35,18.5,17.65,17.59,3.9
PFE,2007-02-07,15.49,0.0389283,2.81253,0.0012,0.0921,17.89,15.59,17.19,17.48,4.3
PFE,2007-02-08,16.15,0.0333369,2.44873,0.0012,0.1007,17.97,16.08,17.33,17.57,4.3
PFE,2007-02-09,16.37,0.0356262,2.66787,0.0008,0.0646,17.92,16.4,17.43,17.71,4.4
PFE,2007-02-12,16.5,1.04569,2.64013,0.0008,0.0745,16.86,17.23,17.58,17.69,4.4
PFE,2007-02-13,16.33,2.53045,2.73036,0.0007,0.0666,16.71,17.52,17.52,17.53,4.4
PFE,2007-02-14,14.66,0.0311015,2.57377,0.0009,0.0802,16.63,16.09,16.3,16.47,4.3
PFE,2007-02-15,15.65,0.0307792,2.61331,0.0007,0.0656,16.74,16.69,16.83,16.95,4.3
PFE,2007-02-16,15.63,2.94812,2.41366,0.0009,0.0776,16.35,17.15,17.33,17.48,4.4
PFE,2007-02-20,17.9,2.36899,2.19764,0.0004,0.052,16.52,18.12,17,17.24,4.4
PFE,2007-02-21,17.04,0.736978,1.93945,0.0008,0.068,15.72,16.41,16.31,16.85,4.4
PFE,2007-02-22,16.26,0.899639,2.11869,0.0006,0.0521,14.35,16.77,16.29,17.01,4.4
PFE,2007-02-23,16.52,0.0487056,2.28982,0.0008,0.0648,13.42,17.66,17.3,17.26,4.5
PFE,2007-02-26,16.05,0.103386,2.58381,0.0011,0.0663,12.51,17.75,16.49,17.14,4.4
PFE,2007-02-27,16.18,0.031529,2.13361,0.0012,0.0812,12.55,18.92,18.74,18.41,4.6
PFE,2007-02-28,16.05,0.0420008,1.85988,0.0005,0.0489,15.3,18.75,18.3,18.39,4.6
PFE,2007-03-01,17.16,0.0863631,2.35661,0.0037,0.091,15.98,18.42,18.52,18.98,4.6
PFE,2007-03-02,19.24,0.11604,2.19078,0.004,0.0689,16.77,19.54,19.66,20.43,4.6
PFE,2007-03-05,19.31,0.122655,2.10546,0.008,0.0951,16.77,19.58,19.8,20.21,4.6
PFE,2007-03-06,17.82,0.141445,2.47011,0.001,0.0703,17.02,18.96,18.83,18.33,4.6
PFE,2007-03-07,17.56,0.101902,2.19112,0.0015,0.0546,17.76,17.8,18.32,18.9,4.5
PFE,2007-03-08,16.91,0.130048,2.0976,0.0006,0.0175,17.84,17.99,17.76,18.11,4.5
PFE,2007-03-09,16.93,0.145386,2.19063,0.0016,0.0619,17.72,16.12,16.65,17.35,4.5
PFE,2007-03-12,15.12,0.180883,2.4011,0.0009,0.0374,17.7,18.19,17.64,17.55,4.5
PFE,2007-03-13,16.68,0.350009,2.36806,0.0073,0.0528,17.79,18.07,18.38,18.74,4.6
