ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
PG,2007-01-03,11.38,0.0685481,3.50508,0.0003,0.0348,10.34,14.21,14.72,14,3.3
PG,2007-01-04,11.84,0.0614292,3.10614,0.0003,0.0403,10.42,14.65,15.24,14.37,3.3
PG,2007-01-05,12.71,1.88662,3.21221,0.0006,0.0316,10.2,14.03,14.73,14.38,3.4
PG,2007-01-08,11.16,0.243774,3.39099,0.0007,0.0222,10.36,14.69,14.85,14.54,3.4
PG,2007-01-09,11.66,0.230084,3.22193,0.001,0.0483,10.34,15.58,15.08,14.5,3.4
PG,2007-01-10,10.48,0.287183,3.38909,0.0008,0.0267,10.54,14.12,14.24,14.06,3.3
PG,2007-01-11,12.76,0.115511,3.03837,0.0002,0.0237,11.24,13.84,14.57,14.82,3.3
PG,2007-01-12,10.57,0.0336157,2.68078,0.0009,0.0437,11.46,13.62,13.52,13.11,3.3
PG,2007-01-16,9.92,0.0321606,2.77658,0.0008,0.0334,11.5,14.78,14.01,13.36,3.3
PG,2007-01-17,9.15,0.0641269,2.5993,0.0018,0.094,11.25,13.82,13.21,12.72,3.2
PG,2007-01-18,9.09,0.0746008,3.58105,0.0018,0.0956,11.7,14.09,13.38,12.83,3.2
PG,2007-01-19,8.41,0.0695278,3.53907,0.0016,0.0868,12.82,13.91,13.2,12.66,3.2
PG,2007-01-22,9.06,0.0312462,3.77325,0.001,0.1234,13.01,14.2,12.47,12.58,3.2
PG,2007-01-23,9.35,0.0440859,3.56661,0.0012,0.1058,13.11,13.76,12.28,12.38,3.2
PG,2007-01-24,9.3,0.0517731,4.19428,0.001,0.0787,13.23,13.54,12.61,12.63,3.2
PG,2007-01-25,9.32,0.0529945,4.50166,0.001,0.0765,13.18,13.6,12.64,12.89,3.3
PG,2007-01-26,10.07,0.0500604,4.18158,0.001,0.0787,13.46,14.39,13.05,13.12,3.3
PG,2007-01-29,9.69,0.0442576,3.72987,0.0009,0.0708,13.38,14.61,13.41,13.48,3.3
PG,2007-01-30,9.71,0.0352905,4.52308,0.0001,0.0116,13.52,12.26,12.17,12.65,3.3
PG,2007-01-31,11.89,0.0454222,4.26946,0.0006,0.0437,13.94,11.44,11.69,12.23,3.3
PG,2007-02-01,11.56,0.0484404,3.81373,0.0012,0.0945,14.23,11.29,11.43,12.09,3.3
PG,2007-02-02,11.45,0.0503474,4.25437,0.0006,0.0485,14.18,11,11.28,11.86,3.3
PG,2007-02-05,10.25,0.0720331,3.51989,0.002,0.0989,13.98,11.41,11.81,12.42,3.3
PG,2007-02-06,10.77,0.0757137,3.87735,0.0019,0.1146,13.79,11.49,11.78,12.36,3.3
PG,2007-02-07,11.63,0.0864913,4.2077,0.0012,0.0519,14.02,11.31,12.06,12.71,3.3
PG,2007-02-08,9.85,0.0868907,4.33175,0.0011,0.0559,13.96,11.1,12.04,12.69,3.3
PG,2007-02-09,10.11,0.0791445,3.95943,0.0015,0.0756,13.42,11.3,12.08,12.61,3.3
PG,2007-02-12,10.44,0.0739065,3.77192,0.0002,0.0064,13.31,12.16,12.75,13.16,3.3
PG,2007-02-13,10.5,0.072413,3.86899,0.0014,0.0733,13.26,11.48,12.46,13.01,3.3
PG,2007-02-14,11.91,0.0790673,4.09719,0.0014,0.0834,13.54,11.46,12.35,12.82,3.3
PG,2007-02-15,11.13,0.0749701,4.09333,0.0014,0.0796,13.14,10.98,12.01,12.45,3.3
PG,2007-02-16,10.89,0.0699762,3.77587,0.0019,0.1079,11.58,10.46,11.73,12.24,3.3
PG,2007-02-20,9.16,0.0446862,3.88489,0.0006,0.0528,11.41,10.86,11.93,12.21,3.3
PG,2007-02-21,10.49,0.0482424,4.17997,0.0006,0.0581,11.25,10.1,11.07,11.81,3.3
PG,2007-02-22,9.76,0.0492501,4.12943,0.001,0.0799,11.25,10.05,11.15,11.64,3.3
PG,2007-02-23,11.41,0.0460226,4.01682,0.0012,0.1006,11.13,9.93,10.96,11.51,3.3
PG,2007-02-26,13.25,0.0454826,3.98841,0.001,0.0825,10.76,10.76,11.82,12.14,3.3
PG,2007-02-27,14.56,0.0558726,4.30394,0.0011,0.063,10.85,21.53,14.66,14.63,3.5
