tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,PH,21.93,22.57,24.06
2024-06-04,PH,21.61,22.51,23.77
2024-06-05,PH,20.74,22.23,23.54
2024-06-06,PH,20.75,22.26,23.4
2024-06-07,PH,20.2,22.26,23.31
2024-06-10,PH,20.74,22.64,23.57
2024-06-11,PH,20.66,22.95,23.84
2024-06-12,PH,20.59,23.15,24.01
2024-06-13,PH,20.8,23.93,24.55
2024-06-14,PH,23.02,25.9,26.16
2024-06-17,PH,23.57,25.98,26.01
2024-06-18,PH,22.23,26.1,26
2024-06-20,PH,22.09,25.66,25.68
2024-06-21,PH,21.49,24.95,25.09
2024-06-24,PH,20.63,24.31,24.5
2024-06-25,PH,21.11,24.46,24.57
2024-06-26,PH,21.25,25.02,25
2024-06-27,PH,21.39,24.62,24.62
2024-06-28,PH,21.49,24.94,24.99
2024-07-01,PH,22.26,25.22,25.29
2024-07-02,PH,21.93,24.8,24.81
2024-07-03,PH,21.98,24.6,24.62
2024-07-05,PH,22.82,24.82,24.69
2024-07-08,PH,24.35,25.58,25.37
2024-07-09,PH,24.5,25.4,25.01
2024-07-10,PH,25.16,25.79,25.18
2024-07-11,PH,24.97,25.71,25.31
2024-07-12,PH,24.66,25.07,24.46
2024-07-15,PH,26.64,26.04,25.32
2024-07-16,PH,27.15,26.37,25.72
2024-07-17,PH,28.26,27.09,26.16
2024-07-18,PH,29.08,25.78,25.59
2024-07-19,PH,29.3,26.06,25.96
2024-07-22,PH,28.67,24.98,25.18
2024-07-23,PH,28.25,24.31,24.99
2024-07-24,PH,30.26,26.4,26.56
2024-07-25,PH,33.05,28.05,27.81
2024-07-26,PH,31.99,27.57,27.73
2024-07-29,PH,32.58,27.95,27.87
2024-07-30,PH,33.82,28.49,28.04
2024-07-31,PH,32.86,27.36,27.13
2024-08-01,PH,36.55,30.37,29.82
2024-08-02,PH,39.96,33.38,32.51
2024-08-05,PH,47.54,39.07,37.45
2024-08-06,PH,41.06,34.28,33.57
2024-08-07,PH,43.22,35.27,34.35
2024-08-08,PH,28.71,28.58,29.94
2024-08-09,PH,25.19,26.15,28.13
2024-08-12,PH,26.37,26.51,28
2024-08-13,PH,22.71,24.75,27.11
2024-08-14,PH,21.55,23.73,26.12
2024-08-15,PH,19.31,20.35,24.35
2024-08-16,PH,20.49,21.03,24.9
2024-08-19,PH,20.05,20.48,24.68
2024-08-20,PH,21.07,21.63,25.65
2024-08-21,PH,21.16,21.69,25.37
2024-08-22,PH,21.81,22.74,25.83
2024-08-23,PH,20.67,21.82,25.19
2024-08-26,PH,21.36,22.23,25.34
2024-08-27,PH,21.72,22.62,25.41
2024-08-28,PH,22.9,23.37,25.59
2024-08-29,PH,21.18,22.8,25.31
2024-08-30,PH,20.18,22.28,24.78
2024-09-03,PH,26.08,26.96,27.53
2024-09-04,PH,25.86,27.11,27.5
2024-09-05,PH,26.65,27.94,28.54
2024-09-06,PH,26.45,28.67,29.06
2024-09-09,PH,25.2,28.17,27.98
2024-09-10,PH,25.31,28.14,28.34
2024-09-11,PH,23.57,27.8,27.64
2024-09-12,PH,23.4,27.5,26.98
2024-09-13,PH,23.9,28.4,27.59
2024-09-16,PH,24.38,29.52,27.52
2024-09-17,PH,23.69,29.45,27.2
2024-09-18,PH,24.23,29.53,27.12
2024-09-19,PH,22.53,28.5,26.43
2024-09-20,PH,21.23,26.93,24.92
2024-09-23,PH,21.79,27.23,25
2024-09-24,PH,21.75,26.9,24.89
2024-09-25,PH,23.08,27.85,25.72
2024-09-26,PH,23.47,27.42,25.95
2024-09-27,PH,23.99,28.26,26.44
2024-09-30,PH,25.69,28.88,27.22
2024-10-01,PH,26.68,29.16,27.05
2024-10-02,PH,26.67,28.67,26.89
2024-10-03,PH,27.1,28.69,27.12
2024-10-04,PH,25.57,27.35,25.79
2024-10-07,PH,28.54,28.81,27.32
2024-10-08,PH,28.17,28.11,26.72
2024-10-09,PH,28.5,27.92,26.47
2024-10-10,PH,28.21,27.53,26.25
2024-10-11,PH,27.7,27.13,26.15
2024-10-14,PH,29.33,26.99,25.84
2024-10-15,PH,31.24,27.25,26.19
2024-10-16,PH,31.23,27.06,26.07
2024-10-17,PH,31.56,27.04,26.19
2024-10-18,PH,30.33,25.94,25.35
2024-10-21,PH,31.06,25.85,25.59
2024-10-22,PH,31.46,25.42,25.55
2024-10-23,PH,32,26.17,26.21
2024-10-24,PH,32.33,26.99,26.57
2024-10-25,PH,32.67,26.83,26.74
2024-10-28,PH,33.15,27.14,27.22
2024-10-29,PH,33.42,26.75,26.5
2024-10-30,PH,33.67,27.56,27.03
2024-10-31,PH,25.59,24.26,24.95
2024-11-01,PH,25.01,23.89,24.8
2024-11-04,PH,26.65,24.89,25.35
2024-11-05,PH,25.65,23.96,24.71
2024-11-06,PH,21.74,21.82,23.34
2024-11-07,PH,21.2,21.46,22.71
2024-11-08,PH,19.86,20.74,22.07
2024-11-11,PH,21.19,21.62,22.86
2024-11-12,PH,20.34,21.7,23.27
2024-11-13,PH,20.24,21.64,23.18
2024-11-14,PH,20.26,20.4,22.53
2024-11-15,PH,21.4,21.17,23.25
2024-11-18,PH,20.33,20.61,22.98
2024-11-19,PH,20.81,20.49,22.92
2024-11-20,PH,21.47,21.15,23.6
2024-11-21,PH,20.89,20.85,23.57
2024-11-22,PH,19.86,20.26,23.55
2024-11-25,PH,19.34,20.35,23.45
2024-11-26,PH,18.46,20.03,23.53
2024-11-27,PH,18.39,20.33,23.33
2024-11-29,PH,18.28,20.06,22.6
2024-12-02,PH,18.84,20.64,23.27
2024-12-03,PH,18.66,20.81,23.48
2024-12-04,PH,18.41,20.72,23.2
2024-12-05,PH,18.41,21.06,23.48
2024-12-06,PH,18.52,21.29,23.6
2024-12-09,PH,19.73,22.27,24.08
2024-12-10,PH,19.65,22.58,24.39
2024-12-11,PH,20.66,23.38,24.76
2024-12-12,PH,20.47,23.42,24.8
2024-12-13,PH,20.62,23.76,25.11
2024-12-16,PH,21.57,24.42,25.41
2024-12-17,PH,22.15,25.29,26.02
2024-12-18,PH,25.65,27.56,27.65
2024-12-19,PH,26.31,28.11,28.04
2024-12-20,PH,23,26.67,26.89
2024-12-23,PH,21.85,25.11,25.25
2024-12-24,PH,19.92,24.16,24.32
2024-12-26,PH,20.69,24.55,24.52
2024-12-27,PH,21.18,25.18,25.06
2024-12-30,PH,22.38,25.27,25.01
2024-12-31,PH,22.37,25.35,25.13
2025-01-02,PH,23.19,25.84,25.6
2025-01-03,PH,22,25.11,24.84
2025-01-06,PH,23.7,25.72,25.24
2025-01-07,PH,24.81,26.36,25.79
2025-01-08,PH,24.88,26.46,25.93
2025-01-10,PH,26.69,27.45,26.77
2025-01-13,PH,27.73,27.4,26.74
2025-01-14,PH,28.21,27.57,26.84
2025-01-15,PH,26.32,25.89,25.41
2025-01-16,PH,26.58,24.68,24.46
2025-01-17,PH,25.92,23.9,23.94
2025-01-21,PH,26.11,23.19,23.6
2025-01-22,PH,27.09,24.08,24.24
2025-01-23,PH,27.28,23.99,24.05
2025-01-24,PH,27.09,24.07,24.16
2025-01-27,PH,30.2,26.28,26.06
2025-01-28,PH,29.44,25.64,25.41
2025-01-29,PH,30.41,27.01,26.54
2025-01-30,PH,21.77,22.03,22.9
2025-01-31,PH,21.59,21.81,22.84
2025-02-03,PH,23.37,23.27,24
2025-02-04,PH,22.64,22.9,23.77
2025-02-05,PH,21.91,22.66,23.82
2025-02-06,PH,21.29,22.35,23.52
2025-02-07,PH,21.71,22.67,23.8
2025-02-10,PH,20.58,21.94,23.41
2025-02-11,PH,21.07,22.21,23.42
2025-02-12,PH,21.19,22.42,23.6
2025-02-13,PH,21.44,22.56,23.73
2025-02-14,PH,21.18,22.48,23.77
2025-02-18,PH,21.82,23.22,24.26
2025-02-19,PH,21.21,22.57,23.51
2025-02-20,PH,20.84,20.33,23.4
2025-02-21,PH,23.73,23.22,25.01
2025-02-24,PH,24.15,23.58,25.12
2025-02-25,PH,25.55,24.83,25.73
2025-02-26,PH,25.78,25.08,25.87
2025-02-27,PH,26.77,25.56,26.32
2025-02-28,PH,25.47,25.25,26.17
2025-03-03,PH,30.04,28.35,28.1
2025-03-04,PH,29.96,28.38,27.75
2025-03-05,PH,28.47,28.04,27.6
2025-03-06,PH,30.96,29.64,28.86
2025-03-07,PH,29.4,28.95,28.22
2025-03-10,PH,37.14,34.11,32.01
2025-03-11,PH,34.71,32.9,31.08
2025-03-12,PH,31.21,31.33,29.77
2025-03-13,PH,31.65,32,30.34
2025-03-14,PH,28.93,30.17,28.69
2025-03-17,PH,28.89,29.08,27.47
2025-03-18,PH,28.69,30.05,28.3
2025-03-19,PH,24.78,29.02,26.72
2025-03-20,PH,27.35,29.57,26.41
2025-03-21,PH,25.92,28.44,26.64
2025-03-24,PH,25.17,27.16,25.39
2025-03-25,PH,26.2,28.24,26.6
2025-03-26,PH,27.08,28.75,26.39
2025-03-27,PH,26.96,28.89,26.8
2025-03-28,PH,29.02,30,28.2
2025-03-31,PH,32.71,32.17,29.77
2025-04-01,PH,32.05,31.89,30.28
2025-04-02,PH,32.67,32.16,30.13
2025-04-03,PH,42.69,40.13,36.73
2025-04-04,PH,58.39,50.14,44.89
2025-04-07,PH,60.65,50.77,45.86
2025-04-08,PH,64.88,53.09,47.5
2025-04-09,PH,42.6,37.59,35.12
2025-04-10,PH,55.19,46.89,43.44
2025-04-11,PH,48.97,43.78,41.17
2025-04-14,PH,43.72,38.93,37.14
2025-04-15,PH,41.74,36.49,35.22
2025-04-16,PH,47.32,41.1,38.99
2025-04-17,PH,44.27,38.74,37.35
2025-04-21,PH,47.2,41.29,39.82
2025-04-22,PH,44.1,38.52,37.52
2025-04-23,PH,43.44,36.84,36.18
2025-04-24,PH,40.45,35.67,34.82
2025-04-25,PH,39.51,34.05,33.42
2025-04-28,PH,41.2,36.14,34.91
2025-04-29,PH,39.51,34.68,33.87
2025-04-30,PH,39.33,35.01,34.03
2025-05-01,PH,29.64,29.43,30.26
2025-05-02,PH,28.31,28.66,29.51
2025-05-05,PH,29.75,28.93,29.89
2025-05-06,PH,30.46,29.78,30.61
2025-05-07,PH,29.28,29.3,30.16
2025-05-08,PH,28.69,28.69,29.58
2025-05-09,PH,28.5,28.72,29.64
2025-05-12,PH,27.14,26.53,27.77
2025-05-13,PH,24.99,26,27.17
2025-05-14,PH,25.56,26.6,27.73
2025-05-15,PH,25.15,26.29,27.22
2025-05-16,PH,24.08,24.49,26.77
2025-05-19,PH,23.54,24.56,27.07
2025-05-20,PH,24.81,25.66,28.04
2025-05-21,PH,26.93,27.04,28.74
2025-05-22,PH,26.32,27.43,29.18
2025-05-23,PH,26.77,28.13,29.86
2025-05-27,PH,25.86,27.74,29.34
2025-05-28,PH,26.13,27.49,29.09
2025-05-29,PH,26.59,28.31,29.82
2025-05-30,PH,25.9,28.35,30.13
2025-06-02,PH,26.32,28.54,29.82
2025-06-03,PH,25.15,27.81,28.61
2025-06-04,PH,25.62,28.1,28.43
2025-06-05,PH,26.13,28.82,29.32
2025-06-06,PH,25.21,28.08,28.73
2025-06-09,PH,25.5,28.4,28.56
2025-06-10,PH,25.56,28.49,28.4
2025-06-11,PH,25.94,28.37,28.23
2025-06-12,PH,25.65,28.35,27.87
2025-06-13,PH,26.37,29.7,28.93
2025-06-16,PH,26.62,29.39,28.12
2025-06-17,PH,28.1,30.64,29.53
2025-06-18,PH,26.22,29.81,28.76
2025-06-20,PH,26.09,29.65,28.07
2025-06-23,PH,26.19,28.31,27.24
2025-06-24,PH,23.5,26.84,26.23
2025-06-25,PH,24.65,27.05,26.14
2025-06-26,PH,23.63,26.27,25.12
2025-06-27,PH,24.11,26.45,25.65
2025-06-30,PH,24.67,26.13,25.04
2025-07-01,PH,25.22,25.89,25.34
2025-07-02,PH,24.61,26.13,25
2025-07-03,PH,23.33,25.32,24.33
2025-07-07,PH,26.65,26.27,25.25
2025-07-08,PH,26.55,26.48,25.65
2025-07-09,PH,25.63,24.38,23.81
2025-07-10,PH,26.24,25.36,24.78
2025-07-11,PH,24.77,24.18,24.11
2025-07-14,PH,28.44,25.88,25.32
2025-07-15,PH,27.93,25.02,24.8
2025-07-16,PH,28.66,26.23,25.66
2025-07-17,PH,26.69,24.56,24.53
2025-07-18,PH,26.62,24.68,24.32
2025-07-21,PH,27.39,23.74,24.09
2025-07-22,PH,29.72,25.42,25.35
2025-07-23,PH,29.96,25.12,24.81
2025-07-24,PH,30.15,24.8,24.74
2025-07-25,PH,28.95,24.44,24.86
2025-07-28,PH,30.16,25.04,25.17
2025-07-29,PH,30.46,26.01,25.57
2025-07-30,PH,31.39,26.73,26.14
2025-07-31,PH,31.03,26.49,25.98
2025-08-01,PH,33.69,28.85,28.05
2025-08-04,PH,32.48,27.38,27.01
2025-08-05,PH,32.77,28.23,27.73
2025-08-06,PH,36.4,29.77,28.84
2025-08-07,PH,23.82,24.04,25.17
2025-08-08,PH,22.26,23.41,24.33
2025-08-11,PH,22.36,23.1,24.11
2025-08-12,PH,21.97,22.79,23.74
2025-08-13,PH,21.62,22.47,23.41
2025-08-14,PH,22.44,22.6,23.99
2025-08-15,PH,22.42,22.52,24.24
2025-08-18,PH,22.15,22.3,24.29
2025-08-19,PH,21.85,23.42,24.65
2025-08-20,PH,22.02,22.58,24.48
2025-08-21,PH,23.05,22.91,24.94
2025-08-22,PH,20.86,21.4,23.73
2025-08-25,PH,22.62,23.01,24.75
2025-08-26,PH,22.56,22.79,24.42
2025-08-27,PH,21.88,22.56,24.32
2025-08-28,PH,22.09,22.71,24.62
