tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,PLTR,41.15,48.26,54.28
2024-06-04,PLTR,40.86,48.34,53.53
2024-06-05,PLTR,39.99,47.68,51.89
2024-06-06,PLTR,41.74,48.56,53.65
2024-06-07,PLTR,40.05,47.89,52.85
2024-06-10,PLTR,38.44,49.36,52.43
2024-06-11,PLTR,38.76,49.01,51.2
2024-06-12,PLTR,38.53,50.02,51.94
2024-06-13,PLTR,37.64,49.92,51.71
2024-06-14,PLTR,39.54,53.06,53.42
2024-06-17,PLTR,41.61,57.94,54.82
2024-06-18,PLTR,43.37,59.69,56
2024-06-20,PLTR,42.17,58.48,54.81
2024-06-21,PLTR,40.01,57.6,54.16
2024-06-24,PLTR,39.9,56.64,52.56
2024-06-25,PLTR,38.32,55.81,52.27
2024-06-26,PLTR,38.82,56.68,52.59
2024-06-27,PLTR,39.43,56.66,53.09
2024-06-28,PLTR,39.83,55.46,51.9
2024-07-01,PLTR,41.8,55.59,51.85
2024-07-02,PLTR,41.5,55.51,51.69
2024-07-03,PLTR,42.32,55.96,51.9
2024-07-05,PLTR,47.41,57,52.77
2024-07-08,PLTR,58.62,58.52,54.19
2024-07-09,PLTR,61.84,58.09,53.88
2024-07-10,PLTR,65.2,58.99,54.73
2024-07-11,PLTR,68.13,59.5,54.93
2024-07-12,PLTR,66.32,57.51,53.89
2024-07-15,PLTR,67.93,58.49,54.94
2024-07-16,PLTR,67.75,58.09,54.55
2024-07-17,PLTR,69.03,59.62,55.92
2024-07-18,PLTR,72.32,61.75,57.65
2024-07-19,PLTR,72.67,62.52,58.16
2024-07-22,PLTR,69.78,60.06,55.8
2024-07-23,PLTR,66.58,57.92,54.44
2024-07-24,PLTR,68.62,60.49,57.28
2024-07-25,PLTR,69.57,60.89,57.05
2024-07-26,PLTR,69.01,60.14,56.99
2024-07-29,PLTR,69.25,59.72,57.54
2024-07-30,PLTR,72.21,60.64,58.56
2024-07-31,PLTR,70.78,60.41,58.49
2024-08-01,PLTR,72.5,62.36,60.5
2024-08-02,PLTR,77.94,66.46,64.05
2024-08-05,PLTR,85.59,72.23,69.13
2024-08-06,PLTR,53.51,52.43,55.87
2024-08-07,PLTR,56.42,53.93,57.56
2024-08-08,PLTR,52.92,52.01,56.72
2024-08-09,PLTR,51.83,51.21,56.04
2024-08-12,PLTR,50.96,50.19,56.39
2024-08-13,PLTR,51.42,50.15,56.03
2024-08-14,PLTR,50.62,49.02,55.95
2024-08-15,PLTR,48.47,46.54,53.32
2024-08-16,PLTR,48.52,47.59,54.46
2024-08-19,PLTR,49.58,46.93,54.33
2024-08-20,PLTR,48.66,47.21,54.73
2024-08-21,PLTR,48.69,46.03,54.3
2024-08-22,PLTR,50.14,48.26,55.54
2024-08-23,PLTR,47.22,46.69,53.27
2024-08-26,PLTR,48.94,47.62,53.48
2024-08-27,PLTR,47.68,47.39,52.72
2024-08-28,PLTR,49.04,49.22,53.31
2024-08-29,PLTR,48.93,49.84,53.49
2024-08-30,PLTR,46.5,48.09,52.82
2024-09-03,PLTR,50.57,53.04,55.39
2024-09-04,PLTR,51.87,54.55,56.17
2024-09-05,PLTR,52.47,53.61,56.44
2024-09-06,PLTR,55.54,56.54,58.87
2024-09-09,PLTR,48.62,55.25,56.89
2024-09-10,PLTR,46.85,54.27,55.18
2024-09-11,PLTR,43.47,51.83,52.92
2024-09-12,PLTR,42.01,52.62,52.74
2024-09-13,PLTR,42.3,52.1,52.01
2024-09-16,PLTR,42.42,54.42,52.2
2024-09-17,PLTR,43.88,54.19,51.68
2024-09-18,PLTR,43.29,54.3,51.78
2024-09-19,PLTR,38.45,52.34,49.28
2024-09-20,PLTR,39.31,50.6,47.94
2024-09-23,PLTR,38.85,51.05,48.59
2024-09-24,PLTR,38.74,51.19,48.2
2024-09-25,PLTR,38.64,51.71,48.56
2024-09-26,PLTR,38.95,52.66,49.5
2024-09-27,PLTR,39.68,52.81,49.54
2024-09-30,PLTR,40.95,53.82,50.1
2024-10-01,PLTR,43.38,55,50.82
2024-10-02,PLTR,44.5,54.97,51.14
2024-10-03,PLTR,47.94,56.85,53.94
2024-10-04,PLTR,47.82,55.49,51.61
2024-10-07,PLTR,56.83,56.74,53.33
2024-10-08,PLTR,60.07,57.69,54.1
2024-10-09,PLTR,63.97,58.97,55.16
2024-10-10,PLTR,67.4,59.55,57.41
2024-10-11,PLTR,65.44,57.33,54.12
2024-10-14,PLTR,65.6,56.79,53.98
2024-10-15,PLTR,67.08,57.53,53.65
2024-10-16,PLTR,68.16,57.84,54.07
2024-10-17,PLTR,68.18,57.55,53.46
2024-10-18,PLTR,70.31,59.07,54.77
2024-10-21,PLTR,69.52,58.96,54.91
2024-10-22,PLTR,70.44,59.67,55.03
2024-10-23,PLTR,71.49,59.75,56
2024-10-24,PLTR,71.87,60.44,56.51
2024-10-25,PLTR,72.23,61.74,57.78
2024-10-28,PLTR,72.71,61.91,58.53
2024-10-29,PLTR,70.82,60.7,57.97
2024-10-30,PLTR,73.59,62.77,58.83
2024-10-31,PLTR,72.93,62.64,59.74
2024-11-01,PLTR,72.48,63.16,60.21
2024-11-04,PLTR,73.26,62.15,59.38
2024-11-05,PLTR,51.29,51.06,53.14
2024-11-06,PLTR,44.23,46.01,50.13
2024-11-07,PLTR,42.46,43.22,48.6
2024-11-08,PLTR,46.4,47.17,51.72
2024-11-11,PLTR,54.22,52.37,58.1
2024-11-12,PLTR,49.06,49.53,55.84
2024-11-13,PLTR,54.2,51.51,58.03
2024-11-14,PLTR,52.14,50.88,57.59
2024-11-15,PLTR,62.68,58.52,64.46
2024-11-18,PLTR,58.98,55.84,63.73
2024-11-19,PLTR,58.65,55.89,64.62
2024-11-20,PLTR,58.99,57.92,65.93
2024-11-21,PLTR,56.31,56.32,63.62
2024-11-22,PLTR,55.95,57.42,65.22
2024-11-25,PLTR,54.73,58.13,65.69
2024-11-26,PLTR,50.83,55.45,62.27
2024-11-27,PLTR,51.45,55.58,62.71
2024-11-29,PLTR,49.94,54.01,60.9
2024-12-02,PLTR,48.97,55.71,62.2
2024-12-03,PLTR,54.08,59.2,64.83
2024-12-04,PLTR,54.18,59.98,65.06
2024-12-05,PLTR,55.44,54.42,58.5
2024-12-06,PLTR,58.54,63.91,69.84
2024-12-09,PLTR,65.07,69.65,73.47
2024-12-10,PLTR,62.87,68.42,72.07
2024-12-11,PLTR,63.28,70.1,72.86
2024-12-12,PLTR,64.03,68.64,73.36
2024-12-13,PLTR,64.62,71.82,72.77
2024-12-16,PLTR,65.75,74.95,74.34
2024-12-17,PLTR,64.41,73.54,72.01
2024-12-18,PLTR,67.78,75.69,74.63
2024-12-19,PLTR,69.83,78.84,77.12
2024-12-20,PLTR,63.88,74.6,73.67
2024-12-23,PLTR,61.56,76.98,73.12
2024-12-24,PLTR,59.05,77.03,72.06
2024-12-26,PLTR,59.6,75.45,72
2024-12-27,PLTR,61.3,76.56,71.67
2024-12-30,PLTR,58.86,74.16,69.32
2024-12-31,PLTR,58.11,72.87,68.3
2025-01-02,PLTR,57.84,70.87,66.65
2025-01-03,PLTR,60.86,73.69,68.73
2025-01-06,PLTR,68.24,72.51,67.68
2025-01-07,PLTR,72.2,73.08,68.34
2025-01-08,PLTR,71.19,70.41,66.68
2025-01-10,PLTR,73.23,69.58,66.12
2025-01-13,PLTR,74.23,67.99,64.74
2025-01-14,PLTR,79.03,68.55,64.97
2025-01-15,PLTR,76.82,67,63.64
2025-01-16,PLTR,77.03,67.05,63.63
2025-01-17,PLTR,77.3,67.22,64.01
2025-01-21,PLTR,76.06,65.82,63.58
2025-01-22,PLTR,77.35,67.48,64.98
2025-01-23,PLTR,76.69,66.69,65.13
2025-01-24,PLTR,77.88,67.77,65.82
2025-01-27,PLTR,82.17,70.55,68.15
2025-01-28,PLTR,83.69,71.66,69.37
2025-01-29,PLTR,81.89,71.02,69.29
2025-01-30,PLTR,82.39,72.29,70.61
2025-01-31,PLTR,80.87,72.22,71.36
2025-02-03,PLTR,83.44,73.05,72.34
2025-02-04,PLTR,61.6,60.71,64.94
2025-02-05,PLTR,57.09,57.11,62.72
2025-02-06,PLTR,61.92,61.32,66.71
2025-02-07,PLTR,62.38,62.18,67.98
2025-02-10,PLTR,63.84,63.38,69.44
2025-02-11,PLTR,63.29,63.34,70.3
2025-02-12,PLTR,61.72,61.95,70.29
2025-02-13,PLTR,58.49,60.12,68.99
2025-02-14,PLTR,57.86,59,68.75
2025-02-18,PLTR,61.13,62.06,72.03
2025-02-19,PLTR,68.84,66.64,73.66
2025-02-20,PLTR,66.01,64.45,72.14
2025-02-21,PLTR,68.07,66.18,72.67
2025-02-24,PLTR,71.21,68.74,72.81
2025-02-25,PLTR,72.03,69.62,72.82
2025-02-26,PLTR,69.31,68.65,71.77
2025-02-27,PLTR,69.89,69.23,72.18
2025-02-28,PLTR,69.64,69.72,72.23
2025-03-03,PLTR,74.82,74.72,75.19
2025-03-04,PLTR,73.75,73.91,73.79
2025-03-05,PLTR,71.49,72.42,72.79
2025-03-06,PLTR,81.02,77.93,77.62
2025-03-07,PLTR,75.57,74.77,75.03
2025-03-10,PLTR,86.99,82.92,80.02
2025-03-11,PLTR,82.64,80.88,78.29
2025-03-12,PLTR,76.92,78.12,75.79
2025-03-13,PLTR,78.03,78.74,76.61
2025-03-14,PLTR,70.6,75.86,73.42
2025-03-17,PLTR,68.23,75.3,71.57
2025-03-18,PLTR,69.92,78.55,72.85
2025-03-19,PLTR,65.98,75.35,70.71
2025-03-20,PLTR,65.65,76.05,70.89
2025-03-21,PLTR,63.66,75.23,70.17
2025-03-24,PLTR,62.36,74.1,69.38
2025-03-25,PLTR,60.26,73.73,68.59
2025-03-26,PLTR,62.59,74.98,69.64
2025-03-27,PLTR,63.01,75.47,70.2
2025-03-28,PLTR,68.42,78.53,72.54
2025-03-31,PLTR,69.78,78.15,72.28
2025-04-01,PLTR,68.89,78.5,72.57
2025-04-02,PLTR,67.48,77.34,71.23
2025-04-03,PLTR,75.38,80.54,75.07
2025-04-04,PLTR,93.85,89.48,81.92
2025-04-07,PLTR,101.3,90.59,81.97
2025-04-08,PLTR,107.29,94.5,85.57
2025-04-09,PLTR,85.72,78.95,72.56
2025-04-10,PLTR,95.94,86.19,78.46
2025-04-11,PLTR,90.51,80.51,75.31
2025-04-14,PLTR,89.7,78.8,73.75
2025-04-15,PLTR,90.09,78.41,73.87
2025-04-16,PLTR,93.31,80.31,75.15
2025-04-17,PLTR,89.23,77.45,72.9
2025-04-21,PLTR,93.58,81,75.85
2025-04-22,PLTR,89.01,77.53,73.7
2025-04-23,PLTR,87.37,76.28,72.6
2025-04-24,PLTR,87.47,77.16,73.75
2025-04-25,PLTR,87.2,75.89,72.29
