ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
PNC,2007-01-03,11.75,2.86197,3.23037,0.0003,0.0924,11.51,14.57,15.25,15.34,3
PNC,2007-01-04,15.86,2.00766,3.25861,0.0002,0.0544,12.15,14.94,15.52,15.55,3
PNC,2007-01-05,16.26,1.20118,3.10896,0.0751,0.0822,11.97,15.29,15.93,15.96,3
PNC,2007-01-08,11.81,2.41125,3.24473,0.0003,0.0836,12.55,15.3,15.82,15.85,3
PNC,2007-01-09,11.81,1.97596,3.06634,0.0003,0.0934,13.21,15.44,15.88,15.87,3
PNC,2007-01-10,16.17,3.83182,3.2834,0.0003,0.0939,13.24,15.44,15.72,15.64,3
PNC,2007-01-11,14.85,2.3659,3.35329,0.0003,0.075,13.24,15.24,15.52,15.49,3
PNC,2007-01-12,15.2,3.61652,3.63734,0.0002,0.0632,13.26,14.67,15.15,15.25,3
PNC,2007-01-16,12,2.9168,3.22356,0.0002,0.0702,13.07,16.83,16.25,15.77,3
PNC,2007-01-17,15.29,3.16488,3.36287,0.0002,0.0712,13.08,15.97,15.82,15.69,3
PNC,2007-01-18,14.83,3.61059,3.2372,0.0002,0.0673,12.76,16.04,15.88,15.76,3
PNC,2007-01-19,11.48,4.05667,3.4401,0.0003,0.0882,12.7,16.05,15.79,15.59,3
PNC,2007-01-22,12.08,2.79489,3.15958,0.0288,0.0578,12.47,15.34,14.84,15.04,3
PNC,2007-01-23,12.65,1.80785,3.37828,0.0385,0.0836,12.54,14.53,14.3,14.66,3.1
PNC,2007-01-24,13.59,2.97495,3.39041,0.0005,0.0801,12.57,13.84,13.85,14.27,3
PNC,2007-01-25,13.99,2.59297,3.25978,0.0586,0.0794,12.69,14.16,14.15,14.54,3.1
PNC,2007-01-26,14.11,2.52219,3.18827,0.0262,0.0767,13.63,14.18,14.22,14.53,3.1
PNC,2007-01-29,14.11,2.30288,2.94322,0.0499,0.0947,13.78,14.38,14.36,14.61,3.1
PNC,2007-01-30,13.47,2.06487,3.17118,0.0964,0.0735,13.7,13.66,13.76,14.15,3
PNC,2007-01-31,13.59,2.42226,3.07996,0.0002,0.0579,13.86,13.62,13.81,14.26,3
PNC,2007-02-01,13.46,2.43828,3.1279,0.0009,0.0723,13.81,13.1,13.53,14.18,3
PNC,2007-02-02,13.01,2.97783,3.15601,0.0003,0.0522,13.15,12.81,13.36,13.74,3
PNC,2007-02-05,13.07,3.02145,3.23243,0.0018,0.0721,13.11,13.14,13.42,13.8,3
PNC,2007-02-06,13.11,3.71879,2.5296,0.0058,0.1197,12.71,12.93,13.39,13.94,3
PNC,2007-02-07,12.61,2.92365,3.07734,0.0055,0.0764,12.06,12.66,13.19,13.66,3
PNC,2007-02-08,12.64,3.24137,3.27025,0.0024,0.094,12.04,12.23,13.06,13.86,3
PNC,2007-02-09,12.6,3.44982,3.06095,0.0036,0.0799,12.1,12.58,13.13,13.64,3
PNC,2007-02-12,13.29,3.8275,3.23295,0.0082,0.0982,12.19,12.76,13.36,13.91,3
PNC,2007-02-13,12.36,0.357335,3.14563,0.0007,0.0572,12.21,11.71,12.65,13.43,3
PNC,2007-02-14,12.54,0.322336,3.08375,0.0009,0.073,12.63,11.53,12.6,13.45,3
PNC,2007-02-15,12.11,0.362175,3.06366,0.0034,0.0593,12.61,11.62,12.63,13.41,3
PNC,2007-02-16,12.55,0.383607,3.09212,0.0019,0.0645,12.61,12.02,12.93,13.63,3
PNC,2007-02-20,12.35,3.22359,3.28309,0.0021,0.0669,12.59,12.07,12.64,13.39,2.9
PNC,2007-02-21,13.05,2.46451,3.13678,0.0156,0.0798,13.57,12.03,13.3,13.47,3
PNC,2007-02-22,13.33,1.83473,3.2471,0.0005,0.0913,12.94,12.56,13.36,13.45,3
PNC,2007-02-23,13.63,1.6409,3.06752,0.0014,0.0995,12.89,12.9,13.83,14.03,3
PNC,2007-02-26,13.78,3.26525,3.31548,0.0027,0.0942,11.91,13.58,14,14.33,3
PNC,2007-02-27,17.32,3.32859,3.30944,0.0038,0.1058,11.67,17.66,17.05,17.11,3
PNC,2007-02-28,17,3.19487,2.9685,0.0041,0.0727,14.57,16.36,16.41,16.18,3.1
PNC,2007-03-01,17.3,2.84495,3.32013,0.0038,0.0784,14.82,16.71,16.67,16.36,3.1
PNC,2007-03-02,17.53,3.07334,3.134,0.0041,0.0661,15.25,17.86,17.32,17.12,3.1
PNC,2007-03-05,20.46,2.82592,3.15778,0.0752,0.063,15.62,20.71,19.27,18.58,3.1
PNC,2007-03-06,18.16,2.90479,3.37131,0.0485,0.0707,16.6,18.39,17.85,17.5,3.1
PNC,2007-03-07,18.41,2.75917,3.05532,0.0498,0.0706,16.78,17.87,17.58,17.38,3.1
PNC,2007-03-08,17.24,3.44211,3.3725,0.0029,0.069,17.12,17.1,16.91,16.84,3.1
PNC,2007-03-09,17.78,2.63259,3.06426,0.0058,0.0946,17.41,16.77,16.79,16.76,3.1
PNC,2007-03-12,16.99,3.17489,3.58762,0.0049,0.0826,17.45,17.2,16.9,16.87,3.1
PNC,2007-03-13,19.07,3.46428,2.97647,0.0021,0.0698,17.55,19.28,18.81,18.55,3.2
PNC,2007-03-14,19.45,3.82723,3.23674,0.0046,0.0676,19.55,19.26,19.33,19.38,3.2
PNC,2007-03-15,18.85,3.0477,3.33142,0.0061,0.0595,19.89,18.34,18.92,18.99,3.2
PNC,2007-03-16,19.29,4.09559,3.54739,0.0039,0.0714,21.89,19,19.3,19.18,3.2
PNC,2007-03-19,17.84,3.72454,3.27931,0.0037,0.071,22.12,17.51,18,18.12,3.1
PNC,2007-03-20,17.39,2.7491,3.20371,0.0711,0.0712,22.39,17.14,17.45,17.47,3.1
PNC,2007-03-21,16.22,2.8848,3.38489,0.0399,0.0832,21.6,14.76,15.83,16.16,3.1
PNC,2007-03-22,15.47,3.03145,3.15865,0.0265,0.0649,22.47,15.27,15.6,16,3.1
PNC,2007-03-23,15.41,2.48705,3.17804,0.0392,0.0757,22.44,15.36,15.44,15.98,3.1
PNC,2007-03-26,16.19,4.20254,3.41856,0.0302,0.079,22.44,16.01,16.35,16.62,3.1
PNC,2007-03-27,15.78,3.47266,3.46573,0.0286,0.0738,22.54,15.47,15.86,16.29,3.1
PNC,2007-03-28,17.19,2.34307,3.16379,0.0449,0.0602,20.92,17.39,17.04,17.27,3.1
PNC,2007-03-29,16.73,3.49463,3.48214,0.0318,0.0713,21.17,16.63,16.83,17.04,3.1
PNC,2007-03-30,16.66,3.38553,3.1967,0.0339,0.0785,20.77,16.56,16.81,17.15,3.1
PNC,2007-04-02,18.18,2.66524,3.23372,0.0001,0.0655,20.65,19.24,18.09,18.17,3.2
PNC,2007-04-03,17.26,3.16362,3.09773,0.0174,0.062,20.58,17.55,17.31,17.39,3.1
PNC,2007-04-04,16.97,2.64929,3.04585,0.04,0.0587,21,17.6,17.13,17.37,3.1
PNC,2007-04-05,16.72,2.30865,3.43741,0.0227,0.0632,20.81,17.39,16.77,16.87,3.1
PNC,2007-04-09,17.34,2.67924,3.26154,0.0217,0.0534,20.57,17.59,17.01,17.17,3.2
