ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
QCOM,2007-01-03,31.24,1.59197,2.20745,0.0641,0.0587,29.79,34.17,35.53,34.25,1.4
QCOM,2007-01-04,31.77,1.63322,2.47867,0.077,0.0475,31.34,31.35,33.56,33.35,1.3
QCOM,2007-01-05,31.62,2.00769,2.6319,0.0451,0.0573,33.38,32.39,34.44,34.03,1.4
QCOM,2007-01-08,33.43,1.89365,2.56914,0.0168,0.0511,31.56,34.79,35.53,34.55,1.4
QCOM,2007-01-09,32.93,1.53989,2.39822,0.0092,0.0499,31.42,34.81,35.05,34.4,1.4
QCOM,2007-01-10,32.83,1.79612,2.50456,0.0492,0.0485,30.22,33.42,34.2,33.79,1.4
QCOM,2007-01-11,30.65,2.66939,2.69062,0.0379,0.054,29.82,32.04,32.98,32.62,1.3
QCOM,2007-01-12,30.66,3.22593,2.69923,0.1136,0.049,30.69,30.34,32.07,32.34,1.3
QCOM,2007-01-16,32.95,2.96293,2.79585,0.0403,0.0524,30.57,36.16,34.78,33.63,1.3
QCOM,2007-01-17,31.49,2.45957,2.78133,0.0015,0.0341,30.18,36.38,34.64,33.25,1.3
QCOM,2007-01-18,30.64,2.6986,2.74597,0.0396,0.0532,29.44,35.82,34.11,32.8,1.4
QCOM,2007-01-19,30.74,2.2375,2.83369,0.0196,0.0429,29.96,34.15,33.04,32.18,1.4
QCOM,2007-01-22,30.37,2.20066,2.65291,0.0687,0.0572,29.73,36.29,33.72,32.57,1.4
QCOM,2007-01-23,32.45,1.89692,2.62165,0.0629,0.0535,29.95,34.34,33.41,32.88,1.4
QCOM,2007-01-24,32.87,1.18146,2.41417,0.0881,0.0629,30.17,35.57,33.15,32.92,1.3
QCOM,2007-01-25,30.02,1.38939,2.49949,0.0133,0.0582,30.56,28.64,29.99,31,1.4
QCOM,2007-01-26,30.39,0.599873,2.50252,0.0023,0.0485,31.57,28.81,30.43,32.09,1.4
QCOM,2007-01-29,31.75,2.07801,2.49559,0.016,0.0451,32.02,30.45,31.88,32.49,1.4
QCOM,2007-01-30,31.02,1.7841,2.40875,0.0086,0.0495,32.21,28.87,30.97,32.74,1.4
QCOM,2007-01-31,29.48,0.931264,2.39457,0.0428,0.0464,32.16,27.88,29.93,31.08,1.4
