tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,RBLX,36.55,43.66,50.16
2024-06-04,RBLX,35.65,43.9,49.61
2024-06-05,RBLX,33.97,43.5,49.07
2024-06-06,RBLX,33.5,42.11,48.79
2024-06-07,RBLX,33.04,42.53,49.39
2024-06-10,RBLX,33.56,45.55,48.6
2024-06-11,RBLX,34.85,46.8,49.36
2024-06-12,RBLX,33.25,46.8,48.52
2024-06-13,RBLX,33.65,47.49,48.85
2024-06-14,RBLX,34.99,48.72,49.14
2024-06-17,RBLX,35.46,52.51,49.4
2024-06-18,RBLX,34.78,53.49,49.35
2024-06-20,RBLX,35.33,53.37,49.25
2024-06-21,RBLX,33.05,52.05,47.95
2024-06-24,RBLX,32.71,52.66,47.88
2024-06-25,RBLX,33.6,52.71,47.78
2024-06-26,RBLX,33.16,53.12,47.57
2024-06-27,RBLX,32.4,52.6,47.63
2024-06-28,RBLX,34.12,52.64,47.27
2024-07-01,RBLX,36.71,53.28,48.62
2024-07-02,RBLX,37.43,52.45,47.52
2024-07-03,RBLX,59.55,52.6,47.86
2024-07-05,RBLX,65.35,52.63,48.68
2024-07-08,RBLX,65.97,53.89,48.79
2024-07-09,RBLX,66.54,53.99,48.99
2024-07-10,RBLX,66.45,54.11,48.94
2024-07-11,RBLX,65.56,53.14,48.37
2024-07-12,RBLX,66.06,52.97,48.51
2024-07-15,RBLX,66.08,52.81,48.35
2024-07-16,RBLX,64.6,52.32,48.17
2024-07-17,RBLX,68.37,53.75,49.02
2024-07-18,RBLX,69.82,54.87,49.73
2024-07-19,RBLX,68.94,54.66,50.28
2024-07-22,RBLX,66.35,53.52,48.84
2024-07-23,RBLX,67.86,54.44,50.6
2024-07-24,RBLX,70.18,55.45,51.96
2024-07-25,RBLX,69.58,56.11,51.54
2024-07-26,RBLX,69.89,55.76,51.6
2024-07-29,RBLX,66.7,53.88,50.68
2024-07-30,RBLX,72.83,58.19,53.7
2024-07-31,RBLX,63.59,52.08,49.26
2024-08-01,RBLX,41.82,37.4,39.41
2024-08-02,RBLX,43.58,40.85,42.65
2024-08-05,RBLX,51.06,48.5,48.18
2024-08-06,RBLX,43.43,41.53,43.42
2024-08-07,RBLX,44.57,40.8,42.92
2024-08-08,RBLX,39.72,38.87,42.5
2024-08-09,RBLX,37.58,37.17,39.48
2024-08-12,RBLX,36.41,36.19,39.32
2024-08-13,RBLX,36.2,36.27,45.13
2024-08-14,RBLX,35.44,34.84,44.29
2024-08-15,RBLX,32.8,33.55,43.71
2024-08-16,RBLX,30.73,32.95,44.05
2024-08-19,RBLX,29.85,31.27,44.32
2024-08-20,RBLX,32.15,32.97,45.37
2024-08-21,RBLX,35.46,35.55,46.82
2024-08-22,RBLX,36.44,36.81,47.21
2024-08-23,RBLX,34.48,35.94,46.1
2024-08-26,RBLX,34.03,37.18,46.05
2024-08-27,RBLX,32.1,37.08,45.59
2024-08-28,RBLX,33.5,38.14,45.83
2024-08-29,RBLX,33.12,37.83,45.81
2024-08-30,RBLX,30.96,37.01,44.34
2024-09-03,RBLX,35.03,41.98,46.61
2024-09-04,RBLX,36.48,42.8,46.65
2024-09-05,RBLX,35.91,41.66,46.57
2024-09-06,RBLX,37.24,42.79,47.1
2024-09-09,RBLX,36.29,44.37,46.32
2024-09-10,RBLX,36.15,44.94,46.24
2024-09-11,RBLX,34.8,45.08,45.43
2024-09-12,RBLX,34.31,43.7,44.91
2024-09-13,RBLX,32.79,45.24,43.97
2024-09-16,RBLX,37.73,50.26,46.6
2024-09-17,RBLX,37.28,52.35,47.96
2024-09-18,RBLX,38.42,53.34,47.8
2024-09-19,RBLX,39.91,54.97,49.75
2024-09-20,RBLX,41.34,53.52,49.25
2024-09-23,RBLX,42.51,53.96,48.9
2024-09-24,RBLX,44.12,55.38,50.58
2024-09-25,RBLX,43.72,55.64,50.57
2024-09-26,RBLX,49.76,58.21,52.99
2024-09-27,RBLX,56.68,61.5,54.44
2024-09-30,RBLX,62.37,62.47,55.95
2024-10-01,RBLX,74.23,65.02,57.42
2024-10-02,RBLX,78.73,65.39,57.96
2024-10-03,RBLX,78.49,62.8,57
2024-10-04,RBLX,77.35,62.62,55.75
2024-10-07,RBLX,77.77,62.58,56.16
2024-10-08,RBLX,73.62,58.16,52.08
2024-10-09,RBLX,70.07,56.76,50.9
2024-10-10,RBLX,68.78,55.14,49.09
2024-10-11,RBLX,66.51,55.46,48.79
2024-10-14,RBLX,67.38,54.41,50.12
2024-10-15,RBLX,67.99,55.16,50.04
2024-10-16,RBLX,65.86,55.4,48.85
2024-10-17,RBLX,64.5,54.24,48.98
2024-10-18,RBLX,65.36,52.98,48.71
2024-10-21,RBLX,65.19,52.87,48.53
2024-10-22,RBLX,62.69,51.59,47.54
2024-10-23,RBLX,63.73,52.99,48.64
2024-10-24,RBLX,62.58,52.49,48.19
2024-10-25,RBLX,61.74,51.13,48.23
2024-10-28,RBLX,62.21,51.33,48.09
2024-10-29,RBLX,60.4,50.02,46.59
2024-10-30,RBLX,65.36,53.52,50.07
2024-10-31,RBLX,37.33,36.66,37.81
2024-11-01,RBLX,34.52,34.85,37.01
2024-11-04,RBLX,36.31,35.81,38.17
2024-11-05,RBLX,35.04,34.15,36.59
2024-11-06,RBLX,30.17,30.27,33.3
2024-11-07,RBLX,30.53,30.81,34.5
2024-11-08,RBLX,31.72,31.65,35.42
2024-11-11,RBLX,35.97,35.56,39.16
2024-11-12,RBLX,35.15,34.51,38.89
2024-11-13,RBLX,34.39,33.51,41.01
2024-11-14,RBLX,32.68,31.67,41.62
2024-11-15,RBLX,33.09,32.85,42.68
2024-11-18,RBLX,32.87,31.47,42.86
2024-11-19,RBLX,34.52,33.21,44.29
2024-11-20,RBLX,34.42,33.51,44.94
2024-11-21,RBLX,35.36,35.83,46.04
2024-11-22,RBLX,34.59,35.09,46.12
2024-11-25,RBLX,35.55,37.97,46.9
2024-11-26,RBLX,34.74,37.3,47.23
2024-11-27,RBLX,34.76,37.67,47.66
2024-11-29,RBLX,34.3,38.77,47.05
2024-12-02,RBLX,35.05,40.23,46.96
2024-12-03,RBLX,33.84,39.7,46.48
2024-12-04,RBLX,34.61,40.52,46.66
2024-12-05,RBLX,36.99,41.83,48.66
2024-12-06,RBLX,37.85,42.19,49.09
2024-12-09,RBLX,38.67,45.49,50.14
2024-12-10,RBLX,38.15,45.35,49.63
2024-12-11,RBLX,39.86,46.94,50.98
2024-12-12,RBLX,40.14,45.83,52.1
2024-12-13,RBLX,40.15,47.03,52.19
2024-12-16,RBLX,41.82,50.53,53.24
2024-12-17,RBLX,41.33,51.51,53.36
2024-12-18,RBLX,40.79,52.14,53.41
2024-12-19,RBLX,42.01,53.76,53.81
2024-12-20,RBLX,39.36,52.3,52.03
2024-12-23,RBLX,37.96,53.54,50.82
2024-12-24,RBLX,35.83,52.77,49.74
2024-12-26,RBLX,36.47,53.12,49.68
2024-12-27,RBLX,36.51,52.86,49.7
2024-12-30,RBLX,38.38,54.19,50.54
2024-12-31,RBLX,37.3,52.26,49.28
2025-01-02,RBLX,39.06,52.25,49.16
2025-01-03,RBLX,43.23,53.11,49.58
2025-01-06,RBLX,49.85,53.35,49.82
2025-01-07,RBLX,58,53.89,50.14
2025-01-08,RBLX,60.04,53.73,50.16
2025-01-10,RBLX,63.52,53.47,49.86
2025-01-13,RBLX,64.7,53.66,49.83
2025-01-14,RBLX,63.48,53.14,49.43
2025-01-15,RBLX,63.13,52.51,48.62
2025-01-16,RBLX,63.06,53.21,49.09
2025-01-17,RBLX,62.67,52.73,48.95
2025-01-21,RBLX,61.09,51.38,47.98
2025-01-22,RBLX,61.02,51.31,47.94
2025-01-23,RBLX,61.85,51.98,48.6
2025-01-24,RBLX,62.6,52.35,49.15
2025-01-27,RBLX,66.15,54.85,51.42
2025-01-28,RBLX,65.75,54.4,51.02
2025-01-29,RBLX,66.53,55.21,51.78
2025-01-30,RBLX,67.54,55.66,52.44
2025-01-31,RBLX,65.85,54.22,51.41
2025-02-03,RBLX,66.15,54.4,51.75
2025-02-04,RBLX,64.55,53.51,51.01
2025-02-05,RBLX,69.96,56.69,53.14
2025-02-06,RBLX,37.02,37.62,40.3
2025-02-07,RBLX,42.55,41.24,43.19
