tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,ROST,17.91,17.44,19.04
2024-06-04,ROST,17.26,17.41,19.05
2024-06-05,ROST,17.14,17.43,19.12
2024-06-06,ROST,15.93,17.02,18.08
2024-06-07,ROST,15.3,16.8,18.16
2024-06-10,ROST,16.33,16.74,18.03
2024-06-11,ROST,15.64,16.12,17.72
2024-06-12,ROST,15.25,16.25,18.02
2024-06-13,ROST,15.1,15.52,17.17
2024-06-14,ROST,15.34,17.01,18.2
2024-06-17,ROST,15.45,16.94,18.52
2024-06-18,ROST,14.63,17.15,18.89
2024-06-20,ROST,15.99,15.47,17.89
2024-06-21,ROST,14.94,16.67,18.63
2024-06-24,ROST,14.48,16.62,18.62
2024-06-25,ROST,14.46,15.61,17.53
2024-06-26,ROST,13.82,17.15,18.47
2024-06-27,ROST,14.72,17.32,18.59
2024-06-28,ROST,15.5,17.52,19.14
2024-07-01,ROST,16.04,16.92,18.73
2024-07-02,ROST,15.23,17.08,18.29
2024-07-03,ROST,15.53,21.72,21.36
2024-07-05,ROST,15.16,23.63,22.57
2024-07-08,ROST,15.78,23.84,22.5
2024-07-09,ROST,15.44,23.16,21.89
2024-07-10,ROST,16,23.79,22.64
2024-07-11,ROST,15.52,23.48,22.27
2024-07-12,ROST,14.84,23.1,21.8
2024-07-15,ROST,15.9,23.84,22.88
2024-07-16,ROST,15.9,24.11,22.53
2024-07-17,ROST,17.25,25.07,23.89
2024-07-18,ROST,18.68,23.66,22.78
2024-07-19,ROST,21.37,24.06,22.8
2024-07-22,ROST,18.96,23.83,22.91
2024-07-23,ROST,26.06,23.53,23.47
2024-07-24,ROST,28.74,24.8,23.75
2024-07-25,ROST,30.51,24.68,24.56
2024-07-26,ROST,31.42,25.16,24.9
2024-07-29,ROST,31.27,25.04,24.48
2024-07-30,ROST,31.01,25.14,24.33
2024-07-31,ROST,30.23,24.86,24.16
2024-08-01,ROST,31.98,25.94,25.34
2024-08-02,ROST,34.99,28.7,27.67
2024-08-05,ROST,38.98,32.77,30.58
2024-08-06,ROST,35.81,31.26,29.17
2024-08-07,ROST,35.67,31.05,29.79
2024-08-08,ROST,33.21,30.29,29.78
2024-08-09,ROST,34.12,29.86,28.32
2024-08-12,ROST,34.33,29.79,28.62
2024-08-13,ROST,33.69,28.85,26.74
2024-08-14,ROST,32.75,29,28.09
2024-08-15,ROST,31.03,25.91,24.68
2024-08-16,ROST,31.42,24.83,24.55
2024-08-19,ROST,31.02,24.58,24.16
2024-08-20,ROST,30.69,25.11,24.41
2024-08-21,ROST,29.51,24.99,24.39
2024-08-22,ROST,30.26,24.04,23.73
2024-08-23,ROST,16.18,16.11,18.21
2024-08-26,ROST,17.11,17.6,19.38
2024-08-27,ROST,17.1,16.86,19.36
2024-08-28,ROST,17.72,18.16,19.91
2024-08-29,ROST,16.44,17.07,19.47
2024-08-30,ROST,16.03,18.04,19.19
2024-09-03,ROST,18.78,19.8,21.36
2024-09-04,ROST,19.09,19.88,21.06
2024-09-05,ROST,18.88,18.72,21.29
2024-09-06,ROST,20.35,21.56,22.83
2024-09-09,ROST,20.47,20.97,22.28
2024-09-10,ROST,19.24,21.08,22.11
2024-09-11,ROST,18.69,19.96,21.41
2024-09-12,ROST,18.05,19.72,21.16
2024-09-13,ROST,18.05,19.4,20.66
2024-09-16,ROST,18.38,20.24,21.37
2024-09-17,ROST,18.74,21.45,21.96
2024-09-18,ROST,18.83,21.62,21.68
2024-09-19,ROST,17.8,20.21,21.03
2024-09-20,ROST,17.1,19.36,20.76
2024-09-23,ROST,17.59,20.17,21.39
2024-09-24,ROST,17.77,20.4,21.27
