ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
SCHW,2007-01-03,28.69,0.327156,2.72287,0.0119,0.0401,23.22,27.94,27.63,27.52,1
SCHW,2007-01-04,28.44,0.374937,2.52533,0.0004,0.0329,23.08,28.63,27.21,27.18,1
SCHW,2007-01-05,31.63,2.58831,3.04079,0.0002,0.051,19.95,28.6,29.5,29.49,1
SCHW,2007-01-08,29.55,0.196663,2.76569,0.0006,0.0629,20.58,30.3,28.67,28.25,1
SCHW,2007-01-09,28.38,0.839202,2.81013,0.0004,0.0186,21.37,29.16,28.12,27.92,1
SCHW,2007-01-10,26.44,0.0208203,2.78613,0.0003,0.0308,21.5,28.83,26.97,26.78,1
SCHW,2007-01-11,27.17,0.618405,2.93574,0.0004,0.0443,22.18,27.74,26.31,26.31,1
SCHW,2007-01-12,28.44,0.224197,2.93337,0.0004,0.0711,22.8,35.07,28.74,27.76,1
SCHW,2007-01-16,26.91,0.689759,3.10836,0.0004,0.0637,23.27,31.03,28.02,27.46,1
SCHW,2007-01-17,26,0.0111709,1.78844,0.0003,0.0557,24.03,27.24,26.31,26.32,1
SCHW,2007-01-18,28.07,0.848214,3.01065,0.0002,0.0407,26,26.97,27.8,27.15,1
SCHW,2007-01-19,27.59,0.997539,2.37124,0.0004,0.0822,27.27,27.75,26.76,26.4,1
SCHW,2007-01-22,28.25,1.00336,2.85994,0.0003,0.0409,26.22,27.84,26.33,26.06,1.1
SCHW,2007-01-23,26.06,1.72564,2.57186,0.0002,0.0774,26.69,25.72,25.84,25.68,1.1
SCHW,2007-01-24,27.81,1.31696,2.86088,0.0002,0.0694,27.08,27.56,27.29,26.62,1.1
SCHW,2007-01-25,28.98,0.327505,2.86312,0.0003,0.0438,27.17,27.78,27.51,27.14,1.1
SCHW,2007-01-26,29.24,0.432606,2.56522,0.0003,0.0447,28.96,28.2,26.9,26.79,1.1
SCHW,2007-01-29,31.02,-0.171891,2.02458,0.0006,0.0518,29.99,28.52,28.75,28.4,1.1
SCHW,2007-01-30,29.76,0.114152,2.37433,0.0002,0.0482,32.64,28.98,29.18,28.43,1.1
SCHW,2007-01-31,28.61,1.08682,2.5853,0.0006,0.0602,33.02,29.01,27.4,27.13,1.1
SCHW,2007-02-01,27.52,0.0228871,2.32842,0.0007,0.0633,34.29,26.6,26.07,26.14,1
SCHW,2007-02-02,28.04,0.00953954,2.40922,0.0001,0.0392,33.66,26.96,27.55,26.93,1
SCHW,2007-02-05,26.42,0.0301666,2.46377,0.001,0.0848,33.29,26.03,25.85,25.88,1
SCHW,2007-02-06,27.07,0.0264354,2.27921,0.0005,0.0462,32.46,26.41,26.27,26.23,1
SCHW,2007-02-07,27.99,0.0349831,2.93113,0.0005,0.0472,32.18,25.05,25.72,25.96,1.2
SCHW,2007-02-08,27.78,0.0271987,2.38625,0.0009,0.0637,32.22,23.66,24.66,25.69,1.2
SCHW,2007-02-09,28.39,1.72289,2.58199,0.001,0.0777,31.76,24.62,26.16,26.27,1.2
SCHW,2007-02-12,27.9,2.76995,2.41576,0.0009,0.0747,33.22,26.57,26.76,26.62,1.2
SCHW,2007-02-13,26.54,1.1981,2.86696,0.0002,0.0198,32.9,25.63,25.99,26.29,1.2
SCHW,2007-02-14,27.16,0.0300952,2.96265,0.0005,0.0553,32.27,26.39,26.14,25.93,1.2
SCHW,2007-02-15,26.74,0.0675244,3.02483,0.0006,0.0231,31.54,24.44,25.35,26.04,1.2
SCHW,2007-02-16,27.47,0.0706761,3.00936,0.0009,0.0348,31,23.51,24.42,25.12,1.2
SCHW,2007-02-20,26.44,0.0223563,2.30073,0.0005,0.082,30.97,24.49,25.88,25.78,1.2
SCHW,2007-02-21,24.52,0.0728288,3.08559,0.0016,0.0537,30.51,23.57,24.32,24.68,1.1
SCHW,2007-02-22,27.09,0.0721193,2.41168,0.0015,0.0675,30.26,23.36,25.15,25.47,1.1
SCHW,2007-02-23,26.36,1.36118,2.47258,0.0009,0.1014,30.33,24.35,26.11,26.01,1.2
SCHW,2007-02-26,28.08,1.08199,2.63689,0.0003,0.0346,29.49,28.13,27.47,27.06,1.2
