tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,SMCI,66.78,72.36,74.55
2024-06-04,SMCI,64.99,71.55,73.51
2024-06-05,SMCI,62.17,71,72.78
2024-06-06,SMCI,62.73,71.01,72.85
2024-06-07,SMCI,60.97,69.95,71.42
2024-06-10,SMCI,61.46,71.21,71.54
2024-06-11,SMCI,60.6,71.23,70.87
2024-06-12,SMCI,59.73,71.31,70.97
2024-06-13,SMCI,69.69,77,75.93
2024-06-14,SMCI,68.42,77.8,76.26
2024-06-17,SMCI,75.86,82.72,79.65
2024-06-18,SMCI,75.04,83.26,79.42
2024-06-20,SMCI,82.59,86.39,82.1
2024-06-21,SMCI,78.75,84.39,79.97
2024-06-24,SMCI,78.27,82.36,77.92
2024-06-25,SMCI,77.36,82.59,78.4
2024-06-26,SMCI,75.98,80.07,76.61
2024-06-27,SMCI,76.57,79.9,76.05
2024-06-28,SMCI,75.86,80.52,76.31
2024-07-01,SMCI,76.24,80.26,76.49
2024-07-02,SMCI,74.11,79.04,75.59
2024-07-03,SMCI,73.14,79.47,74.78
2024-07-05,SMCI,75.4,78.64,74.3
2024-07-08,SMCI,82.51,79.62,75.21
2024-07-09,SMCI,83.54,79.47,75.09
2024-07-10,SMCI,84.33,79.22,75.5
2024-07-11,SMCI,87.22,79.34,74.98
2024-07-12,SMCI,84.98,78.02,74.44
2024-07-15,SMCI,88.21,79.63,75.38
2024-07-16,SMCI,86.46,78.1,74.21
2024-07-17,SMCI,85.48,77.87,74.28
2024-07-18,SMCI,86.7,78.04,74.31
2024-07-19,SMCI,84.53,76.66,73.35
2024-07-22,SMCI,81.92,74.96,72.42
2024-07-23,SMCI,78.59,72.54,70.53
2024-07-24,SMCI,81.52,74.58,71.71
2024-07-25,SMCI,79.45,72.69,70.4
2024-07-26,SMCI,77.34,71.71,70.08
2024-07-29,SMCI,79.13,71.78,70.01
2024-07-30,SMCI,81.43,71.41,71.29
2024-07-31,SMCI,80.24,72.16,70.7
2024-08-01,SMCI,83.44,73.72,72.19
2024-08-02,SMCI,89.08,77.37,74.79
2024-08-05,SMCI,97.08,83.63,80.65
2024-08-06,SMCI,89.79,78.41,77.02
2024-08-07,SMCI,77.96,70.38,70.52
2024-08-08,SMCI,72.21,68.47,69.37
2024-08-09,SMCI,67.67,65.5,67.07
2024-08-12,SMCI,68.59,65.43,68.02
2024-08-13,SMCI,66.94,63.99,67.92
2024-08-14,SMCI,65.77,63.61,67.55
2024-08-15,SMCI,65.22,63.57,68.2
2024-08-16,SMCI,64.93,63.06,68.27
2024-08-19,SMCI,65.73,64.04,69.32
2024-08-20,SMCI,67.38,64.18,70.43
2024-08-21,SMCI,65.09,65.19,69.72
2024-08-22,SMCI,65.95,66.02,70.74
2024-08-23,SMCI,62.78,63.75,68.55
2024-08-26,SMCI,73.61,71.21,73
2024-08-27,SMCI,68.5,67.91,71.29
2024-08-28,SMCI,92.12,83.13,81.03
2024-08-29,SMCI,77.59,75.08,75.59
2024-08-30,SMCI,75.2,74.05,75.58
2024-09-03,SMCI,78.06,76.88,76.72
2024-09-04,SMCI,78.95,78.27,77.32
2024-09-05,SMCI,76.69,78.36,77.62
2024-09-06,SMCI,79.71,80.44,79.34
2024-09-09,SMCI,76.54,79.08,77.5
2024-09-10,SMCI,73.87,78.22,76.47
2024-09-11,SMCI,71.99,77.16,74.74
2024-09-12,SMCI,70.87,77.03,74.43
2024-09-13,SMCI,70.44,76.85,74.48
2024-09-16,SMCI,73.72,78.61,74.33
2024-09-17,SMCI,72.07,79.17,74.42
2024-09-18,SMCI,70.66,77.65,73.71
2024-09-19,SMCI,66.48,75.51,71.42
2024-09-20,SMCI,65.16,73.66,71.08
2024-09-23,SMCI,68.52,75.21,71.46
2024-09-24,SMCI,67.76,74.73,71.44
2024-09-25,SMCI,67.39,74.98,71.44
2024-09-26,SMCI,81.04,84.79,79.33
2024-09-27,SMCI,75.37,82.67,77.16
2024-09-30,SMCI,75.28,80.98,77.6
2024-10-01,SMCI,75.87,81.2,77.37
2024-10-02,SMCI,73.89,80.15,76.58
2024-10-03,SMCI,78.35,82.4,77.26
2024-10-04,SMCI,77.77,80.33,76.08
2024-10-07,SMCI,92.22,86.03,79.41
2024-10-08,SMCI,93.25,86.77,80.72
2024-10-09,SMCI,93.85,85.68,79.74
2024-10-10,SMCI,93.09,86.02,79.43
2024-10-11,SMCI,89.51,81.11,76.79
2024-10-14,SMCI,91.65,82.02,77.37
2024-10-15,SMCI,93.81,83.87,78.85
2024-10-16,SMCI,97.82,86.31,81.39
2024-10-17,SMCI,95.4,85.19,80.29
2024-10-18,SMCI,92.35,83.56,78.92
2024-10-21,SMCI,93.65,83.08,78.78
2024-10-22,SMCI,95.48,84.44,79.34
2024-10-23,SMCI,96.37,84.94,79.8
2024-10-24,SMCI,94.94,83.42,79.43
2024-10-25,SMCI,91.81,82.29,77.84
2024-10-28,SMCI,90.72,81.8,78.75
2024-10-29,SMCI,89.51,80.78,77.6
2024-10-30,SMCI,128.08,108.74,103.25
2024-10-31,SMCI,144.58,124.79,115.22
2024-11-01,SMCI,167.31,142.82,129.55
2024-11-04,SMCI,166.92,142.56,127.81
2024-11-05,SMCI,173.21,144.32,129.35
2024-11-06,SMCI,149.64,131.91,122.17
2024-11-07,SMCI,129.3,119.15,112.09
2024-11-08,SMCI,126.48,116.32,110.85
2024-11-11,SMCI,139.16,129.9,123.31
2024-11-12,SMCI,140.07,125.75,121.92
2024-11-13,SMCI,141.75,127.89,122.84
2024-11-14,SMCI,187.43,164.13,149.4
2024-11-15,SMCI,211.21,177.33,161.31
2024-11-18,SMCI,192.9,168.38,158.71
2024-11-19,SMCI,138.34,122.91,121.69
2024-11-20,SMCI,144.2,131.14,131.45
2024-11-21,SMCI,117.38,117.44,117.05
2024-11-22,SMCI,121.83,116.36,115.58
2024-11-25,SMCI,127.28,118.73,117.77
2024-11-26,SMCI,129.33,119.88,119.02
2024-11-27,SMCI,118.07,114.47,115.14
2024-11-29,SMCI,121.72,122.66,121.51
2024-12-02,SMCI,128.77,117.7,116.09
2024-12-03,SMCI,119.46,115.58,113.03
2024-12-04,SMCI,112.54,111.07,109.56
2024-12-05,SMCI,108.21,111.25,107.37
2024-12-06,SMCI,105.92,105.53,104.73
2024-12-09,SMCI,103.69,105.01,103.07
2024-12-10,SMCI,101.26,105,105.54
2024-12-11,SMCI,102.95,106.65,106.87
2024-12-12,SMCI,104.12,107.11,107.16
2024-12-13,SMCI,104.19,106.9,107.58
2024-12-16,SMCI,107.59,110.34,108.49
2024-12-17,SMCI,101,107.85,106.02
2024-12-18,SMCI,102.71,108.47,105.98
2024-12-19,SMCI,100.05,104.81,101.16
2024-12-20,SMCI,91.42,101.36,99.73
2024-12-23,SMCI,90.42,102.79,100.25
2024-12-24,SMCI,90.86,101.98,100
2024-12-26,SMCI,89.15,101.47,101.03
2024-12-27,SMCI,92.17,105.69,103.81
2024-12-30,SMCI,94.02,105.38,104
2024-12-31,SMCI,93.06,103.19,102.47
2025-01-02,SMCI,92.55,100.59,99.52
2025-01-03,SMCI,94.41,101.64,100.03
2025-01-06,SMCI,104.61,104.32,101.58
2025-01-07,SMCI,99.82,101.28,99.2
2025-01-08,SMCI,102.53,102.45,99.45
2025-01-10,SMCI,108.43,107.22,101.77
2025-01-13,SMCI,110.73,108.86,103.13
2025-01-14,SMCI,111.55,108.9,103.3
2025-01-15,SMCI,109.92,107.39,102.09
2025-01-16,SMCI,108.74,106.27,101.48
2025-01-17,SMCI,107.01,106.86,102.07
2025-01-21,SMCI,111.66,110.35,105.03
2025-01-22,SMCI,116.34,116.71,110.05
2025-01-23,SMCI,117.58,117.84,110.95
2025-01-24,SMCI,123.16,120.21,112.81
2025-01-27,SMCI,141.23,126.8,119.36
2025-01-28,SMCI,144.65,128.84,119.36
2025-01-29,SMCI,149.23,131.34,122.22
2025-01-30,SMCI,144.51,127.86,119.63
2025-01-31,SMCI,142.53,126.11,117.95
2025-02-03,SMCI,143.29,125.64,117.96
2025-02-04,SMCI,141.79,124.28,116.94
2025-02-05,SMCI,143.05,124.59,116.75
2025-02-06,SMCI,142.49,122.54,116.35
2025-02-07,SMCI,144.53,125.11,118.43
2025-02-10,SMCI,151.46,127.06,120.54
2025-02-11,SMCI,146.66,121.24,114.79
2025-02-12,SMCI,113.41,101.22,99.64
2025-02-13,SMCI,112.08,98.54,98.04
2025-02-14,SMCI,112.52,99.98,98.43
2025-02-18,SMCI,126.29,109.01,105.32
2025-02-19,SMCI,144.4,120.86,114.74
2025-02-20,SMCI,137.89,117.45,112.18
2025-02-21,SMCI,141.7,118.47,112.43
2025-02-24,SMCI,141.13,118.43,111.25
2025-02-25,SMCI,156.81,127.86,117.53
2025-02-26,SMCI,111.28,100.6,98.09
2025-02-27,SMCI,110.54,101.9,99.8
2025-02-28,SMCI,101.36,96.7,96.32
2025-03-03,SMCI,109.68,103.87,101.4
2025-03-04,SMCI,107.26,103.21,101.16
2025-03-05,SMCI,105.68,101.82,99.85
2025-03-06,SMCI,108.99,104.93,102.41
2025-03-07,SMCI,100.98,100.21,98.11
2025-03-10,SMCI,109.73,105.66,102.2
2025-03-11,SMCI,104.8,102.44,99.29
2025-03-12,SMCI,100.92,100.45,97.6
