tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,SOFI,44.22,52.65,56.73
2024-06-04,SOFI,42.72,52.02,57.14
2024-06-05,SOFI,42.88,51.02,54.92
2024-06-06,SOFI,42,47.24,55.16
2024-06-07,SOFI,42,50.39,54.95
2024-06-10,SOFI,40.89,52.94,55.61
2024-06-11,SOFI,43.95,53.24,54.97
2024-06-12,SOFI,40.19,52.72,54.7
2024-06-13,SOFI,41.4,56.48,55.08
2024-06-14,SOFI,49.46,61.87,59.18
2024-06-17,SOFI,48.56,62.05,58.95
2024-06-18,SOFI,48.87,61.86,58.3
2024-06-20,SOFI,48.57,61.71,58.94
2024-06-21,SOFI,46.05,60.42,56.93
2024-06-24,SOFI,41.89,57.35,53.12
2024-06-25,SOFI,41.67,57.74,53.86
2024-06-26,SOFI,41.15,56.4,53.09
2024-06-27,SOFI,41.43,56.12,53.59
2024-06-28,SOFI,43.79,57.53,54.11
2024-07-01,SOFI,53.19,58.14,53.42
2024-07-02,SOFI,57.33,58.31,54.38
2024-07-03,SOFI,60.33,57.66,54.13
2024-07-05,SOFI,64.49,56.18,53.48
2024-07-08,SOFI,65.54,57.73,54.84
2024-07-09,SOFI,66.84,59.3,54.95
2024-07-10,SOFI,65.78,59.8,55.67
2024-07-11,SOFI,67.88,60.04,56.06
2024-07-12,SOFI,66.14,59.87,56.19
2024-07-15,SOFI,70.69,61.04,56.28
2024-07-16,SOFI,69.51,59.59,56.34
2024-07-17,SOFI,75.14,63.15,59.73
2024-07-18,SOFI,74.7,63.39,58.69
2024-07-19,SOFI,72.7,62.15,58.51
2024-07-22,SOFI,68.45,59.79,56.39
2024-07-23,SOFI,68.31,61.04,57.52
2024-07-24,SOFI,70.25,62.72,59.47
2024-07-25,SOFI,72.96,64.04,60.08
2024-07-26,SOFI,72.83,64.65,60.53
2024-07-29,SOFI,78.85,67,63.96
2024-07-30,SOFI,58.15,55.84,56
2024-07-31,SOFI,52.35,51.33,53.01
2024-08-01,SOFI,53.69,53.69,54.65
2024-08-02,SOFI,56.42,57.15,58.25
2024-08-05,SOFI,64.12,62.67,63.2
