tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,SQ,40.99,44.21,46.71
2024-06-04,SQ,41.52,43.72,46.22
2024-06-05,SQ,39.63,43.6,45.68
2024-06-06,SQ,39.7,43.07,46.39
2024-06-07,SQ,37.7,42.84,45.95
2024-06-10,SQ,39.7,44.34,45.26
2024-06-11,SQ,40.17,44.81,46.37
2024-06-12,SQ,38.51,45.5,46.18
2024-06-13,SQ,38.02,48.6,45.59
2024-06-14,SQ,39.68,49.16,47.23
2024-06-17,SQ,40.36,49.55,47.61
2024-06-18,SQ,39.67,49.55,47.81
2024-06-20,SQ,39.79,49.54,47.54
2024-06-21,SQ,39.52,48.15,46.98
2024-06-24,SQ,39.67,48.47,46
2024-06-25,SQ,40.12,49.05,46.23
2024-06-26,SQ,40.08,49.13,46.8
2024-06-27,SQ,39.3,49.21,46.99
2024-06-28,SQ,41.07,49.31,46.36
2024-07-01,SQ,48.11,49.46,47.07
2024-07-02,SQ,50,48.84,46.38
2024-07-03,SQ,52.58,49.02,46.88
2024-07-05,SQ,56.8,49.32,47.23
2024-07-08,SQ,58.59,50.69,48.29
2024-07-09,SQ,57.62,49.41,47.24
2024-07-10,SQ,59.99,50.31,48.12
2024-07-11,SQ,58.23,51.04,48.39
2024-07-12,SQ,58.69,50.38,48.76
2024-07-15,SQ,60.53,51.99,50.02
2024-07-16,SQ,59.51,51.42,49.86
2024-07-17,SQ,60.43,51.77,50.11
2024-07-18,SQ,61.7,52.65,50.88
2024-07-19,SQ,63.36,53.32,51.86
2024-07-22,SQ,60.56,52.76,51.52
2024-07-23,SQ,62.31,53.34,52.13
2024-07-24,SQ,64.76,56.59,54.83
2024-07-25,SQ,66.37,56.24,54.58
2024-07-26,SQ,67.76,56.9,55.51
2024-07-29,SQ,66.31,57.1,55.51
2024-07-30,SQ,68.75,57.3,55.56
2024-07-31,SQ,69.21,58.71,56.72
2024-08-01,SQ,69.18,58.01,56.12
2024-08-02,SQ,52.09,50.08,50.85
2024-08-05,SQ,58.58,56.23,55.97
2024-08-06,SQ,49.72,50,50.61
2024-08-07,SQ,49.51,49.92,50.85
2024-08-08,SQ,45.92,46.24,47.48
2024-08-09,SQ,43.6,45.46,46.99
2024-08-12,SQ,43.65,44.62,46.19
2024-08-13,SQ,42.53,43.05,44.76
2024-08-14,SQ,40.7,42.9,44.54
2024-08-15,SQ,38.63,39.53,41.49
2024-08-16,SQ,38.21,38.69,41.45
2024-08-19,SQ,37.41,38.19,40.81
2024-08-20,SQ,38.93,38.71,41.75
2024-08-21,SQ,39.68,39.45,42.48
