tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,SRE,17.12,17.25,17.99
2024-06-04,SRE,12.38,11.04,14.24
2024-06-05,SRE,17.48,17.98,18.31
2024-06-06,SRE,17.34,17.8,18.09
2024-06-07,SRE,16.98,17.62,18.03
2024-06-10,SRE,17.59,18.03,18.37
2024-06-11,SRE,16.59,17.1,17.82
2024-06-12,SRE,16.77,17.45,17.98
2024-06-13,SRE,15.99,17.17,17.87
2024-06-14,SRE,16.65,17.32,17.87
2024-06-17,SRE,17.46,18.13,18.74
2024-06-18,SRE,17.35,17.91,18.39
2024-06-20,SRE,17.61,22.56,20.81
2024-06-21,SRE,16.49,18.62,18.76
2024-06-24,SRE,16.61,17.82,18.33
2024-06-25,SRE,16.45,17.5,18.12
2024-06-26,SRE,17.11,18.5,18.63
2024-06-27,SRE,16.54,17.21,17.52
2024-06-28,SRE,16.37,17,17.27
2024-07-01,SRE,16.75,17.26,17.52
2024-07-02,SRE,16.32,17.26,17.34
2024-07-03,SRE,16.81,17.65,17.34
2024-07-05,SRE,17.23,17.45,17.36
2024-07-08,SRE,17.85,18.09,17.97
2024-07-09,SRE,17.96,18.13,18.22
2024-07-10,SRE,17.92,17.83,17.79
2024-07-11,SRE,17.56,17.23,16.87
2024-07-12,SRE,17.32,17.16,17
2024-07-15,SRE,18.81,17.98,17.38
2024-07-16,SRE,18.92,18.39,17.96
2024-07-17,SRE,18.05,18.02,18
2024-07-18,SRE,18.98,20.15,19.1
2024-07-19,SRE,20.2,19.38,18.4
2024-07-22,SRE,19.48,18.06,17.87
2024-07-23,SRE,19.81,18.18,18.01
2024-07-24,SRE,19.38,17.37,18.61
2024-07-25,SRE,20.28,18.83,18.64
2024-07-26,SRE,20.65,19.22,19.02
2024-07-29,SRE,20.33,19,19.07
2024-07-30,SRE,19.95,18.97,18.72
2024-07-31,SRE,19.76,18.75,18.03
2024-08-01,SRE,20.67,19.64,18.78
2024-08-02,SRE,22.52,21.19,21.4
2024-08-05,SRE,27.88,25.77,25.07
2024-08-06,SRE,18.69,21.29,20.87
2024-08-07,SRE,23.33,22.62,22.39
2024-08-08,SRE,19.71,20.59,20.99
2024-08-09,SRE,18.62,18.38,18.81
