tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,SWKS,26.88,29.22,31.92
2024-06-04,SWKS,26.74,28.95,31.62
2024-06-05,SWKS,26.43,29.42,31.78
2024-06-06,SWKS,27.35,28.74,31.46
2024-06-07,SWKS,26.68,29.29,31.77
2024-06-10,SWKS,26.46,29.87,31.47
2024-06-11,SWKS,26.42,30.63,31.86
2024-06-12,SWKS,28.21,33.2,34.39
2024-06-13,SWKS,26.48,33.06,33.83
2024-06-14,SWKS,27.6,33.48,33.51
2024-06-17,SWKS,27.45,34.55,34.04
2024-06-18,SWKS,26.04,33.93,33.9
2024-06-20,SWKS,27.26,33.58,33.78
2024-06-21,SWKS,26.31,32.73,32.51
2024-06-24,SWKS,27.74,32.87,33.03
2024-06-25,SWKS,28.04,32.78,32.25
2024-06-26,SWKS,27.99,33.29,33.29
2024-06-27,SWKS,27.51,33.81,33.62
2024-06-28,SWKS,28.23,33.73,32.96
2024-07-01,SWKS,31.17,34.13,33.88
2024-07-02,SWKS,30.79,33.09,33.33
2024-07-03,SWKS,33.37,34.37,34.19
2024-07-05,SWKS,34.35,34.02,33.89
2024-07-08,SWKS,35.65,34.45,34.13
2024-07-09,SWKS,36.34,34.26,34.01
2024-07-10,SWKS,36.9,35.09,34.82
2024-07-11,SWKS,37.81,35.16,34.86
2024-07-12,SWKS,36.82,35.3,34.92
2024-07-15,SWKS,38.59,36.43,35.87
2024-07-16,SWKS,39.32,36.67,36.25
2024-07-17,SWKS,39.77,38.03,37.56
2024-07-18,SWKS,40.62,37.37,37.26
2024-07-19,SWKS,41.46,37.49,37.27
2024-07-22,SWKS,40.92,36.5,36.37
2024-07-23,SWKS,40.23,34.41,35.44
2024-07-24,SWKS,41.25,36.56,37.21
2024-07-25,SWKS,40.32,38.15,37.66
2024-07-26,SWKS,41.97,37.27,37.29
2024-07-29,SWKS,43.74,39.01,38.3
2024-07-30,SWKS,43.19,39.01,38.84
2024-07-31,SWKS,32.82,31.59,33.88
2024-08-01,SWKS,36.36,34.7,35.46
2024-08-02,SWKS,39.17,37.73,38.77
