ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
TFC,2019-12-20,17.76,3.05581,4.83999,0.0065,0.1402,12.34,16.95,19.41,21.29,3.2
TFC,2019-12-23,15.89,3.90109,4.99345,0.0421,0.1153,25.1,17.65,20.31,19.42,3.2
TFC,2019-12-24,19.09,3.3505,5.13763,0.0198,0.0622,22.13,17.22,19.38,21,3.2
TFC,2019-12-26,15.39,4.17382,4.60208,0.0606,0.0783,19.94,16.3,19.01,18.42,3.2
TFC,2019-12-27,17.19,4.08923,4.81856,0.0829,0.0814,18.99,17.01,19.6,19.75,3.2
TFC,2019-12-30,16.53,4.13636,4.61904,0.0673,0.0987,17.9,17.69,20.19,20.14,3.2
TFC,2019-12-31,17.05,3.96208,4.73795,0.0856,0.0973,17.03,16.97,18.95,19.33,3.2
TFC,2020-01-02,18.3,3.98747,4.95719,0.1047,0.0891,16.32,17.07,18.71,19.3,3.2
TFC,2020-01-03,18.71,3.86179,4.96024,0.1095,0.1011,16.17,17.2,19.07,20.02,3.2
TFC,2020-01-06,18.92,3.95523,4.75463,0.0153,0.0853,15.94,18.01,19.35,20.19,3.2
TFC,2020-01-07,13.89,4.45889,4.62495,0.0277,0.0972,15.77,17.43,18.17,18.49,3.2
TFC,2020-01-08,14.1,4.27589,4.98525,0.0672,0.0798,15.45,17.06,17.97,18.29,3.2
TFC,2020-01-09,15.62,3.97503,4.13971,0.1059,0.0589,15.08,16.23,17.56,18.44,3.2
TFC,2020-01-10,12.98,4.29439,4.55218,0.0695,0.0757,14.95,16.47,17.24,17.57,3.2
TFC,2020-01-13,12.78,4.61824,5.11373,0.0664,0.0897,14.87,17.03,16.85,17.15,3.2
TFC,2020-01-14,13.79,3.97863,5.63517,0.0051,0.0445,14.64,17.19,17.63,18.04,3.2
TFC,2020-01-15,13.76,4.01836,5.3392,0.0224,0.032,14.42,17.96,18.24,18.36,3.3
TFC,2020-01-16,13.35,4.94374,4.95613,0.0002,0.0876,15.61,18.36,17.53,17.86,3.2
TFC,2020-01-17,14.05,2.78072,3.35208,0,0.0038,15.69,16.63,17.27,17.62,3.2
TFC,2020-01-21,13.4,3.55284,4.14123,0.0311,0.052,15.63,18.06,16.57,17.61,3.2
TFC,2020-01-22,12.2,3.60055,5.08008,0.03,0.1032,15.54,17.96,15.87,16.37,3.2
TFC,2020-01-23,13.01,3.06045,5.14915,0.0002,0.0978,12.82,18.41,16.93,17.29,3.2
TFC,2020-01-24,14.17,3.82167,4.75488,0.0053,0.1017,13.44,19.65,18.2,18.35,3.2
TFC,2020-01-27,17.43,3.55854,4.95353,0.0128,0.0883,14.49,20.84,19.89,19.92,3.3
TFC,2020-01-28,16.36,3.7841,4.95707,0.0082,0.0776,14.73,19.93,19.07,19.14,3.3
TFC,2020-01-29,15.51,3.38026,4.3248,0.0388,0.0459,14.85,19.69,18.71,18.69,3.3
TFC,2020-01-30,19.97,3.68006,5.23794,0.0475,0.0306,16.58,20.9,19.93,20.1,3.5
TFC,2020-01-31,20.75,5.07861,4.42809,0.0002,0.0921,23.68,21.88,20.61,21.04,3.5
TFC,2020-02-03,20.24,2.74886,4.76255,0.0344,0.0603,23.71,20.64,20.24,20.37,3.4
TFC,2020-02-04,18.73,3.64378,4.67398,0.0346,0.0715,23.98,19.65,19.03,19.12,3.4
TFC,2020-02-05,17.62,4.68775,4.83567,0.0002,0.0664,24.15,18.3,17.93,18.31,3.3
TFC,2020-02-06,16.89,4.05852,4.79854,0.0003,0.0799,24.8,17.42,17.24,17.79,3.3
TFC,2020-02-07,18.52,4.6052,4.63521,0.0003,0.0661,25.1,18.31,18.95,19.39,3.3
TFC,2020-02-10,17.84,4.56756,4.9397,0.0003,0.0811,25.29,17.95,18.21,18.59,3.3
TFC,2020-02-11,17.9,4.57617,4.96853,0.0105,0.063,25.22,17.55,18.25,18.49,3.3
TFC,2020-02-12,17.19,3.22889,4.54442,0.0004,0.0945,25.35,17.47,17.7,17.9,3.3
TFC,2020-02-13,17.4,5.60753,4.56288,0.1064,0.1002,25.76,17.6,17.87,18.05,3.3
TFC,2020-02-14,16.74,5.68349,5.22881,0.0879,0.1107,25.48,16.72,17.27,17.65,3.3
TFC,2020-02-18,18.36,5.15392,4.97201,0.0006,0.1358,25.29,18.47,18.64,18.77,3.3
