ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
TGT,2007-01-03,22.03,2.44781,3.22086,0.0925,0.0592,18.19,21.11,22.13,22.66,0.9
TGT,2007-01-04,21.25,2.52723,3.00167,0.0441,0.0695,17.53,20.25,21.45,22.56,0.9
TGT,2007-01-05,21.53,2.48395,2.84648,0.0453,0.0531,17.5,19.72,21.56,22.24,0.9
TGT,2007-01-08,20.63,2.77268,3.06432,0.0601,0.0633,17.63,21.36,21.66,22.27,0.9
TGT,2007-01-09,20.05,2.29565,2.85786,0.0566,0.0633,17.49,20.36,21.25,21.86,0.9
TGT,2007-01-10,21.34,2.51255,3.05834,0.0415,0.05,17.94,19.68,21.36,22.16,0.9
TGT,2007-01-11,21.9,2.65413,3.00323,0.015,0.0542,17.96,20.93,21.75,21.96,0.8
TGT,2007-01-12,21.97,1.69637,3.04083,0.1005,0.0622,19.6,20.89,21.73,21.94,0.8
TGT,2007-01-16,21.59,1.23932,2.92837,0.0896,0.071,19.45,21.56,21.62,21.68,0.8
TGT,2007-01-17,21.01,1.82188,2.89945,0.0311,0.0792,19.28,22.02,21.74,21.51,0.8
TGT,2007-01-18,20.81,1.37417,3.06195,0.0011,0.0691,18.13,21.37,21.09,20.87,0.8
TGT,2007-01-19,20.99,2.03458,2.98817,0.0057,0.083,19,20.94,20.95,20.95,0.8
TGT,2007-01-22,20.94,1.97769,3.00933,0.0557,0.0717,19.63,21.29,21.15,20.7,0.8
TGT,2007-01-23,19.58,2.77168,3.01278,0.0209,0.0737,20.11,19.86,20.02,19.7,0.8
TGT,2007-01-24,19.2,2.49051,2.85996,0.0268,0.0979,20.06,20.32,19.96,19.54,0.8
TGT,2007-01-25,20.04,2.76587,3.01657,0.0566,0.1047,20.1,20.35,20.47,20.44,0.8
TGT,2007-01-26,19.88,2.1517,3.19708,0.0171,0.0916,20.35,20.12,20.36,20.44,0.8
TGT,2007-01-29,19.79,2.21896,3.21769,0.043,0.0864,20.48,21.3,20.88,20.78,0.8
TGT,2007-01-30,21.84,1.95691,3.20781,0.0102,0.0624,20.33,22.83,22.31,21.91,0.8
TGT,2007-01-31,20.41,1.86202,3.19237,0.0271,0.0805,20.54,22.13,21.46,21.11,0.8
TGT,2007-02-01,20.44,2.16183,3.20088,0.0276,0.0697,21.03,22.27,21.39,20.95,0.8
TGT,2007-02-02,20,2.66566,3.16521,0.023,0.0983,20.64,21.57,20.94,20.52,0.8
TGT,2007-02-05,20.01,2.56414,3.29124,0.0397,0.0755,20.27,22.36,21.11,20.83,0.8
TGT,2007-02-06,20.22,2.53499,3.26692,0.0592,0.0869,20.06,21.34,21.03,20.74,0.8
TGT,2007-02-07,20.61,2.80679,3.30207,0.0016,0.0881,20.31,21.78,21.05,20.75,0.8
TGT,2007-02-08,16.51,2.69432,3.22183,0.052,0.0861,19.87,21.37,20.77,20.51,0.8
TGT,2007-02-09,18.17,2.91249,3.27253,0.062,0.093,20.21,21.53,21.15,21,0.8
TGT,2007-02-12,17.8,2.99325,3.399,0.0329,0.0889,19.15,22.25,21.37,21.35,0.8
TGT,2007-02-13,16.41,3.09136,3.59647,0.0104,0.0929,18.95,22.27,20.87,20.85,0.8
TGT,2007-02-14,17.32,2.65106,3.14213,0.0035,0.0881,18.72,21.5,20.55,20.89,0.8
TGT,2007-02-15,17.56,2.5315,3.2785,0.0455,0.0759,18.55,20.81,20.11,20.33,0.8
TGT,2007-02-16,15.42,2.67213,3.3853,0.1121,0.1097,16.97,20.73,19.8,20.05,0.8
TGT,2007-02-20,14.27,3.49209,3.6943,0.0002,0.0875,16.23,19.87,17.26,18.42,0.8
TGT,2007-02-21,14.98,3.37097,3.61191,0.0002,0.1,17.15,20.06,18.68,19.29,0.8
TGT,2007-02-22,14.56,2.88006,3.66549,0.0704,0.0787,17.1,20.31,18.68,19.4,0.8
TGT,2007-02-23,15.71,2.51865,3.82753,0.1254,0.093,17.15,20.3,19.14,19.54,0.8
TGT,2007-02-26,16.47,2.98453,3.46098,0.1201,0.0853,16.71,21.94,20.08,20.32,0.8
TGT,2007-02-27,19.66,1.22282,4.16764,0.26,0.0955,16.92,23.75,22.09,21.85,0.9
TGT,2007-02-28,19.93,3.86249,3.38194,0.0616,0.0877,22.05,20.38,20.11,20.63,0.8
TGT,2007-03-01,20.65,3.57721,3.64241,0.0414,0.0789,23.89,21.69,20.81,21.07,0.8
TGT,2007-03-02,21.24,3.32288,3.54516,0.0594,0.0882,23.88,22.11,21.36,21.46,0.8
TGT,2007-03-05,22.42,2.0932,3.5176,0.1842,0.0794,24.11,22.33,22.5,22.4,0.8
TGT,2007-03-06,20.98,3.25178,3.62308,0.0453,0.0723,24.79,21.85,21.24,21.48,0.8
TGT,2007-03-07,21.68,3.00613,3.60507,0.0195,0.0775,25.09,22.2,21.71,21.76,0.8
TGT,2007-03-08,19.77,3.63109,3.33419,0.0734,0.1062,24.99,20.19,20.14,20.71,0.8
TGT,2007-03-09,19.88,3.49553,3.49353,0.0004,0.0918,25.65,18.91,20.2,20.73,0.8
TGT,2007-03-12,19.68,3.72093,3.56813,0.0004,0.0922,25.42,20.17,20.04,20.62,0.8
TGT,2007-03-13,21.88,4.83256,3.69998,0.0003,0.0814,25.24,21.86,22.02,22.2,0.8
TGT,2007-03-14,23.88,2.88533,3.76256,0.1086,0.0751,26.3,24.06,24.07,24.08,0.9
TGT,2007-03-15,23.5,3.31246,3.72635,0.0858,0.0769,28.11,23.47,23.51,23.55,0.9
TGT,2007-03-16,22.59,3.42004,3.7452,0.0389,0.0866,28.26,22.53,22.82,23.1,0.9
TGT,2007-03-19,21.43,3.21177,3.94736,0.0872,0.0755,28.24,21.43,22.33,22.21,0.8
TGT,2007-03-20,19.98,3.39259,3.78001,0.1073,0.1084,28.36,19.66,21.62,21.73,0.8
TGT,2007-03-21,20.05,3.38125,3.84608,0.0343,0.0771,27.68,19.95,21.5,21.36,0.8
TGT,2007-03-22,19.99,3.82383,3.89408,0.0793,0.0751,28.03,19.69,20.96,21.2,0.8
TGT,2007-03-23,19.15,4.26274,3.87472,0.0316,0.0891,28.15,18.88,20.22,20.52,0.8
TGT,2007-03-26,19.76,3.753,3.76406,0.0213,0.0854,28.27,19.63,20.73,20.91,0.8
TGT,2007-03-27,21.02,3.84522,3.85751,0.0679,0.066,28.41,20.76,21.56,21.76,0.8
TGT,2007-03-28,21.31,3.36187,3.82753,0.0266,0.0776,25.32,21.24,21.39,21.53,0.8
TGT,2007-03-29,20.9,3.55102,3.81538,0.0214,0.0798,23.44,20.9,21.44,21.53,0.8
TGT,2007-03-30,20.74,3.3781,3.69857,0.035,0.0739,23.4,20.58,20.91,21.27,0.8
TGT,2007-04-02,20.86,2.94211,3.69478,0.0383,0.0685,23.24,21.03,21.3,21.29,0.8
TGT,2007-04-03,19.81,3.34252,3.75256,0.0406,0.068,22.83,20.26,20.93,20.94,0.8
TGT,2007-04-04,20.44,2.892,3.52039,0.0396,0.0672,23.03,20.28,20.9,21.2,0.8
