tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,TSLA,46.84,49.39,49.7
2024-06-04,TSLA,47.41,50,49.76
2024-06-05,TSLA,46.4,49.84,49.68
2024-06-06,TSLA,47.54,51.54,49.72
2024-06-07,TSLA,47.51,51.05,49.5
2024-06-10,TSLA,50.36,53.23,51.37
2024-06-11,TSLA,53.29,54.11,51.34
2024-06-12,TSLA,51.1,53.55,50.55
2024-06-13,TSLA,49.8,53.86,51.46
2024-06-14,TSLA,42.81,49.01,47.67
2024-06-17,TSLA,47.81,51.12,49.49
2024-06-18,TSLA,46.61,50.61,47.71
2024-06-20,TSLA,46.91,50.64,48.96
2024-06-21,TSLA,46.53,50.17,48.38
2024-06-24,TSLA,49.79,50.26,47.93
2024-06-25,TSLA,49.55,49.18,47.25
2024-06-26,TSLA,51.76,50.87,48.7
2024-06-27,TSLA,53.41,51.59,50.09
2024-06-28,TSLA,53.21,51.93,49.79
2024-07-01,TSLA,56.92,53.89,51.87
2024-07-02,TSLA,58.41,55.7,53.02
2024-07-03,TSLA,64.1,59.59,56.11
2024-07-05,TSLA,65.07,59.7,56.12
2024-07-08,TSLA,69.16,60.79,57.56
2024-07-09,TSLA,70.98,61.71,58.73
2024-07-10,TSLA,72.82,62.65,58.88
2024-07-11,TSLA,65.28,58.2,56.57
2024-07-12,TSLA,65.43,57.97,56.64
2024-07-15,TSLA,65.06,58.61,57.52
2024-07-16,TSLA,61.94,56.94,56.76
2024-07-17,TSLA,62.22,56.57,55.78
2024-07-18,TSLA,61.7,56.21,56.04
2024-07-19,TSLA,60.93,55.08,54.86
2024-07-22,TSLA,64.19,57.66,57.13
2024-07-23,TSLA,62.74,55.89,56.12
2024-07-24,TSLA,49.63,48.33,52.33
2024-07-25,TSLA,48.93,48.16,52.08
2024-07-26,TSLA,47.14,47.29,50.93
2024-07-29,TSLA,48.86,48.98,52.86
2024-07-30,TSLA,48.73,48.51,52.99
2024-07-31,TSLA,46.88,47.88,51.92
2024-08-01,TSLA,51.21,50.63,53.54
2024-08-02,TSLA,57.01,55.8,57.86
2024-08-05,TSLA,65.61,62.04,62.77
2024-08-06,TSLA,56.36,54.81,57.74
2024-08-07,TSLA,57.18,56.5,58.8
2024-08-08,TSLA,51.29,52.64,55.89
2024-08-09,TSLA,48.75,50.32,53.47
2024-08-12,TSLA,48.59,51.14,53.95
2024-08-13,TSLA,45.74,50.12,53.14
2024-08-14,TSLA,47.57,50.5,54.05
2024-08-15,TSLA,47.57,52.04,55
2024-08-16,TSLA,48.29,52.81,56.1
2024-08-19,TSLA,47.75,53.62,55.19
2024-08-20,TSLA,48.55,53.43,55.82
2024-08-21,TSLA,47.9,53.95,55.45
2024-08-22,TSLA,48.31,54.81,56.65
2024-08-23,TSLA,45.94,53.13,54.24
2024-08-26,TSLA,47.67,53.89,54.7
2024-08-27,TSLA,47.25,53.88,54.36
2024-08-28,TSLA,47.67,54.25,54.49
2024-08-29,TSLA,45.67,53.01,53.69
2024-08-30,TSLA,44.41,52.48,52.83
2024-09-03,TSLA,52.39,56.16,55.19
2024-09-04,TSLA,52.26,57.48,56.31
2024-09-05,TSLA,55.59,60.83,58.51
2024-09-06,TSLA,58.87,62.92,59.14
2024-09-09,TSLA,59.21,61.79,58.03
2024-09-10,TSLA,59.9,61.26,58.66
2024-09-11,TSLA,61.08,61.95,59.4
2024-09-12,TSLA,61.32,61.32,58.99
2024-09-13,TSLA,61.52,61.34,58.59
2024-09-16,TSLA,62.46,60.43,57.72
2024-09-17,TSLA,62.53,60.6,57.37
2024-09-18,TSLA,62.15,60.37,56.32
2024-09-19,TSLA,62.11,59.3,57.01
2024-09-20,TSLA,61.83,59.04,56.36
2024-09-23,TSLA,67.09,61.45,57.88
2024-09-24,TSLA,69.12,61.79,57.32
2024-09-25,TSLA,69.77,62.53,58.31
2024-09-26,TSLA,72.31,63.57,58.91
2024-09-27,TSLA,76.22,65.74,60.59
2024-09-30,TSLA,73.67,64.02,59.41
2024-10-01,TSLA,72.18,63.84,59.75
2024-10-02,TSLA,70.66,62.68,58.74
2024-10-03,TSLA,67.62,60.91,57.3
2024-10-04,TSLA,66.82,59.96,57.13
2024-10-07,TSLA,70.71,62.26,58.35
2024-10-08,TSLA,68.34,60.2,57.2
2024-10-09,TSLA,68.08,59.88,56.69
2024-10-10,TSLA,68.5,59.88,57.13
2024-10-11,TSLA,60.03,53.27,52.48
2024-10-14,TSLA,56.47,51.29,50.52
2024-10-15,TSLA,56.76,52.09,50.71
2024-10-16,TSLA,55.51,51.24,50.67
2024-10-17,TSLA,53.93,50.42,50.03
2024-10-18,TSLA,52.86,49.11,49.21
2024-10-21,TSLA,54.58,50.18,49.6
2024-10-22,TSLA,55.78,50.66,50.78
2024-10-23,TSLA,59.52,52.6,51.4
2024-10-24,TSLA,56.76,52.69,51.98
2024-10-25,TSLA,57.38,53.23,52.82
2024-10-28,TSLA,53.93,50.86,51.15
2024-10-29,TSLA,51.14,49.73,50.28
2024-10-30,TSLA,51.57,50.72,51.61
2024-10-31,TSLA,50.99,50.57,51.89
2024-11-01,TSLA,49.93,49.89,51.18
2024-11-04,TSLA,53.66,51.23,52.13
2024-11-05,TSLA,55.76,52.39,53.06
2024-11-06,TSLA,53.4,53.35,54.3
2024-11-07,TSLA,51.14,50.95,53.24
2024-11-08,TSLA,60.36,55.44,56.95
2024-11-11,TSLA,68.16,62.06,61.28
2024-11-12,TSLA,62.47,57.39,57.98
2024-11-13,TSLA,61.96,57.83,59.12
2024-11-14,TSLA,57.29,54.85,57.07
2024-11-15,TSLA,59.22,57.57,58.46
2024-11-18,TSLA,63.32,60.13,60.84
2024-11-19,TSLA,64.99,61.35,63.33
2024-11-20,TSLA,63.07,61.35,63.23
2024-11-21,TSLA,61,60.53,62.57
2024-11-22,TSLA,62.86,62.13,62.62
2024-11-25,TSLA,54.88,58.89,61.44
2024-11-26,TSLA,51.55,55.47,57.57
2024-11-27,TSLA,47.49,52.68,54.47
2024-11-29,TSLA,47.95,53.41,54.9
2024-12-02,TSLA,53.75,56.84,57.93
2024-12-03,TSLA,50.09,54.17,55.91
2024-12-04,TSLA,51.32,55.82,57.94
2024-12-05,TSLA,56.63,60.53,60.94
2024-12-06,TSLA,59.13,63.49,63.05
2024-12-09,TSLA,61.68,64.97,64.76
2024-12-10,TSLA,62.74,65.76,65.76
2024-12-11,TSLA,61.76,66.95,66.92
2024-12-12,TSLA,61.25,68.49,66.62
2024-12-13,TSLA,62.74,70.1,68.32
2024-12-16,TSLA,69.27,74.37,71.46
2024-12-17,TSLA,74.07,77.46,73.98
2024-12-18,TSLA,70.96,74.16,71.01
2024-12-19,TSLA,72.3,75,72.34
2024-12-20,TSLA,67.63,72.36,69.32
2024-12-23,TSLA,64.38,70.8,66.74
2024-12-24,TSLA,65,71.6,68.31
2024-12-26,TSLA,68.12,72.2,69.28
2024-12-27,TSLA,66.66,69.48,67.29
2024-12-30,TSLA,70.36,68.32,64.81
2024-12-31,TSLA,70.34,66.46,63.83
2025-01-02,TSLA,68.29,62.73,61.34
2025-01-03,TSLA,68.79,63.18,61.82
2025-01-06,TSLA,71.81,65.57,63.78
2025-01-07,TSLA,70.38,64.12,62.62
2025-01-08,TSLA,67.58,62.49,61.33
2025-01-10,TSLA,66.84,61.97,61.11
2025-01-13,TSLA,68.41,62.65,61.63
2025-01-14,TSLA,69.07,63.02,61.78
2025-01-15,TSLA,70.61,64.28,62.86
2025-01-16,TSLA,69.35,63.06,61.95
2025-01-17,TSLA,71.08,64.09,62.62
2025-01-21,TSLA,69.51,62.98,61.88
2025-01-22,TSLA,67.37,61.49,60.99
2025-01-23,TSLA,64.91,60.22,59.73
2025-01-24,TSLA,62.16,58.78,58.82
2025-01-27,TSLA,64.06,59.68,59.47
2025-01-28,TSLA,66.1,61.49,60.98
2025-01-29,TSLA,66.32,61.02,60.6
2025-01-30,TSLA,54.62,55.74,57.21
2025-01-31,TSLA,54.17,55.85,57.75
2025-02-03,TSLA,55.71,56.34,58.31
2025-02-04,TSLA,53.86,55.34,57.53
2025-02-05,TSLA,53.07,54.9,57.37
2025-02-06,TSLA,49.35,51.91,54.96
2025-02-07,TSLA,50.04,51.72,54.9
2025-02-10,TSLA,52.19,53.27,56.11
2025-02-11,TSLA,57.08,56.24,57.89
2025-02-12,TSLA,53.46,54.37,56.75
2025-02-13,TSLA,53.15,55.02,57.42
2025-02-14,TSLA,52.26,54.42,56.83
2025-02-18,TSLA,51.62,53.22,56.15
2025-02-19,TSLA,51.48,53.44,56.01
2025-02-20,TSLA,49.76,52.52,55.52
2025-02-21,TSLA,51.07,53.04,55.72
2025-02-24,TSLA,53.97,54.92,56.48
2025-02-25,TSLA,61.85,60.29,60.11
2025-02-26,TSLA,60.67,59.13,60.14
2025-02-27,TSLA,63.91,62.57,61.94
2025-02-28,TSLA,62.89,62.86,62.34
2025-03-03,TSLA,69.8,66.8,64.74
2025-03-04,TSLA,69.51,65.88,63.96
2025-03-05,TSLA,66.64,63.58,61.73
2025-03-06,TSLA,70.05,66.59,64.47
2025-03-07,TSLA,68.2,65.69,63.67
