tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,TTD,33.76,39.5,43.72
2024-06-04,TTD,33.18,39.65,43.64
2024-06-05,TTD,32.06,39.63,43.14
2024-06-06,TTD,31.18,38.34,42.72
2024-06-07,TTD,31.27,38.75,42.5
2024-06-10,TTD,31.56,40.6,42.78
2024-06-11,TTD,31.43,41.44,42.95
2024-06-12,TTD,31.3,41.67,42.56
2024-06-13,TTD,30.5,41.75,42.78
2024-06-14,TTD,31.18,43.29,43.07
2024-06-17,TTD,32.88,45.47,43.3
2024-06-18,TTD,33.12,46.7,43.62
2024-06-20,TTD,34.25,47.16,43.62
2024-06-21,TTD,32.42,46.27,42.86
2024-06-24,TTD,32.25,46.17,42.31
2024-06-25,TTD,32.6,46.13,42.39
2024-06-26,TTD,32.93,46.16,42.44
2024-06-27,TTD,33.25,46.42,42.35
2024-06-28,TTD,34.03,46.64,42.81
2024-07-01,TTD,35.1,46.6,42.56
2024-07-02,TTD,35.13,46.22,42.52
2024-07-03,TTD,35.77,46.29,42.78
2024-07-05,TTD,38.19,46.11,42.3
2024-07-08,TTD,46.19,46.18,42.29
2024-07-09,TTD,49.96,46.73,43.04
2024-07-10,TTD,53.18,46.92,43.17
2024-07-11,TTD,55.09,46.22,42.37
2024-07-12,TTD,55.17,45.97,42.16
2024-07-15,TTD,56.86,46.75,42.71
2024-07-16,TTD,57.25,46.8,42.95
2024-07-17,TTD,59.5,48.12,43.87
2024-07-18,TTD,58.88,48.33,44.27
2024-07-19,TTD,60.95,49.51,45.39
2024-07-22,TTD,61.99,49.44,45.1
2024-07-23,TTD,59.89,48.32,44.49
2024-07-24,TTD,66.91,53.55,49.45
2024-07-25,TTD,64.79,51.85,47.49
2024-07-26,TTD,64.94,51.83,47.75
2024-07-29,TTD,64.16,51.86,47.76
2024-07-30,TTD,65.76,52.93,48.81
2024-07-31,TTD,64.18,52.18,48.45
2024-08-01,TTD,63.33,53.08,49.38
2024-08-02,TTD,69.82,57.17,53.15
2024-08-05,TTD,75.63,62.71,58.07
2024-08-06,TTD,66.51,55.54,52.46
2024-08-07,TTD,68.04,56.57,53.67
2024-08-08,TTD,63.21,53.12,50.51
2024-08-09,TTD,37.67,38.82,41.28
2024-08-12,TTD,37.18,37.69,39.79
2024-08-13,TTD,35.09,35.43,38.57
2024-08-14,TTD,33.25,33.82,37.16
2024-08-15,TTD,30.83,32.02,35.81
2024-08-16,TTD,30.12,31.83,36.06
2024-08-19,TTD,29.87,30.9,35.49
2024-08-20,TTD,30.16,31.02,35.87
2024-08-21,TTD,30.53,31.78,36.5
