ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
TXN,2007-01-03,27.97,1.35757,1.87757,0.001,0.0437,25.29,26.61,29.14,28.37,0.1
TXN,2007-01-04,27.53,0.826547,2.02257,0.0007,0.0461,24.84,25.25,27.78,27.51,0.1
TXN,2007-01-05,27.61,1.51424,1.83094,0.0011,0.0462,24.61,26.25,28.12,27.88,0.1
TXN,2007-01-08,26.87,1.01063,1.7419,0.0013,0.0581,24.62,27.88,28.65,27.87,0.1
TXN,2007-01-09,26.66,1.78714,1.70638,0.0021,0.062,24.51,27.17,28.17,27.52,0.1
TXN,2007-01-10,25.91,0.435418,1.6605,0.0015,0.0481,24.41,28.41,28.57,27.34,0.1
TXN,2007-01-11,26.76,1.2454,1.79568,0.0001,0.0384,24.92,27.72,28.36,27.63,0.1
TXN,2007-01-12,25.88,1.64448,1.66827,0.0093,0.0586,25.23,27.15,27.55,27,0.1
TXN,2007-01-16,27.39,1.34758,1.79287,0.0019,0.0324,24.63,29.02,28.19,27.51,0.1
TXN,2007-01-17,25.32,1.02276,1.86802,0.0006,0.0385,24.19,30.62,28.62,27.02,0.1
TXN,2007-01-18,27.6,0.768164,1.7228,0.0035,0.0528,23.75,29.72,28.59,27.72,0.1
TXN,2007-01-19,28.92,-0.347592,1.84409,0.0037,0.0526,22.75,29.7,28.83,28.17,0.1
TXN,2007-01-22,23.63,0.96642,2.15393,0.0001,0.0348,22.18,27.95,25.04,25.62,0.1
TXN,2007-01-23,22.94,1.19326,2.27241,0.0036,0.0629,21.01,22.12,22.63,24.19,0.1
TXN,2007-01-24,21.92,0.607946,2.41082,0.0035,0.0661,22.41,22.85,22.35,23.6,0.1
TXN,2007-01-25,23.86,1.23366,2.15483,0.0023,0.0715,22.63,22.47,23.26,24.83,0.1
TXN,2007-01-26,23.31,1.73827,2.15179,0.0016,0.0674,23.27,22.82,23.61,24.53,0.1
TXN,2007-01-29,24.02,2.34677,2.76518,0,0.0134,23.87,23.56,24.2,25.11,0.1
TXN,2007-01-30,24.27,1.87026,2.47707,0.0003,0.05,23.8,23.91,24.25,24.81,0.1
TXN,2007-01-31,23.06,2.07314,2.35765,0.0002,0.0567,23.97,22.69,23.39,24.36,0.1
TXN,2007-02-01,22.65,2.56631,2.84404,0.0001,0.0236,24.4,22.25,23.05,23.93,0.1
TXN,2007-02-02,22.76,2.62957,2.76397,0.0001,0.0406,23.73,22.42,23.16,23.75,0.1
TXN,2007-02-05,21.23,2.14599,2.42954,0.0006,0.0602,22.94,22.61,22.87,23.2,0.1
TXN,2007-02-06,21.15,2.20383,2.78748,0.0001,0.0294,23,24.05,23.92,24.04,0.1
TXN,2007-02-07,23.63,1.84668,2.06735,0.0003,0.0913,23.15,23.39,24,24.51,0.1
TXN,2007-02-08,23.59,1.12535,2.50932,0.0004,0.043,23.12,22.9,23.89,24.17,0.1
TXN,2007-02-09,24.86,2.09892,2.31932,0.0002,0.0689,22.39,24.8,25.03,25.21,0.1
TXN,2007-02-12,25.36,1.58662,2.45365,0.0046,0.0528,23.03,25.63,25.45,25.6,0.1
TXN,2007-02-13,25.38,1.30214,2.41661,0.0051,0.0576,23.82,25.56,25.36,25.46,0.1
TXN,2007-02-14,25.4,1.92561,2.48571,0.0001,0.0637,24.54,25.65,25.28,25.28,0.1
TXN,2007-02-15,25.26,2.34401,2.4933,0.0001,0.0555,25.17,25.26,25.46,25.39,0.1
TXN,2007-02-16,25.07,1.9936,2.47727,0.0001,0.0554,24.29,24.89,25.33,25.32,0.1
TXN,2007-02-20,25.44,2.14874,2.51307,0.0001,0.0392,24.4,26.35,25.26,25.24,0.1
TXN,2007-02-21,24.29,1.84227,2.41845,0.0001,0.0579,24.63,24.34,24.44,24.69,0.1
TXN,2007-02-22,24.56,1.21959,2.65156,0.0208,0.052,23.26,24.83,24.62,24.6,0.1
