ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
UNH,2007-01-03,25.04,2.63565,2.35101,0.1528,0.0835,21.81,26.14,24.63,24,0.1
UNH,2007-01-04,25.38,2.3648,2.36173,0.0824,0.0399,22.96,26.76,25.03,24.3,0.1
UNH,2007-01-05,25.57,2.28767,2.1454,0.0587,0.0604,22.98,27.07,24.96,24.21,0.1
UNH,2007-01-08,24.69,2.71743,2.15555,0.0002,0.0706,23.37,25.99,24.48,24.36,0.1
UNH,2007-01-09,25.39,1.89966,2.57008,0.0853,0.0328,24.05,27.19,24.74,24.38,0.1
UNH,2007-01-10,25.25,2.00835,2.66089,0,0.02,23.78,27.5,24.94,24.66,0.1
UNH,2007-01-11,22.94,0.817666,2.47118,0.0166,0.067,23.93,25.62,23.22,23.28,0.1
UNH,2007-01-12,23.41,0.276797,2.72827,0.008,0.07,25.19,24.89,23.47,23.38,0.1
UNH,2007-01-16,23.81,1.4545,2.33635,0.0001,0.0956,25.53,25.6,23.56,23.33,0.1
UNH,2007-01-17,24.68,1.60495,3.22924,0.0001,0.0329,25.75,26.53,24.34,23.91,0.1
UNH,2007-01-18,24.03,1.18812,2.86697,0.0001,0.052,25.79,25.21,23.57,23.54,0.1
UNH,2007-01-19,23.28,2.35352,3.04519,0.0001,0.0378,26.82,24.31,23.54,23.46,0.1
UNH,2007-01-22,23.82,1.64929,2.70002,0.0002,0.056,26.95,24.4,23.93,23.83,0.1
UNH,2007-01-23,22.03,1.02972,2.68178,0.0002,0.0606,25.12,22.73,23.86,23.84,0.1
UNH,2007-01-24,22.61,0.993861,2.49793,0.0002,0.0465,24.57,22.79,23.49,23.49,0.1
UNH,2007-01-25,22.16,1.9495,2.54912,0.0003,0.0681,25.18,22.36,22.98,23,0.1
UNH,2007-01-26,21.75,0.911664,2.33183,0.0003,0.079,24.94,22.39,23.68,23.59,0.1
UNH,2007-01-29,22.91,0.91655,2.79698,0.0001,0.0429,25.06,23.67,23.85,23.6,0.1
UNH,2007-01-30,21.69,0.767561,2.53921,0.0005,0.0548,24.42,22.27,22.12,22.35,0.1
UNH,2007-01-31,21.46,0.579848,2.57787,0.0003,0.0454,24.4,21.67,22.11,22.36,0.1
UNH,2007-02-01,20.91,1.17488,2.61077,0.0002,0.0499,24.65,21.68,22.24,22.28,0.1
UNH,2007-02-02,21.13,1.02949,2.68585,0.0004,0.0451,23.66,21.52,21.91,22.23,0.1
UNH,2007-02-05,20.3,1.38035,2.84105,0.0006,0.0428,23.48,22.31,22.41,22.51,0.1
UNH,2007-02-06,21.75,0.728113,2.3927,0.0002,0.0439,23.44,23.15,23.81,24.15,0.1
UNH,2007-02-07,21.28,1.10666,2.33141,0.0008,0.0497,24.02,22.73,23.03,23.4,0.1
UNH,2007-02-08,19.23,0.549999,2.34142,0.0002,0.0519,23.68,22.81,23.14,23.41,0.1
UNH,2007-02-09,15.98,0.0720356,2.29029,0.0023,0.0757,23.38,21.97,22.59,22.94,0.1
UNH,2007-02-12,16.64,1.30098,2.29588,0.0003,0.0641,21.9,22.83,22.75,22.88,0.1
UNH,2007-02-13,16.92,0.940451,2.38839,0.0002,0.052,21.71,23.09,23.1,23.11,0.1
UNH,2007-02-14,16.37,0.140299,2.18143,0.0007,0.052,21.25,22.05,22.47,22.8,0.1
UNH,2007-02-15,17.09,0.0338046,2.53069,0.0006,0.0497,21.2,23.57,23.58,23.58,0.1
UNH,2007-02-16,16.42,0.0330352,2.44686,0.0006,0.0433,22.66,23.33,23.19,23.08,0.1
UNH,2007-02-20,21.01,0.97528,2.56121,0.0007,0.0395,22.64,21.87,23.74,23.01,0.1
UNH,2007-02-21,23.34,1.32772,2.22209,0.0004,0.0633,22.36,22.16,23.64,23.14,0.1
UNH,2007-02-22,22.67,1.69869,2.55697,0.0002,0.0402,22.08,21.68,23.38,22.83,0.1
UNH,2007-02-23,23.53,1.2703,2.01928,0.0003,0.0472,21.21,22.37,23.83,23.28,0.1
UNH,2007-02-26,23.82,1.72166,2.21399,0.0006,0.0491,21.94,23.34,23.9,23.23,0.1
UNH,2007-02-27,25.81,1.37387,2.39418,0.0002,0.0352,21.71,25.92,25.82,25.09,0.1
UNH,2007-02-28,24.63,1.60135,2.14219,0.0002,0.0575,25.01,25.11,24.77,24.01,0.1
UNH,2007-03-01,25.14,1.41382,2.35933,0.0006,0.0432,25.17,26.2,25.27,24.06,0.1
UNH,2007-03-02,23.78,2.03015,2.21761,0.0011,0.0548,26.15,25.08,24.91,24.17,0.1
UNH,2007-03-05,27.38,1.53889,2.28267,0.0011,0.0721,27.3,27.4,27.17,25.89,0.1
