ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
UPS,2007-01-03,20.36,3.25299,3.68388,0.0444,0.0927,13.83,18.51,20.14,20.24,2.2
UPS,2007-01-04,19.35,3.12613,3.71052,0.0539,0.1058,13.89,19.07,20.35,19.8,2.2
UPS,2007-01-05,19.3,3.38933,3.61093,0.0014,0.077,13.77,20.17,21.02,20.17,2.2
UPS,2007-01-08,19.82,3.46591,3.57881,0.0316,0.0899,14.42,21.14,21.47,20.5,2.2
UPS,2007-01-09,20.44,3.87916,3.5184,0.0011,0.0765,14.54,21.55,21.6,20.75,2.2
UPS,2007-01-10,20.66,2.97221,3.64666,0.0024,0.0924,14.69,21.92,21.83,20.94,2.2
UPS,2007-01-11,20.18,3.28737,3.61951,0.002,0.0821,14.59,22.15,21.75,20.67,2.2
UPS,2007-01-12,18.99,4.55374,3.69208,0.0007,0.0625,14.32,20.69,20.68,19.86,2.2
UPS,2007-01-16,18.8,2.853,3.5658,0.0697,0.097,14.24,21.48,20.41,19.52,2.2
UPS,2007-01-17,18.29,2.84447,3.50021,0.065,0.0865,14.05,22.7,21,19.64,2.2
UPS,2007-01-18,17.78,3.63368,3.68676,0.003,0.0889,13.79,21.45,20.07,19.01,2.2
UPS,2007-01-19,16.23,0.128393,3.81628,0.0031,0.0904,13.77,21.38,19.7,18.42,2.2
UPS,2007-01-22,16.46,3.65514,4.09442,0.0017,0.1125,13.75,21.5,18.85,18.6,2.2
UPS,2007-01-23,16.87,3.2519,3.93174,0.0014,0.1089,14.04,21.77,18.77,18.65,2.2
UPS,2007-01-24,16.89,4.26459,4.08826,0.0021,0.119,13.95,21.07,18.29,18.65,2.2
UPS,2007-01-25,17.79,3.49472,4.0132,0.0023,0.1033,13.9,23.04,19.37,19.57,2.2
UPS,2007-01-26,21.16,2.485,3.945,0.0026,0.1024,14.11,24.51,21.21,20.99,2.3
UPS,2007-01-29,20.46,3.12191,4.0744,0.0012,0.1042,15.04,23.97,20.8,20.67,2.2
UPS,2007-01-30,17.49,0.95556,3.36142,0.0008,0.079,15.53,22.19,17.28,18.39,2.3
UPS,2007-01-31,16.87,1.57482,3.80439,0.0004,0.1194,17.07,17.48,16.92,17.74,2.3
UPS,2007-02-01,15.55,2.59611,4.23269,0.0004,0.1054,17.23,16.46,15.89,16.58,2.2
UPS,2007-02-02,15.12,0.128158,4.0558,0.0038,0.1157,17.36,15.78,15.57,16.06,2.2
UPS,2007-02-05,15.74,2.32546,3.98721,0.0003,0.0996,17.43,15.51,16.19,16.82,2.2
UPS,2007-02-06,16.08,2.85456,4.03934,0.0065,0.1038,16.9,16.77,16.46,16.72,2.2
UPS,2007-02-07,15.83,2.88751,3.95956,0.0045,0.108,16.76,15.84,16.23,16.67,2.2
UPS,2007-02-08,16.78,2.28486,3.88842,0.0014,0.129,16.56,16.75,16.78,17.13,2.2
UPS,2007-02-09,15.92,2.44911,3.99581,0.0004,0.1155,16.64,16.07,16.52,16.92,2.3
UPS,2007-02-12,16.24,0.174785,3.96631,0.0003,0.092,16.86,16.32,16.52,16.83,2.3
UPS,2007-02-13,16.32,0.200249,4.13316,0.004,0.1113,16.45,16.12,16.41,16.66,2.2
UPS,2007-02-14,14.74,0.944577,4.2353,0.0337,0.1218,16.54,14.21,15.18,15.52,2.2
UPS,2007-02-15,13.65,0.298003,4.6359,0.0015,0.1475,16.72,13.8,14.91,15.32,2.3
UPS,2007-02-16,15.58,0.879907,4.74346,0.0013,0.1393,16.72,14.37,15.67,16.09,2.3
UPS,2007-02-20,15.47,3.06163,4.44518,0.0006,0.1269,16.83,14.41,15.49,15.82,2.3
UPS,2007-02-21,15.74,3.0788,4.44006,0.0005,0.1133,16.25,14.58,15.57,15.75,2.3
UPS,2007-02-22,15.72,3.12424,4.5621,0.0005,0.1074,16.06,14.27,15.54,15.75,2.3
UPS,2007-02-23,16,3.39708,4.44953,0.0005,0.1279,15.77,14.48,15.87,16.18,2.3
UPS,2007-02-26,16.08,3.08963,4.38294,0.0004,0.1085,15.42,15.21,16.34,16.39,2.3
UPS,2007-02-27,20.36,3.08416,3.99394,0.1324,0.0967,14.75,20.53,20.11,19.45,2.4
UPS,2007-02-28,19.53,1.78471,4.26096,0.0004,0.1117,17.58,19.19,19.44,19.14,2.4
UPS,2007-03-01,20.13,3.09773,4.39297,0.0969,0.1024,16.22,19.58,20.03,19.59,2.4
UPS,2007-03-02,21.3,3.54118,4.48644,0.0004,0.099,16.61,20.64,21.13,20.39,2.5
UPS,2007-03-05,20.39,3.45097,4.49976,0.1041,0.1138,16.16,20.86,20.26,19.91,2.4
UPS,2007-03-06,19.47,1.52973,4.63801,0.0005,0.1005,16.39,19.61,19.5,19.32,2.4
UPS,2007-03-07,18.48,1.69133,4.58418,0.0004,0.0951,16.42,18.74,18.58,18.54,2.4
UPS,2007-03-08,18.32,0.0197768,4.33355,0.0005,0.1057,16.47,18.13,18.44,18.32,2.4
UPS,2007-03-09,17.51,1.75463,4.49455,0.0005,0.0983,16.5,17.4,17.67,17.74,2.4
UPS,2007-03-12,15.89,2.22911,4.49036,0.0006,0.1219,16.55,16.53,16.25,16.6,2.4
UPS,2007-03-13,16.85,0.077496,4.53796,0.0018,0.1053,16.54,18,17.99,17.99,2.4
UPS,2007-03-14,17.45,0.0200447,4.45631,0.0004,0.0945,17.29,17.51,17.65,17.8,2.4
UPS,2007-03-15,18.47,0.072036,4.40758,0.0015,0.0926,17.74,17.93,18.17,18.42,2.5
UPS,2007-03-16,17.07,0.0719562,4.54926,0.0017,0.1061,18.12,17.83,18.01,18.19,2.5
UPS,2007-03-19,16.08,1.06523,4.45711,0.0014,0.1171,18.24,15.97,17.94,17.98,2.5
UPS,2007-03-20,15.18,3.25188,4.68508,0.0398,0.1099,18.23,15.31,17.47,17.44,2.4
UPS,2007-03-21,13.09,3.1512,4.74688,0.0006,0.116,18.63,14.33,16.46,16.39,2.4
UPS,2007-03-22,13.69,3.65022,4.66831,0.0006,0.1196,19.73,14.32,16.79,16.58,2.4
UPS,2007-03-23,14.19,2.89196,4.65952,0.0006,0.112,19.67,14.29,16.24,16.29,2.4
UPS,2007-03-26,14.89,2.72503,4.67636,0.001,0.1212,19.77,15.62,17.35,17.16,2.4
UPS,2007-03-27,14.74,3.44836,4.84742,0.0013,0.1258,19.64,16.01,17.7,17.3,2.4
UPS,2007-03-28,15.64,3.49105,4.5712,0.0496,0.1078,16.47,16.17,17.79,17.54,2.4
UPS,2007-03-29,14.93,4.15997,4.54186,0.001,0.118,16.46,16.24,17.91,17.73,2.4
UPS,2007-03-30,14.91,3.50648,4.66846,0.0442,0.0901,16.67,16.19,18,17.49,2.4
UPS,2007-04-02,15.52,3.85422,4.44548,0.0009,0.0963,16.75,16.99,18.31,17.8,2.4
UPS,2007-04-03,15.01,4.45364,4.66396,0.001,0.0958,16.33,17.19,18.51,17.55,2.4
UPS,2007-04-04,14.57,4.97183,4.45218,0.0013,0.1045,16.26,17.26,18.39,17.45,2.4
UPS,2007-04-05,14.27,0.0797909,4.41481,0.0018,0.1228,16.21,16.53,17.51,17.02,2.4
UPS,2007-04-09,14.69,0.0956315,4.45848,0.0016,0.0947,16.24,17.65,17.88,17.32,2.4
UPS,2007-04-10,13.38,0.120832,4.65362,0.0041,0.1227,16.26,17.26,17.34,16.64,2.4
UPS,2007-04-11,14.04,0.118753,4.60084,0.0018,0.0955,16.38,17.5,17.56,16.95,2.4
UPS,2007-04-12,14.76,0.13123,4.67274,0.0017,0.0883,15.64,17.44,17.69,17.28,2.4
UPS,2007-04-13,15.34,0.13328,4.74573,0.0025,0.0812,15.04,18.27,18.19,17.65,2.4
UPS,2007-04-16,14.08,0.166407,4.91162,0.0035,0.1153,14.67,19.33,18.1,17.07,2.4
