tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,VLO,28.13,28.98,29.56
2024-06-04,VLO,28.15,28.69,29.58
2024-06-05,VLO,27.66,28.95,29.62
2024-06-06,VLO,27.86,29.97,30.1
2024-06-07,VLO,26.11,28.54,29.47
2024-06-10,VLO,27.09,28.85,28.95
2024-06-11,VLO,26.68,29.53,30.26
2024-06-12,VLO,27.4,30.19,30.72
2024-06-13,VLO,28.49,30.44,30.77
2024-06-14,VLO,27.49,30.06,30.66
2024-06-17,VLO,28.22,30.91,30.93
2024-06-18,VLO,28.08,31.6,31.25
2024-06-20,VLO,28.26,31.38,31.76
2024-06-21,VLO,27.35,31.2,29.69
2024-06-24,VLO,29.17,30.57,29.98
2024-06-25,VLO,29.23,30.55,30.23
2024-06-26,VLO,28.79,30.62,30.17
2024-06-27,VLO,28.53,30.41,29.79
2024-06-28,VLO,29.49,29.87,29.73
2024-07-01,VLO,30.39,30.11,30.5
2024-07-02,VLO,29.77,29.54,29.51
2024-07-03,VLO,30.67,31.52,30.86
2024-07-05,VLO,31.9,30.5,30.7
2024-07-08,VLO,32.98,31.29,31.24
2024-07-09,VLO,32.34,30.72,30.7
2024-07-10,VLO,32.65,30.67,30.67
2024-07-11,VLO,32.46,31.15,30.22
2024-07-12,VLO,31.6,30.72,29.53
2024-07-15,VLO,31.67,31.13,30.85
2024-07-16,VLO,32.18,31.05,30.95
2024-07-17,VLO,33.31,31.93,31.13
2024-07-18,VLO,33.02,31.67,31.33
2024-07-19,VLO,32.53,31.64,31.51
2024-07-22,VLO,31.96,31.33,30.69
2024-07-23,VLO,31.16,30.7,30.3
2024-07-24,VLO,31.67,31.23,30.27
2024-07-25,VLO,31.1,31.15,30.83
2024-07-26,VLO,29.83,30.13,30.8
2024-07-29,VLO,29.93,30.04,30.32
2024-07-30,VLO,30.21,30.07,29.87
2024-07-31,VLO,29.99,29.84,30.08
2024-08-01,VLO,31.57,30.49,31.28
2024-08-02,VLO,35.43,34.79,34.21
2024-08-05,VLO,40.32,39.34,38.08
2024-08-06,VLO,35.86,35.25,35.1
2024-08-07,VLO,35.26,35.76,36.07
2024-08-08,VLO,33.26,34.81,34.86
2024-08-09,VLO,31.34,32.76,33.51
2024-08-12,VLO,31.63,32.7,33.12
2024-08-13,VLO,30.61,31.11,32.63
2024-08-14,VLO,28.86,30.48,31.55
2024-08-15,VLO,27.28,29.84,30.74
2024-08-16,VLO,27.47,28.22,29.82
2024-08-19,VLO,26.75,28.7,29.76
2024-08-20,VLO,27.86,29.67,30.29
2024-08-21,VLO,27.98,29.2,30.48
2024-08-22,VLO,28.37,29.43,30.69
2024-08-23,VLO,27.21,28.59,29.83
2024-08-26,VLO,28.07,28.93,30.08
2024-08-27,VLO,27.98,28.66,29.82
2024-08-28,VLO,27.75,28.92,30.31
2024-08-29,VLO,26.79,28.23,29.83
2024-08-30,VLO,26.91,28.1,29.89
2024-09-03,VLO,30.76,31.18,32.04
2024-09-04,VLO,30.93,31.77,32.13
2024-09-05,VLO,31.16,32.48,33.09
2024-09-06,VLO,32.41,33.39,33.9
2024-09-09,VLO,31.54,33.07,33.26
2024-09-10,VLO,31.82,33.6,33.71
2024-09-11,VLO,33.39,34.22,34.45
2024-09-12,VLO,31.16,33.37,33.78
2024-09-13,VLO,30.74,33.26,33.21
2024-09-16,VLO,31.29,32.74,33.91
2024-09-17,VLO,30.64,32.21,32.4
2024-09-18,VLO,30.35,32.22,33.09
2024-09-19,VLO,28.95,32.8,32.5
2024-09-20,VLO,30.08,33.63,32.81
2024-09-23,VLO,30.46,32.82,32.28
2024-09-24,VLO,32.13,33.56,32.49
2024-09-25,VLO,33.39,33.97,33.23
2024-09-26,VLO,33.4,33.85,33.19
2024-09-27,VLO,33.44,34.62,33.7
2024-09-30,VLO,33.26,34.09,33.76
2024-10-01,VLO,34.11,35.11,34.59
2024-10-02,VLO,35.79,36.61,35.22
2024-10-03,VLO,39.38,38.97,37.25
2024-10-04,VLO,39.53,38.84,36.84
2024-10-07,VLO,41.25,39.19,36.9
2024-10-08,VLO,41.2,38.58,37.1
2024-10-09,VLO,40.22,37.64,35.96
2024-10-10,VLO,40.91,38.58,36.56
2024-10-11,VLO,38.75,36.67,35.47
2024-10-14,VLO,37.8,35.71,34.86
2024-10-15,VLO,37,35.5,34.52
2024-10-16,VLO,36.43,35.05,34.01
2024-10-17,VLO,36.71,34.92,34.24
2024-10-18,VLO,36.82,34.32,33.16
2024-10-21,VLO,35.95,33.89,33.5
2024-10-22,VLO,36.44,34.26,33.32
2024-10-23,VLO,37.2,34.6,33.16
