ticker,tradeDate,orIvXern20d,slope,slopeInf,deriv,derivInf,orHv20d,iv30d,iv60d,iv90d,divYield
VRTX,2007-01-03,60.44,3.12057,6.01177,0.0024,0.1094,41.51,48.09,58.51,66.12,0
VRTX,2007-01-04,58.44,3.35819,6.10694,0.0022,0.1109,43.17,49.2,56.26,62.47,0
VRTX,2007-01-05,58.26,2.29664,5.72647,0.1065,0.0932,43.21,50.11,56.65,64.47,0
VRTX,2007-01-08,67.31,3.12363,5.79267,0.0727,0.1095,44.32,57.34,63.91,68.95,0
VRTX,2007-01-09,65.24,3.29358,5.97839,0.0837,0.1107,48.95,56.39,63.05,67.89,0
VRTX,2007-01-10,58.51,4.24796,6.33376,0.1971,0.1419,49.14,55.29,61.65,66,0
VRTX,2007-01-11,62.69,4.7665,6.5856,0.2548,0.1633,51.13,54.11,60.18,65.29,0
VRTX,2007-01-12,63.37,4.40485,6.98209,0.0065,0.1496,45.81,53.21,61.22,68.43,0
VRTX,2007-01-16,64.9,4.23228,6.84043,0.1005,0.1474,46.26,57.93,62.55,66.41,0
VRTX,2007-01-17,62.7,4.84858,6.94242,0.0037,0.1259,42.67,54.3,60.89,66.15,0
VRTX,2007-01-18,61.68,4.90226,6.61873,0.0074,0.1591,42.65,53.54,59.58,64.22,0
VRTX,2007-01-19,67.17,5.23457,6.90852,0.0069,0.1435,42.93,56.88,63.48,68.55,0
VRTX,2007-01-22,60.43,8.16576,6.10104,0.472,0.178,43.02,51.73,56.61,67.8,0
VRTX,2007-01-23,57.43,4.98222,6.19623,0.1865,0.1658,43.33,49.26,52.11,70.67,0
VRTX,2007-01-24,61.47,3.58694,6.12434,0.1102,0.1698,43.17,52,56.35,69.06,0
VRTX,2007-01-25,64.06,2.33965,6.32489,0.1032,0.136,42.89,51.94,60.12,71.25,0
VRTX,2007-01-26,64.97,6.11935,6.50571,0.0962,0.1359,44.21,54.85,60.53,71.63,0
VRTX,2007-01-29,62.95,2.25067,6.38718,0.1126,0.1474,44.41,52.75,59.87,68.03,0
VRTX,2007-01-30,64.73,3.75939,6.48854,0.1292,0.1751,44.57,54.94,62.69,70.79,0
VRTX,2007-01-31,65.55,2.64173,6.38069,0.1083,0.171,44.39,54.24,63.92,71.18,0
VRTX,2007-02-01,64.52,2.17076,6.82688,0.1171,0.1493,44.62,54.77,61.24,68.42,0
VRTX,2007-02-02,60.24,5.76036,6.44723,0.0288,0.153,43.51,44.38,56.66,66.41,0
VRTX,2007-02-05,65.96,5.24849,6.52245,0.0241,0.1358,44.36,44.86,62.35,70.68,0
VRTX,2007-02-06,64.03,5.4701,6.81723,0.0276,0.1464,44.5,45.3,61.28,67.59,0
VRTX,2007-02-07,60.78,5.69081,6.56097,0.0275,0.1698,39.78,47.28,59.56,64.62,0
VRTX,2007-02-08,66.64,5.79929,6.61255,0.0317,0.1666,39.21,47.52,64.64,69.6,0
VRTX,2007-02-09,69.33,5.58649,6.4567,0.04,0.1461,36.21,42.83,63.96,69.28,0
VRTX,2007-02-12,74.72,5.21697,6.30538,0.0325,0.137,36.43,46.66,68.35,70.08,0
VRTX,2007-02-13,71.96,3.63455,6.50871,0.0221,0.1247,32.64,49.67,70.57,71.11,0
VRTX,2007-02-14,77.53,2.24442,6.60863,0.0238,0.1389,33.41,58.88,74.47,72.21,0
VRTX,2007-02-15,79.45,2.49904,6.38975,0.0302,0.136,33.5,57.96,74.93,72.62,0
VRTX,2007-02-16,85.99,1.83204,6.5676,0.014,0.1011,33.11,59.32,81.23,77.48,0
VRTX,2007-02-20,85.31,5.55433,6.72213,0.071,0.122,34.45,58.71,84.54,76.53,0
VRTX,2007-02-21,84.49,5.37604,6.62206,0.0884,0.1318,36.04,58.65,82.97,76.49,0
VRTX,2007-02-22,74.15,6.45934,6.89384,0.1103,0.1234,35.96,51.62,76.26,71.61,0
VRTX,2007-02-23,71.6,4.88653,6.28214,0.1438,0.1273,36.99,51.8,73.94,69.69,0
VRTX,2007-02-26,77.45,5.43525,5.98589,0.1806,0.129,35.45,60.7,78.74,72.62,0
VRTX,2007-02-27,76.12,7.00051,5.99091,0.2103,0.1165,35.74,53.2,72.96,69,0
VRTX,2007-02-28,66.85,4.53106,5.62987,0.2213,0.1218,35.73,56.5,68.21,66.23,0
VRTX,2007-03-01,70.8,4.43039,5.70203,0.1823,0.1064,35.95,61.71,72.79,69.57,0
VRTX,2007-03-02,72.14,7.26371,5.71074,0.2705,0.1091,36.39,54.5,70.05,68.63,0
VRTX,2007-03-05,77.47,6.56501,5.66072,0.1853,0.0986,36.11,67.33,75.89,72.21,0
VRTX,2007-03-06,75.05,7.27046,5.79564,0.2417,0.1044,35.76,64.8,73.43,70.05,0
VRTX,2007-03-07,75.4,7.28274,5.73637,0.2494,0.1025,35.13,67.34,73.14,69.08,0
VRTX,2007-03-08,79.08,7.30175,5.78555,0.1895,0.112,34.71,68.91,76.58,71.19,0
VRTX,2007-03-09,78.32,7.67741,5.66794,0.2189,0.093,34.94,69.76,75.63,70.69,0
VRTX,2007-03-12,72.74,8.54049,5.85872,0.344,0.1107,35.11,65.69,70.78,66.44,0
VRTX,2007-03-13,74.1,7.01754,5.85344,0.2204,0.0884,36.27,75.38,71.94,67.95,0
VRTX,2007-03-14,78.31,5.65055,5.42682,0.1355,0.0903,38.04,81.04,75.95,70.36,0
VRTX,2007-03-15,77.9,5.69069,5.42053,0.0932,0.0915,38.33,80.65,75.53,70.17,0
VRTX,2007-03-16,76.19,6.21548,5.36653,0.0003,0.1046,37.94,78.51,74.36,70.21,0
VRTX,2007-03-19,72.04,8.61021,5.87824,0.0071,0.0946,39.6,75.33,67.53,65.3,0
VRTX,2007-03-20,70.5,7.14072,5.6758,0.1069,0.1029,38.59,72.73,66.96,64.59,0
VRTX,2007-03-21,75.09,4.51901,5.33652,0.1215,0.0824,36.57,81.26,70.21,66.29,0
VRTX,2007-03-22,76.95,4.06265,5.01491,0.1051,0.0644,37.91,85.43,70.92,67.51,0
VRTX,2007-03-23,75.44,4.1326,5.16087,0.1647,0.0842,37.42,81.62,70.63,66.86,0
VRTX,2007-03-26,74.71,4.78264,5.02402,0.0947,0.0986,37.31,80.99,71.36,66.1,0
VRTX,2007-03-27,73.17,4.67826,4.89191,0.096,0.0987,36.9,79.81,72.67,66.47,0
VRTX,2007-03-28,76.18,3.93556,5.02494,0.0987,0.0969,37.96,83.22,72.76,66.94,0
VRTX,2007-03-29,75.99,4.96083,4.94093,0.0466,0.09,37.67,83.32,72.42,66.58,0
VRTX,2007-03-30,75.71,4.1294,5.06054,0.1218,0.0851,37.12,83.34,72.12,66.45,0
VRTX,2007-04-02,79.6,3.73429,5.15357,0.08,0.0724,36.83,88.96,74.94,68.44,0
VRTX,2007-04-03,81.21,3.69021,5.54288,0.1014,0.0866,35.9,92.04,75.22,67.81,0
VRTX,2007-04-04,81.44,4.17323,5.62215,0.1227,0.0921,36.3,92.93,74.76,67.95,0
VRTX,2007-04-05,79.75,3.45637,5.43018,0.1096,0.0738,37.42,90.33,73.82,66.3,0
VRTX,2007-04-09,80.95,3.90602,5.29897,0.057,0.0802,38.32,92.69,74,65.89,0
VRTX,2007-04-10,82.74,3.21042,4.93803,0.0671,0.0741,38.51,95.19,75.25,68.57,0
VRTX,2007-04-11,75.55,3.71442,4.81299,0.0858,0.0551,37.39,89.09,72.31,65.55,0
VRTX,2007-04-12,72.01,4.82895,4.838,0.2469,0.0658,38.32,85.25,69.68,63.01,0
VRTX,2007-04-13,70.86,3.76398,5.15135,0.1432,0.0581,37.48,88.69,69.55,61.74,0
VRTX,2007-04-16,49.07,0.0966095,4.13924,0.0013,0.061,42.12,50.68,49.24,49.05,0
VRTX,2007-04-17,50.19,1.90902,4.09325,0.0031,0.0667,42,50.08,50.24,50.36,0
VRTX,2007-04-18,40.78,2.72893,3.81875,0.0019,0.0532,46.47,52.23,51.16,50.3,0
VRTX,2007-04-19,43.32,2.17478,3.6851,0.0029,0.0548,46.47,50.58,50.86,51.07,0
VRTX,2007-04-20,40.99,2.55476,3.86876,0.0005,0.0503,45.72,47.9,48.69,49.29,0
VRTX,2007-04-23,43.72,2.24292,4.38288,0.0011,0.05,45.92,48.14,46.06,47.24,0
VRTX,2007-04-24,46.87,1.82975,4.23172,0.0021,0.058,46.22,45.38,47.65,48.08,0
VRTX,2007-04-25,42.18,2.05787,4.56792,0.0002,0.0594,46.35,38.57,45.72,45.6,0
VRTX,2007-04-26,42.84,1.70819,4.615,0.0002,0.076,45.35,34.34,43.8,45.34,0
VRTX,2007-04-27,41.37,1.74798,4.46717,0.0003,0.0857,45.32,39.85,42.38,44.12,0
VRTX,2007-04-30,42.76,1.44666,4.28551,0.0055,0.0973,45.16,44.54,44.04,45.12,0
VRTX,2007-05-01,40.84,0.16431,4.52844,0.005,0.0826,45.32,38.54,41.23,43.26,0
VRTX,2007-05-02,38.41,0.698762,4.20478,0.0004,0.0964,45.95,36.09,39.4,42.06,0
VRTX,2007-05-03,38.23,1.80387,4.50271,0.0003,0.0732,45.45,35.64,39.09,42.08,0
VRTX,2007-05-04,38.51,0.09918,4.30027,0.0003,0.0787,44.59,36.42,39.4,42.51,0
VRTX,2007-05-07,39.91,0.206813,4.43685,0.0003,0.0721,43.67,38.53,40.22,42.28,0
VRTX,2007-05-08,39.35,0.512898,4.18385,0.0011,0.0517,43.3,35.86,37.72,40.64,0
VRTX,2007-05-09,36.68,0.514461,4.57661,0.0014,0.0719,43.02,33.88,35.68,39.03,0
VRTX,2007-05-10,34.13,-0.100823,3.80843,0.0007,0.0557,40.85,34.44,35.23,37.82,0
VRTX,2007-05-11,34.28,0.032449,4.21378,0.0008,0.0759,41.29,36.56,36.13,38.25,0
VRTX,2007-05-14,34.38,0.0679854,4.18886,0.0006,0.0577,36.73,39.35,36.66,38.25,0
VRTX,2007-05-15,36.25,0.763776,4.232,0.0006,0.0636,35.16,38.63,38.17,39.54,0
VRTX,2007-05-16,36.32,1.48434,4.35345,0.0007,0.071,32.01,40.06,38.52,39.5,0
VRTX,2007-05-17,35.6,0.882547,4.0481,0.0006,0.0569,32.56,38.07,37.16,38.99,0
VRTX,2007-05-18,36.71,0.965479,4.29623,0.0004,0.0463,33.34,37.85,37.13,39.04,0
VRTX,2007-05-21,35.37,0.369451,4.21483,0.0006,0.0615,32.67,37.09,36.73,38.81,0
VRTX,2007-05-22,37.5,-0.67207,4.12006,0.0002,0.0698,32.13,37.07,37.75,39.43,0
VRTX,2007-05-23,38.16,0.23255,4.06222,0.0006,0.0512,31.71,35.72,35.55,38.1,0
VRTX,2007-05-24,36.28,-0.616401,3.91676,0.0011,0.0973,31.85,33.01,35.14,38.09,0
VRTX,2007-05-25,34.8,-1.04349,3.98231,0.0004,0.0832,32.95,32.38,35.21,37.73,0
VRTX,2007-05-29,38.22,-0.552685,4.15714,0.0008,0.0669,32.94,33.63,35.68,38.5,0
VRTX,2007-05-30,36.32,-1.72667,4.09802,0.0003,0.0677,32.46,33.56,37.12,39.39,0
VRTX,2007-05-31,34.8,-2.73204,4.00029,0.0004,0.0831,31.47,32.58,35.35,38.47,0
VRTX,2007-06-01,33.13,0.0180629,3.78875,0.0003,0.067,30.96,31.35,34.28,37.72,0
VRTX,2007-06-04,39.9,0.0695458,3.53864,0.0017,0.1118,31.16,35.67,36.06,39.07,0
VRTX,2007-06-05,35.96,0.074746,4.23351,0.0019,0.0838,30.95,35.25,35.97,39.03,0
VRTX,2007-06-06,39.92,0.070478,3.90297,0.0013,0.0811,31.19,35.77,36.96,40.06,0
VRTX,2007-06-07,41.87,2.68306,4.06657,0.0015,0.0804,31.76,39.22,39.12,41.43,0
VRTX,2007-06-08,41.38,3.2843,4.06822,0.0004,0.0878,32.46,41.93,42.06,42.99,0
VRTX,2007-06-11,46.9,1.39664,3.6473,0.0007,0.1123,31.4,43.56,46.76,46.32,0
VRTX,2007-06-12,47.63,0.131703,3.78734,0.0005,0.0915,31.69,48.16,47.63,47.02,0
VRTX,2007-06-13,46.58,0.911303,3.71167,0.0004,0.0929,31.75,48.11,47.43,46.68,0
VRTX,2007-06-14,46.9,0.13103,3.57443,0.0004,0.0906,28.73,48.11,47.33,46.52,0
VRTX,2007-06-15,45.61,1.53057,3.60649,0.002,0.0984,27.84,43.7,43.96,44.22,0
VRTX,2007-06-18,38.86,1.32746,3.73226,0.0012,0.0981,26.58,40.75,47.08,46.01,0
VRTX,2007-06-19,38.42,1.58867,3.27372,0.0003,0.1028,26.65,38.38,46.91,45.68,0
VRTX,2007-06-20,44.15,1.03763,3.44078,0.0002,0.0723,26.41,38.77,46.19,45.3,0
