tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,WEC,17.2,16.39,16.77
2024-06-04,WEC,16.84,16.1,16.54
2024-06-05,WEC,17.09,16.72,17.21
2024-06-06,WEC,16.66,16.43,16.97
2024-06-07,WEC,16.68,16.44,16.94
2024-06-10,WEC,16.56,16.26,16.81
2024-06-11,WEC,16.55,16.44,17.07
2024-06-12,WEC,16.69,17.1,17.73
2024-06-13,WEC,16.56,16.89,17.41
2024-06-14,WEC,16.71,17.35,18.02
2024-06-17,WEC,17.25,17.77,18.34
2024-06-18,WEC,16.93,17.14,17.3
2024-06-20,WEC,16.54,17.32,17.61
2024-06-21,WEC,16.59,18.48,18.48
2024-06-24,WEC,16.87,18.16,17.56
2024-06-25,WEC,16.27,17.72,17.95
2024-06-26,WEC,16.62,17.77,17.21
2024-06-27,WEC,17.03,17.9,17.34
2024-06-28,WEC,16.48,17.33,16.4
2024-07-01,WEC,16.87,18.06,17.66
2024-07-02,WEC,17.01,18.01,17.6
2024-07-03,WEC,16.99,18.01,17.68
2024-07-05,WEC,17.59,17.82,17.07
2024-07-08,WEC,18.02,18.27,17.99
2024-07-09,WEC,19.07,18.83,18.09
2024-07-10,WEC,19.1,18.42,17.08
2024-07-11,WEC,19.23,18.76,17.43
2024-07-12,WEC,17.99,17.53,16.65
2024-07-15,WEC,19.74,18.39,17.14
2024-07-16,WEC,19.34,17.95,16.79
2024-07-17,WEC,21.31,19.57,18.18
2024-07-18,WEC,21.75,18.89,17.7
2024-07-19,WEC,23.83,19.86,18.17
2024-07-22,WEC,22.2,18.52,18.45
2024-07-23,WEC,21.57,18.19,18.11
2024-07-24,WEC,22.02,19.1,18.03
2024-07-25,WEC,21.76,18.96,18.22
2024-07-26,WEC,21.13,18.48,18.59
2024-07-29,WEC,21.62,18.83,18.47
2024-07-30,WEC,20.98,18.36,17.7
2024-07-31,WEC,18.26,17.22,17.14
2024-08-01,WEC,18.6,17.75,17.92
2024-08-02,WEC,20.93,19.63,19.45
2024-08-05,WEC,25.39,22.69,21.84
2024-08-06,WEC,19.45,18.39,18.76
2024-08-07,WEC,20.49,19.7,19.94
2024-08-08,WEC,17.24,18.06,18.88
2024-08-09,WEC,17.86,17.42,17.4
2024-08-12,WEC,18.53,17.82,18.3
2024-08-13,WEC,16.46,17.04,17.62
2024-08-14,WEC,15.37,15.69,16.59
2024-08-15,WEC,14.22,14.9,15.89
2024-08-16,WEC,14.84,14.95,15.85
2024-08-19,WEC,14.15,14.14,15.34
2024-08-20,WEC,14.72,15.02,15.8
2024-08-21,WEC,13.69,14.54,15.52
2024-08-22,WEC,15.2,15.73,17.01
2024-08-23,WEC,13.47,15.06,16.18
2024-08-26,WEC,14.52,14.41,16.05
2024-08-27,WEC,13.68,14.92,16.18
2024-08-28,WEC,14.41,14.47,15.92
2024-08-29,WEC,14.24,15.06,16.39
2024-08-30,WEC,13.68,14.99,16.12
2024-09-03,WEC,16.26,16.6,17.2
2024-09-04,WEC,15.61,16.52,17.54
2024-09-05,WEC,15.94,16.54,17.44
2024-09-06,WEC,16.19,16.88,17.53
2024-09-09,WEC,16.87,17.45,18.51
2024-09-10,WEC,16.05,16.69,17.56
2024-09-11,WEC,15.29,15.73,16.61
2024-09-12,WEC,15.89,16.62,17.26
2024-09-13,WEC,16.02,16.35,16.74
2024-09-16,WEC,15.85,16.51,17.25
2024-09-17,WEC,15.29,15.79,16.2
2024-09-18,WEC,16.1,16.55,16.91
2024-09-19,WEC,15.3,22.79,20.15
2024-09-20,WEC,15.39,18.56,17.33
2024-09-23,WEC,15.62,17.93,17.51
2024-09-24,WEC,16.18,18.29,17.82
2024-09-25,WEC,16.29,18.62,17.94
2024-09-26,WEC,17.48,19.81,19.02
2024-09-27,WEC,17.18,19.25,18.67
2024-09-30,WEC,18.4,19.19,17.6
2024-10-01,WEC,18.93,20.72,19.7
2024-10-02,WEC,19.33,21.49,21.49
2024-10-03,WEC,19.61,21.01,20
2024-10-04,WEC,19.56,20.34,19.02
2024-10-07,WEC,22.05,21.56,19.82
2024-10-08,WEC,21.43,21.05,19.92
2024-10-09,WEC,20.82,20.64,19.49
2024-10-10,WEC,20.86,20.35,19.31
2024-10-11,WEC,20.3,19.25,17.54
2024-10-14,WEC,21.26,19.45,17.7
2024-10-15,WEC,21.56,19.86,18.44
2024-10-16,WEC,21.37,19.63,18.24
2024-10-17,WEC,21.3,22.05,18.04
2024-10-18,WEC,22.04,19.29,18.52
2024-10-21,WEC,21.91,19.56,19.47
2024-10-22,WEC,22.66,18.89,18.8
2024-10-23,WEC,22.37,18.72,18.71
2024-10-24,WEC,22.35,19.13,18.32
2024-10-25,WEC,22.76,19.59,18.92
2024-10-28,WEC,23.08,19.86,19.3
2024-10-29,WEC,22.87,19.63,18.15
2024-10-30,WEC,23.18,20.07,18.66
2024-10-31,WEC,22.66,19.97,19.19
2024-11-01,WEC,21.67,19.55,19.4
2024-11-04,WEC,22.53,19.63,18.97
2024-11-05,WEC,22.1,19.28,18.93
2024-11-06,WEC,19.42,17.42,17.11
2024-11-07,WEC,19.08,17.52,17.67
2024-11-08,WEC,17.39,17.42,17.6
2024-11-11,WEC,19.45,17.52,17.63
2024-11-12,WEC,17.98,17.36,17.47
2024-11-13,WEC,17.52,17.31,17.63
2024-11-14,WEC,17.66,17.38,17.53
2024-11-15,WEC,17.63,17.85,17.92
2024-11-18,WEC,17.2,16.73,17.22
2024-11-19,WEC,16.63,16.47,16.82
2024-11-20,WEC,16.62,16.44,16.94
2024-11-21,WEC,15.87,16.02,16.66
2024-11-22,WEC,15.62,15.74,16.26
2024-11-25,WEC,15,15.86,16.44
2024-11-26,WEC,14.86,15.39,16.36
2024-11-27,WEC,15.57,16.14,16.81
2024-11-29,WEC,14.62,15.26,15.92
2024-12-02,WEC,15.92,16.12,16.51
2024-12-03,WEC,15.54,15.71,16.29
2024-12-04,WEC,15.98,16.31,16.56
2024-12-05,WEC,15.66,16.42,16.86
2024-12-06,WEC,16.54,16.9,17.15
2024-12-09,WEC,17,17.18,17.31
2024-12-10,WEC,17.12,17.36,17.47
2024-12-11,WEC,17.64,17.72,17.81
2024-12-12,WEC,17.31,17.41,17.46
2024-12-13,WEC,16.95,17.25,17.44
2024-12-16,WEC,17.99,17.74,17.66
2024-12-17,WEC,18.1,18.12,18.13
2024-12-18,WEC,19.02,19.04,19.06
2024-12-19,WEC,19.24,23.2,21.71
2024-12-20,WEC,18.38,19.48,19.66
2024-12-23,WEC,17.5,19.55,19.51
2024-12-24,WEC,18.01,19.27,19.36
2024-12-26,WEC,18.42,19.59,19.07
2024-12-27,WEC,18.56,19.51,18.55
2024-12-30,WEC,18.99,19.71,18.95
2024-12-31,WEC,19.08,19.76,19.11
2025-01-02,WEC,19.25,19.71,18.83
2025-01-03,WEC,18.64,19.72,18.9
2025-01-06,WEC,17.79,17.31,16.37
2025-01-07,WEC,17.83,17.66,17.37
2025-01-08,WEC,18.19,17.8,17.13
2025-01-10,WEC,19.68,19.03,18.09
2025-01-13,WEC,20.22,19.08,17.68
2025-01-14,WEC,19.35,18.31,17.11
2025-01-15,WEC,17.26,17.2,17.12
2025-01-16,WEC,16.62,16.61,16.61
2025-01-17,WEC,16.73,16.3,16.15
2025-01-21,WEC,18.61,17.2,17.53
2025-01-22,WEC,19.22,18.04,18.03
2025-01-23,WEC,19.51,17.88,18.06
2025-01-24,WEC,19.66,17.98,18.44
2025-01-27,WEC,21.36,19.71,18.97
2025-01-28,WEC,20.89,18.44,18.75
2025-01-29,WEC,21.37,19.55,18.83
2025-01-30,WEC,20.64,19.25,18.71
2025-01-31,WEC,21.06,19.17,18.83
2025-02-03,WEC,20.96,19.25,18.92
2025-02-04,WEC,18.7,17.7,17.82
2025-02-05,WEC,17.52,17.63,17.72
2025-02-06,WEC,17.72,17.71,17.79
2025-02-07,WEC,17.37,17.53,17.66
2025-02-10,WEC,17.95,18.23,18.32
2025-02-11,WEC,17.2,17.82,18.09
2025-02-12,WEC,17.79,18.08,18.14
2025-02-13,WEC,17.95,17.95,18.02
