tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,WELL,18.62,18.14,19.06
2024-06-04,WELL,18.36,18.57,19.5
2024-06-05,WELL,17.83,17.87,18.17
2024-06-06,WELL,17.68,17.91,18.62
2024-06-07,WELL,18.12,18.22,19.09
2024-06-10,WELL,17.43,17.64,18.9
2024-06-11,WELL,18.33,18.94,19.93
2024-06-12,WELL,17.52,18.44,19.72
2024-06-13,WELL,17.26,18.05,18.76
2024-06-14,WELL,17.81,18.81,19.63
2024-06-17,WELL,18.11,19.09,19.93
2024-06-18,WELL,16.55,18.5,20.12
2024-06-20,WELL,16.48,20.62,18.65
2024-06-21,WELL,16.86,20.1,18.46
2024-06-24,WELL,17.01,19.6,19.15
2024-06-25,WELL,17.15,20.1,19.4
2024-06-26,WELL,17.96,19.81,18.35
2024-06-27,WELL,17.32,19.73,19.93
2024-06-28,WELL,17.74,20.24,21.15
2024-07-01,WELL,18.34,19.71,19.42
2024-07-02,WELL,18.01,19.54,18.57
2024-07-03,WELL,17.9,18.75,17.85
2024-07-05,WELL,18.27,18.66,17.38
2024-07-08,WELL,20.7,20.62,20.23
2024-07-09,WELL,20.62,20.69,20.22
2024-07-10,WELL,20.45,19.7,19.61
2024-07-11,WELL,19.72,17.26,16.86
2024-07-12,WELL,19.64,18.88,18.61
2024-07-15,WELL,22.21,21.04,20.32
2024-07-16,WELL,22.46,19.76,19.43
2024-07-17,WELL,22.33,20.63,20.5
2024-07-18,WELL,23.72,20.24,19.67
2024-07-19,WELL,23.22,21.94,21.3
2024-07-22,WELL,23.94,22.31,21.45
2024-07-23,WELL,23.75,21.73,21.47
2024-07-24,WELL,25.88,23.16,22.71
2024-07-25,WELL,25.77,21.83,22.15
2024-07-26,WELL,24.86,21.42,21.49
2024-07-29,WELL,27.32,22.39,22.2
2024-07-30,WELL,21.04,20.11,20.69
2024-07-31,WELL,19.27,18.85,20.01
2024-08-01,WELL,21.22,20.23,21.36
2024-08-02,WELL,23.28,22.55,22.67
2024-08-05,WELL,31.98,28.17,27.61
2024-08-06,WELL,24.49,23.9,24.02
2024-08-07,WELL,21.52,22.06,23
2024-08-08,WELL,20.42,21.08,21.96
2024-08-09,WELL,20.47,20.69,21.36
2024-08-12,WELL,20.31,20.29,21.07
2024-08-13,WELL,21.27,21.59,21.97
2024-08-14,WELL,18.47,19.09,19.78
2024-08-15,WELL,16.94,17.5,18.85
2024-08-16,WELL,17.97,16.46,17.3
2024-08-19,WELL,17.4,17.83,18.99
2024-08-20,WELL,17.94,17.93,19.55
2024-08-21,WELL,18.42,18.74,20.03
