tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,WM,15.93,16.48,16.58
2024-06-04,WM,14.95,14.67,15.38
2024-06-05,WM,14.57,14.68,15.27
2024-06-06,WM,14.47,15.91,15.85
2024-06-07,WM,13.34,15.74,16.11
2024-06-10,WM,13.73,15.93,15.68
2024-06-11,WM,13.93,16.52,16.22
2024-06-12,WM,13.75,16.01,15.56
2024-06-13,WM,12.42,16.56,16.27
2024-06-14,WM,14.49,16.46,15.97
2024-06-17,WM,13.29,17.02,16.33
2024-06-18,WM,13.65,16.76,16.12
2024-06-20,WM,13.36,16.8,16.82
2024-06-21,WM,14.47,16.35,15.86
2024-06-24,WM,15.23,15.22,15.33
2024-06-25,WM,15.46,16.33,15.72
2024-06-26,WM,16.56,16.25,15.48
2024-06-27,WM,17.72,16.6,15.5
2024-06-28,WM,16.98,16.31,15.71
2024-07-01,WM,17.51,17.1,16.36
2024-07-02,WM,17.58,16.82,16.08
2024-07-03,WM,17.59,15.9,16
2024-07-05,WM,18.02,16.71,16.08
2024-07-08,WM,18.04,16.65,15.77
2024-07-09,WM,18.49,16.76,16.52
2024-07-10,WM,18.89,16.19,15.82
2024-07-11,WM,18.52,16.71,15.85
2024-07-12,WM,16.22,16.67,16.6
2024-07-15,WM,19.12,16.7,16.19
2024-07-16,WM,19.05,16.93,15.95
2024-07-17,WM,20.2,17.01,16.28
2024-07-18,WM,20.1,17.79,16.73
2024-07-19,WM,20.93,17.47,17.14
2024-07-22,WM,20.04,17.09,16.56
2024-07-23,WM,19.04,17.19,16.54
2024-07-24,WM,19.94,17.01,16.87
2024-07-25,WM,17.09,16.59,17.45
2024-07-26,WM,15.54,16.33,16.14
2024-07-29,WM,16.21,16.17,16.09
2024-07-30,WM,16.35,15.81,16.17
2024-07-31,WM,15.04,15.04,16.04
2024-08-01,WM,16.11,16.41,16.84
2024-08-02,WM,16.87,16.53,17.13
2024-08-05,WM,20.54,20.13,20.52
2024-08-06,WM,18.12,18.03,18.06
2024-08-07,WM,19,18.71,19.66
2024-08-08,WM,17.03,17.62,17.89
2024-08-09,WM,15.76,16.67,17.21
2024-08-12,WM,16.71,15.98,16.15
2024-08-13,WM,15.98,16.21,16.55
2024-08-14,WM,15.78,15.41,16.21
2024-08-15,WM,14.44,14.8,15.44
2024-08-16,WM,14.52,14.99,15.89
2024-08-19,WM,14.8,14.99,15.87
2024-08-20,WM,13.76,14.64,15.83
2024-08-21,WM,13.67,15.05,15.98
2024-08-22,WM,15.28,15.58,16.41
2024-08-23,WM,14.1,15.28,16.44
2024-08-26,WM,14.92,15.34,16.58
2024-08-27,WM,14.45,14.91,15.82
2024-08-28,WM,15.18,15.56,16.59
2024-08-29,WM,14.91,15.4,16.32
2024-08-30,WM,14.79,15.12,16.15
2024-09-03,WM,15.79,17.46,18.71
2024-09-04,WM,16.54,15.99,17.38
2024-09-05,WM,16.77,19.66,19.49
2024-09-06,WM,18.14,20.79,20.16
2024-09-09,WM,16.92,19.64,19.69
2024-09-10,WM,17.38,20.64,20.44
2024-09-11,WM,17.93,21.09,20.22
2024-09-12,WM,17.57,21.13,19.4
2024-09-13,WM,16.66,20,19.36
2024-09-16,WM,16.99,20.34,19.15
2024-09-17,WM,17.96,21.05,19.67
2024-09-18,WM,18.12,21.13,19.73
2024-09-19,WM,16.31,20.46,19.19
2024-09-20,WM,16.5,19.58,18.62
2024-09-23,WM,19.57,20.02,18.88
2024-09-24,WM,20.35,18.93,18.12
2024-09-25,WM,21.45,19.91,18.64
2024-09-26,WM,16.79,20.07,18.62
2024-09-27,WM,16.52,19.42,18.36
2024-09-30,WM,20.08,21.12,19.23
2024-10-01,WM,21.3,20.7,18.74
2024-10-02,WM,22.48,21.35,19.13
2024-10-03,WM,23.08,21.08,19.52
2024-10-04,WM,22.99,20.87,19.7
