tradeDate,ticker,iv30d,iv60d,iv90d
2024-06-03,ZTS,23.87,24.65,26.18
2024-06-04,ZTS,23.1,24.39,26.03
2024-06-05,ZTS,22.8,24.44,25.77
2024-06-06,ZTS,21.51,24.01,25.21
2024-06-07,ZTS,21.23,24.24,25.78
2024-06-10,ZTS,21.36,24.31,25.25
2024-06-11,ZTS,20.71,24.36,25.16
2024-06-12,ZTS,20.79,24.31,25.07
2024-06-13,ZTS,21.38,25.62,25.89
2024-06-14,ZTS,21.57,25.91,26.29
2024-06-17,ZTS,24.03,26.93,26.39
2024-06-18,ZTS,21.55,25.38,25.21
2024-06-20,ZTS,21.51,26.16,25.98
2024-06-21,ZTS,20.95,25.59,25.51
2024-06-24,ZTS,21.72,25.67,25.39
2024-06-25,ZTS,22.03,26.5,25.73
2024-06-26,ZTS,23.95,27.61,26.5
2024-06-27,ZTS,23.58,27.2,26.19
2024-06-28,ZTS,23.69,26.79,26.19
2024-07-01,ZTS,24.41,26.85,26.01
2024-07-02,ZTS,24.8,27.24,26.28
2024-07-03,ZTS,24.8,26.59,25.57
2024-07-05,ZTS,25.16,26.5,25.31
2024-07-08,ZTS,26.93,27.32,25.97
2024-07-09,ZTS,26.8,27.07,25.89
2024-07-10,ZTS,27.81,27.58,26.2
2024-07-11,ZTS,27.46,27.22,25.69
2024-07-12,ZTS,25.69,25.53,24.38
2024-07-15,ZTS,28.64,26.53,24.45
2024-07-16,ZTS,27.8,26.02,24.54
2024-07-17,ZTS,27.4,25.93,24.76
2024-07-18,ZTS,28.71,26.08,25.06
2024-07-19,ZTS,29.65,27.35,25.88
2024-07-22,ZTS,31.53,28.74,26.52
2024-07-23,ZTS,30.05,27,25.6
2024-07-24,ZTS,32.7,28.26,27.1
2024-07-25,ZTS,36.55,30.33,28.88
2024-07-26,ZTS,39.16,31.49,29.73
2024-07-29,ZTS,40.06,31.78,29.66
2024-07-30,ZTS,40.97,31.81,30.36
2024-07-31,ZTS,40.11,31.68,30.45
2024-08-01,ZTS,43.23,32.19,31.2
2024-08-02,ZTS,44.34,34.37,32.87
2024-08-05,ZTS,49.47,37.41,35.94
2024-08-06,ZTS,28.01,26.3,28.38
2024-08-07,ZTS,26.76,26.07,28.88
2024-08-08,ZTS,23.76,23.24,26.33
2024-08-09,ZTS,22.02,21.82,25.45
2024-08-12,ZTS,23.21,22.79,26.52
2024-08-13,ZTS,21.37,21.59,25.42
2024-08-14,ZTS,20.27,21.64,25.54
2024-08-15,ZTS,20.47,21.04,24.62
2024-08-16,ZTS,20.12,20.5,24.17
2024-08-19,ZTS,19.31,20.26,24.66
2024-08-20,ZTS,19.68,20.49,24.96
2024-08-21,ZTS,19.47,20.58,24.84
2024-08-22,ZTS,20.05,21.45,25.39
2024-08-23,ZTS,19.6,21.23,25.66
2024-08-26,ZTS,20.4,21.9,25.49
2024-08-27,ZTS,20.12,21.63,24.87
2024-08-28,ZTS,20.34,22.48,25.91
2024-08-29,ZTS,19.96,22.07,25.2
2024-08-30,ZTS,19.36,21.99,25.05
2024-09-03,ZTS,22.85,24.88,26.62
2024-09-04,ZTS,22.24,25.01,26.79
2024-09-05,ZTS,22.3,24.93,26.34
2024-09-06,ZTS,22.6,25.68,26.88
2024-09-09,ZTS,22.3,25.64,26.05
2024-09-10,ZTS,23.02,26.68,26.86
2024-09-11,ZTS,22.67,26.3,25.91
2024-09-12,ZTS,22.2,26.35,26.21
2024-09-13,ZTS,21.24,26.04,25.5
2024-09-16,ZTS,21.55,27.3,26.04
2024-09-17,ZTS,21.56,27.43,26.12
2024-09-18,ZTS,20.48,26.58,25.58
2024-09-19,ZTS,20.5,26.53,25.19
2024-09-20,ZTS,19.95,26.3,24.91
2024-09-23,ZTS,20.84,26.02,25.32
2024-09-24,ZTS,21.11,26.17,24.9
2024-09-25,ZTS,21.6,26.34,24.7
2024-09-26,ZTS,21.98,26.45,24.87
2024-09-27,ZTS,22.05,26.55,24.85
2024-09-30,ZTS,23.81,27.06,25.1
2024-10-01,ZTS,25.54,28.2,26.2
2024-10-02,ZTS,25.04,27.91,26.15
2024-10-03,ZTS,28.12,29.78,26.98
2024-10-04,ZTS,27.6,28.55,26.09
