ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AAPL,2006-01-03,2.24,2.24,2.17,2.17,962303483,74.75,74.75,72.25,72.38,28836100,2026-02-13T03:45:45Z
AAPL,2006-01-04,2.25,2.28,2.23,2.25,740022038,74.97,75.98,74.5,75.13,22175000,2026-02-13T03:45:45Z
AAPL,2006-01-05,2.23,2.24,2.21,2.24,535835161,74.38,74.9,73.75,74.83,16056500,2026-02-13T03:45:45Z
AAPL,2006-01-06,2.29,2.3,2.23,2.25,839710313,76.3,76.7,74.55,75.25,25162700,2026-02-13T03:45:45Z
AAPL,2006-01-09,2.28,2.31,2.27,2.3,805025783,76.05,77.2,75.74,76.73,24123000,2026-02-13T03:45:45Z
AAPL,2006-01-10,2.42,2.45,2.27,2.29,2147483647,80.86,81.89,75.83,76.25,81441104,2026-02-13T03:45:45Z
AAPL,2006-01-11,2.51,2.54,2.48,2.51,1780838017,83.9,84.8,82.59,83.84,53364100,2026-02-13T03:45:45Z
AAPL,2006-01-12,2.53,2.59,2.51,2.55,1526542256,84.29,86.4,83.62,85.05,45743100,2026-02-13T03:45:45Z
AAPL,2006-01-13,2.56,2.58,2.54,2.55,925589510,85.59,86.01,84.6,84.99,27736200,2026-02-13T03:45:45Z
AAPL,2006-01-17,2.54,2.59,2.51,2.57,997412190,84.71,86.38,83.87,85.7,29887800,2026-02-13T03:45:45Z
AAPL,2006-01-18,2.47,2.52,2.45,2.49,1445836412,82.49,84.05,81.85,83.08,43325600,2026-02-13T03:45:45Z
AAPL,2006-01-19,2.37,2.45,2.36,2.44,2021855903,79.04,81.66,78.74,81.25,60585700,2026-02-13T03:45:45Z
AAPL,2006-01-20,2.28,2.4,2.27,2.38,1356948589,76.09,80.04,75.83,79.28,40662100,2026-02-13T03:45:45Z
AAPL,2006-01-23,2.33,2.38,2.28,2.28,1263080412,77.67,79.56,76,76.1,37848900,2026-02-13T03:45:45Z
AAPL,2006-01-24,2.28,2.38,2.27,2.36,1361838110,76.04,79.42,75.77,78.76,40808800,2026-02-13T03:45:45Z
AAPL,2006-01-25,2.22,2.32,2.19,2.32,1520847922,74.2,77.5,73.25,77.39,45574200,2026-02-13T03:45:45Z
AAPL,2006-01-26,2.17,2.26,2.15,2.23,1409229050,72.33,75.43,71.93,74.53,42228400,2026-02-13T03:45:45Z
AAPL,2006-01-27,2.16,2.21,2.13,2.19,1137492511,72.03,73.6,71.1,72.95,34085300,2026-02-13T03:45:45Z
AAPL,2006-01-30,2.25,2.29,2.12,2.13,1666703492,75,76.6,70.87,71.17,49942800,2026-02-13T03:45:45Z
AAPL,2006-01-31,2.26,2.29,2.21,2.26,1088805172,75.51,76.34,73.75,75.5,32626500,2026-02-13T03:45:45Z
AAPL,2006-02-01,2.26,2.29,2.24,2.25,621363768,75.42,76.46,74.64,74.95,18619300,2026-02-13T03:45:45Z
AAPL,2006-02-02,2.16,2.26,2.16,2.25,843347931,72.1,75.36,72.05,75.1,25271200,2026-02-13T03:45:45Z
AAPL,2006-02-03,2.15,2.18,2.13,2.17,824927505,71.85,72.79,71.04,72.24,24720000,2026-02-13T03:45:45Z
AAPL,2006-02-06,2.02,2.17,2,2.16,1969209678,67.3,72.51,66.74,72.02,59008300,2026-02-13T03:45:45Z
AAPL,2006-02-07,2.03,2.08,2,2.05,1655733918,67.6,69.48,66.68,68.27,49615400,2026-02-13T03:45:45Z
AAPL,2006-02-08,2.06,2.07,1.98,2.05,1136160807,68.81,69.08,66,68.49,34045200,2026-02-13T03:45:45Z
AAPL,2006-02-09,1.95,2.08,1.93,2.07,1370869467,64.95,69.23,64.53,69.1,41078300,2026-02-13T03:45:45Z
AAPL,2006-02-10,2.02,2.03,1.89,1.95,2098168045,67.31,67.67,62.9,65.18,62874100,2026-02-13T03:45:45Z
AAPL,2006-02-13,1.94,2,1.94,2,1053146306,64.71,66.75,64.64,66.63,31558200,2026-02-13T03:45:45Z
AAPL,2006-02-14,2.03,2.04,1.95,1.95,1383861100,67.65,68.1,65,65.1,41468300,2026-02-13T03:45:45Z
AAPL,2006-02-15,2.07,2.09,2,2.01,1382573833,69.22,69.62,66.75,67.16,41430000,2026-02-13T03:45:45Z
AAPL,2006-02-16,2.11,2.13,2.08,2.1,1136951438,70.57,71.01,69.48,69.91,34069300,2026-02-13T03:45:45Z
AAPL,2006-02-17,2.11,2.12,2.09,2.11,686502861,70.29,70.89,69.61,70.3,20571300,2026-02-13T03:45:45Z
AAPL,2006-02-21,2.07,2.12,2.06,2.12,929353305,69.08,70.8,68.68,70.59,27848800,2026-02-13T03:45:45Z
AAPL,2006-02-22,2.14,2.15,2.04,2.07,1166226331,71.32,71.67,68,69,34946500,2026-02-13T03:45:45Z
AAPL,2006-02-23,2.15,2.19,2.14,2.15,1022026849,71.75,73,71.43,71.79,30625200,2026-02-13T03:45:45Z
AAPL,2006-02-24,2.14,2.18,2.13,2.16,637379158,71.46,72.89,71.2,72.14,19099400,2026-02-13T03:45:45Z
AAPL,2006-02-27,2.13,2.16,2.12,2.16,943191994,70.99,72.12,70.65,71.99,28263400,2026-02-13T03:45:45Z
AAPL,2006-02-28,2.05,2.17,2.04,2.15,1510628301,68.49,72.4,68.1,71.58,45267600,2026-02-13T03:45:45Z
AAPL,2006-03-01,2.07,2.08,2.04,2.06,909524809,69.1,69.49,68.02,68.84,27255000,2026-02-13T03:45:45Z
AAPL,2006-03-02,2.09,2.1,2.06,2.07,745608658,69.61,69.99,68.67,68.99,22342300,2026-02-13T03:45:45Z
AAPL,2006-03-03,2.03,2.1,2.02,2.08,879355784,67.72,69.91,67.53,69.4,26350500,2026-02-13T03:45:45Z
AAPL,2006-03-06,1.96,2.03,1.95,2.03,1088498680,65.48,67.72,64.94,67.69,32618000,2026-02-13T03:45:45Z
AAPL,2006-03-07,1.99,2,1.95,1.97,1040489974,66.31,66.9,65.08,65.76,31178800,2026-02-13T03:45:45Z
AAPL,2006-03-08,1.97,2.01,1.96,1.99,778825981,65.66,67.2,65.35,66.29,23337500,2026-02-13T03:45:45Z
AAPL,2006-03-09,1.92,1.99,1.91,1.98,953784700,63.93,66.47,63.81,65.98,28580900,2026-02-13T03:45:45Z
AAPL,2006-03-10,1.89,1.93,1.87,1.92,1243587585,63.19,64.49,62.45,64.05,37264100,2026-02-13T03:45:45Z
AAPL,2006-03-13,1.97,1.99,1.94,1.95,1026685417,65.68,66.28,64.79,65.05,30764800,2026-02-13T03:45:45Z
AAPL,2006-03-14,2.02,2.02,1.96,1.97,765666435,67.32,67.32,65.5,65.77,22943700,2026-02-13T03:45:45Z
AAPL,2006-03-15,1.98,2.04,1.96,2.03,1063459967,66.23,68.04,65.52,67.71,31867900,2026-02-13T03:45:45Z
AAPL,2006-03-16,1.93,2,1.93,2,893841342,64.31,66.9,64.3,66.85,26784500,2026-02-13T03:45:45Z
AAPL,2006-03-17,1.94,1.96,1.92,1.94,969385227,64.66,65.54,64.11,64.75,29048400,2026-02-13T03:45:45Z
AAPL,2006-03-20,1.92,1.96,1.91,1.95,721763856,63.99,65.46,63.87,65.22,21627700,2026-02-13T03:45:45Z
AAPL,2006-03-21,1.85,1.93,1.84,1.93,1603439014,61.81,64.34,61.39,64.29,48048700,2026-02-13T03:45:45Z
AAPL,2006-03-22,1.85,1.9,1.84,1.86,1604724736,61.67,63.25,61.27,62.16,48087100,2026-02-13T03:45:45Z
