ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
ABBV,2013-01-02,20.73,20.9,20.13,20.61,23323267,35.12,35.4,34.1,34.92,13767900,2026-01-17T03:44:31Z
ABBV,2013-01-03,20.56,20.66,20.16,20.66,28356625,34.83,35,34.16,35,16739200,2026-01-17T03:44:31Z
ABBV,2013-01-04,20.3,20.6,20.22,20.44,36205832,34.39,34.89,34.25,34.62,21372600,2026-01-17T03:44:31Z
ABBV,2013-01-07,20.34,20.93,20.16,20.16,30318263,34.46,35.45,34.15,34.15,17897100,2026-01-17T03:44:31Z
ABBV,2013-01-08,19.9,20.45,19.69,20.24,30260956,33.71,34.64,33.36,34.29,17863300,2026-01-17T03:44:31Z
ABBV,2013-01-09,20.01,20.04,19.84,19.84,31848705,33.9,33.95,33.61,33.61,18800600,2026-01-17T03:44:31Z
ABBV,2013-01-10,20.07,20.07,19.68,19.68,26529674,34,34,33.33,33.34,15660700,2026-01-17T03:44:31Z
ABBV,2013-01-11,20.22,20.25,19.92,20.06,18735538,33.85,33.9,33.35,33.59,11191400,2026-01-17T03:44:31Z
ABBV,2013-01-14,20.36,20.46,20.19,20.32,19394263,34.09,34.25,33.8,34.01,11584900,2026-01-17T03:44:31Z
ABBV,2013-01-15,20.67,20.74,20.14,20.14,21834470,34.6,34.72,33.71,33.71,13042500,2026-01-17T03:44:31Z
ABBV,2013-01-16,21.23,21.23,20.58,20.65,27643766,35.54,35.54,34.45,34.57,16512600,2026-01-17T03:44:31Z
ABBV,2013-01-17,21.75,21.92,21.36,21.36,24150870,36.42,36.7,35.75,35.75,14426200,2026-01-17T03:44:31Z
ABBV,2013-01-18,22.29,22.29,21.53,21.76,29872774,37.32,37.32,36.04,36.43,17844100,2026-01-17T03:44:31Z
ABBV,2013-01-22,21.75,22.25,21.46,22.09,26466817,36.42,37.25,35.93,36.98,15809600,2026-01-17T03:44:31Z
ABBV,2013-01-23,22.58,22.6,21.8,22.05,18384628,37.8,37.84,36.5,36.91,10981800,2026-01-17T03:44:31Z
ABBV,2013-01-24,22.38,23.01,22.24,22.57,18963368,37.46,38.52,37.23,37.79,11327500,2026-01-17T03:44:31Z
ABBV,2013-01-25,22.46,22.6,21.89,22.41,14964129,37.6,37.84,36.64,37.52,8938600,2026-01-17T03:44:31Z
ABBV,2013-01-28,22.04,22.62,21.93,22.51,11953084,36.89,37.87,36.71,37.69,7140000,2026-01-17T03:44:31Z
ABBV,2013-01-29,22.29,22.38,21.65,21.93,14797371,37.31,37.46,36.25,36.71,8839000,2026-01-17T03:44:31Z
ABBV,2013-01-30,22.06,22.42,21.99,21.99,18151272,36.93,37.53,36.81,36.81,10842400,2026-01-17T03:44:31Z
ABBV,2013-01-31,21.92,22.06,21.66,22.01,17947652,36.69,36.93,36.27,36.84,10720800,2026-01-17T03:44:31Z
ABBV,2013-02-01,22.21,22.22,21.82,22.01,15950787,37.18,37.2,36.52,36.84,9528000,2026-01-17T03:44:31Z
