ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
ABT,2006-01-03,12.43,12.56,12.32,12.43,26342593,39.55,39.95,39.19,39.55,8280500,2026-01-17T03:44:33Z
ABT,2006-01-04,12.45,12.57,12.32,12.38,24932574,39.61,39.98,39.18,39.38,7837300,2026-01-17T03:44:33Z
ABT,2006-01-05,12.61,12.72,12.46,12.48,17660204,40.12,40.46,39.65,39.7,5551300,2026-01-17T03:44:33Z
ABT,2006-01-06,12.85,12.88,12.46,12.59,20956072,40.89,40.98,39.63,40.06,6587300,2026-01-17T03:44:33Z
ABT,2006-01-09,13.33,13.44,13.1,13.36,36063020,42.41,42.75,41.68,42.5,11336000,2026-01-17T03:44:33Z
ABT,2006-01-10,13.2,13.38,13.15,13.33,18368120,42,42.56,41.85,42.4,5773800,2026-01-17T03:44:33Z
ABT,2006-01-11,13.11,13.17,13.03,13.15,14643936,41.43,41.61,41.17,41.57,4633500,2026-01-17T03:44:33Z
ABT,2006-01-12,13.08,13.1,13.01,13.05,10680120,41.34,41.39,41.12,41.24,3379300,2026-01-17T03:44:33Z
ABT,2006-01-13,13.03,13.19,12.97,13.12,9149540,41.19,41.67,40.99,41.48,2895000,2026-01-17T03:44:33Z
ABT,2006-01-17,12.99,13.07,12.9,12.92,11988519,41.07,41.31,40.76,40.82,3793300,2026-01-17T03:44:33Z
ABT,2006-01-18,13.04,13.13,12.93,12.99,11429174,41.22,41.5,40.86,41.07,3616300,2026-01-17T03:44:33Z
ABT,2006-01-19,13.14,13.2,12.78,12.99,15936250,41.54,41.73,40.4,41.05,5042400,2026-01-17T03:44:33Z
ABT,2006-01-20,12.77,13.16,12.76,13.16,14904329,40.35,41.6,40.31,41.6,4715900,2026-01-17T03:44:33Z
ABT,2006-01-23,12.82,13.15,12.7,12.81,11998959,40.51,41.55,40.13,40.5,3796600,2026-01-17T03:44:33Z
ABT,2006-01-24,12.68,12.89,12.62,12.83,10202257,40.06,40.75,39.88,40.54,3228100,2026-01-17T03:44:33Z
ABT,2006-01-25,13.34,13.61,13.04,13.05,36282693,42.17,43,41.22,41.26,11480200,2026-01-17T03:44:33Z
ABT,2006-01-26,13.71,13.78,13.51,13.53,23864573,43.32,43.56,42.7,42.75,7551000,2026-01-17T03:44:33Z
ABT,2006-01-27,13.61,13.88,13.55,13.86,18406538,43,43.85,42.83,43.8,5824000,2026-01-17T03:44:33Z
ABT,2006-01-30,13.59,13.68,13.37,13.43,16146074,42.94,43.24,42.26,42.45,5108800,2026-01-17T03:44:33Z
ABT,2006-01-31,13.65,13.66,13.29,13.37,20200992,43.15,43.18,42,42.25,6391800,2026-01-17T03:44:33Z
ABT,2006-02-01,13.64,13.69,13.52,13.53,20295459,43.1,43.27,42.73,42.75,6421700,2026-01-17T03:44:33Z
ABT,2006-02-02,13.42,13.6,13.42,13.54,17628092,42.42,42.99,42.41,42.8,5577700,2026-01-17T03:44:33Z
ABT,2006-02-03,13.44,13.6,13.32,13.32,18353666,42.49,42.98,42.1,42.1,5807300,2026-01-17T03:44:33Z
ABT,2006-02-06,13.42,13.49,13.33,13.38,14641142,42.42,42.64,42.13,42.29,4632600,2026-01-17T03:44:33Z
ABT,2006-02-07,13.32,13.41,13.22,13.35,12639004,42.11,42.37,41.78,42.2,3999100,2026-01-17T03:44:33Z
ABT,2006-02-08,13.31,13.45,13.19,13.37,11554632,42.06,42.5,41.7,42.25,3656000,2026-01-17T03:44:33Z
ABT,2006-02-09,13.34,13.55,13.23,13.35,15390452,42.15,42.84,41.8,42.2,4869700,2026-01-17T03:44:33Z
ABT,2006-02-10,13.44,13.48,13.3,13.38,9480444,42.47,42.62,42.02,42.3,2999700,2026-01-17T03:44:33Z
ABT,2006-02-13,13.55,13.59,13.38,13.48,12653464,42.83,42.95,42.3,42.62,4003700,2026-01-17T03:44:33Z
ABT,2006-02-14,13.84,13.88,13.58,13.6,19573665,43.73,43.86,42.93,42.99,6193300,2026-01-17T03:44:33Z
ABT,2006-02-15,13.97,13.99,13.72,13.78,15444520,44.15,44.23,43.37,43.54,4886800,2026-01-17T03:44:33Z
ABT,2006-02-16,14.04,14.04,13.78,13.92,14625588,44.36,44.36,43.56,44,4627700,2026-01-17T03:44:33Z
ABT,2006-02-17,14.03,14.08,13.86,13.97,14400639,44.34,44.5,43.8,44.15,4556500,2026-01-17T03:44:33Z
ABT,2006-02-21,13.92,14.02,13.77,14,12481569,43.99,44.31,43.53,44.25,3949300,2026-01-17T03:44:33Z
ABT,2006-02-22,13.89,14.04,13.83,13.93,14265667,43.9,44.38,43.72,44.01,4513800,2026-01-17T03:44:33Z
ABT,2006-02-23,13.74,13.88,13.7,13.84,14936933,43.43,43.85,43.3,43.75,4726200,2026-01-17T03:44:33Z
ABT,2006-02-24,13.91,14,13.7,13.73,13084939,43.95,44.25,43.3,43.41,4140200,2026-01-17T03:44:33Z
ABT,2006-02-27,14.06,14.18,13.87,13.87,13199352,44.45,44.81,43.83,43.84,4176400,2026-01-17T03:44:33Z
ABT,2006-02-28,13.98,14.09,13.86,13.94,16815516,44.18,44.52,43.8,44.07,5320600,2026-01-17T03:44:33Z
ABT,2006-03-01,13.92,13.98,13.74,13.98,17453228,44,44.2,43.42,44.18,5522400,2026-01-17T03:44:33Z
ABT,2006-03-02,13.74,13.88,13.62,13.86,17993361,43.44,43.86,43.03,43.8,5693300,2026-01-17T03:44:33Z
ABT,2006-03-03,13.85,14.01,13.69,13.71,10385281,43.78,44.29,43.27,43.32,3286000,2026-01-17T03:44:33Z
ABT,2006-03-06,13.82,13.96,13.78,13.86,10707617,43.68,44.13,43.56,43.8,3388000,2026-01-17T03:44:33Z
ABT,2006-03-07,13.77,13.87,13.61,13.76,11693711,43.53,43.82,43.02,43.49,3700000,2026-01-17T03:44:33Z
ABT,2006-03-08,13.76,13.84,13.72,13.75,10306252,43.48,43.75,43.35,43.45,3261000,2026-01-17T03:44:33Z
ABT,2006-03-09,13.67,13.79,13.61,13.76,20077668,43.19,43.57,43,43.48,6352800,2026-01-17T03:44:33Z
ABT,2006-03-10,13.9,13.91,13.61,13.67,10614097,43.92,43.97,43,43.19,3358400,2026-01-17T03:44:33Z
ABT,2006-03-13,14.22,14.42,14.13,14.17,25519105,44.93,45.58,44.65,44.78,8074500,2026-01-17T03:44:33Z
ABT,2006-03-14,14.29,14.3,14.1,14.11,17719701,45.16,45.2,44.57,44.6,5606700,2026-01-17T03:44:33Z
ABT,2006-03-15,14.32,14.36,14.08,14.24,12381993,45.25,45.39,44.5,45,3917800,2026-01-17T03:44:33Z
ABT,2006-03-16,14.24,14.27,14.2,14.25,11236015,45,45.1,44.88,45.05,3555200,2026-01-17T03:44:33Z
ABT,2006-03-17,14.3,14.39,14.21,14.3,15885090,45.18,45.47,44.92,45.2,5026200,2026-01-17T03:44:33Z
ABT,2006-03-20,14,14.23,13.97,14.21,17600510,44.25,44.96,44.16,44.9,5569000,2026-01-17T03:44:33Z
ABT,2006-03-21,13.9,14.1,13.83,14.07,12575731,43.94,44.56,43.7,44.47,3979100,2026-01-17T03:44:33Z
ABT,2006-03-22,13.95,13.98,13.83,13.92,14697366,44.1,44.2,43.72,43.98,4650400,2026-01-17T03:44:33Z
ABT,2006-03-23,13.88,13.96,13.66,13.86,13614585,43.88,44.12,43.16,43.8,4307800,2026-01-17T03:44:33Z
ABT,2006-03-24,13.88,13.92,13.73,13.83,19012681,43.87,43.98,43.38,43.7,6015800,2026-01-17T03:44:33Z
ABT,2006-03-27,13.75,14.11,13.68,14.11,19076168,43.46,44.6,43.24,44.6,6035900,2026-01-17T03:44:33Z
ABT,2006-03-28,13.59,13.73,13.54,13.68,18923826,42.96,43.38,42.79,43.23,5987700,2026-01-17T03:44:33Z
ABT,2006-03-29,13.58,13.71,13.49,13.62,12544499,42.92,43.34,42.63,43.03,3969200,2026-01-17T03:44:33Z
ABT,2006-03-30,13.49,13.69,13.41,13.57,12958840,42.64,43.28,42.39,42.9,4100300,2026-01-17T03:44:33Z
ABT,2006-03-31,13.44,13.59,13.39,13.49,12761638,42.47,42.96,42.32,42.64,4037900,2026-01-17T03:44:33Z
ABT,2006-04-03,13.57,13.64,13.39,13.39,15374975,42.9,43.1,42.32,42.32,4864800,2026-01-17T03:44:33Z
ABT,2006-04-04,13.48,13.6,13.42,13.59,11951900,42.59,42.99,42.41,42.95,3781700,2026-01-17T03:44:33Z
ABT,2006-04-05,13.5,13.56,13.33,13.44,19491094,42.66,42.85,42.12,42.49,6167200,2026-01-17T03:44:33Z
ABT,2006-04-06,13.56,13.6,13.46,13.5,19267400,42.87,42.98,42.54,42.66,6096400,2026-01-17T03:44:33Z
ABT,2006-04-07,13.32,13.6,13.3,13.56,11255014,42.09,42.99,42.05,42.87,3561200,2026-01-17T03:44:33Z
ABT,2006-04-10,13.35,13.41,13.26,13.32,11651948,42.18,42.39,41.92,42.11,3686800,2026-01-17T03:44:33Z
ABT,2006-04-11,13.21,13.44,13.08,13.39,18985416,41.45,42.17,41.05,42.01,6049500,2026-01-17T03:44:33Z
