ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AMAT,2006-01-03,13.33,13.38,12.83,13.12,23552608,18.33,18.39,17.64,18.04,17129800,2026-02-21T03:45:26Z
AMAT,2006-01-04,13.45,13.52,13.24,13.35,23418943,18.49,18.59,18.21,18.35,17032500,2026-02-21T03:45:26Z
AMAT,2006-01-05,13.6,13.64,13.43,13.43,25274322,18.7,18.76,18.46,18.46,18382000,2026-02-21T03:45:26Z
AMAT,2006-01-06,14.09,14.14,13.67,13.75,37600437,19.37,19.44,18.79,18.9,27346600,2026-02-21T03:45:26Z
AMAT,2006-01-09,14.2,14.25,14.05,14.09,25711984,19.52,19.59,19.32,19.37,18700200,2026-02-21T03:45:26Z
AMAT,2006-01-10,14.39,14.43,14.13,14.18,36567612,19.79,19.84,19.43,19.49,26595500,2026-02-21T03:45:26Z
AMAT,2006-01-11,15.02,15.11,14.31,14.47,65494901,20.65,20.77,19.67,19.89,47634300,2026-02-21T03:45:26Z
AMAT,2006-01-12,15.14,15.32,14.74,14.76,67471440,20.82,21.06,20.26,20.3,49071700,2026-02-21T03:45:26Z
AMAT,2006-01-13,14.66,14.84,14.5,14.84,59890943,20.15,20.41,19.93,20.4,43558400,2026-02-21T03:45:26Z
AMAT,2006-01-17,14.37,14.38,14.12,14.33,46740289,19.76,19.77,19.41,19.7,33994100,2026-02-21T03:45:26Z
AMAT,2006-01-18,14.36,14.69,14.2,14.34,62501472,19.74,20.2,19.53,19.72,45457000,2026-02-21T03:45:26Z
AMAT,2006-01-19,14.54,14.87,14.42,14.74,62483957,19.99,20.44,19.82,20.27,45444500,2026-02-21T03:45:26Z
AMAT,2006-01-20,13.87,14.55,13.82,14.47,50669088,19.07,20,19,19.89,36851600,2026-02-21T03:45:26Z
AMAT,2006-01-23,13.8,14.04,13.75,13.98,35589579,18.98,19.31,18.91,19.22,25884200,2026-02-21T03:45:26Z
AMAT,2006-01-24,13.8,14.07,13.64,13.83,43690532,18.98,19.34,18.75,19.02,31776000,2026-02-21T03:45:26Z
AMAT,2006-01-25,13.8,13.97,13.67,13.95,36026747,18.97,19.21,18.79,19.18,26202100,2026-02-21T03:45:26Z
AMAT,2006-01-26,14.35,14.36,13.84,14,57163182,19.73,19.75,19.03,19.25,41574700,2026-02-21T03:45:26Z
AMAT,2006-01-27,14.36,14.55,14.18,14.52,41765237,19.75,20,19.49,19.97,30375700,2026-02-21T03:45:26Z
AMAT,2006-01-30,14.24,14.48,14.15,14.44,22603517,19.58,19.91,19.45,19.86,16439500,2026-02-21T03:45:26Z
