ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AMD,2006-01-03,32.4,32.58,30.88,31.02,16651000,32.4,32.58,30.88,31.02,16651000,2020-09-26T01:04:37Z
AMD,2006-01-04,32.56,33.1,32.45,32.5,11302400,32.56,33.1,32.45,32.5,11302400,2020-09-26T01:04:37Z
AMD,2006-01-05,33.68,33.94,32.51,32.51,13807600,33.68,33.94,32.51,32.51,13807600,2020-09-26T01:04:37Z
AMD,2006-01-06,33.78,34.25,32.95,33.9,13309700,33.78,34.25,32.95,33.9,13309700,2020-09-26T01:04:37Z
AMD,2006-01-09,33.25,33.98,33.12,33.75,9982600,33.25,33.98,33.12,33.75,9982600,2020-09-26T01:04:37Z
AMD,2006-01-10,34.93,34.97,32.91,33.24,16311900,34.93,34.97,32.91,33.24,16311900,2020-09-26T01:04:37Z
AMD,2006-01-11,36.27,36.47,35,35.05,15872400,36.27,36.47,35,35.05,15872400,2020-09-26T01:04:37Z
AMD,2006-01-12,35.35,37.46,34.4,36.38,25450200,35.35,37.46,34.4,36.38,25450200,2020-09-26T01:04:37Z
AMD,2006-01-13,34.13,34.85,33.22,34.19,23472000,34.13,34.85,33.22,34.19,23472000,2020-09-26T01:04:37Z
AMD,2006-01-17,32.86,33.12,32.15,32.46,21905600,32.86,33.12,32.15,32.46,21905600,2020-09-26T01:04:37Z
AMD,2006-01-18,34.15,34.38,32.33,32.6,32399800,34.15,34.38,32.33,32.6,32399800,2020-09-26T01:04:37Z
AMD,2006-01-19,37.13,38.4,36.5,38.14,44673400,37.13,38.4,36.5,38.14,44673400,2020-09-26T01:04:37Z
AMD,2006-01-20,35.7,36.8,35.25,36.6,26469500,35.7,36.8,35.25,36.6,26469500,2020-09-26T01:04:37Z
AMD,2006-01-23,35.47,36.3,34.67,35.85,12238000,35.47,36.3,34.67,35.85,12238000,2020-09-26T01:04:37Z
AMD,2006-01-24,36.77,36.79,35.17,35.61,27094300,36.77,36.79,35.17,35.61,27094300,2020-09-26T01:04:37Z
AMD,2006-01-25,38.38,38.38,36.82,37.2,19566300,38.38,38.38,36.82,37.2,19566300,2020-09-26T01:04:37Z
AMD,2006-01-26,40.41,40.64,38.76,38.82,31668100,40.41,40.64,38.76,38.82,31668100,2020-09-26T01:04:37Z
AMD,2006-01-27,39.85,40.79,39.36,40.64,14214800,39.85,40.79,39.36,40.64,14214800,2020-09-26T01:04:37Z
AMD,2006-01-30,41.4,41.65,39.61,39.62,14342200,41.4,41.65,39.61,39.62,14342200,2020-09-26T01:04:37Z
AMD,2006-01-31,41.8,42.01,40.49,41.05,15531200,41.8,42.01,40.49,41.05,15531200,2020-09-26T01:04:37Z
AMD,2006-02-01,42.1,42.18,40.52,41.3,15271100,42.1,42.18,40.52,41.3,15271100,2020-09-26T01:04:37Z
AMD,2006-02-02,41.02,42.42,40.62,41.98,15358300,41.02,42.42,40.62,41.98,15358300,2020-09-26T01:04:37Z
AMD,2006-02-03,39.54,41.1,39.44,41.06,16525500,39.54,41.1,39.44,41.06,16525500,2020-09-26T01:04:37Z
AMD,2006-02-06,41.22,41.23,39.84,40.1,11610800,41.22,41.23,39.84,40.1,11610800,2020-09-26T01:04:37Z
AMD,2006-02-07,41.01,41.27,40.05,41,11218800,41.01,41.27,40.05,41,11218800,2020-09-26T01:04:37Z
AMD,2006-02-08,40.86,41.65,40.17,41.35,10415400,40.86,41.65,40.17,41.35,10415400,2020-09-26T01:04:37Z
AMD,2006-02-09,40.06,42.09,39.91,41.1,12414300,40.06,42.09,39.91,41.1,12414300,2020-09-26T01:04:37Z
AMD,2006-02-10,40.1,40.55,39.17,40.1,10458100,40.1,40.55,39.17,40.1,10458100,2020-09-26T01:04:37Z
AMD,2006-02-13,38.96,39.9,38.65,39.88,10932200,38.96,39.9,38.65,39.88,10932200,2020-09-26T01:04:37Z
AMD,2006-02-14,40.22,40.31,38.32,39.3,14075100,40.22,40.31,38.32,39.3,14075100,2020-09-26T01:04:37Z
AMD,2006-02-15,40.24,40.47,39.5,40,9086900,40.24,40.47,39.5,40,9086900,2020-09-26T01:04:37Z
AMD,2006-02-16,41.74,41.82,40.25,40.59,11678200,41.74,41.82,40.25,40.59,11678200,2020-09-26T01:04:37Z
AMD,2006-02-17,40.33,41.06,39.73,40,21326400,40.33,41.06,39.73,40,21326400,2020-09-26T01:04:37Z
AMD,2006-02-21,40.05,41.1,39.92,40.58,13910500,40.05,41.1,39.92,40.58,13910500,2020-09-26T01:04:37Z
AMD,2006-02-22,40.8,40.99,39.37,39.95,13358000,40.8,40.99,39.37,39.95,13358000,2020-09-26T01:04:37Z
AMD,2006-02-23,40.39,41.2,40.3,40.51,11893200,40.39,41.2,40.3,40.51,11893200,2020-09-26T01:04:37Z
AMD,2006-02-24,40.54,40.99,40.09,40.65,8326800,40.54,40.99,40.09,40.65,8326800,2020-09-26T01:04:37Z
AMD,2006-02-27,40.62,41.15,40.57,40.7,6902800,40.62,41.15,40.57,40.7,6902800,2020-09-26T01:04:37Z
AMD,2006-02-28,38.67,40.9,38.62,40.79,18217300,38.67,40.9,38.62,40.79,18217300,2020-09-26T01:04:37Z
AMD,2006-03-01,40.07,40.37,39,39,14453300,40.07,40.37,39,39,14453300,2020-09-26T01:04:37Z
AMD,2006-03-02,41.33,41.34,40.35,40.7,14451900,41.33,41.34,40.35,40.7,14451900,2020-09-26T01:04:37Z
AMD,2006-03-03,39.51,42.7,39.04,41.76,38671800,39.51,42.7,39.04,41.76,38671800,2020-09-26T01:04:37Z
AMD,2006-03-06,39.39,40.25,38.43,39.9,18729500,39.39,40.25,38.43,39.9,18729500,2020-09-26T01:04:37Z
AMD,2006-03-07,38.27,39.58,38.16,39.29,15672900,38.27,39.58,38.16,39.29,15672900,2020-09-26T01:04:37Z
AMD,2006-03-08,37.09,37.89,36.11,37.88,23828100,37.09,37.89,36.11,37.88,23828100,2020-09-26T01:04:37Z
AMD,2006-03-09,36.21,37.83,36.19,37.12,14345700,36.21,37.83,36.19,37.12,14345700,2020-09-26T01:04:37Z
AMD,2006-03-10,36.63,37.42,35.6,36,17870000,36.63,37.42,35.6,36,17870000,2020-09-26T01:04:37Z
AMD,2006-03-13,34,36,33.76,35.5,33837000,34,36,33.76,35.5,33837000,2020-09-26T01:04:37Z
AMD,2006-03-14,34.99,35.09,32.59,33.7,42294700,34.99,35.09,32.59,33.7,42294700,2020-09-26T01:04:37Z
AMD,2006-03-15,35.12,35.59,34.22,35.17,22690700,35.12,35.59,34.22,35.17,22690700,2020-09-26T01:04:37Z
AMD,2006-03-16,34.08,35.63,33.99,35.5,13238900,34.08,35.63,33.99,35.5,13238900,2020-09-26T01:04:37Z
AMD,2006-03-17,33.95,34.54,33,34.01,17731700,33.95,34.54,33,34.01,17731700,2020-09-26T01:04:37Z
AMD,2006-03-20,34.15,34.57,33.72,33.94,10170500,34.15,34.57,33.72,33.94,10170500,2020-09-26T01:04:37Z
AMD,2006-03-21,34.44,38,33.84,34.29,14946700,34.44,38,33.84,34.29,14946700,2020-09-26T01:04:37Z
AMD,2006-03-22,34.37,34.71,33.52,33.9,21188100,34.37,34.71,33.52,33.9,21188100,2020-09-26T01:04:37Z
AMD,2006-03-23,34.75,36.13,34.74,35.05,22824800,34.75,36.13,34.74,35.05,22824800,2020-09-26T01:04:37Z
AMD,2006-03-24,36.13,36.16,34.75,34.9,11717200,36.13,36.16,34.75,34.9,11717200,2020-09-26T01:04:37Z
AMD,2006-03-27,35.33,36.08,35.18,35.96,12061900,35.33,36.08,35.18,35.96,12061900,2020-09-26T01:04:37Z
AMD,2006-03-28,34.09,35.25,33.6,35.25,15608900,34.09,35.25,33.6,35.25,15608900,2020-09-26T01:04:37Z
