ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AMGN,2006-01-03,54.35,54.95,52.83,53.68,13475239,80.36,81.24,78.1,79.36,9114500,2026-02-14T03:45:32Z
AMGN,2006-01-04,54.1,54.45,53.79,54.24,10290674,79.98,80.5,79.52,80.19,6960500,2026-02-14T03:45:32Z
AMGN,2006-01-05,53.31,54.36,53.26,54.05,10474589,78.82,80.36,78.74,79.91,7084900,2026-02-14T03:45:32Z
AMGN,2006-01-06,52.83,53.92,52.68,53.68,12800173,78.1,79.72,77.89,79.36,8657900,2026-02-14T03:45:32Z
AMGN,2006-01-09,53.42,53.5,52.83,52.92,12192540,78.98,79.09,78.11,78.24,8246900,2026-02-14T03:45:32Z
AMGN,2006-01-10,52.74,53.4,52.49,53.17,11684108,77.98,78.95,77.6,78.61,7903000,2026-02-14T03:45:32Z
AMGN,2006-01-11,52.63,53.14,52.33,52.7,10790689,77.81,78.57,77.37,77.92,7298700,2026-02-14T03:45:32Z
AMGN,2006-01-12,52.22,52.42,51.55,52.18,11633844,77.2,77.5,76.21,77.15,7869000,2026-02-14T03:45:32Z
AMGN,2006-01-13,52.49,53.1,52.16,52.39,9001326,77.6,78.51,77.12,77.46,6088400,2026-02-14T03:45:32Z
AMGN,2006-01-17,52.91,53.03,52.14,52.33,7051569,78.22,78.4,77.09,77.37,4769600,2026-02-14T03:45:32Z
AMGN,2006-01-18,53.32,53.54,52.54,52.96,10350561,78.83,79.15,77.68,78.3,7001000,2026-02-14T03:45:32Z
AMGN,2006-01-19,53.02,53.23,52.35,53.23,10267618,78.39,78.7,77.4,78.7,6944900,2026-02-14T03:45:32Z
AMGN,2006-01-20,51.19,53.36,51.06,53.06,14354172,75.68,78.89,75.49,78.45,9709000,2026-02-14T03:45:32Z
AMGN,2006-01-23,50.66,51.41,49.73,51.39,24009130,74.9,76,73.52,75.97,16239500,2026-02-14T03:45:32Z
AMGN,2006-01-24,50.69,51.3,50.61,50.79,13714444,74.94,75.85,74.82,75.09,9276300,2026-02-14T03:45:32Z
AMGN,2006-01-25,51.05,51.59,50.71,51.18,12272518,75.47,76.27,74.97,75.67,8301000,2026-02-14T03:45:32Z
AMGN,2006-01-26,48.63,50.68,48.32,50.29,50795102,71.9,74.93,71.44,74.35,34357200,2026-02-14T03:45:32Z
AMGN,2006-01-27,48.23,48.59,47.79,48.39,32053447,71.31,71.84,70.65,71.54,21680600,2026-02-14T03:45:32Z
AMGN,2006-01-30,48.92,49.61,48.52,48.53,23590887,72.32,73.34,71.73,71.75,15956600,2026-02-14T03:45:32Z
