ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AMT,2006-01-03,19.96,19.97,19.49,19.94,4996994,27.3,27.31,26.66,27.27,3653700,2026-01-01T03:44:36Z
AMT,2006-01-04,20.58,20.62,19.9,19.9,4829067,28.14,28.2,27.22,27.22,3530900,2026-01-01T03:44:36Z
AMT,2006-01-05,20.51,20.69,20.46,20.62,3300844,28.05,28.3,27.98,28.2,2413500,2026-01-01T03:44:36Z
AMT,2006-01-06,20.82,20.84,20.58,20.68,2754602,28.48,28.5,28.15,28.29,2014100,2026-01-01T03:44:36Z
AMT,2006-01-09,21.28,21.34,21.06,21.09,5637062,29.1,29.18,28.8,28.85,4121700,2026-01-01T03:44:36Z
AMT,2006-01-10,21.25,21.36,21.01,21.29,6327744,29.06,29.21,28.74,29.11,4626700,2026-01-01T03:44:36Z
AMT,2006-01-11,21.61,21.65,21.3,21.31,4979500,29.55,29.61,29.13,29.14,3640900,2026-01-01T03:44:36Z
AMT,2006-01-12,21.29,21.68,21.17,21.68,3600902,29.12,29.65,28.95,29.65,2632900,2026-01-01T03:44:36Z
AMT,2006-01-13,21.09,21.42,21.01,21.29,2281659,28.85,29.29,28.74,29.12,1668300,2026-01-01T03:44:36Z
AMT,2006-01-17,20.84,21.09,20.74,21.09,4600652,28.5,28.85,28.37,28.85,3363900,2026-01-01T03:44:36Z
AMT,2006-01-18,21.41,21.45,20.64,20.84,3846394,29.28,29.34,28.23,28.5,2812400,2026-01-01T03:44:36Z
AMT,2006-01-19,21.57,21.79,21.37,21.54,3335037,29.5,29.8,29.23,29.46,2438500,2026-01-01T03:44:36Z
AMT,2006-01-20,21.06,21.61,21.03,21.57,4184348,28.8,29.55,28.76,29.5,3059500,2026-01-01T03:44:36Z
AMT,2006-01-23,21.01,21.16,20.9,21.07,1988841,28.74,28.94,28.58,28.82,1454200,2026-01-01T03:44:36Z
AMT,2006-01-24,21.64,21.72,20.9,21.08,4638259,29.59,29.7,28.58,28.83,3391400,2026-01-01T03:44:36Z
AMT,2006-01-25,21.28,21.72,21.18,21.68,3794558,29.1,29.7,28.96,29.65,2774500,2026-01-01T03:44:36Z
AMT,2006-01-26,21.34,21.41,21.2,21.36,3111276,29.18,29.28,29,29.21,2274900,2026-01-01T03:44:36Z
AMT,2006-01-27,21.5,21.57,21.24,21.37,3743145,29.41,29.5,29.05,29.23,2736900,2026-01-01T03:44:36Z
AMT,2006-01-30,21.64,21.71,21.53,21.57,3111138,29.59,29.69,29.45,29.5,2274800,2026-01-01T03:44:36Z
AMT,2006-01-31,22.62,22.75,21.88,21.92,7082832,30.94,31.11,29.92,29.98,5178800,2026-01-01T03:44:36Z
AMT,2006-02-01,22.71,22.96,22.34,22.47,4507928,31.06,31.4,30.55,30.73,3296100,2026-01-01T03:44:36Z
AMT,2006-02-02,22.47,22.78,22.3,22.78,3141232,30.73,31.16,30.5,31.16,2296800,2026-01-01T03:44:36Z
AMT,2006-02-03,22.46,22.48,22.05,22.48,4773253,30.72,30.74,30.15,30.74,3490100,2026-01-01T03:44:36Z
AMT,2006-02-06,22.84,22.88,22.46,22.46,3872791,31.24,31.29,30.72,30.72,2831700,2026-01-01T03:44:36Z
AMT,2006-02-07,22.7,23.43,22.67,22.85,3797976,31.05,32.05,31,31.25,2777000,2026-01-01T03:44:36Z
AMT,2006-02-08,22.92,23.12,22.67,22.7,3371550,31.35,31.62,31.01,31.05,2465200,2026-01-01T03:44:36Z
AMT,2006-02-09,22.29,22.96,22.23,22.92,3882915,30.49,31.4,30.4,31.35,2839100,2026-01-01T03:44:36Z
AMT,2006-02-10,22.86,23.02,22.28,22.29,3505581,31.27,31.49,30.47,30.48,2563200,2026-01-01T03:44:36Z
AMT,2006-02-13,22.3,22.8,22.18,22.71,2174028,30.5,31.18,30.33,31.06,1589600,2026-01-01T03:44:36Z
AMT,2006-02-14,22.24,22.6,22.16,22.3,2771147,30.41,30.91,30.3,30.5,2026200,2026-01-01T03:44:36Z
AMT,2006-02-15,22.85,23,22.23,22.23,3021017,31.25,31.45,30.41,30.41,2208900,2026-01-01T03:44:36Z
AMT,2006-02-16,23.11,23.2,22.71,22.85,1658011,31.6,31.73,31.06,31.25,1212300,2026-01-01T03:44:36Z
AMT,2006-02-17,23,23.21,23,23.13,1431255,31.45,31.75,31.45,31.64,1046500,2026-01-01T03:44:36Z
AMT,2006-02-21,23.18,23.33,22.95,22.95,2692919,31.7,31.91,31.39,31.39,1969000,2026-01-01T03:44:36Z
AMT,2006-02-22,23.2,23.32,23.09,23.23,4214017,31.73,31.9,31.58,31.77,3081200,2026-01-01T03:44:36Z
AMT,2006-02-23,23.02,23.53,22.89,23.4,6529048,31.48,32.18,31.31,32,4773900,2026-01-01T03:44:36Z
AMT,2006-02-24,23.55,23.89,23.1,23.32,7286336,32.21,32.68,31.59,31.9,5327600,2026-01-01T03:44:36Z
AMT,2006-02-27,23.24,23.79,23.23,23.69,2645052,31.79,32.54,31.77,32.4,1934000,2026-01-01T03:44:36Z
AMT,2006-02-28,23.27,23.3,22.94,23.24,4082042,31.83,31.86,31.38,31.79,2984700,2026-01-01T03:44:36Z
AMT,2006-03-01,23.03,23.54,22.79,23.33,5177126,31.5,32.19,31.17,31.91,3785400,2026-01-01T03:44:36Z
AMT,2006-03-02,23.03,23.2,22.84,22.89,3113880,31.5,31.73,31.23,31.3,2276800,2026-01-01T03:44:36Z
AMT,2006-03-03,22.54,22.93,22.47,22.78,3188418,30.83,31.36,30.73,31.16,2331300,2026-01-01T03:44:36Z
AMT,2006-03-06,22.38,22.7,22.05,22.56,8308906,30.61,31.04,30.16,30.85,6075300,2026-01-01T03:44:36Z
AMT,2006-03-07,22,22.45,21.73,22.38,4104344,30.09,30.7,29.72,30.61,3001000,2026-01-01T03:44:36Z
AMT,2006-03-08,22.09,22.11,21.42,21.93,4809359,30.21,30.24,29.3,30,3516500,2026-01-01T03:44:36Z
AMT,2006-03-09,21.81,22.32,21.66,22.07,3868421,29.83,30.53,29.62,30.19,2828500,2026-01-01T03:44:36Z
AMT,2006-03-10,22.23,22.31,21.8,21.81,4090250,30.4,30.51,29.82,29.83,2990700,2026-01-01T03:44:36Z
AMT,2006-03-13,22.16,22.44,21.91,22.41,4342445,30.31,30.69,29.96,30.65,3175100,2026-01-01T03:44:36Z
AMT,2006-03-14,22.4,22.41,21.94,22.19,3847897,30.63,30.65,30.01,30.35,2813500,2026-01-01T03:44:36Z
AMT,2006-03-15,22.37,22.56,22.32,22.41,4131287,30.6,30.85,30.52,30.65,3020700,2026-01-01T03:44:36Z
AMT,2006-03-16,22.37,22.84,22.34,22.42,2950038,30.59,31.23,30.55,30.66,2157000,2026-01-01T03:44:36Z
AMT,2006-03-17,22.78,22.78,22.37,22.37,3615809,31.16,31.16,30.59,30.59,2643800,2026-01-01T03:44:36Z
AMT,2006-03-20,22.6,22.96,22.49,22.92,4128818,30.91,31.4,30.76,31.35,3018900,2026-01-01T03:44:36Z
AMT,2006-03-21,22.63,22.87,22.37,22.42,4833151,30.95,31.28,30.6,30.66,3533900,2026-01-01T03:44:36Z
AMT,2006-03-22,22.65,22.73,22.42,22.54,2470669,30.98,31.09,30.66,30.82,1806500,2026-01-01T03:44:36Z
AMT,2006-03-23,22.59,22.73,22.44,22.68,2357018,30.9,31.08,30.69,31.02,1723400,2026-01-01T03:44:36Z
AMT,2006-03-24,22.57,22.69,22.43,22.59,1698215,30.87,31.03,30.67,30.9,1241700,2026-01-01T03:44:36Z
AMT,2006-03-27,22.1,22.42,22.05,22.42,3412576,30.23,30.66,30.15,30.66,2495200,2026-01-01T03:44:36Z
AMT,2006-03-28,21.73,22.03,21.64,21.99,6196851,29.72,30.13,29.6,30.08,4531000,2026-01-01T03:44:36Z
AMT,2006-03-29,21.88,21.93,21.42,21.67,6824480,29.92,29.99,29.3,29.64,4989900,2026-01-01T03:44:36Z
AMT,2006-03-30,21.71,22.16,21.57,21.91,4272415,29.69,30.3,29.5,29.97,3123900,2026-01-01T03:44:36Z
AMT,2006-03-31,22.17,22.3,21.69,21.81,4786526,30.32,30.5,29.66,29.83,3499800,2026-01-01T03:44:36Z
AMT,2006-04-03,22.34,22.57,22.11,22.16,3887013,30.55,30.87,30.24,30.31,2842100,2026-01-01T03:44:36Z
AMT,2006-04-04,22.18,22.37,22.08,22.26,3220287,30.33,30.6,30.2,30.45,2354600,2026-01-01T03:44:36Z
AMT,2006-04-05,22.02,22.1,21.72,22.08,6577185,30.11,30.23,29.71,30.2,4809100,2026-01-01T03:44:36Z
AMT,2006-04-06,22.82,22.83,21.85,21.88,4769692,31.21,31.22,29.88,29.92,3487500,2026-01-01T03:44:36Z
AMT,2006-04-07,23.18,23.21,22.64,22.85,4573313,31.7,31.74,30.97,31.25,3343900,2026-01-01T03:44:36Z
AMT,2006-04-10,23.62,24.11,23,23.07,7279227,32.3,32.97,31.45,31.55,5322400,2026-01-01T03:44:36Z
AMT,2006-04-11,23.36,23.74,23.28,23.62,3694455,31.95,32.47,31.84,32.3,2701300,2026-01-01T03:44:36Z
AMT,2006-04-12,23.04,23.34,23.02,23.34,2533858,31.51,31.92,31.48,31.92,1852700,2026-01-01T03:44:36Z
AMT,2006-04-13,23.38,23.38,22.92,23.04,1406358,31.97,31.98,31.35,31.51,1028300,2026-01-01T03:44:36Z
AMT,2006-04-17,23.11,23.48,23.05,23.34,1500183,31.6,32.12,31.53,31.92,1096900,2026-01-01T03:44:36Z
AMT,2006-04-18,23.24,23.47,23.03,23.07,4224834,31.79,32.1,31.5,31.55,3089100,2026-01-01T03:44:36Z
AMT,2006-04-19,23.74,23.78,23.15,23.44,6777844,32.47,32.52,31.66,32.06,4955800,2026-01-01T03:44:36Z
AMT,2006-04-20,23.6,23.95,23.54,23.66,2858677,32.28,32.76,32.2,32.36,2090200,2026-01-01T03:44:36Z
AMT,2006-04-21,24.14,24.24,23.51,23.6,3975089,33.01,33.15,32.15,32.28,2906500,2026-01-01T03:44:36Z
AMT,2006-04-24,23.94,24.12,23.66,24.06,5483199,32.74,32.99,32.36,32.9,4009200,2026-01-01T03:44:36Z
AMT,2006-04-25,24.27,24.33,23.94,23.94,4090932,33.19,33.27,32.74,32.74,2991200,2026-01-01T03:44:36Z
AMT,2006-04-26,25.34,25.58,24.8,25.19,9028040,34.65,34.99,33.92,34.45,6601100,2026-01-01T03:44:36Z
AMT,2006-04-27,25.03,25.44,24.79,25.44,3961692,34.23,34.79,33.9,34.79,2896700,2026-01-01T03:44:36Z
AMT,2006-04-28,24.96,25.12,24.81,25.03,3691305,34.14,34.35,33.93,34.23,2699000,2026-01-01T03:44:36Z
AMT,2006-05-01,25.56,25.76,25.01,25.04,4868031,34.96,35.23,34.21,34.25,3559400,2026-01-01T03:44:36Z
AMT,2006-05-02,25.3,25.86,25.25,25.59,6693297,34.6,35.37,34.53,35,4894000,2026-01-01T03:44:36Z
AMT,2006-05-03,25.35,25.57,25.12,25.42,4621453,34.67,34.97,34.36,34.77,3379100,2026-01-01T03:44:36Z
AMT,2006-05-04,25.79,25.93,25.39,25.42,4707890,35.27,35.46,34.72,34.77,3442300,2026-01-01T03:44:36Z
AMT,2006-05-05,25.85,25.96,25.7,25.85,4423827,35.35,35.5,35.15,35.35,3234600,2026-01-01T03:44:36Z
AMT,2006-05-08,25.71,25.95,25.58,25.82,3786358,35.16,35.49,34.98,35.31,2768500,2026-01-01T03:44:36Z
