ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AVGO,2009-08-06,1.16,1.21,1.11,1.18,337788019,16.18,16.91,15.56,16.5,24198400,2025-12-25T03:44:34Z
AVGO,2009-08-07,1.18,1.2,1.15,1.16,34258714,16.43,16.76,16.03,16.15,2454200,2025-12-25T03:44:34Z
AVGO,2009-08-10,1.14,1.19,1.12,1.19,33792302,15.97,16.63,15.61,16.63,2420900,2025-12-25T03:44:34Z
AVGO,2009-08-11,1.12,1.15,1.11,1.15,32178917,15.67,16,15.5,15.98,2305300,2025-12-25T03:44:34Z
AVGO,2009-08-12,1.15,1.16,1.12,1.16,20257547,16,16.2,15.66,16.15,1451200,2025-12-25T03:44:34Z
AVGO,2009-08-13,1.19,1.2,1.15,1.15,16060031,16.55,16.72,16,16,1150500,2025-12-25T03:44:34Z
AVGO,2009-08-14,1.19,1.22,1.16,1.18,8901631,16.6,17,16.25,16.5,637700,2025-12-25T03:44:34Z
AVGO,2009-08-17,1.16,1.17,1.16,1.17,3549695,16.22,16.37,16.2,16.27,254300,2025-12-25T03:44:34Z
AVGO,2009-08-18,1.22,1.23,1.17,1.18,20192543,17.07,17.2,16.35,16.48,1446600,2025-12-25T03:44:34Z
AVGO,2009-08-19,1.28,1.28,1.2,1.21,28905137,17.89,17.94,16.8,16.84,2070700,2025-12-25T03:44:34Z
AVGO,2009-08-20,1.27,1.29,1.24,1.29,26270785,17.76,17.95,17.29,17.95,1882000,2025-12-25T03:44:34Z
AVGO,2009-08-21,1.28,1.29,1.26,1.27,12053556,17.82,17.97,17.58,17.79,863500,2025-12-25T03:44:34Z
AVGO,2009-08-24,1.25,1.28,1.24,1.25,14258793,17.5,17.85,17.3,17.52,1021500,2025-12-25T03:44:34Z
AVGO,2009-08-25,1.28,1.28,1.26,1.26,7407722,17.85,17.9,17.55,17.65,530700,2025-12-25T03:44:34Z
AVGO,2009-08-26,1.28,1.28,1.23,1.27,9889525,17.85,17.85,17.15,17.69,708500,2025-12-25T03:44:34Z
AVGO,2009-08-27,1.3,1.3,1.26,1.28,16207206,18.16,18.21,17.55,17.85,1161100,2025-12-25T03:44:34Z
AVGO,2009-08-28,1.32,1.36,1.29,1.3,18074972,18.47,19,18,18.1,1294900,2025-12-25T03:44:34Z
AVGO,2009-08-31,1.3,1.32,1.28,1.31,14024804,18.2,18.4,17.81,18.35,1004700,2025-12-25T03:44:34Z
AVGO,2009-09-01,1.28,1.32,1.21,1.31,19310049,17.85,18.44,16.94,18.25,1383400,2025-12-25T03:44:34Z
AVGO,2009-09-02,1.27,1.31,1.25,1.27,18052695,17.68,18.25,17.48,17.76,1293300,2025-12-25T03:44:34Z
AVGO,2009-09-03,1.25,1.29,1.22,1.29,51056010,17.45,17.97,17,17.97,3657600,2025-12-25T03:44:34Z
AVGO,2009-09-04,1.27,1.29,1.25,1.27,16171468,17.76,18,17.49,17.75,1158500,2025-12-25T03:44:34Z
AVGO,2009-09-08,1.27,1.28,1.25,1.27,8023627,17.7,17.93,17.45,17.76,574800,2025-12-25T03:44:34Z
AVGO,2009-09-09,1.24,1.28,1.23,1.28,7692669,17.26,17.85,17.22,17.85,551100,2025-12-25T03:44:34Z
AVGO,2009-09-10,1.22,1.25,1.21,1.22,5794067,17.05,17.46,16.95,17.01,415100,2025-12-25T03:44:34Z
AVGO,2009-09-11,1.21,1.24,1.19,1.22,8657054,16.88,17.33,16.54,17,620200,2025-12-25T03:44:34Z
AVGO,2009-09-14,1.19,1.21,1.17,1.19,22535010,16.65,16.9,16.31,16.64,1614400,2025-12-25T03:44:34Z
AVGO,2009-09-15,1.23,1.24,1.19,1.24,27736739,17.18,17.35,16.63,17.25,1987100,2025-12-25T03:44:34Z
AVGO,2009-09-16,1.26,1.27,1.23,1.25,28229343,17.58,17.75,17.11,17.4,2022300,2025-12-25T03:44:34Z
AVGO,2009-09-17,1.19,1.28,1.18,1.26,20188266,16.64,17.9,16.53,17.66,1446300,2025-12-25T03:44:34Z
AVGO,2009-09-18,1.16,1.22,1.16,1.19,12559676,16.2,17.02,16.18,16.57,899800,2025-12-25T03:44:34Z
AVGO,2009-09-21,1.19,1.19,1.14,1.17,7718017,16.61,16.63,15.87,16.28,552900,2025-12-25T03:44:34Z
AVGO,2009-09-22,1.24,1.24,1.21,1.22,15549845,17.25,17.37,16.82,16.96,1114000,2025-12-25T03:44:34Z
AVGO,2009-09-23,1.25,1.27,1.24,1.26,7401107,17.4,17.79,17.3,17.62,530200,2025-12-25T03:44:34Z
AVGO,2009-09-24,1.25,1.28,1.2,1.24,10869483,17.49,17.85,16.75,17.33,778700,2025-12-25T03:44:34Z
AVGO,2009-09-25,1.23,1.25,1.23,1.25,6538210,17.13,17.48,17.1,17.48,468400,2025-12-25T03:44:34Z
AVGO,2009-09-28,1.26,1.28,1.22,1.24,3259470,17.65,17.85,17.03,17.32,233500,2025-12-25T03:44:34Z
AVGO,2009-09-29,1.22,1.28,1.21,1.26,4977785,17.03,17.84,16.95,17.55,356600,2025-12-25T03:44:34Z
AVGO,2009-09-30,1.22,1.24,1.22,1.22,7153794,17.07,17.33,16.96,17,512500,2025-12-25T03:44:34Z
AVGO,2009-10-01,1.17,1.22,1.16,1.22,9218695,16.31,17.09,16.21,17,660400,2025-12-25T03:44:34Z
AVGO,2009-10-02,1.15,1.17,1.14,1.16,8786896,16.09,16.36,15.9,16.2,629500,2025-12-25T03:44:34Z
AVGO,2009-10-05,1.18,1.18,1.15,1.15,2635496,16.49,16.53,16,16.1,188800,2025-12-25T03:44:34Z
AVGO,2009-10-06,1.18,1.23,1.18,1.2,6550869,16.47,17.2,16.44,16.74,469300,2025-12-25T03:44:34Z
AVGO,2009-10-07,1.16,1.19,1.14,1.19,4070538,16.13,16.61,15.92,16.57,291600,2025-12-25T03:44:34Z
AVGO,2009-10-08,1.15,1.16,1.14,1.15,7778159,16.01,16.18,15.94,16.11,557200,2025-12-25T03:44:34Z
AVGO,2009-10-09,1.16,1.18,1.14,1.15,12150158,16.25,16.45,15.94,15.98,870400,2025-12-25T03:44:34Z
AVGO,2009-10-12,1.17,1.18,1.15,1.16,17988516,16.34,16.45,16.04,16.22,1288700,2025-12-25T03:44:34Z
AVGO,2009-10-13,1.18,1.19,1.16,1.16,7777837,16.53,16.67,16.15,16.19,557200,2025-12-25T03:44:34Z
AVGO,2009-10-14,1.21,1.22,1.19,1.21,9754732,16.86,17,16.54,16.84,698800,2025-12-25T03:44:34Z
AVGO,2009-10-15,1.23,1.29,1.23,1.25,29201174,17.16,17.95,17.1,17.4,2091900,2025-12-25T03:44:34Z
AVGO,2009-10-16,1.18,1.23,1.16,1.23,17640264,16.43,17.23,16.21,17.23,1263700,2025-12-25T03:44:34Z
AVGO,2009-10-19,1.16,1.19,1.15,1.18,29911526,16.24,16.64,16.06,16.46,2142800,2025-12-25T03:44:34Z
AVGO,2009-10-20,1.18,1.2,1.17,1.17,6824452,16.53,16.73,16.27,16.34,488900,2025-12-25T03:44:34Z
AVGO,2009-10-21,1.18,1.21,1.15,1.17,3262264,16.49,16.91,16.11,16.37,233700,2025-12-25T03:44:34Z
AVGO,2009-10-22,1.17,1.17,1.12,1.17,13725562,16.28,16.33,15.61,16.33,983300,2025-12-25T03:44:34Z
AVGO,2009-10-23,1.15,1.18,1.14,1.16,15829449,16.05,16.41,15.92,16.13,1134000,2025-12-25T03:44:34Z
AVGO,2009-10-26,1.13,1.16,1.13,1.14,2265449,15.84,16.12,15.81,15.91,162300,2025-12-25T03:44:34Z
AVGO,2009-10-27,1.11,1.15,1.09,1.14,4588376,15.45,15.99,15.26,15.95,328700,2025-12-25T03:44:34Z
AVGO,2009-10-28,1.07,1.11,1.07,1.11,8680784,14.93,15.5,14.89,15.5,621900,2025-12-25T03:44:34Z
AVGO,2009-10-29,1.08,1.09,1.05,1.07,16515385,15.04,15.2,14.72,14.95,1183200,2025-12-25T03:44:34Z
AVGO,2009-10-30,1.07,1.09,1.06,1.08,3880513,15,15.19,14.87,15.1,278000,2025-12-25T03:44:34Z
AVGO,2009-11-02,1.07,1.08,1.05,1.08,3859527,14.87,15.1,14.72,15.1,276500,2025-12-25T03:44:34Z
AVGO,2009-11-03,1.04,1.06,1.03,1.05,5075198,14.49,14.82,14.44,14.68,363600,2025-12-25T03:44:34Z
AVGO,2009-11-04,1.06,1.09,1.03,1.05,11239947,14.78,15.25,14.33,14.6,805200,2025-12-25T03:44:34Z
AVGO,2009-11-05,1.1,1.13,1.06,1.08,3824765,15.32,15.74,14.85,15.02,274000,2025-12-25T03:44:34Z
AVGO,2009-11-06,1.1,1.12,1.06,1.1,3592884,15.29,15.69,14.87,15.32,257400,2025-12-25T03:44:34Z
AVGO,2009-11-09,1.12,1.13,1.08,1.09,3530095,15.66,15.74,15.09,15.26,252900,2025-12-25T03:44:34Z
AVGO,2009-11-10,1.11,1.12,1.09,1.12,2047809,15.45,15.69,15.18,15.69,146700,2025-12-25T03:44:34Z
AVGO,2009-11-11,1.1,1.11,1.08,1.11,2141243,15.36,15.53,15.12,15.53,153400,2025-12-25T03:44:34Z
AVGO,2009-11-12,1.12,1.14,1.1,1.1,1813206,15.6,15.95,15.4,15.4,129900,2025-12-25T03:44:34Z
AVGO,2009-11-13,1.12,1.13,1.1,1.12,866873,15.58,15.75,15.41,15.61,62100,2025-12-25T03:44:34Z
AVGO,2009-11-16,1.15,1.16,1.11,1.12,2176265,16.01,16.21,15.53,15.63,155900,2025-12-25T03:44:34Z
AVGO,2009-11-17,1.15,1.16,1.12,1.13,1373599,16.07,16.19,15.58,15.83,98400,2025-12-25T03:44:34Z
AVGO,2009-11-18,1.15,1.16,1.13,1.16,1610816,16.03,16.15,15.81,16.15,115400,2025-12-25T03:44:34Z
AVGO,2009-11-19,1.12,1.14,1.09,1.14,1626237,15.57,15.89,15.25,15.84,116500,2025-12-25T03:44:34Z
AVGO,2009-11-20,1.11,1.12,1.1,1.11,5913013,15.44,15.65,15.31,15.56,423600,2025-12-25T03:44:34Z
AVGO,2009-11-23,1.09,1.12,1.08,1.11,6493648,15.19,15.61,15.15,15.54,465200,2025-12-25T03:44:34Z
AVGO,2009-11-24,1.09,1.1,1.07,1.08,7296379,15.26,15.33,15.01,15.1,522700,2025-12-25T03:44:34Z
AVGO,2009-11-25,1.11,1.15,1.1,1.1,1887247,15.5,15.98,15.36,15.38,135200,2025-12-25T03:44:34Z
AVGO,2009-11-27,1.14,1.14,1.08,1.08,858466,15.86,15.88,15.06,15.13,61500,2025-12-25T03:44:34Z
AVGO,2009-11-30,1.14,1.15,1.09,1.14,3858215,15.86,15.99,15.25,15.87,276400,2025-12-25T03:44:34Z
AVGO,2009-12-01,1.14,1.17,1.14,1.14,5830411,15.96,16.34,15.9,15.9,417700,2025-12-25T03:44:34Z
AVGO,2009-12-02,1.12,1.15,1.1,1.15,11814633,15.61,16.11,15.38,16.03,846400,2025-12-25T03:44:34Z
AVGO,2009-12-03,1.14,1.14,1.12,1.12,7088376,15.93,15.94,15.58,15.58,507800,2025-12-25T03:44:34Z
AVGO,2009-12-04,1.18,1.2,1.12,1.18,13214603,16.52,16.71,15.6,16.4,946700,2025-12-25T03:44:34Z
AVGO,2009-12-07,1.21,1.21,1.18,1.18,4306135,16.87,16.93,16.5,16.5,308500,2025-12-25T03:44:34Z
AVGO,2009-12-08,1.2,1.22,1.19,1.19,3481208,16.75,16.97,16.55,16.61,249400,2025-12-25T03:44:34Z
AVGO,2009-12-09,1.2,1.2,1.17,1.19,1348373,16.81,16.81,16.34,16.61,96600,2025-12-25T03:44:34Z
AVGO,2009-12-10,1.2,1.22,1.2,1.2,3565055,16.77,16.99,16.75,16.8,255400,2025-12-25T03:44:34Z
AVGO,2009-12-11,1.19,1.2,1.18,1.2,1078998,16.58,16.7,16.46,16.69,77300,2025-12-25T03:44:34Z
AVGO,2009-12-14,1.21,1.21,1.2,1.2,3136603,16.85,16.9,16.69,16.74,224700,2025-12-25T03:44:34Z
AVGO,2009-12-15,1.2,1.21,1.2,1.21,1959886,16.74,16.9,16.71,16.85,140400,2025-12-25T03:44:34Z
AVGO,2009-12-16,1.22,1.23,1.2,1.21,4405287,17,17.13,16.74,16.88,315600,2025-12-25T03:44:34Z
AVGO,2009-12-17,1.17,1.22,1.16,1.21,2078533,16.31,16.98,16.14,16.91,148900,2025-12-25T03:44:34Z
