ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
AXP,2006-01-03,38.86,38.86,37.73,38.21,10589859,52.58,52.58,51.05,51.7,7825700,2026-01-06T03:44:35Z
AXP,2006-01-04,38.48,38.94,38.37,38.84,7735409,51.95,52.57,51.81,52.44,5729400,2026-01-06T03:44:35Z
AXP,2006-01-05,38.89,38.89,38.44,38.44,5300589,52.5,52.51,51.9,51.9,3926000,2026-01-06T03:44:35Z
AXP,2006-01-06,39.02,39.16,38.72,38.99,5586548,52.68,52.87,52.28,52.64,4137800,2026-01-06T03:44:35Z
AXP,2006-01-09,39.99,39.99,39.12,39.12,8226715,53.99,53.99,52.82,52.82,6093300,2026-01-06T03:44:35Z
AXP,2006-01-10,39.87,39.93,39.63,39.69,6607644,53.83,53.91,53.51,53.58,4894100,2026-01-06T03:44:35Z
AXP,2006-01-11,39.66,39.86,39.57,39.77,6226234,53.54,53.82,53.42,53.7,4611600,2026-01-06T03:44:35Z
AXP,2006-01-12,39.66,39.77,39.44,39.69,4043623,53.55,53.7,53.25,53.58,2995000,2026-01-06T03:44:35Z
AXP,2006-01-13,39.58,39.94,39.55,39.77,10314014,53.44,53.92,53.4,53.7,7639300,2026-01-06T03:44:35Z
AXP,2006-01-17,39.23,39.44,39.13,39.32,6636133,52.96,53.25,52.83,53.08,4915200,2026-01-06T03:44:35Z
AXP,2006-01-18,39.09,39.31,38.96,39,7568929,52.77,53.07,52.6,52.65,5606100,2026-01-06T03:44:35Z
AXP,2006-01-19,38.95,39.33,38.87,39.3,6262832,52.59,53.1,52.48,53.06,4638700,2026-01-06T03:44:35Z
AXP,2006-01-20,38.07,38.95,37.98,38.95,16047877,51.4,52.59,51.28,52.59,11886200,2026-01-06T03:44:35Z
AXP,2006-01-23,38.1,38.77,38.06,38.15,14123107,51.44,52.35,51.38,51.5,10460600,2026-01-06T03:44:35Z
AXP,2006-01-24,39.12,39.23,38.37,38.44,11564091,52.82,52.97,51.81,51.9,8565200,2026-01-06T03:44:35Z
AXP,2006-01-25,39.18,39.44,38.89,38.89,10248814,52.9,53.25,52.5,52.5,7591000,2026-01-06T03:44:35Z
AXP,2006-01-26,39.49,39.61,39.22,39.37,7156885,53.32,53.48,52.95,53.15,5300900,2026-01-06T03:44:35Z
AXP,2006-01-27,39.48,39.62,39.29,39.42,9354887,53.3,53.49,53.05,53.22,6928900,2026-01-06T03:44:35Z
AXP,2006-01-30,39.02,39.42,38.9,39.37,8554124,52.68,53.22,52.52,53.15,6335800,2026-01-06T03:44:35Z
AXP,2006-01-31,38.85,39.19,38.7,38.89,7697478,52.45,52.91,52.25,52.51,5701300,2026-01-06T03:44:35Z
AXP,2006-02-01,38.97,39.12,38.75,38.85,5194466,52.62,52.82,52.32,52.45,3847400,2026-01-06T03:44:35Z
AXP,2006-02-02,38.93,39.15,38.75,38.96,7454315,52.56,52.86,52.32,52.6,5521200,2026-01-06T03:44:35Z
AXP,2006-02-03,38.76,39.17,38.72,38.94,5412512,52.33,52.88,52.28,52.57,4008900,2026-01-06T03:44:35Z
AXP,2006-02-06,38.68,38.81,38.37,38.68,3980708,52.22,52.4,51.8,52.22,2948400,2026-01-06T03:44:35Z
AXP,2006-02-07,38.57,38.85,38.53,38.59,4734078,52.07,52.45,52.02,52.1,3506400,2026-01-06T03:44:35Z
AXP,2006-02-08,39.06,39.15,38.26,38.49,7134878,52.73,52.86,51.65,51.97,5284600,2026-01-06T03:44:35Z
AXP,2006-02-09,39.29,39.8,39.09,39.22,6695278,53.04,53.74,52.77,52.95,4959000,2026-01-06T03:44:35Z
AXP,2006-02-10,39.26,39.58,39.05,39.36,5051361,53,53.44,52.72,53.14,3741400,2026-01-06T03:44:35Z
AXP,2006-02-13,39.27,39.62,39.21,39.26,5146816,53.02,53.49,52.94,53,3812100,2026-01-06T03:44:35Z
AXP,2006-02-14,39.63,39.96,39.37,39.48,6616551,53.51,53.95,53.15,53.3,4900700,2026-01-06T03:44:35Z
AXP,2006-02-15,40.14,40.17,39.67,39.76,6178310,54.19,54.24,53.56,53.68,4576100,2026-01-06T03:44:35Z
AXP,2006-02-16,40.35,40.35,39.86,40.03,5725342,54.48,54.48,53.82,54.05,4240600,2026-01-06T03:44:35Z
