ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
BA,2006-01-03,50.12,50.23,49.33,50.09,6947067,70.44,70.6,69.33,70.4,4943000,2020-09-26T01:06:59Z
BA,2006-01-04,50.64,50.71,49.71,49.86,4448203,71.17,71.27,69.86,70.08,3165000,2020-09-26T01:06:59Z
BA,2006-01-05,50.04,50.2,49.51,50.2,6462613,70.33,70.55,69.58,70.55,4598300,2020-09-26T01:06:59Z
BA,2006-01-06,49.34,50.16,49.13,50.05,6774339,69.35,70.5,69.05,70.34,4820100,2020-09-26T01:06:59Z
BA,2006-01-09,48.93,49.38,48.85,49.29,6419045,68.77,69.4,68.66,69.28,4567300,2020-09-26T01:06:59Z
BA,2006-01-10,49.17,49.27,48.79,48.95,5437629,69.1,69.24,68.57,68.8,3869000,2020-09-26T01:06:59Z
BA,2006-01-11,49.88,50.02,49.17,49.78,7043761,70.1,70.3,69.11,69.97,5011800,2020-09-26T01:06:59Z
BA,2006-01-12,49.59,50.13,49.48,49.98,3298556,69.69,70.45,69.54,70.25,2347000,2020-09-26T01:06:59Z
BA,2006-01-13,49.44,49.95,48.95,49.55,4165288,69.48,70.2,68.79,69.64,2963700,2020-09-26T01:06:59Z
BA,2006-01-17,48.87,49.38,48.85,49.15,3812805,68.69,69.4,68.66,69.07,2712900,2020-09-26T01:06:59Z
BA,2006-01-18,48.62,49.04,48.42,48.77,3737614,68.33,68.92,68.05,68.55,2659400,2020-09-26T01:06:59Z
BA,2006-01-19,48.5,48.73,48.18,48.5,3714003,68.17,68.49,67.72,68.16,2642600,2020-09-26T01:06:59Z
BA,2006-01-20,47.32,48.5,47.31,48.45,9046085,66.5,68.16,66.49,68.1,6436500,2020-09-26T01:06:59Z
BA,2006-01-23,47.69,47.91,46.89,46.89,5716468,67.02,67.34,65.9,65.9,4067400,2020-09-26T01:06:59Z
BA,2006-01-24,48.14,48.3,47.77,47.96,5034129,67.66,67.88,67.13,67.41,3581900,2020-09-26T01:06:59Z
BA,2006-01-25,47.61,48.32,47.61,48.18,5232014,66.91,67.91,66.91,67.71,3722700,2020-09-26T01:06:59Z
BA,2006-01-26,48.9,48.92,47.9,47.98,6701537,68.72,68.75,67.32,67.44,4768300,2020-09-26T01:06:59Z
BA,2006-01-27,48.78,49.27,48.38,48.66,5558075,68.56,69.25,67.99,68.39,3954700,2020-09-26T01:06:59Z
BA,2006-01-30,49.12,49.13,48.53,48.75,2878472,69.03,69.05,68.2,68.52,2048100,2020-09-26T01:06:59Z
BA,2006-01-31,48.6,49.13,48.6,49.09,5755117,68.31,69.05,68.31,69,4094900,2020-09-26T01:06:59Z
BA,2006-02-01,50.96,51.35,49.81,49.81,16592570,71.62,72.17,70,70,11806000,2020-09-26T01:06:59Z
BA,2006-02-02,51.02,51.44,50.73,50.77,9280230,71.7,72.3,71.3,71.35,6603100,2020-09-26T01:06:59Z
BA,2006-02-03,50.43,51.29,50.42,51.02,5322243,70.87,72.09,70.86,71.7,3786900,2020-09-26T01:06:59Z
BA,2006-02-06,50.62,50.97,50.02,50.27,4445392,71.14,71.64,70.3,70.65,3163000,2020-09-26T01:06:59Z
BA,2006-02-07,50.91,51.27,50.63,50.73,5968884,71.55,72.05,71.16,71.3,4247000,2020-09-26T01:06:59Z
BA,2006-02-08,51.27,51.4,50.73,50.91,4046077,71.76,71.93,71,71.25,2891000,2020-09-26T01:06:59Z
BA,2006-02-09,51.45,51.99,50.99,51.28,5806982,72.01,72.76,71.37,71.77,4149200,2020-09-26T01:06:59Z
BA,2006-02-10,51.82,51.95,51.47,51.52,3937053,72.53,72.7,72.03,72.1,2813100,2020-09-26T01:06:59Z
BA,2006-02-13,51.52,51.9,51.32,51.41,4610933,72.11,72.64,71.82,71.95,3294600,2020-09-26T01:06:59Z
BA,2006-02-14,51.95,52.06,51.4,51.7,5822516,72.71,72.86,71.93,72.35,4160300,2020-09-26T01:06:59Z
BA,2006-02-15,51.77,51.97,51.48,51.71,3915640,72.45,72.74,72.05,72.37,2797800,2020-09-26T01:06:59Z
BA,2006-02-16,51.84,52.11,51.59,51.91,3102505,72.55,72.93,72.2,72.65,2216800,2020-09-26T01:06:59Z
BA,2006-02-17,52.13,52.16,51.65,51.84,3737758,72.96,73,72.28,72.55,2670700,2020-09-26T01:06:59Z
BA,2006-02-21,52.2,52.45,51.91,52.27,4664675,73.05,73.4,72.65,73.15,3333000,2020-09-26T01:06:59Z
BA,2006-02-22,53.15,53.31,52.2,52.2,7009468,74.39,74.61,73.06,73.06,5008400,2020-09-26T01:06:59Z
BA,2006-02-23,52.8,53.02,52.72,52.84,3602842,73.9,74.2,73.78,73.95,2574300,2020-09-26T01:06:59Z
BA,2006-02-24,53.1,53.3,52.38,52.62,3718724,74.31,74.59,73.31,73.65,2657100,2020-09-26T01:06:59Z
BA,2006-02-27,52.97,53.51,52.87,52.91,2762836,74.13,74.89,74,74.05,1974100,2020-09-26T01:06:59Z
BA,2006-02-28,51.94,52.87,51.7,52.8,5462414,72.69,74,72.36,73.9,3903000,2020-09-26T01:06:59Z
BA,2006-03-01,52.12,52.22,51.62,51.85,2862624,72.95,73.08,72.25,72.56,2045400,2020-09-26T01:06:59Z
BA,2006-03-02,52.02,52.41,51.69,51.98,2492585,72.8,73.35,72.34,72.75,1781000,2020-09-26T01:06:59Z
BA,2006-03-03,52.44,53.16,51.81,52.02,3789821,73.39,74.4,72.51,72.81,2707900,2020-09-26T01:06:59Z
BA,2006-03-06,51.9,52.67,51.66,52.66,3284726,72.63,73.71,72.3,73.7,2347000,2020-09-26T01:06:59Z
BA,2006-03-07,52.27,52.32,51.71,51.92,2686421,73.16,73.23,72.37,72.66,1919500,2020-09-26T01:06:59Z
BA,2006-03-08,52.03,52.06,51.37,52.05,4441028,72.82,72.86,71.9,72.85,3173200,2020-09-26T01:06:59Z
BA,2006-03-09,52.7,53.05,51.8,51.98,4199467,73.76,74.25,72.5,72.75,3000600,2020-09-26T01:06:59Z
BA,2006-03-10,53.44,53.52,52.3,52.71,4239494,74.79,74.9,73.2,73.77,3029200,2020-09-26T01:06:59Z
BA,2006-03-13,53.47,54.23,53.23,53.74,5119946,74.84,75.9,74.5,75.21,3658300,2020-09-26T01:06:59Z
BA,2006-03-14,53.91,54.04,53.39,53.48,3663862,75.45,75.63,74.72,74.84,2617900,2020-09-26T01:06:59Z
