ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
BLK,2006-01-03,66.65,66.98,64.66,66.95,203601,109,109.53,105.74,109.48,124500,2026-03-10T02:45:50Z
BLK,2006-01-04,66.76,67.11,66.44,66.81,127884,109.18,109.74,108.66,109.25,78200,2026-03-10T02:45:50Z
BLK,2006-01-05,66.04,66.92,65.94,66.92,58545,108,109.43,107.83,109.43,35800,2026-03-10T02:45:50Z
BLK,2006-01-06,67.52,67.52,65.91,65.91,113002,110.42,110.42,107.79,107.79,69100,2026-03-10T02:45:50Z
BLK,2006-01-09,68.3,68.79,67.58,68.36,156830,111.7,112.49,110.51,111.79,95900,2026-03-10T02:45:50Z
BLK,2006-01-10,68.58,69.17,67.94,68.16,125758,112.16,113.11,111.1,111.47,76900,2026-03-10T02:45:50Z
BLK,2006-01-11,67.58,68.82,67.5,68.03,144237,110.52,112.55,110.39,111.26,88200,2026-03-10T02:45:50Z
BLK,2006-01-12,68.48,68.48,67.28,67.46,154213,111.99,111.99,110.02,110.32,94300,2026-03-10T02:45:50Z
BLK,2006-01-13,68.88,69.02,68.33,68.33,77351,112.65,112.87,111.74,111.74,47300,2026-03-10T02:45:50Z
BLK,2006-01-17,68.36,70.02,67.89,69.5,181523,111.79,114.5,111.03,113.65,111000,2026-03-10T02:45:50Z
BLK,2006-01-18,67.81,68.09,66.67,68.05,211777,110.9,111.35,109.03,111.29,129500,2026-03-10T02:45:50Z
BLK,2006-01-19,72.98,73.83,70.23,70.23,905329,119.35,120.74,114.85,114.85,553600,2026-03-10T02:45:50Z
BLK,2006-01-20,77.66,79.97,76.47,79.74,1102553,127,130.77,125.06,130.4,674200,2026-03-10T02:45:50Z
BLK,2006-01-23,78.38,78.63,75.1,76.44,400824,128.18,128.59,122.82,125,245100,2026-03-10T02:45:50Z
BLK,2006-01-24,78.86,78.93,78.1,78.88,197877,128.96,129.07,127.72,128.99,121000,2026-03-10T02:45:50Z
BLK,2006-01-25,79.18,79.93,78.71,79.35,206544,129.49,130.72,128.72,129.77,126300,2026-03-10T02:45:50Z
BLK,2006-01-26,82.56,83.51,79.24,79.24,482755,135.01,136.56,129.59,129.59,295200,2026-03-10T02:45:50Z
BLK,2006-01-27,81.4,82.56,80.52,82.56,374167,133.12,135.02,131.67,135.02,228800,2026-03-10T02:45:50Z
BLK,2006-01-30,81.57,81.94,80.74,81.5,374494,133.4,134,132.03,133.28,229000,2026-03-10T02:45:50Z
BLK,2006-01-31,81.21,81.93,80.85,81.82,140967,132.8,133.99,132.22,133.8,86200,2026-03-10T02:45:50Z
BLK,2006-02-01,79.21,80.56,75.21,75.82,630100,129.54,131.75,123,123.99,385300,2026-03-10T02:45:50Z
BLK,2006-02-02,78.92,79.16,78.42,78.42,157320,129.06,129.46,128.24,128.24,96200,2026-03-10T02:45:50Z
BLK,2006-02-03,79.29,79.41,78.3,78.77,131645,129.66,129.86,128.05,128.82,80500,2026-03-10T02:45:50Z
BLK,2006-02-06,79.83,80.34,79.05,79.13,109895,130.55,131.39,129.27,129.41,67200,2026-03-10T02:45:50Z
BLK,2006-02-07,79.61,80.43,79.22,80.04,160754,130.19,131.53,129.56,130.9,98300,2026-03-10T02:45:50Z
BLK,2006-02-08,80.17,80.35,79.5,79.76,134752,131.11,131.4,130.01,130.44,82400,2026-03-10T02:45:50Z
BLK,2006-02-09,82.13,84.39,81.02,81.02,418159,134.31,138,132.5,132.5,255700,2026-03-10T02:45:50Z
BLK,2006-02-10,80.42,82.13,80.19,82.13,345876,131.51,134.31,131.13,134.31,211500,2026-03-10T02:45:50Z
BLK,2006-02-13,86.83,91.72,86.68,88.61,2370275,141.99,150,141.75,144.9,1449400,2026-03-10T02:45:50Z
BLK,2006-02-14,89.25,89.9,86.37,86.98,736888,145.96,147.01,141.24,142.25,450600,2026-03-10T02:45:50Z
BLK,2006-02-15,92.49,98.75,92.49,95.12,4147245,151.25,161.49,151.25,155.55,2536000,2026-03-10T02:45:50Z
BLK,2006-02-16,92.27,93.56,90.81,92.34,553401,150.9,153,148.5,151,338400,2026-03-10T02:45:50Z
BLK,2006-02-17,89.63,91.61,88.06,91.6,723969,146.58,149.81,144.01,149.8,442700,2026-03-10T02:45:50Z
BLK,2006-02-21,88.83,91.37,88.64,90.81,342932,145.27,149.42,144.96,148.5,209700,2026-03-10T02:45:50Z
