ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
BMY,2006-01-03,10.8,10.81,10.65,10.8,21822984,23.24,23.27,22.92,23.25,10139800,2026-01-06T03:44:36Z
BMY,2006-01-04,10.64,10.83,10.6,10.75,28633127,22.63,23.02,22.53,22.85,13466300,2026-01-06T03:44:36Z
BMY,2006-01-05,10.64,10.73,10.6,10.61,18347459,22.63,22.82,22.54,22.56,8628900,2026-01-06T03:44:36Z
BMY,2006-01-06,10.71,10.73,10.63,10.64,15670326,22.78,22.81,22.61,22.63,7369800,2026-01-06T03:44:36Z
BMY,2006-01-09,10.74,10.75,10.6,10.72,14981506,22.84,22.85,22.53,22.8,7045900,2026-01-06T03:44:36Z
BMY,2006-01-10,10.63,10.7,10.57,10.66,15252225,22.61,22.74,22.48,22.67,7173200,2026-01-06T03:44:36Z
BMY,2006-01-11,10.59,10.64,10.54,10.63,20665671,22.51,22.63,22.41,22.6,9719200,2026-01-06T03:44:36Z
BMY,2006-01-12,10.56,10.62,10.52,10.59,13179595,22.46,22.58,22.37,22.51,6198400,2026-01-06T03:44:36Z
BMY,2006-01-13,10.54,10.58,10.44,10.56,24867569,22.42,22.5,22.2,22.46,11695300,2026-01-06T03:44:36Z
BMY,2006-01-17,10.49,10.58,10.45,10.49,17656204,22.3,22.5,22.21,22.3,8303800,2026-01-06T03:44:36Z
BMY,2006-01-18,10.43,10.46,10.37,10.42,16294902,22.18,22.25,22.05,22.15,7663600,2026-01-06T03:44:36Z
BMY,2006-01-19,10.61,10.64,10.38,10.44,21240008,22.56,22.63,22.08,22.2,9989300,2026-01-06T03:44:36Z
BMY,2006-01-20,10.5,10.65,10.47,10.62,26445418,22.33,22.64,22.26,22.58,12437400,2026-01-06T03:44:36Z
BMY,2006-01-23,10.39,10.51,10.36,10.46,20102353,22.1,22.35,22.02,22.25,9454200,2026-01-06T03:44:36Z
BMY,2006-01-24,10.03,10.42,9.97,10.35,55647960,21.33,22.16,21.21,22.01,26171500,2026-01-06T03:44:36Z
BMY,2006-01-25,10.33,10.34,9.99,10.11,45693118,21.97,21.98,21.24,21.5,21489700,2026-01-06T03:44:36Z
BMY,2006-01-26,10.64,10.83,10.35,10.37,57316634,22.62,23.03,22,22.05,26956300,2026-01-06T03:44:36Z
BMY,2006-01-27,10.81,10.85,10.55,10.61,24910670,22.99,23.06,22.44,22.55,11715600,2026-01-06T03:44:36Z
BMY,2006-01-30,10.74,10.81,10.62,10.81,15743771,22.83,22.99,22.59,22.98,7404400,2026-01-06T03:44:36Z
BMY,2006-01-31,10.72,10.79,10.63,10.79,15739861,22.79,22.94,22.61,22.94,7402500,2026-01-06T03:44:36Z
BMY,2006-02-01,10.83,10.9,10.68,10.72,21280275,23.02,23.18,22.71,22.79,10008200,2026-01-06T03:44:36Z
BMY,2006-02-02,10.61,10.83,10.5,10.83,21846209,22.56,23.02,22.32,23.02,10274400,2026-01-06T03:44:36Z
BMY,2006-02-03,10.47,10.71,10.45,10.58,33688105,22.26,22.77,22.22,22.5,15843700,2026-01-06T03:44:36Z
BMY,2006-02-06,10.52,10.62,10.49,10.57,21374899,22.37,22.57,22.3,22.47,10052700,2026-01-06T03:44:36Z
BMY,2006-02-07,10.56,10.68,10.47,10.49,16240176,22.46,22.7,22.27,22.3,7637800,2026-01-06T03:44:36Z
BMY,2006-02-08,10.69,10.72,10.51,10.51,14811075,22.74,22.79,22.35,22.35,6965700,2026-01-06T03:44:36Z
BMY,2006-02-09,10.62,10.73,10.6,10.68,14268599,22.59,22.81,22.53,22.7,6710600,2026-01-06T03:44:36Z
BMY,2006-02-10,10.53,10.61,10.45,10.57,14744307,22.4,22.56,22.22,22.48,6934300,2026-01-06T03:44:36Z
BMY,2006-02-13,10.77,10.78,10.43,10.49,20380580,22.91,22.91,22.18,22.3,9585100,2026-01-06T03:44:36Z
BMY,2006-02-14,10.77,10.79,10.64,10.7,17280893,22.91,22.94,22.62,22.75,8127300,2026-01-06T03:44:36Z
BMY,2006-02-15,10.86,10.95,10.72,10.72,21298821,23.1,23.28,22.8,22.8,10016900,2026-01-06T03:44:36Z
BMY,2006-02-16,10.81,10.86,10.7,10.79,14799774,22.99,23.1,22.75,22.95,6960400,2026-01-06T03:44:36Z
BMY,2006-02-17,10.85,10.88,10.7,10.76,12902736,23.08,23.13,22.75,22.87,6068200,2026-01-06T03:44:36Z
BMY,2006-02-21,10.76,11,10.72,10.86,18357411,22.88,23.38,22.8,23.08,8633600,2026-01-06T03:44:36Z
BMY,2006-02-22,10.99,11.01,10.75,10.81,16278621,23.36,23.41,22.85,22.98,7655900,2026-01-06T03:44:36Z
BMY,2006-02-23,10.91,11.02,10.89,10.91,14092100,23.2,23.44,23.15,23.2,6627600,2026-01-06T03:44:36Z
BMY,2006-02-24,10.8,10.95,10.77,10.9,11731541,22.97,23.29,22.9,23.17,5517400,2026-01-06T03:44:36Z
BMY,2006-02-27,10.92,11.01,10.82,10.82,11688349,23.21,23.4,23.01,23.01,5497100,2026-01-06T03:44:36Z
BMY,2006-02-28,10.86,10.94,10.82,10.84,19375805,23.1,23.27,23,23.05,9112500,2026-01-06T03:44:36Z
BMY,2006-03-01,10.71,10.88,10.69,10.82,16452796,22.77,23.14,22.73,23,7737800,2026-01-06T03:44:36Z
BMY,2006-03-02,10.7,10.77,10.67,10.72,10982912,22.75,22.89,22.68,22.8,5165300,2026-01-06T03:44:36Z
BMY,2006-03-03,10.77,10.82,10.62,10.62,17923873,22.9,23.01,22.57,22.57,8429700,2026-01-06T03:44:36Z
BMY,2006-03-06,10.73,10.82,10.7,10.78,10269772,22.81,23.01,22.74,22.93,4829900,2026-01-06T03:44:36Z
BMY,2006-03-07,10.62,10.78,10.6,10.73,14584564,22.59,22.92,22.53,22.81,6859200,2026-01-06T03:44:36Z
BMY,2006-03-08,10.74,10.75,10.61,10.65,9426829,22.83,22.85,22.56,22.64,4433500,2026-01-06T03:44:36Z
BMY,2006-03-09,10.68,10.76,10.62,10.74,14643295,22.7,22.88,22.57,22.83,6886800,2026-01-06T03:44:36Z
BMY,2006-03-10,10.77,10.83,10.71,10.77,11421936,22.91,23.02,22.78,22.9,5371800,2026-01-06T03:44:36Z
BMY,2006-03-13,10.79,10.8,10.7,10.78,14736815,22.94,22.96,22.74,22.91,6930800,2026-01-06T03:44:36Z
BMY,2006-03-14,10.77,10.78,10.7,10.73,17374236,22.91,22.93,22.75,22.82,8171200,2026-01-06T03:44:36Z
BMY,2006-03-15,10.71,10.78,10.7,10.74,14678620,22.77,22.91,22.75,22.83,6903400,2026-01-06T03:44:36Z
BMY,2006-03-16,10.73,10.76,10.69,10.75,13232551,22.82,22.88,22.73,22.85,6223300,2026-01-06T03:44:36Z
BMY,2006-03-17,10.78,10.84,10.71,10.81,16298983,22.92,23.04,22.77,22.98,7665500,2026-01-06T03:44:36Z
BMY,2006-03-20,10.82,10.89,10.78,10.82,10100058,23.01,23.15,22.93,23,4750100,2026-01-06T03:44:36Z
BMY,2006-03-21,10.74,10.85,10.7,10.82,10330282,22.83,23.06,22.76,23,4858400,2026-01-06T03:44:36Z
BMY,2006-03-22,11.87,12.2,11.76,12.12,105617833,25.24,25.95,25,25.77,49672600,2026-01-06T03:44:36Z
BMY,2006-03-23,11.99,12.06,11.82,11.9,28057485,25.5,25.65,25.14,25.3,13195600,2026-01-06T03:44:36Z
BMY,2006-03-24,12,12.09,11.91,11.97,24222332,25.52,25.71,25.32,25.45,11391900,2026-01-06T03:44:36Z
BMY,2006-03-27,11.81,12,11.77,11.94,22646480,25.11,25.52,25.03,25.39,10650700,2026-01-06T03:44:36Z
BMY,2006-03-28,11.71,11.88,11.68,11.79,15952189,24.89,25.26,24.84,25.07,7502400,2026-01-06T03:44:36Z
BMY,2006-03-29,11.73,11.86,11.7,11.7,12688156,24.94,25.22,24.88,24.88,5967300,2026-01-06T03:44:36Z
BMY,2006-03-30,11.73,11.8,11.61,11.7,13790211,24.95,25.09,24.69,24.87,6485600,2026-01-06T03:44:36Z
BMY,2006-03-31,11.57,11.77,11.55,11.71,17083605,24.61,25.03,24.56,24.9,8034500,2026-01-06T03:44:36Z
BMY,2006-04-03,11.62,11.74,11.57,11.64,17138931,24.71,24.97,24.6,24.75,8060500,2026-01-06T03:44:36Z
BMY,2006-04-04,11.64,11.69,11.54,11.63,16266108,24.75,24.85,24.53,24.72,7650000,2026-01-06T03:44:36Z
BMY,2006-04-05,11.67,11.73,11.63,11.65,11854074,24.54,24.65,24.44,24.5,5638800,2026-01-06T03:44:36Z
BMY,2006-04-06,11.8,11.82,11.61,11.65,17472404,24.81,24.85,24.4,24.5,8311400,2026-01-06T03:44:36Z
BMY,2006-04-07,11.66,11.84,11.62,11.7,16132861,24.51,24.89,24.43,24.6,7674200,2026-01-06T03:44:36Z
BMY,2006-04-10,11.54,11.65,11.47,11.64,14029001,24.27,24.5,24.11,24.47,6673400,2026-01-06T03:44:36Z
BMY,2006-04-11,11.49,11.59,11.37,11.55,13221926,24.16,24.37,23.9,24.28,6289500,2026-01-06T03:44:36Z
BMY,2006-04-12,11.45,11.52,11.42,11.5,10661660,24.06,24.22,24,24.17,5071600,2026-01-06T03:44:36Z
BMY,2006-04-13,11.44,11.51,11.38,11.47,8372113,24.04,24.19,23.93,24.12,3982500,2026-01-06T03:44:36Z
BMY,2006-04-17,11.63,11.64,11.45,11.48,13982781,24.45,24.48,24.07,24.13,6651400,2026-01-06T03:44:36Z
BMY,2006-04-18,11.81,11.85,11.64,11.64,15920773,24.83,24.9,24.47,24.47,7573300,2026-01-06T03:44:36Z
BMY,2006-04-19,11.76,11.89,11.63,11.81,13661971,24.73,25,24.45,24.83,6498800,2026-01-06T03:44:36Z
BMY,2006-04-20,11.74,11.89,11.65,11.81,11453341,24.69,25,24.5,24.83,5448200,2026-01-06T03:44:36Z
BMY,2006-04-21,11.8,11.89,11.75,11.85,12280172,24.8,25,24.7,24.9,5841500,2026-01-06T03:44:36Z
BMY,2006-04-24,11.7,11.84,11.61,11.75,16330337,24.59,24.89,24.4,24.7,7768100,2026-01-06T03:44:36Z
BMY,2006-04-25,11.74,11.85,11.69,11.7,14215874,24.69,24.92,24.57,24.6,6762300,2026-01-06T03:44:36Z
BMY,2006-04-26,11.88,11.92,11.79,11.82,14832446,24.97,25.06,24.78,24.84,7055600,2026-01-06T03:44:36Z
BMY,2006-04-27,12.02,12.08,11.84,11.87,14873237,25.27,25.39,24.88,24.95,7075000,2026-01-06T03:44:36Z
BMY,2006-04-28,12.07,12.15,11.95,12.04,18248818,25.38,25.55,25.12,25.3,8680700,2026-01-06T03:44:36Z
BMY,2006-05-01,11.89,12.15,11.85,12.14,14282680,25,25.55,24.9,25.53,6794100,2026-01-06T03:44:36Z
BMY,2006-05-02,11.89,11.95,11.79,11.95,11924876,24.99,25.13,24.79,25.13,5672500,2026-01-06T03:44:36Z
BMY,2006-05-03,11.84,11.94,11.8,11.85,13268233,24.89,25.1,24.8,24.9,6311500,2026-01-06T03:44:36Z
BMY,2006-05-04,11.91,11.94,11.85,11.86,9032234,25.03,25.1,24.91,24.94,4296500,2026-01-06T03:44:36Z
BMY,2006-05-05,12.03,12.09,11.9,11.98,10380203,25.28,25.41,25.02,25.19,4937700,2026-01-06T03:44:36Z
BMY,2006-05-08,11.94,12.04,11.91,12.04,13271752,25.11,25.32,25.04,25.3,6313200,2026-01-06T03:44:36Z
BMY,2006-05-09,11.92,11.96,11.87,11.94,8839017,25.06,25.14,24.95,25.09,4204600,2026-01-06T03:44:36Z
BMY,2006-05-10,11.87,11.94,11.85,11.9,9425518,24.95,25.1,24.9,25.02,4483600,2026-01-06T03:44:36Z
BMY,2006-05-11,11.71,11.91,11.67,11.83,13993252,24.62,25.03,24.54,24.86,6656400,2026-01-06T03:44:36Z
BMY,2006-05-12,11.55,11.77,11.54,11.69,12275548,24.29,24.75,24.25,24.57,5839300,2026-01-06T03:44:36Z
BMY,2006-05-15,11.64,11.77,11.53,11.53,10116529,24.46,24.75,24.23,24.24,4812300,2026-01-06T03:44:36Z
BMY,2006-05-16,11.69,11.88,11.6,11.6,12202592,24.57,24.97,24.38,24.38,5804600,2026-01-06T03:44:36Z
BMY,2006-05-17,11.48,11.75,11.44,11.61,12610421,24.13,24.71,24.05,24.4,5998600,2026-01-06T03:44:36Z
BMY,2006-05-18,11.49,11.68,11.04,11.42,11735910,24.15,24.55,23.21,24.01,5582600,2026-01-06T03:44:36Z
BMY,2006-05-19,11.5,11.54,11.35,11.54,11850915,24.17,24.27,23.86,24.27,5637300,2026-01-06T03:44:36Z
BMY,2006-05-22,11.35,11.64,11.35,11.43,11676787,23.86,24.47,23.85,24.02,5554500,2026-01-06T03:44:36Z
BMY,2006-05-23,11.41,11.51,11.3,11.33,11131088,23.99,24.2,23.76,23.82,5294900,2026-01-06T03:44:36Z
BMY,2006-05-24,11.4,11.56,11.38,11.42,14980460,23.97,24.3,23.93,24.01,7126000,2026-01-06T03:44:36Z
BMY,2006-05-25,11.71,11.74,11.44,11.45,11433414,24.61,24.68,24.04,24.07,5438700,2026-01-06T03:44:36Z
BMY,2006-05-26,11.87,11.89,11.71,11.72,10336831,24.95,25,24.62,24.64,4917100,2026-01-06T03:44:36Z
BMY,2006-05-30,11.68,11.93,11.66,11.89,15826891,24.56,25.08,24.52,25,7528600,2026-01-06T03:44:36Z
BMY,2006-05-31,11.68,11.75,11.58,11.66,15523673,24.55,24.7,24.35,24.52,7384400,2026-01-06T03:44:36Z
BMY,2006-06-01,11.96,12.01,11.66,11.68,13811004,25.15,25.25,24.51,24.56,6569700,2026-01-06T03:44:36Z
BMY,2006-06-02,12.02,12.08,11.87,11.94,12885374,25.27,25.4,24.95,25.1,6129400,2026-01-06T03:44:36Z
BMY,2006-06-05,11.97,12.09,11.94,11.95,15363865,25.16,25.41,25.09,25.12,7308400,2026-01-06T03:44:36Z
BMY,2006-06-06,11.89,12.02,11.81,11.94,11277559,25,25.27,24.83,25.1,5364600,2026-01-06T03:44:36Z
