ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
C,2006-01-03,315.8,316.38,308.24,313.94,2399949,49.29,49.38,48.11,49,15376600,2026-02-06T03:45:43Z
C,2006-01-04,309.97,314.59,309.78,313.05,2920157,48.38,49.1,48.35,48.86,18709600,2026-02-06T03:45:43Z
C,2006-01-05,311.51,312.54,310.1,310.36,1784221,48.62,48.78,48.4,48.44,11431600,2026-02-06T03:45:43Z
C,2006-01-06,311.51,313.31,308.82,313.18,2138658,48.62,48.9,48.2,48.88,13702500,2026-02-06T03:45:43Z
C,2006-01-09,310.04,312.28,309.46,311.38,2623266,48.39,48.74,48.3,48.6,16807400,2026-02-06T03:45:43Z
C,2006-01-10,311,311.06,308.05,309.46,2131963,48.54,48.55,48.08,48.3,13659600,2026-02-06T03:45:43Z
C,2006-01-11,313.82,317.66,311.25,317.66,2629040,48.98,49.58,48.58,49.58,16844400,2026-02-06T03:45:43Z
C,2006-01-12,314.14,314.59,313.18,314.59,1919775,49.03,49.1,48.88,49.1,12300100,2026-02-06T03:45:43Z
C,2006-01-13,313.43,315.16,312.22,314.59,1468506,48.92,49.19,48.73,49.1,9408800,2026-02-06T03:45:43Z
C,2006-01-17,310.29,312.02,309.27,310.81,1931965,48.43,48.7,48.27,48.51,12378200,2026-02-06T03:45:43Z
C,2006-01-18,309.85,311.83,308.24,310.29,1902450,48.36,48.67,48.11,48.43,12189100,2026-02-06T03:45:43Z
C,2006-01-19,307.15,311.25,305.62,311.13,2647863,47.94,48.58,47.7,48.56,16965000,2026-02-06T03:45:43Z
C,2006-01-20,292.74,303.69,292.35,302.48,7463541,45.69,47.4,45.63,47.21,47819300,2026-02-06T03:45:43Z
C,2006-01-23,294.72,297.16,292.8,294.72,3161344,46,46.38,45.7,46,20254900,2026-02-06T03:45:43Z
C,2006-01-24,294.79,297.03,294.66,296.58,3252259,46.01,46.36,45.99,46.29,20837400,2026-02-06T03:45:43Z
