ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
CCI,2006-01-03,16.64,16.68,16.34,16.65,1484305,26.9,26.97,26.41,26.91,918200,2025-12-19T03:45:16Z
CCI,2006-01-04,16.99,17.07,16.68,16.68,2432730,27.46,27.59,26.96,26.97,1504900,2025-12-19T03:45:16Z
CCI,2006-01-05,17.19,17.2,16.94,16.96,2588732,27.79,27.8,27.38,27.41,1601400,2025-12-19T03:45:16Z
CCI,2006-01-06,17.4,17.45,17.19,17.19,2298878,28.12,28.2,27.79,27.79,1422100,2025-12-19T03:45:16Z
CCI,2006-01-09,17.95,17.98,17.38,17.38,5743254,29.01,29.06,28.1,28.1,3552800,2025-12-19T03:45:16Z
CCI,2006-01-10,17.8,17.94,17.52,17.94,2193801,28.78,29,28.33,29,1357100,2025-12-19T03:45:16Z
CCI,2006-01-11,18.06,18.09,17.83,17.83,1758632,29.19,29.25,28.83,28.83,1087900,2025-12-19T03:45:16Z
CCI,2006-01-12,18.03,18.15,17.94,18.06,1852388,29.14,29.34,29,29.2,1145900,2025-12-19T03:45:16Z
CCI,2006-01-13,18.01,18.09,17.94,18,1475414,29.12,29.25,29,29.1,912700,2025-12-19T03:45:16Z
CCI,2006-01-17,17.66,17.91,17.56,17.88,1894745,28.54,28.95,28.38,28.9,1172100,2025-12-19T03:45:16Z
CCI,2006-01-18,18.26,18.3,17.45,17.6,2877121,29.52,29.59,28.2,28.45,1779800,2025-12-19T03:45:16Z
CCI,2006-01-19,18.47,18.54,18.25,18.26,1480916,29.86,29.97,29.51,29.52,916100,2025-12-19T03:45:16Z
CCI,2006-01-20,18.37,18.58,18.32,18.56,1997557,29.69,30.03,29.61,30,1235700,2025-12-19T03:45:16Z
CCI,2006-01-23,18.23,18.45,18.18,18.43,1384727,29.47,29.82,29.39,29.8,856600,2025-12-19T03:45:16Z
CCI,2006-01-24,18.87,19.01,18.21,18.23,2056234,30.5,30.73,29.44,29.47,1272000,2025-12-19T03:45:16Z
CCI,2006-01-25,18.62,18.96,18.53,18.91,1268014,30.1,30.65,29.96,30.56,784400,2025-12-19T03:45:16Z
CCI,2006-01-26,18.63,18.66,18.39,18.52,1280783,30.12,30.17,29.72,29.94,792300,2025-12-19T03:45:16Z
CCI,2006-01-27,18.64,18.69,18.56,18.63,688482,30.14,30.22,30,30.12,425900,2025-12-19T03:45:16Z
CCI,2006-01-30,18.84,18.87,18.55,18.56,892492,30.46,30.5,29.99,30,552100,2025-12-19T03:45:16Z
CCI,2006-01-31,19.57,19.61,19,19,2689596,31.63,31.7,30.71,30.71,1663800,2025-12-19T03:45:16Z
CCI,2006-02-01,19.99,20.04,19.45,19.57,2235355,32.31,32.39,31.45,31.63,1382800,2025-12-19T03:45:16Z
CCI,2006-02-02,19.72,19.99,19.67,19.99,1290971,31.88,32.31,31.79,32.31,798600,2025-12-19T03:45:16Z
CCI,2006-02-03,19.28,19.71,19.23,19.67,1397986,31.16,31.86,31.08,31.8,864800,2025-12-19T03:45:16Z
CCI,2006-02-06,19.64,19.83,19.34,19.34,1462323,31.75,32.06,31.26,31.26,904600,2025-12-19T03:45:16Z
CCI,2006-02-07,19.8,20.27,19.64,19.8,1595198,32,32.77,31.75,32,986800,2025-12-19T03:45:16Z
CCI,2006-02-08,19.8,19.94,19.49,19.73,2037483,32,32.23,31.5,31.9,1260400,2025-12-19T03:45:16Z
CCI,2006-02-09,19.18,19.83,19.09,19.83,1333481,31,32.05,30.86,32.05,824900,2025-12-19T03:45:16Z
CCI,2006-02-10,19.08,19.27,18.99,19.2,2047668,30.85,31.15,30.7,31.04,1266700,2025-12-19T03:45:16Z
CCI,2006-02-13,18.68,19.11,18.68,18.99,1838488,30.2,30.9,30.2,30.7,1137300,2025-12-19T03:45:16Z
CCI,2006-02-14,18.19,18.91,18.04,18.77,3474910,29.41,30.57,29.16,30.35,2149600,2025-12-19T03:45:16Z
