ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
CMG,2006-01-26,0.88,0.97,0.79,0.9,660969984,44,48.28,39.51,45,13219400,2024-06-28T23:25:52Z
CMG,2006-01-27,0.84,0.9,0.83,0.9,57540000,42.2,44.9,41.75,44.88,1150800,2024-06-28T23:25:52Z
CMG,2006-01-30,0.9,0.91,0.82,0.84,36810000,44.8,45.51,41.25,42.2,736200,2024-06-28T23:25:52Z
CMG,2006-01-31,0.95,0.99,0.91,0.91,55560000,47.52,49.3,45.38,45.5,1111200,2024-06-28T23:25:52Z
CMG,2006-02-01,0.93,0.98,0.91,0.98,30334998,46.56,49.24,45.25,48.9,606700,2024-06-28T23:25:52Z
CMG,2006-02-02,0.9,0.96,0.89,0.96,20190000,44.75,47.91,44.26,47.9,403800,2024-06-28T23:25:52Z
CMG,2006-02-03,0.93,0.93,0.89,0.9,12265000,46.55,46.56,44.25,44.85,245300,2024-06-28T23:25:52Z
CMG,2006-02-06,0.95,0.96,0.92,0.95,17500000,47.71,48,46,47.48,350000,2024-06-28T23:25:52Z
CMG,2006-02-07,0.93,0.95,0.91,0.95,13360000,46.28,47.75,45.25,47.71,267200,2024-06-28T23:25:52Z
CMG,2006-02-08,0.91,0.93,0.9,0.92,8720000,45.74,46.6,45.04,45.85,174400,2024-06-28T23:25:52Z
CMG,2006-02-09,0.88,0.92,0.86,0.92,11015000,44.05,46,43.08,45.78,220300,2024-06-28T23:25:52Z
CMG,2006-02-10,0.85,0.86,0.83,0.86,18775000,42.31,43.26,41.5,43.25,375500,2024-06-28T23:25:52Z
CMG,2006-02-13,0.83,0.85,0.82,0.83,9955000,41.48,42.55,41,41.75,199100,2024-06-28T23:25:52Z
CMG,2006-02-14,0.86,0.86,0.82,0.83,9895000,43,43.26,41.19,41.45,197900,2024-06-28T23:25:52Z
CMG,2006-02-15,0.85,0.87,0.84,0.86,4905000,42.7,43.3,42.22,43.1,98100,2024-06-28T23:25:52Z
CMG,2006-02-16,0.89,0.89,0.85,0.88,14649999,44.45,44.7,42.53,43.75,293000,2024-06-28T23:25:52Z
CMG,2006-02-17,0.88,0.9,0.88,0.89,6900000,43.85,45,43.85,44.25,138000,2024-06-28T23:25:52Z
CMG,2006-02-21,0.86,0.88,0.86,0.88,3405000,43.1,44.06,42.81,44,68100,2024-06-28T23:25:52Z
CMG,2006-02-22,0.88,0.88,0.86,0.86,4795000,43.87,44.15,42.85,43,95900,2024-06-28T23:25:52Z
